,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1662269,4,B00005TPL2,"Synopsis: A happily married couple with two sons and great jobs learn some shocking news, that their fellow best friends and spouses, are separating. What ensues is a look at the strength of their marriage, in comparison to the one that is disintegrating before everyone's eyes.
Review: A friend and I had a conversation about the state of Hollywood movies today. That for every Swordfish and The Grinch remake (an obnoxious film at that), a small film like Sexy Beast or another will go virtually unnoticed by the likes of big Hollywood business. In today's profit driven society, smart films are finding their home on cable. In ""Dinner With Friends"", this drama is riveting, not for any kind of suspense, but for a study of what people really are, and what they do in life. Adapted from a stage play, the words seem real right down to the very last word. As the film's writer and director bring the film's situations to your own judgment, as to who these people are and what they can be like. It's a character study that doesn't exploit people, and it lets their actions speak for themselves. Overall, a good film.",1006992000,19,1116,4.67005076142132
1662270,5,B00005TPL2,Comfort movie.,1404691200,,14,6.5
1662271,3,B00005TPL2,Greg Kinnear and Dennis Quaid good as always.  Both female roles would have been better if better actresses were cast.  Story not as thought provoking as other reviews led me to believe.  Not horrible but nothing to rave about either.,1398556800,,234,4.8
1662272,5,B00005TPL2,"I am so glad I found this movie on Amazon! My friend lost mine a while ago and this is one of my favorite movies. I have watched it like 100 times since getting it. LOL  the condition is wonderful, no scratches. Movie plays right through. I literally watch it every single day. This movie means alot to me because it got me through some things in life.

Thank you!!!",1395619200,,366,4.214285714285714
1662273,4,B00005TPL2,"""Dinner With Friends"" deals with marriage relationships and different viewpoints on the subject.

Being an advocate for marriage I especially liked the relationship between Andie Macdowell and Dennis Quaid.

Definitely a film worth your time, I would see it again!",1390003200,,264,5.575
1662274,5,B00005TPL2,"I've been looking for this movie for a while now and finally found it and purchased it.  It's just like I remembered and if you like cooking, if you enjoy friends and real talk, then this is the movie for you.",1354752000,,209,4.097560975609756
1662275,5,B00005TPL2,"A facinating story about couples, what works and what doesn't. But it's more than that. This story is about couples of couples and how they fall out of love.

If this review was helpful, please add your vote.",1313539200,,208,4.473684210526316
1662276,5,B00005TPL2,"Excellent cast, interesting story. Is it a 'chick flick'...maybe. Actually, I totally loved the set decorating job done! I really enjoyed surveying the different rooms in their home, esp. the kitchen and living room...have used some of the decorating techniques in my condo! Really good movie--Recommend. Maybe Dennis Quaid and Greg Kinnear might bring the guys to the table!",1306886400,,375,5.372881355932203
1662277,1,B00005TPL2,I found the movie to be pretty boring and slow. Just fast forwarded through it. Not recommended. Verbose - lots of blah blah. No thanks.,1306627200,,136,4.48
1662278,4,B00005TPL2,The item arrived in good shape and on time. I originally saw this movie on HBO and thought it was a keeper. Good storyline.,1295222400,,123,4.166666666666667
1662279,5,B00005TPL2,"If you like a movie with much dialogue and no action, this will appeal to you.  I love the movie, the actors, the dialogue and the subject.  Dennis Quaid, be still my heart!  All actors did a good job.  My husband enjoyed the movie as well.  DVD arrived fast and in perfect condition.",1278460800,,284,4.283018867924528
1662286,5,B00005TPL2,"I love this movie,,it is very real...and I love Dennis Quaids last line at the end of the movie.. This movie arrived really quickly and in excellent condition!",1277078400,,159,4.714285714285714
1662287,5,B00005TPL2,"Haven't seen the dvd yet,but i saw this on HBO when it came out. Very well acted and BELIEVABLE.",1264032000,,96,4.105263157894737
1662288,2,B00005TPL2,"One of the reviewers here stated that this is a movie ""we can all relate to.""

But we *can't* all relate to it.  Why?  Because it's demographically impossible for all of us to relate to it. ... We aren't all yuppies. ... We aren't all upper middle class. ... We don't all have jobs like the people in this movie.

Here's a movie that, hopefully, the filmmakers want a wide variety of economic classes to watch, and yet it's about a class of people whose lives and experiences are light years removed from the day-to-day realities of millions of Americans -- and certainly light years away from the ""felt-lives"" of millions of people throughout the world.

So how is it that the people who like this movie ""relate"" to it.  The fact is, they don't relate to it.  They suspend their disbelief by pretending that the people in this movie can actually live in our world completely unaware, completely unaffected and completley unconcerned about the social, political and economic forces that exist around them.

Of course this is not to say that Hollywood pays much attention to these powerful (perhaps deterministic) social, political and economic forces; they rarely do.  But this movie wants to take you to La-La Land and lock the door behind you.

Another reviewer claimed that this movie is about ""human nature.""  Are you serious?!  This movie's relationship to ""human nature"" is akin to learning about a culture by driving by a newsstand in a torrential rain.

Even people who fall into the socioeconomic class of the people in this movie aren't in any way enlightened by the condescending drivel that passes for dialogue.

Here's a rather telling example of what this movie is all about.

ANDIE MACDOWELL'S CHARACTER (to Greg Kinnear's character, Greg Kinnear's character having admitted he cheated on his wife): ""I mean, it's so squalid (having an affair with) -- A STEWARDESS!""

GREG KINNEAR'S CHARACTER: ""A stewardess!  Is that what she (my wife) told you?  A stewardess!  She's not a stewardess, she's a travel agent.""

Now let's stop and think about the composition of the audience watching this film. ...

No doubt the filmmakers want this movie to appeal to a wide, demographically broad-based audience. So who, pray tell, is apt to be in that multicultural audience?

Maybe some airline stewardesses.

Maybe ome people who work at MacDonald's.

Maybe a few million people who, given the realities of our ""global economy,"" have low-paying dead-end jobs.

What are the characters in this movie saying about such people?  Answer: That they're *below* them.  That having an affair with a travel agent is one thing (a rung higher up on the economic hierarchy) but A STEWARDESS?!

And what might they say about a cab driver or a hod carrier or typist or a film cutter?

It reminds me of the scene in ""Five Easy Pieces"" where Jack Nicholson, the oh-so-precious *artiste,* bawls out the waitress for not giving him precisely what he wants at the diner. ... But what about *her* dignity; what about how *her* day is going; what about *her* worth as a human being?

The movie is quite clear about the waitress.  She doesn't count.  She's just a waitress.

-- ""A STEWARDESS!""

-- ""Is that what she told you?  She's not a stewardess -- she's a travel agent!""

And it's from characters like this that you're going to learn something about human nature?  It's from characters like this that you're going to learn something about ""relationships""?  These are selfish, condescending, consumer-obsessed idiots.  The word ""idiot"" coming from the ancient Greeks and meaning people only concerned with their id drives -- the drive for food, shelter and clothing -- albeit in the case of these latte-sipping yuppies, *fancy* food, *fancy* clothes and *fancy* shelter.  Notwithstanding, idiots just the same.

Notice, too, how Denis Quaid's character is drawn by the screenwriter.  He's pussy-whipped.  ""Oh honey""-this and ""oh honey""- that.  I have the feeling the screenwriter pussy-whipped the Dennis Quaid character to immunize himself from being criticized as ""not relating to women.""  So what does he do, he p-whips one of the husbands.

Most couples who question their relationship with their mate (surprise!) also taking into account not just the relationship but everything else that's ""outside over there.""  Meaning: the social, political and economic forces that movies like this assiduously AVOID!!!

This is what Plato called ""The Big Lie,"" that is to say, ""the lie to the soul"" that movies like this trade on.

What I found offensive about this movie is how seriously it takes itself.  How it purports to advise the audience on love, marriage, sex, communication, relationships.  The list goes on and obnoxiously on.

And who are the people who made this movie?  Is their day similar to your day?  No.  Are their realities your realities?  No.

Instead, they've willfully and diligently insulated themselves from what average ordinary people experience in their lives -- and then have the nerve to turn around and tell us how we should live our lives.  About which they know or desire to know absolutely zero.

Look at the faces of these four characters.  Do they look like they've experienced the same world, the same realities you've experienced?",1257724800,4,5248,4.971231300345225
1662289,4,B00005TPL2,"Loved this movie!  A ton of great stars and terrific dialogue~
Very reminisant of ""The Big Chill!""",1234483200,,98,4.764705882352941
1662290,5,B00005TPL2,"A great cast, a great set of dialogs, human nature and frailties, misconceptions, what more can I say, a captivating movie worth watching over and over",1191369600,,151,4.846153846153846
