,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1813620,5,B00007JMEY,"This movie seque was great.  So often a sequel misses step from te original, but not this time.  Grandkids who watched this are 2 and 4 and they enjoyed it over and over and over.  Wonderful movie.  I recommend this one.",1060473600,11,220,4.2926829268292686
1813621,4,B00007JMEY,"This is a very good follow-up to the original. It has the charm of the original that should be enjoyed by the younger viewers. However, the drawings are a total departure from the simplicity of the original. That rough and innocent look in some ways demonstrates the delicate power of the original's script that made it so appealing and heartwarming. But there's enough warmth of the heart to go around in this one that most viewers shouldn't be disappointed. I suppose that if you grew up with the original you may still yearn for that beloved simply told tale. But remember that was your day. Now it's theirs.",1051315200,8,611,4.666666666666667
1813622,3,B00007JMEY,"We bought this DVD as an Easter present for our kids.  My wife and I both have very fond memories of the original, and I was curious to see how this one stacked up.  I really didn't think it was a bad movie at all.  It concerns the continuing adventures of Wilbur the pig, Templeton the rat, and the rest of the barnyard critters of the original, including Charlotte's three children that we met at the end.  There's a new baby lamb on the farm, Cardigan, who is ostracized from the other sheep because of his black fur.  Wilbur, a pig who definitely knows the value of friendship, takes the lamb under his wing (so to speak).  When a trip to the good old county fair results in Cardigan being sold to a neighboring farmer, Wilbur's concerns for his friend leads him, Templeton, and Charlotte's daughters on an adventure to find their friend.
The animation of the movie is very well done, much better than most direct-to-video releases, and the background paintings and such were also well done.  In that regard, I was very pleasantly surprised.  The voice-over acting was fairly faithful to the original, although I must admit to missing Paul Lynde as Templeton.  The songs in the movie are OK but nothing particularly outstanding.  I did notice, however, that time has been kind to Wilbur, melting quite a bit of weight off of him and giving him a nice cute patch of fluffy hair on top of his head.  Fern, Wilbur's human friend and savior from the original, also appears to have gotten younger, and her friend Henry Fussy is nowhere in sight.
Basically, this is a cute movie, but it is nowhere near the absolutely stellar quality of the first.  If you are someone, like me, who remembers the original fondly and think this might be a good movie for your kids, don't be afraid to pick it up.  Your kids will enjoy it.  However, if you are thinking that it will be as much of a classic as the original, I am afraid you will be disapponted.  Still, all in all, it is a decent movie on its own.",1051056000,16,1992,4.449035812672176
1813623,5,B00007JMEY,"My girls love the original Charlotte's Web (5&2).  I bought this hoping that they would like it and they LOVE it!  We have watched it several times already.  The new characters are great, the old ones are still there, and Templeton is as funny as ever!  The songs are sung around the house and the games on the dvd are also a hit. I recommend this movie to anybody of any age.",1049328000,,376,4.180555555555555
1813684,5,B00007JMEY,My niece loves it!,1453593600,,18,3.75
1813685,4,B00007JMEY,The granddaughters loved it,1447632000,,27,6.0
1813686,5,B00007JMEY,I have a 5 year old autistic granddaughter who is fixated with Charlottes web.  She wore out the old one and nana to the rescue!  Thank you Amazon.,1445558400,,147,4.214285714285714
1813687,1,B00007JMEY,Ok .but the first Charlotte Web movie is a ten.,1431907200,,47,3.8
1813688,5,B00007JMEY,None,1431648000,,4,4.0
1813689,5,B00007JMEY,very good item,1430352000,,14,4.0
1813690,4,B00007JMEY,Good movie,1426809600,,10,4.5
1813691,5,B00007JMEY,My 5 year old likes this...,1425340800,,27,3.6666666666666665
1813692,5,B00007JMEY,awesome price Round 3,1407888000,,21,4.5
1813733,4,B00007JMEY,good,1404950400,,4,4.0
1813734,5,B00007JMEY,"watched it with my mom it is a great movie, we love cartoon well Disney cartoons and always will we may get old but never grow up",1402531200,,129,3.814814814814815
1813735,5,B00007JMEY,My grandchildren love this movie. They want to watch it every time they come to visit and you should see the smiles on their faces while it is playing. Even I like it and I am 83 years old.,1395705600,,189,3.871794871794872
1813736,3,B00007JMEY,Not as good as the original. But it is still nice. The kiddies will enjoy kit It came on time and the price was reasonable.,1392940800,,123,3.96
1813737,5,B00007JMEY,My wife watched it with our Children and again with our Grand Children.  All greatly enjoyed it and had to watch it many times.  It was their favorite.,1391385600,,151,4.357142857142857
1813738,3,B00007JMEY,"This satisfied my 2 year old okay, he LOVES the first movie so I bought this too. But only because Amazon didn't have the original animated film for the late 79s available.",1383436800,,172,4.40625
1813739,1,B00007JMEY,"We got this dvd because my son loved dancing to the preview of it, which was on another dvd we had.

We thought he would love the characters and the story. Turns out there is not much singing on the actual dvd (only that preview he saw)...so, it did not hold his interest. Our son is 1. perhaps this would be better for an older child.",1381363200,,335,4.075757575757576
1813740,5,B00007JMEY,my granddaughter love Charlotte's Web and Wilbur she just watches them over and over again.  she has both one & two,1375228800,,115,4.476190476190476
1813741,4,B00007JMEY,I bought this for school we do a charlotte's Web unit. The kids loved it and had never seen it before.,1372204800,,102,3.9047619047619047
1813782,1,B00007JMEY,This movie was so bad that my three year old asked me to turn it off within a half hour of starting it. Stick with the original!,1366329600,,128,3.7777777777777777
1813783,4,B00007JMEY,My 2 year old loves this movie. She is not obsessed with it like Dora or other more popular titles but it was a good buy.,1364860800,,121,3.6923076923076925
1813784,5,B00007JMEY,I bought this for my classroom because we read the book and studied it so they enjoyed watching the movie that related to the story....,1364428800,,135,4.44
1813785,1,B00007JMEY,"Terrible. We did not get to see the movie in full. Service was cut off. Said try again later. When we did it had been removed from our library. Would not recommend this service too anyone.
Respectfully,
Michael J Grassi",1356220800,,219,4.5
1813786,5,B00007JMEY,"Charlotte's Web is a classic, they don't make movies like this any more. We, the adults, enjoy them just as much as our 4 year old.",1352764800,,131,4.076923076923077
1813787,5,B00007JMEY,My daughter loves Charlotte's Web so we purchased this one for her. She loves this movie just like the original. Thanks so much!,1347062400,,128,4.608695652173913
1813788,5,B00007JMEY,"I loved this movie almost as much as i did the first one! Although some of the sounds and pictures were kind of goofy it was above all a good movie! I thought the fox was really cool! All the new characters are friendly and kind. This film is very innocent and like the first Charlotte's web, a touching moral about loyalty, and friendship. Again, Wilbur the pig, Gwen the goose, Templeton the rat, and Fern partake this extraordinary adventure along with some new characters. Farley the fox, Betsy the cow, and cardigan the lamb. If you ask me, its a heart touching movie you will want to watch again and again with your family!",1319328000,,629,4.478260869565218
1813789,1,B00007JMEY,My five year old daughter begged for this after seeing the original several times.  After about fifteen minutes she turned it off and made me hide it in the basement so she would never have to see it again.,1308614400,,206,4.282051282051282
