,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1834784,5,B00008DDHY,"Bloody Sunday is a well filmed show that brings to light of one of the most tragic events in Irish history. On a peaceful cival rights march, the British first opened fire on the Irish march, and were given permission to fire at will. Any one who is Irish, and knows exactly what happened on that faitful day, can now get an up close and real feel of what it was like to face the British para's, while peacfully marching for equal rights, in a land whose boundries were gerrymandered by the British. The movie is very acurate, showing that the British first shot on the defensless Irish. Years later the British government investigated the events of that day, called the Stalker Report. Once the investigation was finished, the British refused to release the results of that investigation. This movie, is not one sided. It accurately portrays the events of that day, showing that the Irish were repressed of their due rights, by an invading, colonial government.",1055289600,8,962,4.766467065868263
1834785,5,B00008DDHY,"One of the outstanding films of 2002!
The events of January 30, 1972 are familiar to most people primarily through the U2 song ""Sunday Bloody Sunday.""  On that fateful, tragic day, a peaceful march for civil rights in Northern Ireland ended in a horrifying massacre when British troops opened fire on the demonstrators.  Now, three extraordinary filmmakers - writer/director Paul Greengrass, cinematographer Ivan Strasburg, and editor Clare Douglas - have pooled their talents to give us their view of this watershed incident, one that so enraged Northern Irish Catholics that it ended up strengthening the hand of the IRA and heightening anti-British sentiment in that part of the world.
""Bloody Sunday"" is reminiscent of those great films from the 1960's like ""The Battle of Algiers"" and ""Z,"" wherein the filmmakers successfully recreate a moment of terrifying violence in purely cinematic terms.  By employing a handheld camera throughout, Greengrass achieves the kind of reality and immediacy that is only possible through cinema verite style.  The camera bobs and weaves, becoming a major character in the drama.  Indeed, the film feels very much like a documentary feature recorded at the actual event itself.  The filmmakers do an amazing job staging the complex action, managing to view the incident from widely varied vantage points - from the marchers in the crowd, to the policemen standing by for trouble (and fomenting most of it themselves), to the demonstration's organizers, to the troop leaders at command center where the decisions for action are ostensibly being made.  The crowd scenes are so well handled in this film that they could easily become a textbook case study for future filmmakers seeking to make movies in a similar vein.  Greengrass also heightens the verisimilitude of the work by resisting the temptation to employ a background musical score.  Instead, the ""soundtrack"" of the film is composed of the perpetually ringing telephones that subtly reflect the extraordinary import of the moment.
Because Greengrass' main concern is in getting the physical details of the incident right, less time is, understandably, devoted to character development.  Nevertheless, he still manages to bring a few of his key people to life, particularly Ivan Cooper, a member of Parliament who organized the march, a man whose guiding philosophy is that people must have the right to protest peacefully to achieve social justice.  Ivan serves as the focal point for the audience, as we come to identify with his commitment, his passion, his level-headedness and his genuine concern for the people he represents.  James Nesbitt does a beautiful job conveying the humanity of this Gandhi-like central figure.  Greengrass also allows us to see, in telling glimpses, the differing attitudes that prevail among the citizenry of the town as well as among the policemen - both those giving the orders and those executing them - towards what is happening on screen.  Indeed, there is nothing less than a superb performance in the entire cast.  (In an interesting moment of visual irony, the camera catches a glimpse of a movie marquee with the words ""Sunday Bloody Sunday"" emblazoned on it - a reference to the famous John Schlesinger film from 1971).
Some people may have trouble with this film on two counts - one ideological and the other technical.  There are some who may see the movie as somewhat one-sided, biased and slanted, since clearly the British troops are seen as the Bad Guys in the incident.  More serious, perhaps, is the fact that the Irish accents are so thick that those of us unaccustomed and unattuned to them may find a significant portion of the dialogue garbled and incomprehensible.  That being the case, it is a blessing that the film's greatest virtues lie in its visuals.
""Bloody Sunday"" is an exciting, brilliantly executed tour de force that reminds us of just how powerful cinema verite can be.  This is, easily, one of the very best films of recent years.",1054425600,9,3997,5.102760736196319
1834786,5,B00008DDHY,"I can't believe there isn't more comment on this film, more outrage either way.  After having marched recently and heard accounts of  demonstrations from credible accounts (not corporate media), I believe demonstrations that turn violent often do because the police had been given carte blanche from leadership before the demonstration even starts.  Look at Oakland and the way the police showed up in full riot gear, gas masks, etc. and immediately began shooting all manner of 'non-lethal' bullets at protesters and dockworkers alike.  Jerry Brown gave directions to put fear into the crowd and anyone who might consider similar action.
As for this film and its content, I was quite impressed with the realistic portrayal.  I loved when one para corrected another para by calling them 'terrorists'.  They're in their home being shot on by an occupying army.  How relevant is that?  It was very easy for me to see oppressed people from around the world in the plight of the Irish.  It took the South Africans many, many bloody years to gain their freedom.  ""Was there a need to kill civilians?""",1052265600,2,1095,4.967032967032967
1834787,5,B00008DDHY,"""Bloody Sunday"" is a remarkable and powerful film; a rare breed of film that makes you wonder why such a gem goes so unrecognized by moviegoers.  This is such a well-done and important film that has the ability to re-create history with pure authenticity.  One of the best things I did last week was purchase this DVD.  As soon as I started it, I knew there was no turning back.
I had never heard of the event itself (here's my age showing again).  Never even learned about it in high school.  As a matter of fact, I'm learning there's LOTS of things I never learned in high school, but back to the movie.  ""Bloody Sunday"" is a documentary-like film that re-creates what transpired on Sunday, January 30th, 1972.  In a Civil Rights demonstration in Northern Ireland, British troops opened fire on protesters when things were getting hairy, which would eventually lead to 27 wounded and 13 dead.  This was a tragedy that struck a major blow to the Civil Rights movement, and to Ireland and Britain as well.
From what I understand, this is still a very controversial topic, even today.  Nobody is still 100% sure of what exactly happened.  Both sides are still debating and offering their versions of what really went down.  I don't know much about the event, as I said in the beginning of this review.  What I do know is that this film was done in a very realistic and authentic way, and I believe that what happened on that tragic day might've gone down the way it did in the film, or very close to it.  I also believe that the movie shows both sides, not just one.
This film was done entirely hand-held, meaning not once did the filmmakers use a dolly or camera stands.  The end result is that it gives it the raw and realistic feel that it needs to be affective.  There is no story or plot in the movie.  The movie isn't there to tell a single story or show us ""characters;"" the only goal is to try to educate us all on what happened on January 30th.  You never look at the actors as actors, but more like the real people themselves.  In fact, when I was watching this, I was very convinced that I wasn't watching a movie, but a real documentary.
The DVD comes equipped with some very nice special features.  Those being two commentary tracks and 2 documentary features.  That may not sound like a lot, but when you view or hear them, you feel very satisfied.  It would've been nice to have a few more extras, but I can't really complain.  Nor do I want to.
I really believe the filmmakers when they say that they did not make ""Bloody Sunday"" to open old wounds.  They want to educate us all on what happened and they want us to confront it.  Much like when an addict has a problem but he or she won't admit it, the problem will never come to a resolution if we continue to ignore it.  I urge every history teacher to make their students watch this movie.  I urge EVERYONE I know to give this movie a try.  It is a rare and unique gem that takes historical films to a new level that it has never reached before.  It's a shame that not many have seen it, but my hope is that more people will see it now since it is available to own and rent on DVD and video.  ""Bloody Sunday"" is an experience you will never forget, and it is an important one you do not want to miss out on.  Definitely makes my Top 10 of 2002 list, without question.",1051401600,66,3335,4.2896
1834788,5,B00008DDHY,"When I saw that a movie called ""Bloody Sunday"" was playing at a local theater, my first thought was, ""Oh, that's the U2 song."" I knew it referred to a Northern Ireland civil rights protest where shooting broke out, but the song was basically the extent of my knowledge of the event. Once I decided it would be an interesting movie to see, I tried to avoid reading anything about what happened, in an attempt to go into the film with an open mind, to be completely receptive to director Paul Greengrass's vision. I saw the movie, and left the theater shocked, saddened, enraged, and bewildered, but with the firm impression that I had seen a truly remarkable film.
The movie is shot documentary-style, with many quick cuts and fade-outs to black to end a scene. It took a while to get used to this modus operandi, which at times seemed choppy, disrupting the flow of the movie. But as you lose yourself in this film the style makes sense and seems less obtrusive.
The acting is superb, lead by James Nesbit as protest organizer Ivan Cooper. And while it is fairly certain where Greengrass believes the blame for the tragedy lies, the film at least makes an attempt to explain the scenario from the British military's point of view. But instead of merely looking to reveal ""who started it?"", what should be taken from this view of events is that tensions were so elevated on both sides, that it took comparatively very little action to set off large-scale and vicious reactions. Such is the madness of war, which is basically what unfolded on the streets of Derry that day...
Greengrass's camera leads you right into the middle of this battle, from start to finish. The results are visually and emotionally jarring; the you-are-there feeling is intense. And at the end, almost as a reward for making it through the film, you are treated to a live version of U2's famously haunting song.
It is a travesty that this film was not nominated for (and chosen as) Best Foreign Film at this year's Oscars- supposedly an airing on European TV made it ineligible. Hopefully it will be honored in some other manner. ""Bloody Sunday"" is far from an uplifting movie but is definitely an important one, and nothing less than a marvel of modern filmmaking.",1050537600,12,2238,4.668354430379747
1834789,5,B00008DDHY,"Rough, dark, and foreboding, ""Bloody Sunday"" is anything but standard movie fare. This movie deftly explores the massacre of January 30, 1972 using a documentary format, edited in a manner to make you feel like the events are unfolding in real-time. The documentary style lends the movie an authenticity which you rarely find in mainstream movies. This makes the effects of massacre feel incredibly visceral. The movie is hard to watch for this reason. It's downright grim at times and drags the viewer along through some of the aftermath - the grieving and anger that the event caused.
The scariest thing about this movie, however, is the fact that it is tough to draw the line at fact and fiction. I don't know what really happened on Bloody Sunday since this was really first exposure to it, but the movie demonizes very effectively the occupying forces. Movies like this are dangerous and exhilerating precisely because they have the ability to conflate the reality of the event with the drama of the film, but they also have the ability to be reckless in their representation of events. If things actually occurred the way that the movie depicts them, then the members of the occupying force should be ashamed of themselves. If the events of the movie inappropriately condemn that force for taking actions that they did not make, then the director should be ashamed. Watch at your own risk.",1048204800,7,1395,4.8655462184873945
1834790,5,B00008DDHY,"Familiar with the famous U2 song, ""Sunday Bloody Sunday""?? Well, here's a look at the events that inspired that song.
On January 30, 1972 Catholics living in the Northern Ireland's city of Derry march for human rights denied under British rule. But this wasn't an ordinary march by any means. Thirteen marchers were shot dead during what was later termed ""Bloody Sunday"".
This movie alternates between both sides of the firing line. Efforts of the march's organizers leading up to the march along with several young men who participated in the march are captured. In addition, the military readiness of the British soldiers is also revealed. This movie unveils savage acts of the British soldiers as they fire upon the defenseless crowd.
I recommend this movie to anyone who is interested in this horrific day. It will make you think twice about the role of the military in Northern Ireland.",1035763200,39,891,4.946666666666666
1834824,3,B00008DDHY,Entertaining,1474761600,,12,12.0
1834825,5,B00008DDHY,I'll always like this flick.,1474329600,,28,4.8
1834826,4,B00008DDHY,Good movie. Enjoyed it. Seemed to keep to the history of what happened.,1472947200,,71,4.538461538461538
