,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1937861,5,B0000E6FO8,"As always, the people at Major League Baseball have put together a superb World Series video!  You don't have to be a Marlins fan or a Yankees fan/hater to love this one.  And for the first time, the extra features include replays of some of the most memorable moments in the Division Series as well.  It is priceless watching the expressions on the FOX broadcasters' faces after Aaron Boone's homerun beats the Red Sox.
You also get to replay Jeff Conine's throw to Pudge Rodriguez to win the Division series against the Giants.
Some of the interviews are priceless especially from Jeff Conine and Jack McKeon.  Also, just to listen to Lenny Harris talk about watching a video with Tino Martinez and Paul O'Neill and calling them ""studs"" was entertaining.  He also says that in Game 6 when the Yankees got the first to men on in the eighth inning, he thought the Marlins would lose. This shows you the tension of this World Series and that with the exception of Game 2, all the games were tight, with a couple of plays that could have made the difference for either team.",1073001600,,1072,4.5625
1937862,4,B0000E6FO8,"I am not even a MLB fan and I enjoyed this Major League Production; I even had goosebumps. This fulfills all the fantasy, excitement, and hype of sports at its best. In this video you witness new world records, new collections, and inductees to the MLB Hall of Fame. You also discover the sheer improbabilities of a franchise over coming many adversities: a mid-season management shake-up, youth & inexperience to name a few. My only criticism is the lack of effort by the MLB video production technicians and editors:
1. they failed to consider Latinos, hispanics, & the non-English languages of the world, no sub-titles at all; not even closed captioned for the hearing impaired!
2. MLB also failed to utilize the technical extras of DVD/5.1 format for sports to allow the viewer to use the ""angle"" button to get a 360 degree view of a play. This is a special feature for sports and if MLB productions don't support the feature for sports fans, who will?
Other than the Lazzyness of the MLB video productions, the events and sheer efforts of the professional athletes themselves makes this a must have for the sports fan; I can only wish for ESPN or Sports Illustrated to re-produce this world series epic and put a tenth of the effort and passion into producing it that the pro athletes put forth in their drive to be the best team in the world.",1072396800,5,1348,4.644351464435147
1937863,5,B0000E6FO8,"Good DVD.  I've had it for two days now and have already watched the entire thing twice.  Great review of each game of the World Series and showing you camera angles that you did not see when you watched the games live as they happened.  Good background music, super editing job and great narration.  The only disappointment is that they don't show you the entire play offs.  The Marlins vs Giants was a great series but they only show you the final out where Pudge tags out Snow at the plate.  Also they barely touch on Marlins vs Cubs and the Yanks vs Red Sox.  Nothing at all about the Cubs vs Atlanta or the Sox vs Oakland.  Both of those were great series.  They could have built up the showdown by showing a complete playoff recap. All in all I still liked it very much.  But then again I was going to buy it no matter how good or how bad it was.  Since I live in south Florida and actually went to game five of Marlins vs Cubs and games three and four of the World Series against New York.",1069372800,5,996,4.135416666666667
1937864,5,B0000E6FO8,This was the possibly the greatest improbable season in baseball history.  How many times did you hear the words can't and won't by everybody?  This was a triumph in spirit over the big money machine.  This was saving a franchise from extinction.  This was the most incredible team effort I have ever seen.  Each night a new hero stepped up.  Thank you Marlins for putting a much needed lifeline back in the sport of baseball.  Not even Disney could have come up with a story this good.,1068163200,5,486,4.517241379310345
1937865,5,B0000E6FO8,"Obviously this DVD of the 2003 World Series between the Florida Marlins and the New York Yankees is destined to sit on the shelf next to the VHS of the 1997 World Series when the Florida Marlins won their first championship.  In the year when the Curse of the Bambino was the top in the Northeast and the story of the goat was running rampant in the Windy City, the final question on this year's baseball history exam was what team has never lost a post season series in franchise history and is now six and oh?

I am a New York Yankee fan and if you think it is too painful for me to watch the World Series again, think again.  I was not the only Yankee fan on the face of the earth who was beseeching the deity not to let us lose to the Boston Red Sox, promising that we would not ask to win the World Series as long as it was not the BoSox and Pedro Martinez who ended our season.  So I have no complaints.  Yes, it would be nice if the right centerfield fence in Florida was ten feet closer and I think Joe Torre made an actual mistake when he did not bring in Mariano Rivera to pitch instead of letting Jeff Weaver pitch a second inning, but then I think of Aaron Boone inheriting Bucky Dent's middle name in the Commonwealth of Massachusetts in a celebrated moment that is preserved on this DVD and I must be content.

The 2003 postseason was arguably the greatest in baseball history, one in which the World Series was actually something of an anti-climax after the two League Championship series, and the only real complaint about this year's World Series DVD is that it focuses too much on the World Series.  Granted, this is not exactly a fair criticism given the title is the ""2003 World Series Video,"" but beyond Boone's pennant clinching home run there were so many wonderful moments that deserve to be preserved for posterity.  But we only get brief glimpses of Don Zimmer going after Pedro Martinez on the one side and the infamous Bartman incident on the other.

The prologue covers the finales for the two League Championships series and sets up the idea that Roger Clemens and Pudge Rodriguez would be key players in the drama of the 2003 World Series.  In terms of World Series memories there was Andy Pettitie's pitching performance in Game 2 as he tied the record for post season wins, the Marlins and their crowd applauding what we all thought was Roger Clemens strikeout of his last batter in his last game and then the Luis Gonzales game winning homer in Game 4, and obviously Josh Beckett's shutout in the finale.  The coverage of each game is remarkably thorough, much more than you would expect even on ""Baseball Tonight,"" with the FOX footage of the games taking a back seat to Major League Baseball's own cameras.  Throughout each game recap there are interviews with not only the players and managers but coaches and radio announcers as well, while narrator Curt Chaplin throws in interesting statistics and trivia (e.g., Bernie Williams sets a record by hitting his 19th postseason home run).

The video of the 100th Anniversary World Series also has about a half-hour's worth of Bonus Footage: the bottom of the 9th inning of World Series Game 6, Alex Gonzalez's walk-off home run that won Game 4 as well as Roger Clemens striking out his last batter in that same game, Aaron Boone's walk-off home run from Game 7 of the ALCS with his brother Brett sitting in the booth between Tim McCarver and Jack Buck, the bottom of the 9th of Game 7 of the NLCS (just not as exciting), the end of the National League Division Series between the Marlins and the San Francisco Giants as Pudge Rodriguez reminds everybody why he is a future Hall of Famer in the most dramatic play at the plate ever to clinch a baseball series, the Marlins clinching the NL Wild Card, Jack McKeon being introduced as the new manager of the Marlins way back on May 11, and the Rob Dougan music video ""Clubbed to Death"" (which was used as background music).

Since the Marlins end up winning the title the emphasis is a bit more on their side of the story, but most baseball fans will consider that to be far and balanced coverage.  After all, watching Rodriguez prove that catcher is an offensive position while playing defense, Miguel Cabrera became the youngest cleanup hitter since Ty Cobb, and Jack McKeon win his first title as manager at age 72, most of the best stories of the 2003 World Series were on Florida's side and at the end of it all, they were the World Champions.  The first time around Florida did it by spending so much money on free agents that they had to have a fire sale almost as soon as the champagne stopped flowing.  But this time, with the exception of one major free agent behind the plate, they did it with young homegrown talent who could be around for another Marlin championship down the road.",1067731200,55,4826,4.4908675799086755
1937866,5,B0000E6FO8,"This will go right next to my 1997 Florida Marlins Championship video.  The last few months have been so wondefully tiring as a Marlins fan.  I live in the North East, in Beantown, and could not wait to win another World Series title.  This one is so sweet, everyone complained (at least up north) that the Marlins didn't really win it since it was against Cleveland (no matter that Cleveland beat the Yanks) and not the Yankees.  Well, this time, the underappreciated, underwatched Florida Marlins beat those Yankees.  A roster full of heart beat the fat wallets of NY.  Can't be happier for the 2003 Florida Marlins - Juan Pierre, Luis Castillo, Pudge Rodriguez, Miguel Cabrera, Derrek Lee, Mike Lowell, Juan Encarnacion, Jeff Conine, Alex Gonzalez, Lenny Harris, Mike Mordecai, Mike Redmond, Brian Banks, Todd Hollandsworth, Josh Beckett, Brad Penny, Carl Pavano, Mark Redman, Dontrelle Willis, Chad Fox, Michael Tejera, Rick Helling, Nate Bump, Braden Looper, & Ugueth Urbina!  Sound like a team to win the World Series??? Right it does!
Long live the Fish!  Buy this DVD if you want to see what the World Series should be - so exciting!",1067212800,2,1141,4.90625
1937867,5,B0000E6FO8,"Last night was one of the most exciting World Series games I've ever seen!  MY Florida Marlins DESTROYED the NY Yankees and took the crown in just SIX games!  I am a Florida native, born here in Fort Lauderdale, and I cannot stand the Yankees.  To beat them on their home field in their own stadium is, well, SWEET REVENGE for all the crap that we as Floridians have had to take all these years!  Yankees fans have been moving down to Florida in droves.  I hope that this victory will send them packing....BACK TO NY!!!  For all you Yankee fans that read this I just want to say......WE BEAT YOU DOWN!!!  Better luck next year..........",1067126400,10,636,4.431034482758621
8002146,5,B0000E6FO8,Extraordinarily well-done recap of the 2003 Series!,1434844800,,51,6.428571428571429
8002147,5,B0000E6FO8,"Bought this for my grandson, big time baseball fan, especially the New York Yankees, great buy, Item delivered on time, was as described, highly recommended.",1405209600,,157,5.32
8002148,5,B0000E6FO8,The DVD came in the mail on time and worked perfectly. I was very happy with the product,1214092800,,88,3.9444444444444446
