,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1968625,5,B00013A0GK,"This DVD Makes me... well, HAPPY.
Really, the routines are so nice.  They flow really well. Eoin's voice is calming and doesn't make me feel like I need to overdo it.
I love the ""Magically Hips"" Routine in particular. It really makes me feel open and alive.  As Eion says in the commentary, ""when your hips loosen up, it makes you feel younger and more vital""
I think this DVD is great for losing weight too. It is challenging, but the pace is not so fast that I couln't keep up.
The people really look like they are having fun (I thought you had to be more serious when you did Yoga)and there is just such a feeling of positivity that runs through it.
It is a unique product and I can not say that I own a Yoga or Fitness DVD that I have enjoyed more.  It is my new favorite!",1075334400,14,776,4.092105263157895
1968626,5,B00013A0GK,"Vancouver yoga teacher Eoin Finn is a favorite among video fitness enthusiasts for his first effort,  Power Yoga by Eoin Finn.  His second work features some very well thought out elements that are geared specifically towards the video yogi and yogini, along with a relaxed and playful vibe, beautiful settings and soothing music.  This is a two (2!) CD set that features several routines from 30-90 minutes of vinyasa yoga.  The instruction is a voice over by Eion, with Eion and other models showing modifications for beginners, intermediates and ""double black diamonds"", or advanced versions of asanas.
For lovers of vinyasa style yoga, this CD offers a lot of variety, from the 30 minute Yoga Quickie, to a hip-opening routine entitled Magically Hips, to a challenging 90 minute, Full Happiness routine.  This video does assume the user's basic knowledge of vinyasa style yoga, but again, basic modifications are plentiful and easy to find, as are more advanced poses such as Tittibasana and the jaw-dropper Eka Pada Galavasana.
Eion's sense of humour is irrepressible, whether featuring a canine member of the cast with his own purple sticky mat, to the chapter points that describe Sun Salutations ""eh"" and ""B"" (the group is from Canada).  For me, this is a refreshing change from the rather rarified quality of so many other videos on the market today.  And the routine is just great, a wonderful balance of strength and stretch for the top of your head to the bottom of your feet.
The only thing missing from this fantastic CD is a ""zen"" soundtrack that was originally planned--a soundtrack that features minimal description and basic cuing, a great option once you are familiar with the poses and the flow of the routines.  No biggie, though, as it is very good to hear the things that Eoin has to say.
All in all, a great DVD, one that I know I will be reaching for again and again.",1074816000,54,1892,4.817901234567901
1968636,4,B00013A0GK,"I discovered Eoin Finn through his free podcasts, of which there are 8 that can be downloaded from iTunes. The podcasts cover a range of about 6 years. Eoin's skill as a teacher and prowess as a yogi has grown quite a bit over the past six years. I find the same is true with his DVDs. The first one I bought is the most recent: Power Yoga For Happiness II The Surf Edition. After owning that for a month, I bought this one, Power Yoga For Happiness.
It is a good, solid workout. If you love vinyasa yoga/power yoga, you'll probably like this DVD. For me, it was good and solid, but didn't contain any of the really funky variations of his later work.
And for clarity purposes, there is one workout on this DVD. It's 80 minutes long. All the other workouts are different chapters of the main workout put together with certain things left out to make shorter flows.
The thing I love about Eoin is that he is just so filled with love, playfulness and joy. That comes through in this DVD, but it comes through even more in Power Yoga For Happiness II The Surf Edition. If you could only have one, and you're pretty fit and love to work hard in your yoga practice, save your money for The Surf Edition.",1222041600,9,1198,4.28193832599119
1968637,5,B00013A0GK,"It's filmed in a beautiful forest park setting outdoors and has a calming yet playful vibe to it with soothing music in the background and Eoin doing a calming, encouraging and even fun voice over. It's so refreshing! It's a great power yoga flowing practice with a  good amount of vinyasa's throughout to get you sweating and pumped. This practice flows so there will not be any breaks in the routine to explain the postures (it's not for true beginners). There are even some really nice hand balancing poses sprinkled throughout to work towards so intermediates can continue to grow into. It's a wonderfully balanced power yoga practice. It will get your upper body strong, your lower body strong, with an all over top to bottom stretching, strengthening, lengthening and opening -- Eoin doesn't leave anything out. It's just awesome! It's fun and calming and will keep you challenged and growing without being too beyond you to leave you frustrated. It will leave you happy and glowing with a big smile on your face! : )) Also check out his latest DVD release ""Power Yoga for Happiness 2"" [Other Recommended Power Yoga DVDs: Yogatopia; Yoga Radiance; Shiva Rea's Yoga Shakti and also her Fluid Power Vinyasa Flow Yoga; Bryan Kest's Energize, Tone and Sweat; Yoga Zone's Power Yoga for Strength and Endurance; MTV's Power Yoga, Adrienne Reed's Power Yoga for Athletes and her other Power Yoga Fat Burner; Flow Yoga with Jennifer Lynn; Ease Into Ashtanga with Yoga Hawaii (see their website for video clips); Flow and Yin: A Balanced Yoga Practice with Donna Helm-Yost; Vinyasa Flow Yoga Simple and Sweet with Jennifer Tipton also Vinyasa Flow Yoga Intermediate & Advanced with Maral Hadidi (see their [...] site for videoclips, they also have some other nice DVD's in the series you can get at Amazon).]",1220745600,2,1805,4.918032786885246
1968638,5,B00013A0GK,"I bought this DVD reluctantly, thinking I'd watch it a couple times.  I fell in love with it.  I've made so much progress, I'm now doing the advanced poses.  I am definitely more flexible and have gained strength.  Each time I do it, I get better and learn/feel something new.  Some days I do the quickie 30 minute practice and then other days when I have more time, I do one of the longer sessions.  At first I though the commentary was kind of cheesy but to be honest, I really enjoy the cheesiness...it makes me feel calm, happy and relaxed.  I would highly recommend this video.",1204934400,3,582,4.383177570093458
1968639,5,B00013A0GK,"Love this dvd compilation. Several options to choose from, 2 disks so that's great especially for those days where you don't have much time, but still want to get something in to ease your mind.  I love the setting (in beautiful BC in a lush green park), and the background music works perfectly (not annoying)... the participants on screen are all at different levels, which is pretty cool to see (if you're watching the screen)!  Made my husband feel good about himself when he tried it, seeing that he was better than the one guy who has (very little) flexibility!!!

Eoin has a quirky sense of humor, but I think that's his appeal.. ya sure, maybe it's a little cheesy, but it perks me up and his voice is relaxing.  This is 'power yoga' so the Vinyasa style is quick- I think it's wise for beginners (or anyone) to watch the dvd once over before doing the workout anyway.  Definitely does the trick, calms the mind and tones the body as well.  My favorite workout is 'Strong Free & Happy'- challenging, and just the right length of time (53min).  'Full Happiness' is awesome too, but I don't always have 80min as the mom of a rambunctious toddler!  The 'quickie' is great too when I just want to get some yoga happiness into a busy day, even if it's not very long (30 min).

If you do the 'Full Happiness' workout, you will be exposed to all of the key postures, and there will be no surprises when you try the other workout options.  I guess that could be a criticism since all the workouts are essentially the same one, broken down into different length segments (same voice-over, same cueing, same background music).  That doesn't bother me however, because I like the familiarity and find the combination right on the way it is.

All this to say that it is wonderful.  I highly recommend it to anyone!",1197158400,2,1810,4.515337423312883
1968640,4,B00013A0GK,"I like the workouts and feel good doing this workout - however Finn is a bit of a hippy, flaky, peace, love, and all that instructor. I wish he would talk less about loving and more about form and what muscles you are working - More fitness less philosophy. Once you get past his quirky personality it is a great workout and I do the tape frequently, not sure that i will buy more though.",1194220800,,388,4.1866666666666665
1968641,3,B00013A0GK,"Well, I guess I like this DVD.

It helps losen my hips and stretched, and everything I would look for in a Yoga class. I also don't mind how fast they go because that helps bringing my heart rate up.  But I'm so not into whatever he says. It makes me laugh and stares at the TV, ""what the...""

I guess that's his style. If you know what I'm talking about and still likes him, then this is a great yoga exercise DVD.",1188950400,3,415,3.9759036144578315
1968642,5,B00013A0GK,"Although I go to a studio run by a Baron Baptiste-trained instructor, this is the best yoga DVD I've ever bought, and the only one I enjoy doing consistently.  It's not as intense or advanced as a hot yoga session, but the focus on breathing is amazing and some intermediate/advanced arm balancing poses spice things up a bit.",1184889600,,326,4.620689655172414
1968643,5,B00013A0GK,This is one of my FAVORITE yoga dvds.  I like the premix options that offer a shorter practice.  Different variations for beginners to advanced yoginis are demonstrated.  I do this DVD on a weekly basis.,1176422400,,203,4.742857142857143
1968644,5,B00013A0GK,"Eoin Finn does a great job with this dvd. The music is great, the flow is right on. The best part of this workout is Eoin's emphasis on positivity and joy. I think his commentary is just the right amount, and the pace is gentle and accessible. For the reviewer who thought the pace was too fast, this is vinyasa yoga, not Iyengar. There are different styles of yoga...none better or worse than the other, just different. I am a 40 y.o. woman and had no problems keeping up.",1172016000,,473,4.325842696629214
1968645,3,B00013A0GK,"My wife and I did the ""Magically Hips"" routine first, which is very nice and has certainly helped loosen up my hips. However, Finn has a bad habit of interrupting a workout to show off.

For instance, in the ""Strong, Free and Happy"" routine on the second DVD, he does this thing with his knees and his hands behind his back which I can't really figure out. It might be possible to figure it out if he didn't rush on to the advanced or intermediate versions (and apparently beyond). But he does. It might also be possible to figure out if the camera showed someone besides Finn doing it. But it doesn't. This sequence  really destroys the mood for me--if the instructor in my first yoga class had gone in for that sort of thing I wouldn't practice yoga at all.

We did get a good laugh out of the dog which shows up occasionally during some of the upward dog/downward dog sequences, and like I said I am really fond of ""Magically Hips.""",1171843200,6,935,4.362068965517241
1968646,4,B00013A0GK,"I think this is a great workout.  I always feel great after I do it.  It has enough different poses that I feel like I get a good and varied workout. And I like that it has several length options all in one set.  Eion says some funny things like ""focus your Ghandi lazer"" but I can overlook all that because I like the workout so much.  And most of his sayings make me smile anyway.  I always recommend this one when someone asks about yoga workouts.",1167782400,3,450,4.126436781609195
