,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2157873,5,B00061QJIA,"What happens when you have great writing, fantastic ideas, briliant acting, but a tiny budget? You get Sapphire and Steel. I had heard of this series before but had never seen it. I was pleasantly surprised when the entire series was released on DVD recently. Thank you to the PTB. It's one of those series which is full of mystery and questions, (in this case, who exactly are these people named after ""elements""?) but doesn't feel the need to explain itself. The series is split into 6 stories, each one containing from 3-6 episodes. The stories are creative, the settings dark, creepy and moody. The ""flashlight"" monster of the first story is unintentionally funny but the story and acting are a great intro to the series. For those who can't get enough of S&S, Big Finish, who does the Dr Who audiocassette plays, will be releasing new S&S audio adventures.",1136073600,10,861,4.746666666666667
2157874,5,B00061QJIA,"I really enjoied this TV show. If you like Sapphire and Steel that means you are inteligent, curious for life and nature, smart, and have sharp mind. I was just a little kid when they broadcasted the show in Panama and I didn't miss one episode. Very well written scrips and good dramas are integrated into every chapter. I strongly recommend these series for those who are looking for great quality sci-fi drama, smart-public oriented.",1133395200,5,436,4.826666666666667
2157875,4,B00061QJIA,"I was very happy to learn that Sapphire and Steel was FINALLY coming out on DVD. Once I got the set and watched the series, I was not disappointed. The show has an eerie, claustrophobic feel that makes it unlike many other shows out there. One can forgive the limited sets and average quality video effects because the stories are so entertaining and original (A creature that exists in photographs, a darkness that lives off of the bitterness of the dead, time itself being a destructive force, etc.).

While the show itself is excellent the DVD's themselves don't live up to their potential. The extras are rather thin (although the introduction voice-overs by P.J. Hammond and Shaun O'Riordan at the beginning of each assignment are very insightful). The other problem is that the episodes were not transferred from PAL to NTSC (the U.S. video encoding standand) properly so the video images have a slightly jerky film-like motion to them. (Episode 5 of Assignment 5 is the only episode that was transferred properly) Although the problem is not distracting, it is a shame that A&E couldn't have got it right the first time. Maybe this set will be rereleased with the flaws fixed (as they did for some episodes of Space:1999).

Overall, this is a great series that anyone who likes original writing and spooky atmosphere will enjoy. A must have.",1109116800,33,1348,4.856521739130435
2157876,4,B00061QJIA,"My husband had seen episodes of this series at a science fiction convention, and described it to me. Until that time, I had been unaware of it. When I mentioned it was coming available on DVD (seems it skipped VHS completely), his reaction was simple:  Let's get it!

  I have admired the work of both Ms. Lumley and Mr. McCallum; I enjoy Dr. Who; and the idea of paranormal beings as leads fascinated me. I have enjoyed these stories, although they do take more than one viewing to fully appreciate.  Do not look for the banter of ""Man from UNCLE"" or the subtle sexual innuendos of ""The Avengers.""  Sapphire and Steel are not human, and seem above most of that sort of thing.  They team up to set right temporal wrongs - quite effectively.  No high-tech special effects, no high-speed action sequences.  The series was studio-bound, low-budget, and totally BBC.  Writing and acting carry the shows, which some will undoubtedly find more ""thought provoking"" than desired.

Only six ""assignments"" were made, and the final one makes it clear there will be no more.  Each assignment has within it several chapters (usually six), in (for lack of a better word) serialized style.  One drawback to the DVDs: there is no way to ""dovetail"" viewing each disk.  Opening credits, brief recaps, and end credits do get in the way.  Oh well.

This short-lived series represents a genre that wasn't seen again for a while.  (I am not a fan of ""The XFiles,"" but I am told there are some similarities.)  Considered rare (indeed, impossible to find for years), this set of the entire series is well worth having!",1106784000,13,1594,4.713768115942029
2157877,5,B00061QJIA,"Having seen this show while I was living in England in the late 1970's, I was pleasantly surprised to see the release of this series for the U.S. market as I don't believe it was ever broadcast here in the States.  For the uninitiated, Sapphire & Steel is about the adventures of two intergalactic ""special agents"", if you will, who manifest themselves in human form when among us.  Their assignments deal with threats to space and time and their struggles with assorted paranormal entities.  It's a bizzare concept that works surprisingly well given the limited budget and f/x technology of the time.  Given the low production values, what makes this show come alive, like most British television, is the writing and acting.  David and Joanna do a fabulous job and make their characters their own.  Watching the show is like watching a stage play as all but one episode takes place inside the studio.  The atmosphere the show generates is downright creepy and makes it a lot of fun to watch.  Conclusions to each assignment are often ambiguous, unsettling and not always a happy ending, for supporting characters as well for the heroes themselves.  The boxed set is really nice and contains the entire series of six ""assignments"". (The series was originally broadcast as a serial, with each ""assignment"" consisting of a given number of episodes.)  Each disc contains a complete assignment.  The extras are a little light, but there are some comentaries by the show's creator and writer as well as some promotional material.  Picture quality is fair, but this is due to the fact that the show was shot on 1970's era video and not due to any flaw on the dvd itself.  The sound is unremarkable for the same reason, plain ol' 1970's mono!  Overall, I was quite pleased with set and the audio/video limitations did not distract from my enjoyment.",1103932800,14,1842,4.82484076433121
2157878,4,B00061QJIA,"To any who are overly used to the impressive advances in special effects in the past couple of decades and unaccustomed to engaging their imagination, S&S will undoubtedly be a let down.

Engaged, or merely utilised, by an unnamed power Sapphire and Steel deal with sinister attacks toward the denizens of this timeframe from forces past, future or those simply inimical to humanity. Understated, poorly financed, yet wonderfully executed this science fiction `murder'-mystery series is particularly thematic and, yes, British.

Those who enjoy Blakes' 7 or Doctor Who are likely to have the patience to allow the mostly unexplained tapestry of this series to unfold metre by sometimes painful metre. It may, perhaps, have more meaning to those of us who sneaked off to the TV as pre-teens and took it in as a thrilling weekly escape when gore was never an allowable factor, or, then again, it may have more of an effect because of that ease of bloodshed now.

A more recent creation that draws upon similar precepts is Neil Gaiman's Coraline. There are things in the dark that you have never seen because light has chased them away; there are things in shadows that become stronger with time.

As I walked upon the stair

I met a man who wasn't there

He wasn't there again today

I wish, I wish, he'd go away

It's worth a watch, at the very least.",1103155200,8,1350,4.739316239316239
2157879,5,B00061QJIA,"This review pertains to the original transmitted telly series:

One of the cleverest series yet - moody, introspective, fantastic and mysterious: all on a minimal budget.  Think ""Doctor Who"" for adults.  With a smaller budget.

Lumeley & McCallum are the best team of temporal investigators  since Tom Baker & Lalla Ward.

Some of the adventures are better than others, but all are thought provoking and well acted.

KMFrye",1103068800,8,423,5.132352941176471
2157880,5,B00061QJIA,"Nice to see this show finally get released by mainstream channels.  (current fans will have found the set elsewhere...)

If you're a fan of The X-Files, you'll LOVE Sapphire And Steel.  Especially if you prefer intellectual horror above quantitive gore, guts, and circus acts.  Made between 1978 and 1982, this low-budget BBC series used inventive plotlines, a strong atmosphere, and strongly written and acted characters to sell it self.  And it packs a whollop.  Indeed, some of the stories are so complex that they could be benefitted from a second viewing.  (pity VCRs didn't exist when this show was first aired!)

I personally recommend Story 2 (""The Railway Station"") for first viewing.  It's got the series' premise down pat and despite a lengthy 8 episodes, remains taut and gripping all the way through so the padding to fill out the timeslot isn't noticed.  The story puts a new dimension on ghosts and their influence, and episode 8 has some excellent make-up and a grizzly resolution.

Story 4, ""The Man Without a Face"" is another fan favorite.  The malignancy in this story puts photography in a different light.  Either by imprisoning people in photographs or taking them out, this story is inventive - and suitably horrific.  The final episode isn't as strong as it could have been, but the rest of the story more than makes up for it.

Story 6, with a working title of ""The Petrol Station"" features a new type of enemy for Sapphire and Steel.  This one doesn't use horror in the way the other stories had, but it is highly enjoyable and also keeps one's interest.  It's also the series' finale and, as many BBC Sci-fi series' go, this one isn't particularly pleasant.

Story 1, ""Escape through A Crack in Time"", while having a very good introductory episode, ultimately falls apart halfway through and the denouement rather misses the point of its preceeding episodes.  Revolving around children's' fairy tales, this one tries to give a deeper meaning to the tales.  As it is an introductory story, you'll note some differences that were not in subsequent stories.  As story 2 is so perfect, P J Hammond was quick to correct the errors he'd made.  It's still worth a watch, if for episode 1 alone.  As with stories 3 and 5, this one is 6 episodes long and contains some padding.

Story 5, ""Dr McDee Must Die"", was not written by P J Hammond, who wrote the other stories.  It feels more like a Doctor Who story.  It's got its moments, but is overall mediocre.

Story 3, ""The Creature's Revenge"", is the one and only turkey.  Indeed, it's a turkey complete with beaks and claws.  Watch it for the sake of completeness and the introduction to Silver, who is seen again in story 6 of course.  But what little plot exists is padded out so extensively that re-watchings are mandatory.  and, unfortunately, this story is so dull and uninvolving that re-watching is simply impossible to do.  The plot, as far as I can make it out to be, revolves around some human science teams traveling back in time a couple thousand years to experience how their ancestors lived in 1980.  There's a creature that kills on contact for some reason, the pair taking the role of a 1980 couple (despite being ~25 years different in age) are being tormented by visions of wild animals or food animals, and their futuristic but disguised pod is basically an old apartment building (both outside AND inside, sigh...) with a cheap mod and 1979-looking aluminium kitchen table set as a visual effect for the inside of another pod.  Episode 1 is actually reasonably good and its cliffhanger is marvelous, but it totally fails after that.

There were some audio commentary extras that were interesting, but not spectacular.

The menu system looks nice, but a ""Play all"" button would have been nice.

The packaging for the region 1 (US) version is vastly superior to any of the other region releases available.  It's uniform and has a proper feel.

The audio transfer is reasonably well, no argument here.

The video transfer is quite good, though it's clear that only a mundane amount of video restoration was used; the prints could have benefitted from a full restoration/embellishment process to eliminate the problems that the source tapes have (the only real problems are with the cameras and recording equipment of the time.  Skin tones look great and there's little artifacting to be found.)  But that would be very expensive, the show is British therefore the British owners would do the actual restoration work, and this is a niche show.  Besides, I've seen far, far worse.)

There is a rumor that the discs will not play the video at proper frame rate on some players.  The discs will play, but the video has a film-like motion to it.  As this series was shot on video tape, this effect isn't normal.  But even with this effect (it happens on my set-top player but not my computer's DVD-ROM drive), I don't find the effect jarring.  In fact, I think it HELPS many of the stories because it feels like a film transfer.  (only videophiles will care about the difference, but I thought I'd say it anyway.  :-)  )

A&E released this set.  So it's no surprise that this set is as solid as it is.  Definitely a buy for fans.  Easily worth a renting for newbies and ultimately worth the buy.",1095897600,133,5276,4.725877192982456
2157899,5,B00061QJIA,"Never heard of this show before, probably because I don't think it ever aired in the States. I found it while googling Joanna Lumley. I'm hooked. What a great anthology series with a hint of the X-Files.",1468886400,2,203,4.513513513513513
2157900,2,B00061QJIA,Very old style and out of date. I expected it but was still surprised. I've only watched story one so far. It works decent if time compressed. The stars are great as expected. The DVDs work fine so far and have a clear picture.,1467331200,,227,4.181818181818182
