,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2189651,1,B0006J28C8,"This was about the most pathetic movie I have seen about gay issues as a teenager. Besides the fact that the camera quality was poor, it made me dizzy with all the camera movements. I would not recommend this be watched by anyone, because this movie shows that parents do not understand. In today's society, parents are becoming more exposed to the gay/lesbian situation and are more in tune with it. I personally have never seen such a poor display of a movie and would not recommend anyone waste their money on such a movie. I think there should be a ""000"" star category, in which, this movie earned it.",1111795200,4,605,4.509090909090909
2189652,5,B0006J28C8,"Hey - no mention in the credits here of the brilliant Alex Booth as Sam's girlfriend. Strange...what's up, Morgan?

And her brother Jason Booth is the only comic relief in this movie - whoever else could stuff so many rice krispies in one simple breakfast bowl?",1111536000,,261,4.673913043478261
2189653,4,B0006J28C8,"Its edgy, the music is loud, ambient sound grating, no steadiCam: in short exactly what was going on inside of my teenage head all those years ago.  It should be required viewing for anyone that works with teens.",1109462400,3,212,4.578947368421052
2189654,3,B0006J28C8,"BLUE CITRUS HEARTS as conceived, written, produced, directed, etc by Morgan Jon Fox is one of those films that has a core of honesty and passion for the message that makes you want to love it.  Apparently filmed on a digital camera with no accoutrements available to the other Indie film makers, Fox makes the most of a no-budget situation and perseveres in making a statement about gay crises in high school kids who must fight for their identity in an inhospitable world - this time Memphis, TN serving as the Anyplace, USA.

Sam (Joshua Peter Laurenzi) is a quiet teenager who lives with grotesquely ignorant parents (Lee Ann Roberts and Mark Pergolizzi - both pushing the borders of credibility) who wants to take guitar lessons and have a car but is refused both by grounded parents who feel he is a loser.  Julien (Paul Foster) is a quiet guy who daydreams,  and spends his idle hours in coffee shops, but differs from Sam in that his single mother (Emily Fry) is a loving, caring, present person.  They both attend a high school that  seems in the rank and file of most, both have girlfriends (I think the better of the two may be Alex Booth, but the credits are minimal), and both feel something is missing in their lives.  Sam and Julien struggle through this film, trying to communicate with themselves, with friends and finally with each other - discovering what they fear most, that they are gay.

Yes, this is a tale universal and yes, Fox manages some good effects superimposing his poetry over the picture screen, poetry that is better than the script thoughts.  The problem here is not the story telling, fragmented as that is, but in the actual product of the film. The soundtrack is so loud that it drowns the dialogue.  And that is not only the very raw 'music track': the ambient sound of trains and cars and just plain noise is enough to make many folks just stop watching out of frustration at not hearing the storyline.

Fox has gathered some credible non-professional folks to enact this journey - some even with evident talent that may take them beyond this particular project.  For a first film by a wannabe filmmaker this is a brave and in some ways successful attempt.  Hopefully next time around Fox can  clean up the distractions and focus more on production techniques that would move his talent into the public arena.  Grady Harp, February 2005",1109376000,15,2376,4.664268585131895
2189655,5,B0006J28C8,"With some movies the modest ambition is to entertain. Others seek to expose and enlighten. It is the latter category into which ""Blue Citrus Hearts"" fits -- a simple film about life in America told with passion and elegance.

Sam and Julian are two boys who, within the high school caste system, fall somewhere between the nerds and the losers. Sam has an abusive father and a cold-hearted mother; Julian's parent is a single mom who nonetheless provides him with an abundance of love. Both have girlfriends and neither has a job. Sam writes in a journal he will not let anyone see and hopes to take guitar lessons. Julian haunts coffee shops and daydreams.

Yet both have come to realize something is missing from their lives, and this sense of loss is diminished only when they are together. Will either have the courage to admit their love for one another, or the strength to overcome the consequences of that love in a disapproving world?

The genius of ""Blue Citrus Hearts"" is that the filmmakers used every aspect of the storytelling to support the gritty and unpolished nature of the story itself. The film was shot with a digital camera using ambient lighting. The sound is choppy and harsh. Camera angles and shots lack the slick sophistication of a Hollywood production. The script speaks in a language we all know and speak ourselves. Acting is dead-on.

It is a skillful intersection of cinema verite and 21st century technology.

""Blue Citrus Hearts"" makes another important statement, too -- that in 2005 it is still not OK to be gay. It may be fashionable to accept and even embrace homosexuality in television and movies, but in the day-to-day grind of modern American life, gay men and women are still shunned, still legislated against and still murdered because of their sexual orientation. The misery Sam and Julian experience in coming to terms with their sexuality brings this struggle into the blessed light of day where it can be revealed for what it is: a pox on compassion.

""Blue Citrus Hearts"" tells a story that is being lived by millions of loving and decent people in America. I hope it will say to the parents, neighbors and co-workers of gay men and women everywhere that we are human beings who seek only one thing from this all-too brief life: happiness.

When I watched ""Blue Citrus Hearts,"" I cried.",1109203200,21,2335,4.764851485148514
2189656,5,B0006J28C8,"Ok, this is a film made with a digital camera so the quality is quite fresh.  The directing, script and acting are just surprisingly good.  The actors are real people not ""beautiful"" people.  The story is about the issue of two male high school students falling in love and all that awkwardness and fear of rejection. It is a story of humanity and is heartwarming and gentle.",1107820800,4,375,4.567164179104478
2189657,3,B0006J28C8,"This film is a visual diary of a slowly developing love story between two high school students who are both looking for the substance of life. It's not a polished Hollywood offering.  The surface is rough and evokes a homemade documentary--with sound and lighting problems, real-looking people, and uneven acting.  These production terms can be distracting at first.  However, once I accepted them, I found the story emotionally satisfying.  Well worth watching.",1107043200,3,462,5.375
2189658,1,B0006J28C8,"I can't be the only person that didn't like this movie. I rented this movie because I thought it might be a harrowing, sweet love story set in the Midwest. What I got was two blocks of wood crouching and brooding throughout most of the film with lots of jittery camera movement. If you're figuring out whether to rent or buy this movie, I give the helpful advice that if the word ""angst"" doesn't make you run off screaming, covered in a film of panic sweat, then maybe you will enjoy this movie. As for me, I am still in the process of repenting the sin of bringing this monstrosity home and making my roommate watch it with me.",1106092800,5,628,4.285714285714286
2189659,5,B0006J28C8,"This film was called ""one of the years top 15"" by the Chicago Reader, and The Commercial Appeal......

an unassuming film of extraordinary power. Bold, delicate, yet resilient Blue Citrus Hearts is an exquisite, wildflower of a film. Set in Memphis, far from the pulsing coastal cities, and with alarming realism, the film's ensemble, non-professional cast expertly gives us a multi-layered story of first love, enduring friendship and survival of ""outsiders"" in the south. An emotional, yet fitting soundtrack by indie-rockers Loggia adds to the beauty of this story of adolescent angst, sexual exploration, and true love. This film will remind even the most jaded why we love film. If this captivating indie feature film debut by writer/director Morgan Fox and his collaborators doesn't wrap it self around your heart and give you an exhilarating rush, check your pulse!",1103241600,9,872,5.273381294964029
2189660,1,B0006J28C8,"I love ""strange"" Indie flicks, but this movie was just bad!",1475366400,4,59,4.454545454545454
2189661,3,B0006J28C8,really slow movie  basicly it is a story of a young man coming out and his family hates him because of him being gay? grama is the only one who understands,1471478400,,155,4.0
2189662,3,B0006J28C8,nice movie,1470700800,,10,4.5
2189663,1,B0006J28C8,"I couldn't stand it, and flipped it off no more than 15 mins. in.  Ooof.",1468800000,,72,3.8
2189664,5,B0006J28C8,Fun video!,1468540800,,10,4.5
2189665,2,B0006J28C8,ok,1465084800,,2,2.0
2189666,2,B0006J28C8,Great message but too disjointed! I thought it lacked continuity.,1465084800,,65,5.6
2189667,4,B0006J28C8,It was good movies,1462320000,,18,3.75
2189668,1,B0006J28C8,Please don't waste your time watching this movie.,1457913600,,49,5.25
