,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2220022,5,B0007M4SKE,"Ever since seeing Lea on Geraldo Rivera in the early 1990 s, I ve always been impressed with her commanding voice.  She sang On My Own from les Miz.  I love her voice.",1132531200,4,167,4.03030303030303
2220023,5,B0007M4SKE,"Lea Salonga in my opinion has one of the most commanding voices on Broadway. She can give life to different types of songs. And in this particular concert, she gets to show the versatility of her voice as she tackled a varied selection of some of her favorite show tunes. Not to mention I have never heard anyone sings so perfectly in a LIVE performance.

I especially love her subdued, simple, and heartfelt version of I've Never Been in Love Before. She captured the essence of the song beautifully. She gets to sing two songs from Flower Drum Song. Her I Enjoy Being a Girl is a total treat as she sang it with such grinding, girlish, playful sassiness. Her Love Look Away is less emotional compared to the FDS cast recording, but this version is more polished and more precise.

One of the highlights of the concert was her rendition of Nothing from A Chorus Line. She dedicated the song to all her detractors early on her career when she was just starting. I love how she gave life and energy to the song, I have never heard that song sung with such vocal precision and vivacious spirit.

As a treat for Miss Saigon fans, she sang a song from the show that did not make it to the final cut. The song is called Two Much For One Heart. I wonder why the composer decided not to include the song. ""I'd give my life my for you"" was the emotional core of Kim, ""Too much for one heart"" could've been the vocal showcase core for Kim.

I also like Lea's take on Where is Love and especially As Long as He Needs Me. Those were powerful renditions that show off her vocal range. She was intense and in command of the song especially the latter. Her Someone to watch over me was also another highlight. She was very effective in capturing the hopeful and romantic and melancholic mood of the song.

The show ended with two great songs, Something Wonderful and Being Alive. As she sung the final note of Being Alive, the light bubs in the stage all lit up to one glorious finale. You just have to see it, it was breathtaking!

Note: The DVD does not contain the entire concert some songs were cut (Another Hundred People, Wouldn't it be Loverly, Children Will listen, Fallin, On My Own, I Still Believe in Love, and People) probably due to licensing issues or the fact that some of the songs were already released in her other albums. But this is a must buy. I highly recommend this to all her fans and fans of musicals.

Grade: A +",1122940800,34,2424,4.361419068736142
2220024,5,B0007M4SKE,"Until now, there were only 3 Broadway concert DVD's that a Broadway fan SHOULD have as part of their collection:

1)  Les Miserables - the 10th Anniversary Concert

2)  Hey Mr. Producer! The Musical World of Cameron Mackintosh

3)  Andrew Lloyd Webber - The Royal Albert Hall Celebration

This DVD belongs to such a group! I will not be surprised if the reviewers here would love different songs in the DVD because all the songs Lea sung were absolutely MARVELOUS!  For example, one day I find myself repeatedly listening to the song ""Someone Else's Story"" from Chess and the next day, I would hear over and over again her rendition of ""Nothing"" from a Chorus Line.

You will be missing A LOT if you fail to watch this DVD. There are very few excellent Broadway DVDs available in the market and this one is definitely a STEAL!",1122768000,10,826,4.5646258503401365
2220025,3,B0007M4SKE,"She always has her sweet and beautiful voice. Every song in the DVD is performed perfect by her. As musical fans, you should have this one for your collections.

The only thing it disappoints me is Lea's dressing style, not suitalbe for her. But it's nothing to do with the DVD, just the one who did making up for Lea.",1122249600,,318,4.3
2220026,5,B0007M4SKE,"I absolutely loved this DVD but it's a pity they don't make it on CD (as far as I know?!).Many of the songs were new to me, i thought i had every recording of Lea Salonga ever made but evidently,i was wrong. I absolutely loved Someone Else's Story and a beautiful song from Jekkyl and Hyde- Someone Like You which almost made the DVD worth buying itself. Lea gives a hilarious and genuine performance of ""Nothing"" from A Chorus Line and sings another incredible song from Miss Saigon (Too Much For One Heart) which was cut from the show with a richness and ease only Lea possesses. Her incredible talent never fails to amaze me and it was great to actually see her peform as I had never seen her in concert before.",1120348800,8,714,4.37593984962406
2220027,5,B0007M4SKE,"A beautiful voice.  I was blown away with ""Too Much For One Heart"".  Definitely Lea's best song ever recorded.  How the producers of ""Miss Saigon"" could have left this song off the show is just unbelievable.  They really blew it.  Lea sings it with so much feeling.  It would have been the highlight on the entire show.  This song alone is worth the price of the DVD (or CD).  This song could have been what ""Wishing You Were Somehow Here Again"" is to Sarah Brightman and ""Phantom Of The Opera"".  I hope Lea somehow reads this and knows how much I love this song.  I hope she will include it in her future concerts.",1116547200,10,615,4.315789473684211
2220028,5,B0007M4SKE,"If you love Lea and broadway,  you need to own this DVD.  From start to finish she is breathtaking.  Her phrasing is impeccable with a voice to match.  Her version of ""Someone To Watch Over Me"" in my opinion has never been done so beautifully, and with just a guitar backing her.  The San Miguel Philharmonic lead by her brother Gerard is equally wonderful.  Bravo Lea!",1109203200,19,369,4.515151515151516
8048870,5,B0007M4SKE,"When I see her singing and acting on DVD, I never get tired hearing her voice and
acting.  She deserves the awards given to her.  I believe she is my best singer
for broadway musicals.  I like everything on the Broadway concert.

Dr. Aurora Nold
Las Vegas, NV",1378771200,,259,4.333333333333333
8048871,5,B0007M4SKE,"Lea Salonga, a really  wonderful performance, not only  does Miss Salonga sing  really  beautifully every piece on this DVD, but, she also knows exactly how to express  each piece, indeed  this  is the album that I would choose  as  her very best, and honestly I would love to see  her  produce more such DVD's, , a note to the side, I regret  never being able to find a DVD or VHS of the  original performance of Miss  Saigon, or  of Les Miserables, in which she played  leading  rolls, the  producers of these two , are missing a great chance, and  we the public also miss the great pleasure of seeing Miss Salonga in those  productions",1362355200,,638,4.3826086956521735
8048872,5,B0007M4SKE,"Really, Lea Salonga makes it look easy, yet she authentically reflects dozens of emotions in 75 minutes. It's astonishing. Some thoughts not picked up by other reviewers:

- Katrice Gavino, the child soloist, was energetic and charming as Lea Salonga's young counterpart on four (!!) songs. How old was she anyway? It's ten years later and on new YouTubes she looks only to be in high school.

- Unlike other concerts, Lea Salonga didn't interact with her brother, musical director Gerard Salonga.  And to think they started out together doing a Broadway song from ""You're a Good Man Charlie Brown.""  Hmmmph.

- that's a 53 piece orchestra up there, folks.

- Another reviewer here writes that the actual concert included an additional seven songs. Surely there was time on the disc to include those songs (but barely). They were songs from Company; My Fair Lady; Into The Woods; Les Miserables; Funny Girl and two from They're Playing Our Song.

- I agree we Lea Salonga fans want and deserve to have every last drop of Salonga.  We need it.  We simply demand it.

As delivered, the concert gives us eighteen songs from these fifteen shows:
- Annie
- The Fantastiks
- Guys and Dolls
- Flower Drum Song (2)
- Jesus Christ Superstar
- Sunset Boulevard
- Evita
- Chess
- Gypsy (2)
- Miss Saigon*
- Oliver! [2]
- Crazy For You
- Jekyl + Hyde
- The King and I
- Company

And if interested there's a (currently rare) CD version available on Amazon here:&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Lea-Salonga-The-Broadway-Concert-CD/dp/B0009VPE8S/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Lea Salonga - The Broadway Concert CD</a>

-----------------------
* [""Heart"" which was dropped from the London and Broadway shows: were the low notes too much of a strain for eight-shows-a-week?  We stay up nights wondering.]",1337644800,,1827,5.173469387755102
