,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2289243,2,B0009G3BPG,This ToHo movie will do what most Japanese films never do and that's bore the hell out of you. Dull Dull Dull. An alien that eats diamonds shows up and mucks up diamond robbers. Too much diamond robber stuff too little monster.,1125360000,6,227,4.428571428571429
2289244,4,B0009G3BPG,"An excellent DVD of a Toho classic.  A space ameba that digests carbon is sucking up the worlds diamonds and some diamond thieves are in the middle of it.  A one shot monster that never caught on like Godzilla or Mothra, but an enjoyable movie with some of the most recognized actors in Japan at the time.",1123891200,7,305,4.333333333333333
2289245,5,B0009G3BPG,"Its been about twenty years since DAGORAH- THE SPACE MONSTER played on US television, and its a welcome return for this very original and clever thriller. This Giant monster epic was created in Japan by Toho pictures, the creators of Godzilla, Rodan and Mothra. The film was
distributed to US TV by American International in the 1970s where the name was changed from DOGORA to DAGORA so viewers wouldnt think it would be about a giant dog. Actually its about a giant , levitating , ever growing and multiplying space entity. It looks like a translucent jellyfish and feeds on earths carbons. Aside from the monster plot, there is a sub-plot dealing with Interpol agents  hunting diamond smugglers (remember the whole carbon connection). It all intermingles very well
and plays like a plot out of Ultraman, but with no Ultraman.  First, there is the mystery. Then the investigation. A monster is discovered. the Military attacks. Scientists speculate. A super weapon is devised. The monster is
attttacked again. The good guys catch the criminals.  You get the picture.
This one has really clever monster effects utilising puppets, water and animation making this one very different from the other Toho monster movies. But still alot of fun. Dogora (or Dagora) never returned in another  monster movie.

Special thanks to Tokyo Shock for releasing this line of legendary and lost japanese monster films in america.  I hear Yog may be next in line.
If you like Dogora, please perchase Varan- The Unbelievable, The Mysterians and Matango- Attack of the Mushroom People.

In recent years it has been almost impossible to get your hands on any Toho monster movie that doesnt have Godzilla as the star. This is probably due to having younger executives at the distributors who don't even know that these other fims, and characters, even exist.  There are alot of great Toho films, many with giant monsters, still not available in the US. And unseen since the early 1980s.
Amoung them are:
BATTLE IN OUTER SPACE a sequel to The Mysterians with very cool pre Star Wars/ Aliens space drop and combat sequences.
GORATH about an asteroid with a huge gravity well about to colide with Earth and featuring a giant walrus.
DAIGORA VS. GOLIATH about a friendly creature avenging the death of his mother against a horned evil monster, Has never been seen in america.
THE HUMAN VAPOR about a master criminal who can become a literal gas.
SECRET OF THE TELEGIAN about teleportation is a color film that was only distributed in B&W in the US.
ESPY is about spys with ESP.
THE INVISIBLE MAN is a modern scifi take on the old concept.
HALF HUMAN is about a Yeti protecting its young.
THE H-MAN is about hydrogen based creatures invading Tokyo through the sewers.
MOTHRA, yes Mothra, the original is still not available on DVD.
REBIRTH OF MOTHRA 3 featuring Mothra time traveling to battle King Ghidorah has never been released on DVD in america.

MOTHRA, BATTLE IN OUTER SPACE, H-MAN, AND REBIRTH OF MOTHRA 3 are owned by Sony/tristar/Columbia in the US.
Several of the other titles I mentioned were known to have been distributed by United Productions of America. Wonder who owns them now?

Some other Toho monsters that never returned:
1) FRANKENSTEIN MONSTER, giant version from Frankenstein Conquers the World
2) MEGALON  cyborg beetle from Godzilla vs. Megalon
3) GEZORA and GANIMES giant Cuttlefish and crab from YOG- MONSTER FROM SPACE.
4) TITANOSAURUS long necked dino from TERROR OF MECHAGODZILLA.
5) MEKANIKONG robot King Kong from KING KONG ESCAPES
6) BIOLLANTE plant monster from GODZILLA VS. BIOLLANTE
7) BATTRA giant moth from Godzilla and Mothra: Battle for Earth
8) MECHAKING GHIDORAH three headed cyborg from GODZILLA VS. KING GHIDORAH
9) SPACE GODZILLA  alien clone from Godzilla vs. Space Godzilla
10) DESTORAYAH mutant crab from GODZILLA VS DESTOROYAH
11) ORGAH alien from Godzilla 2000
12) KROIGA huge winged lion from LATITUDE ZERO
13) MAGUMA giant prehistoric walrus from GORATH",1116806400,84,3979,4.984917043740573
2289246,5,B0009G3BPG,Bought this for a friend. He loves it!,1425081600,,38,3.875
2289247,5,B0009G3BPG,"Great, creepy movie that I remember being played on WXON TV (Detroit) on Sunday afternoons! LOVE the sound effects!",1418256000,,115,5.105263157894737
2289248,4,B0009G3BPG,"You like Ishio Honda, you'll like this one ! I like anything from Japan, mostly the monster movies that come from Toho studios !",1395619200,2,128,4.375
2289249,5,B0009G3BPG,It Is A Classic And I Remember Watching It As A Child On The 4:30 Movie On Ch 7 . I Love The Rock Scene Crushing The Bad Guys. Anything ToHo Is Good By Me. Love The Actors And Special Effects.,1379203200,2,192,3.707317073170732
2289250,4,B0009G3BPG,"What a delight to have some of the major Toho sci-fi spectacles of the 50s and 60s on quality DVD and in such beautiful shape.  'Dogora' was made toward the end of the cycle, when Godzilla flicks were occupying most of the studios time and money, and it's a little bit on the 'talky' side, veering away from special effects.  Still fascinating to watch, however.  Original storyboards show a much more spectacular production, on a scale equivalent to 'Mysterians' and 'Battle in Outer Space.'  The usual fun script  by Shinichi Sekizawa, and energetically-directed by Ishiro Honda.  It's lamentable 'Tokyo Shock' was not able to give us a super-DVD edition of 'Gorath,' one of the most ambitious and expensive of the 'space operas' that the Toho team created.",1376006400,,759,4.937007874015748
2289251,4,B0009G3BPG,"I expect Dogora to be a bit more destructive other than sucking up coal, diamonds, etc. I want to see Dogora grab a tank and throw it or constricting a fighter jet. The cover shows Dogora's design is quite cool, but in the movie it's in the clouds, not showing the full description of the monster. And the special features only showed an image gallery and trailers for other movies. Check it out.",1343779200,,396,4.438356164383562
2289252,3,B0009G3BPG,"I saw the English version on TV a few times as a kid...it left very little impression. It was extraordinary only in its mediocrity (and the hotter than hot Akiko Wakabayashi).

But seeing it in Japanese, I was surprised to find it was a pretty enjoyable action comedy that actually made me laugh out loud a few times. Unlike the dub, the original version is openly tongue-in-cheek. Robert Dunham's proto-otaku character is the big highlight (""Oh, edamame! Such a delicate flavor!"") in this odd hybrid of gangster spoof/old-school monster movie. If it remained as consistently engaging throughout as its first half, it would scrape classic-hood. The efforts to take down the titular monster take center stage in the later parts, and that takes attention away from the entertaining characters. As it is, it's definitely a worthy addition to your collection of creature features, and it has a killer score by Ifukube.

After seeing this, you'll likely want to become a Diamond G-Man, whatever that is. It looks like a fun job.",1333152000,4,1023,4.976608187134503
