,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2308682,3,B0009PAQNW,"Compared to other Colin Firth movies, this movie was very flat. I love period movies, and comparing to the likes of Jane Austin, this one pales in comparison. I had higher hopes for this film so was disappointed when I finished watching it.
The character of Camille was not well formed. She gave a sub-par performance. Firth seemed stilted and robotic at times.
The story line was a good one, and the potential for it being much more fleshed out would have made it much more endearing. So, it left me feeling like I wasted 100 minutes of my day.
So, chalk it up to one not so hot purchase.
I'll loan it to my daughter, with whom I LOVE to watch movies like this, but with a forwarning not to expect too much.
I would recommend saving the $$$ and watching Pride and Prejudice again!",1294704000,197,781,4.3561643835616435
2308683,5,B0009PAQNW,"Beautiful love storey with Greta Scacchi and Colin Firth.  They work beautifully together and the film is a delight to watch.  Its a simple story yet tragic...

Great to see an very under valued Greta Scacchi work as she is a class actress.",1291507200,103,240,4.534883720930233
2308684,4,B0009PAQNW,The movie was good by tv movie standards.  I liked seeing the young Colin Firth overacting in spots but all in all not bad.  Ben Kingsley was very good in the role of the father and would later work again with Firth in the Last Legion.,1231200000,,235,4.086956521739131
2308685,4,B0009PAQNW,"While it's true that the quality of this tape could be better, the performances are very good and the music is hauntingly romantic and absolutely unforgettable.",1208044800,,160,5.1923076923076925
2308686,1,B0009PAQNW,"I love to watch Colin Firth act so I bought this tape, twice.

The first purchase was labeled as used, but the quality was terrible.  It looked like someone had taped it from the tv, stopping at commercials, and then made hundreds of copies. This tape being the hundred and first incarnation.  So when it showed up in an auction as ""New"" I hoped for a better quality video.  Nope.  Poor quality just like the other.  Whatever you do, don't pay much for it.",1126828800,25,456,4.369047619047619
2308707,5,B0009PAQNW,Bought this as a gift for my wife. She loves it!,1427328000,,48,3.4545454545454546
2308708,1,B0009PAQNW,"Let down, no story we bought because I love Colin Firth movies, this is not his good one!",1426550400,,89,4.0
2308709,4,B0009PAQNW,Colin Firth is yummy in this film from very early in his career.,1425945600,2,64,4.0
2308710,4,B0009PAQNW,"Well-produced, acted, directed, etc. based on novel by Alexandre Dumas, fils. I don't know if I liked the story all that well, but gave it four stars because of the actors!",1425081600,,172,4.580645161290323
2308711,5,B0009PAQNW,Grat,1423353600,,4,4.0
2308712,2,B0009PAQNW,Sorry I bought it.,1421366400,,18,3.75
2308713,5,B0009PAQNW,Great!,1420761600,,6,6.0
2308714,3,B0009PAQNW,"Love Colin Firth, but movie was not one of my favourites.",1416873600,,57,4.2727272727272725
2308715,5,B0009PAQNW,Great love story!!!!,1412467200,,20,6.0
2308716,5,B0009PAQNW,This was a very touching story of star-crossed lovers who were betrayed and done wrong by family members.  Beautiful scenery.,1409270400,,125,5.25
2308727,5,B0009PAQNW,"-(`v)-Super selleroo,Very fast delivery & Item as expected!,ooThank youuu!-(`v)-",1405987200,,80,8.0
2308728,5,B0009PAQNW,all good,1404345600,,8,3.5
2308729,1,B0009PAQNW,"I love Colin Firth, love classic literature, love period film, but this was absolutely awful.  I was so sorry to have wasted the money on it.  the quality is poor, the acting is terrible, the script is just pathetic.  avoid!",1402790400,4,224,4.55
2308730,4,B0009PAQNW,"Thisis a story of love and loss, May December and family interference and approval. It was done well, Colin was so very young here, with his ginger hair(His real color),but he played a good role as the passionate young man with the heart as big as his stature. His hopes,dreams, commitment to both, are very good.",1402444800,,313,4.607142857142857
2308731,5,B0009PAQNW,Wonderful acting by the entire cast.  I enjoyed this movie very much it is a great love story I intend to watch it again.,1394928000,2,121,4.041666666666667
2308732,1,B0009PAQNW,"I am a big fan of Colin Firth, and before I saw this, I could not imagine how any movie in which he is a romantic and devoted lover could be bad.  The movie is loaded with great talents but that does not stop it from being dull.

Its weak script fails to persuade that the courtesan is tragic or that her young man is madly in love with her. The country girl runs away from the cruel father who mistreats her and, after some rough bumps in the city, stumbles upon a rich nobleman who wishes to treat her like a daughter. Although she appreciates his help and likes him, she chooses to be a courtesan. A different script could have made her choice seem interesting and conflicted rather than simply stupid. She also meets Armand, who is young and beautiful. Unfortunately, he is not quite rich enough to take her away from this life that she has chosen, much as he wishes he could.

Perhaps we are supposed to conclude that she receives what she needs too late and she is in too deep to be saved by love. But I found this telling of the classic story so irritating that just throwing the DVD into a trash bin was not enough. Hence, this review and the warning. Bad movie. Bad, boring movie.",1380412800,6,1189,4.275555555555556
2308733,2,B0009PAQNW,"I was very disappointed with this DVD, I am used to period movies that are much more interesting. I personally would not recommend, very cheesy.",1377129600,2,144,4.8
2308734,4,B0009PAQNW,I love any and everything that is in the Austin  genre.  Loved a young Colin Firth performance.  I enjoy all his works/endeavors.,1376611200,,129,4.7727272727272725
2308735,3,B0009PAQNW,"Don't look for P & P in this, as the cover portrays that romantic feel. it was a good enough watch for a rainy Sunday afternoon with nothing else to do. Colin Firth is VERY young in this movie, so if you are looking for the older, more distinguished look, you will be disheartened",1375056000,2,280,4.203703703703703
2308736,3,B0009PAQNW,This is a rather odd film. I didn't really like the leading lady but who can resist Colin Firth. The leading lady is very flakey.,1374710400,2,129,4.2
2308747,2,B0009PAQNW,I did not care for this story at all.  I love Colin Firth in Pride and Prejudice so purchased this thinking it would be another great movie with him.  But I did not like the story at all and couldn't even finish watching the movie because I dislike it so much.  Would not recommend.,1373932800,4,282,4.185185185185185
2308748,3,B0009PAQNW,I love the English dramas. This was a mediocre. But I will keep it in my collection of good English movies.,1367366400,2,107,4.142857142857143
2308749,1,B0009PAQNW,The acting was wooden and amateurish like a high school production. This movie did not resemble the product description. It was so bad that I only watched half the movie. Boy was I  duped.,1364083200,2,188,4.529411764705882
2308750,1,B0009PAQNW,I did not open it until I got here in Mexico City so I don't know if the disk was bad to begin with or whether it was scratched in the suitcase.,1362009600,,144,3.53125
2308751,3,B0009PAQNW,I was expecting more drama and mystery with such a good actor like Colin Firth.  The story lacked intrigue and romance.,1361491200,,119,4.666666666666667
2308752,1,B0009PAQNW,Thismovie was horrible! to sad to watch. i already gave my copy away. I have no desire to watch it again. a MAJOR let down to because i am a huge Colin Firth fan.,1360713600,,162,3.7941176470588234
2308753,1,B0009PAQNW,This was depressing and I did not like this movie.  It's one of those story lines that you hope will get better by the end and it did not.  Disappointed.,1359936000,,153,4.066666666666666
2308754,2,B0009PAQNW,I walked away from this movie before seeing the ending.  It was boring.  I did not like the sappy character Colin Firth played or the unfeeling tramp Camille was portrayed as.  I gotta fall in love with someone in the story in order for the love story to make me feel the passion.  Can I send it back for The Birds?,1358640000,2,315,4.114754098360656
2308755,3,B0009PAQNW,"I remember seeing this on tv when it first came out. My impression then was that Scacchi was a horrible actress who just sat on screen trying to look pretty. I had forgotten that Firth was also in it, so I'd say his performance was forgettable.

My tastes have changed so I was hoping that my take on the movie would also change. I love Dumas and know this to be a great story; however, this presentation of it falls short of the book. The movie lacks emotion. The viewer never gets a sense of Camille's motivation. She never becomes a sympathetic character. There is also very little chemistry between Firth and Scacchi. As the story relies on these two loving each other, this is a big blot on the enjoyment of the film.",1358121600,2,722,4.388059701492537
2308756,5,B0009PAQNW,"I like period stuff so this fit the bill.  Colin Firth is one of my favorite actors and I buy anything he is in.  There have been a few movies I didn't like but generally, his movies are good and much appreicated.  I especially like ""Pride and Prejudice"".",1355616000,2,255,4.270833333333333
2308767,4,B0009PAQNW,"My wife is Irish.  Love the videos. We like good Clean shows. Camille and Colin Firth were great.
We need more actors like this.",1355529600,,128,4.333333333333333
2308768,2,B0009PAQNW,"I am so grateful that Colin Firth became such a well loved acting figure. If he had stayed in the level he had achieved in Camille, he would be broke today. Yes, he was young, but there had to be better young actors at the time. I have a feeling he was chosen for this role because he was then, as he is now, mesmerising to look at.",1355011200,,332,3.8970588235294117
2308769,3,B0009PAQNW,Colin firth in his early years.  He shows his acting ability leading up to his academy award winning role in the King's Speech.,1353715200,,127,4.521739130434782
2308770,1,B0009PAQNW,"The disc was so tightly packed onto the center piece, that it broke in half while I was trying to ease it off of the center piece.",1352851200,,130,3.8518518518518516
2308771,4,B0009PAQNW,"(Spoilers ahead) I have waited for many years to see this on DVD and was elated to see it released in 2011.  I agree that the film did not fully exploit the talents of the superb cast, but the costumes and sets are well done, and--most of all--the story is true the fictionalized life of Marie Duplessis (by Alexandre Dumas the younger), the Parisian courtesan who died of tuberculosis in the early 1840s at the age of 23. (For opera lovers, this same story was turned into ""La Traviata."")

The reviewers who were ""shocked"" by the ""immorality"" evidently needed a lesson in history.  This film is a period piece.  The protagonist Marguerite was a courtesan--essentially a high-class prostitute.  What did they expect?  She was a ""companion"" for men of the upper-crust whose time was paid for in money, jewelry and other expensive gifts.

As a made-for-TV film of the 1980s, the budget (as mentioned) is not as lavish as a film from the silver screen, but the film still conveys the life of the aristocracy (the young lover was a duke and the son of a duke) and the demimonde in Paris of the mid-19th century.

If you are a fan of literature of the Romantic period or enjoy costumed films, you will enjoy this.",1346889600,15,1208,4.586046511627907
2308772,5,B0009PAQNW,this was one of three items that was received in record time and I am so satisfied with your service on my DVD orders.,1330905600,,118,3.9583333333333335
2308773,3,B0009PAQNW,"I liked this movie, but I do not like stories that end unhappily. Great acting and good photography. Just a very sad story.",1325116800,,123,4.391304347826087
2308774,3,B0009PAQNW,"This movie is only interesting for seeing a young Colin Firth. ""The world's greatest romance"" quote on the cover is misleading. The film/video quality is poor. The story is kind of flat and overall the characters failed to get an attachment out of this viewer. Maybe the book is better, since it is by Alexandre Dumas. I doubt I would recommend this to anyone, but it is watchable if you're interested. Be prepared for a bit of immorality.",1324857600,,439,4.641025641025641
