,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2423782,3,B000BMCY2Y,"I saw this movie many years ago and recently bought it on DVD. The movie is still as entertaining as ever but the movie was not remastered at all before being transfered to DVD.

There is a lot of 'noise' in the picture but even with that it is still a movie worth seeing.

When Hollywood remakes so many old movies why can't they pick something worthy of it such as this classic.

You may want to wait till after April 15th to see this though for obvious reasons.",1144281600,6,464,4.191011235955056
2423783,5,B000BMCY2Y,I loved this movie when it came out.  I'd like to know why it isn't out on DVD when a lot of utter drek is.,1119484800,2,107,3.28
2423784,5,B000BMCY2Y,"This is an interesting look at how the IRS has run away from the constitution that they are sworn to protect.  In this movie the IRS just lashes out at people because they MIGHT have something, and of course the IRS Court (which exists) rules for the IRS.",1085961600,5,255,4.3125
2423785,4,B000BMCY2Y,"Harry's War gets very little attention. This is unfortunate because it is entertaining and informative.
This film brings many real facts about the IRS to light. They do have their own special courts and are prone to abusing their authority. The Congressional hearings during the mid 90's showed that this film was not far off in depicting IRS abuse.
While the actual declaration of war and standoff in this movie are fictional, there are similarities between this and the Waco and Ruby Ridge standoffs. Of course, those standoffs were over different issues and involved people who attracted governmental attention for their extremist views.
Harry is different. He is a regular guy who gets driven to taking extreme actions because of the heavy-handed tactics of the IRS. This war of Harry's is a bit over the top, but that's what makes a film more fun than documentaries. Harry's speech at the end reaffirms his levelheaded nature to the world, and the IRS ends up looking bad before all.
As a piece of cinematography, this film is average. The acting, sets, editing, and soundtrack are all OK. One thing that makes this film special is that it dares to disparage one of the most powerful agencies in the US government. How many places in the world are there where you can get away with that? Also, this film ridicules notions of benevolent philosopher kings running government. Films like Dave and The American President focus on personalities- so long as nice caring people have power, all will be well. Harry's War avoids this kind of `Camelot' mythologization of government. One way to sum up Harry's war would be ""power corrupts, absolute power corrupts absolutely"".",1059782400,31,1671,4.950177935943061
2423786,3,B000BMCY2Y,"I was excited when the movie was finally re-released.  I had to watch it twice to figure out what was wrong.  Several chunks were hacked out leaving logical gaps in the action.  It's only 98 minutes, why the editing?  There was nothing objectionable with the original ----- Why?",1014768000,6,278,4.729166666666667
2423787,3,B000BMCY2Y,"This Very Poor Copy is Like Watching on a 1970's TV. Sad to see a wonderfully fun movie with such a poignant and timely message about IRS Oppression shown is such a terrible format. The VHS Tape I had many years ago had better video quality than this and I won't even go into the simply awful audio quality. I suppose that I shouldn't have expected a movie with a story like this to have been run through any kind of digital restoration for redistribution.

Even through the wavy lines, blurred picture and terrible audio the frustratingly realistic story of IRS and Government Oppression comes through clear as a bell and is as relevant in today's America as it was . This Movie should be required viewing for every American Student and Citizen",1452470400,,745,4.601503759398496
2423788,4,B000BMCY2Y,"Edward Herrmann, in his earlier years as an actor, gives a fine and believable performance as a Harry Johnson a young father separated from his wife and children. Even in his adult life Harry is his ""Auntie's"" little ""Buttons"" so when she has trouble with the tax collectors in her twilight years, she contacts ""Buttons"" to straighten things out. This is a is low-budget film, but excellent none-the-less and so relevant decades later, to the robotic, over-regulated government toadies that push pencils and wield their rubber-stamps like the knights of old mastered the sword. However, knights had honor. These power-hungry, small minded civil service monkeys have power without honor nor conscience. They are portrayed quite realistically and yet comically in Harry's War. A bit of trivia (and something that adds to the movie in more recent viewings) Harry's War was filmed in Saint George, Utah, the backdrop for many westerns. When I first saw this show in 1982, I had no idea this town existed. Eight years later my parents retired there and while driving around, an elderly friend pointed out where the actual scenes and explosions were filmed. The foundation of the house in the movie was still there. More than thirty years later, there are residences all over that hill. I wonder if any of these new people realize a movie was filmed in their back yards.",1449014400,,1364,4.960698689956332
2423789,5,B000BMCY2Y,"This movie tells the truth about the IRS, and how the tax is totally voluntary.  I saw it in the movie theater when it first came out, a long time age.  When the movie ended, the entire audience in the theater gave it a standing applause.",1447632000,,238,4.1521739130434785
2423790,2,B000BMCY2Y,This movie was a bit of a stretch. It had a little too much violence to be real funny. The bias against the IRS a lot of us can agree to but the methods used to combat this agency were a bit strange. Why Harry's wife came back to him was because the script writer thought that would be cute and not because it made any sense.,1446681600,,325,3.8656716417910446
2423791,4,B000BMCY2Y,"Entertaining.  Throughout space and time, the IRS continues to abuse us.",1445558400,,72,5.545454545454546
2423792,5,B000BMCY2Y,An old classic that is as funny and relevant now as it was years ago.,1441238400,,69,3.6666666666666665
2423793,5,B000BMCY2Y,"I saw this movie years ago and had to have it on dvd.
This movie is a great family movie, in my honest opinion!
I do not want to spoil this movie for anyone so my synopsis will be only a couple of lines.
It involves an older lady, a middle aged man with wife and children and the I.R.S.
The movie does an excellent job building the characters on screen.
There is NO foul language!  The story line may be above really young children.
I believe this movie will give Christian and Patriotic families a few chuckles.
The only thing about this movie is how frightening it can be when compared to recent events!",1437177600,,605,4.260869565217392
2423794,4,B000BMCY2Y,"I saw this as a teenager.  My memory is that it was a bit better.  Still, it is a funny, fantasy guaranteed to delight anyone who buys it.  In other words, if you're interested enough to consider, you will like it.  Besides. David Ogden Stiers plays the bad guy . . . and ""Major Charles Emerson Winchester"" gets his in the end.",1433462400,,327,4.225806451612903
2423795,4,B000BMCY2Y,ok,1429315200,,2,2.0
2423796,5,B000BMCY2Y,Everyone should see this movie at least once a year. Edward Herrmann is wonderful.,1426377600,,82,4.928571428571429
2423797,5,B000BMCY2Y,"Fun and funny movie, and a great message too!",1424476800,,45,4.111111111111111
2423798,5,B000BMCY2Y,I enjoyed the movie.,1420329600,,20,4.25
2423799,2,B000BMCY2Y,"As believable as Gilligan's Island and every bit as well-acted, Harry's War managed to take the kernel of a great story and reduce it to the farcical. Geraldine Page plays a ridiculous character who gets crosswise with the IRS. Her old friend (Herrmann) visits her and things go immediately downhill. While a solid message keeps attempting to take hold of the movie, the ludicrous, cartoon-like IRS agents, Army personnel, and press corps keep dragging the story back into absurdity. Harry's speech at the end is great--and even more germane nowadays--but you have to endure 1:45 of cringe-worthy, low-grade situation comedy stupidity to hear it. Save your money and time.",1420243200,,672,5.174311926605505
2423800,5,B000BMCY2Y,This is an unbelievable story about the IRS.  Only bits and pieces of the corruption in our government and this organization have barely scratched the surface.  A real eye opener!,1419724800,,179,4.933333333333334
