,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2561340,5,B000FDEVA2,"A wonderful story of love and protection, with an exceptional cast. The world is a much sadder place for the loss of Robin Williams.",1500681600,,132,4.541666666666667
2561341,4,B000FDEVA2,"Robin Williams and Holly Hunter are a unusual pair. The story was funny, touching and I liked it. A good film!",1500336000,,110,4.285714285714286
2561342,3,B000FDEVA2,"Great cast. Movie was well made. Kind of a dark comedy, drama. I found it interesting, and think a lot of people would enjoy watching it.",1500076800,,137,4.3076923076923075
2561343,2,B000FDEVA2,"I'm a total Robin Williams fan and immediately added this to my playlist to watch, but was so disappointed.  The movie started off a bit slow and the storyline sways around a bit.  As you can see in the movie summary itself its about a man who has a wife which appears to have a mental imbalance and needs money for meds.  Problem I had was there were assumptions that she was faking it and we never got the answer if she was sick or not.  Seemed like the movie was patched piece to keep a plot going.  Sad, sad, sad.

For starring a few A rated actors the director surely didn't have a good story line to keep me awake, although I stayed with it to the end in hopes it would have gotten better.  It didn't.

So this is fare warning for those reading my reviews I'm giving you a choice to save yourself time in your life to watch/read or do something else.  :(

Maybe I just missed the entire plot line itself and may have the courage to give it another whirl.",1499299200,,960,4.112903225806452
2561344,5,B000FDEVA2,"Thank you, Robin Williams. Great cast. Super script and direction.",1499212800,,66,5.7
2561345,2,B000FDEVA2,"It tried to be like Fargo but fell short.  I don't hate myself for watching it, but I'm not going to remember this movie either.",1499126400,,128,4.12
2561346,5,B000FDEVA2,Another hilarious movie.,1499126400,,24,7.333333333333333
2561347,4,B000FDEVA2,"A great little dark comedy, with stellar acting. I would compare it to the movie Fargo, were I give Fargo five stars this would be four. Great makeup effects.  It does drag in places but then I could not help laughing in others. If you like dark comedy and good acting this movie is for you on a down night looking for something good to watch.",1498694400,,343,4.196969696969697
2561348,2,B000FDEVA2,"Holly Hunter dies. There, now you know. Even though set in Alaska among a very white background, this is a dark and disturbing movie. It is not a comedy! A down and out businessman scams his insurance company out of 1,000,000 dollars so his sick wife can get help. Well, have you ever heard about Medicaid! That's what they do, help poor people get medical treatment. No need to scam insurance companies, get beat up, commit a felony, freeze half to death and then half your dimwit brother murder your wife, Holly Hunter. The actors must have needed the money, no wonder I never heard of it.",1498608000,,591,4.5327102803738315
2561349,3,B000FDEVA2,Gave it 3 stars because I stuck with it to the end. Never saw anything Robin Williams did that I didn't like - except this.,1498435200,,123,3.96
2561350,5,B000FDEVA2,"Holly Hunter was adorable in this movie...who wouldn't love to have a cute little wife like her? (I'm a so-so wife) I have only laughed at 3 comedies ever: Major Payne (because I'm a nurse) Step up (because I'm a nurse)...and the third one is...on the tip of my tongue...but, it was just funny. And....this one. I have never cared much for Robin Williams, I never really thought he was funny, just annoying...and manic. However, he was exceptional in this movie, and I belly laughed a few times! SPOILER ALERT: I was laughing so hard, I about peed myself when he was trying to shoot his brother.  I couldn't wait to see how this could possibly end.",1498435200,,648,4.538461538461538
2561351,1,B000FDEVA2,"Don't waste your time on this! I can't believe it has an overall high rating, it's just a stupid, preposterous, boring story!",1498348800,,125,4.7272727272727275
2561352,1,B000FDEVA2,"Poor material like this, with marginal performers, gets released.
A weak story with dull characters from people that tell the rest of the world how to live.
It was free... but still a loss.",1498262400,,189,4.588235294117647
2561353,5,B000FDEVA2,Great story and superb acting. Well worth the watch.,1489449600,,52,4.888888888888889
2561354,5,B000FDEVA2,GREAT MOVIE,1489449600,,11,5.0
2561355,5,B000FDEVA2,"Robin Williams is a man that is missed by me, every day",1487980800,,55,3.6666666666666665
2561356,5,B000FDEVA2,Favorite movie!,1457308800,,15,7.0
2561357,5,B000FDEVA2,"Funny, ridiculous, very entertaining!!",1453766400,,38,8.75
2561358,5,B000FDEVA2,"Not so well-known films & definitely entertaining. The Big White features many actors & actresses like Holly Hunter, Robin Williams, Giovanni Ribisi, & Woody Harrelson.

Fifty Pills is about a college kid that gets screwed over by his douche-bag dorm roommate. If you have seen Reality Bites (Hawke, Ryder, Zahn, & Garofalo)  & 1969 (Downey Jr., Sutherland, & Ryder), this is recommendable ."",",1445385600,,393,5.222222222222222
2561359,3,B000FDEVA2,good,1444262400,,4,4.0
2561360,4,B000FDEVA2,I like most of his movies.,1440547200,,26,3.5
2561361,3,B000FDEVA2,I kind of expected more from Robin Williams In this film. This certainly wasn't his best film and perhaps he just needed another pay check and accepted this role for an average movie. No regrets about having sat through this movie but it will be a very long time before I watch again. Once was enough,1440115200,,300,4.375
