,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2613520,4,B000GI3RGK,"""Abominable"" , from IDT/Anchor Bay Entertainment, is the newest entry in the ""Sasquatch Horror"" genre and it is a good one; clever , inventive, and well crafted by first-time director Ryan Schifrin, the son of legendary (think theme from ""Mission, Impossible"", among countless others)

television and film composer Lalo Schifrin...who DOES the musical score for his offspring's debut effort. And some other Schifrins get involved in all these doings, as well, as you'll discover if you carefully scan the credits. This almost has a flavor of a Schifrin family effort.

In this case, nepotism works just fine, thank you, as ""Abominable"" is one of the best ""killer yeti on the loose"" fright flicks ever put before the public. It is scary, it is suspenseful, it is tense and frightening, and sometimes it is funny as hell. There are puns and homages all over the place here, and borrowings from iconic moments in other classic feature films. Remember Kong hauling up Fay Wray & Bruce Cabot on the liana vine as they tried to escape down the cliff from him? Well, turn the vine into a climbing rope and slip another blond into some repelling gear and you get a fair approximation of that 1933 visual. And Roy Scheider declaring that the shark hunters need ""a bigger boat"" in ""Jaws""? Well Matt McCoy thinks he needs ""a bigger knife"" here with Mr. Eat-Em-Up coming after him.

The story line itself is a smart composite of several movie plots. It is a bit like you put the old 1970s Clint Walker/Bo Svenson t.v. movie ""Snow Beast"" through a cinematic blender with ""Rear Window"" (more the Christopher Reeve version than Hitchcock's original), the classic blind-lady-versus-hired-killers Audrey Hepburn vehicle ""Wait Until Dark"" , and, as the director himself points out in a very good little ""making of..."" short, of the well known original ""Twilight Zone"" episode ""Horror at 20,000 Feet"", the one with William Shatner trying to make people believe him when he tries to tell them about the gremlin he's spotted out on the plane's wing.

This story has Matt McCoy playing one Preston Rogers, a rich man who...until six months ago...was an avid mountain/rock climber, along with his wife. Then one day that all ended when a safety line broke and the two of them fell off a rock face. The wife was killed and Preston broke the small of his back. He is now a paraplegic; paralysed from the waist down. He has come home from the hospital to try and acclimate himself to living in his mountain house with its high, steep steps and wrap-around upper deck. Accompanying him for this ""trial run"" is an overbearing, obnoxious, patronizing jerk of a male nurse named Otis (Christien Tinsley) who is largely dismissive of anything Preston has to say.

Across the way from Preston's chalet (this road is a cul-de-sac that winds uphill from the main county road) is another house , this one basically a summer vacation home that is usually unoccuppied.

Today it is NOT unoccuppied , as an SUV of giggly girls pulls up (one's relative owns the house) and they begin to unload for a getaway weekend.

Bad idea, chicklets. You'll NEVER guess what's on somebody's supper menu!!

So the stage is set for a night of terror.

Other plot elements involve :(One) an attack on a local farm where a 1,200 lb. quarter horse is killed and a couple terrorized inside their own home by something huge that leaves massive humanlike footprints outside in the dirt (this is a straight-up tip of the hat to Charles Pierce's ""The Legend of Boggy Creek"" and some of Pierce's ""night seige"" segments from that film), and, (Two) a night-time hunting party sequence whereby Lance Henriksen, Jeffrey Coombs, and Rex Linn go ""booger hunting"" and end up wishing they never had.

Some amusing elements to the story center around the county sheriff, played by Paul Gleason shortly before his untimely death; a man who has no use whatsover for ""monster stories"". It is around Gleason's character, and the town he serves, that a bit of an inside joke is constructed. Why screenwriter Ryan Schifrin chose to do this, I don't know, but he named the fictional town where...nearby...the bulk of our story takes place. FLATWOODS. And the creature being spotted and reported by the locals has been dubbed ""The Flatwoods Monster"" (...and Gleason's character adamantly doesn't ""believe in no Flatwoods Monster""!). Well, if any viewer is not familiar with that term they can Google it and get themselves an education. In the early 1950s, some UFO sightings around the town of Flatwoods, West Virginia , resulted in some citizens encountering a terrifying ""something""...like a robot-looking monster...on a ridge just out of town. A similar something was also seen an a back road by some motorists soon after. This ""robot-monster"" incident came to be known in UFO/paranormal circles as ""The Flatwoods Monster"" and is well known to this day (the real town even has a festival centered on every year, just like Point Pleasant observes its ""Mothman"" anniversary). Young Schifrin has opted to put his tongue in his cheek here and play with the Flatwoods legend, but I'm not exactly sure why...unless he is playfully hinting that maybe sasquatch comes from outer space.

One last element of interest here is the LOOK of Schifrin's ""booger"". It generally passes muster as a Squatch, a yeti, a bigfoot, or whatever...from the neck down. Eyewitness encounters over many years have described a real (yes, I think so) Squatch as looking like a facial cross between a human and a gorilla (and NOT like a human and an orangutan, as in the case of ""Harry Henderson""). Well, THIS critter here doesn't look anything like EITHER of those descriptions. It looks like some kind of god-awful take-off on something you'd have seen in old EC Comics (like ""Tales From the Crypt"") back in the fifties, or, as one reviewer here has so shrewdly observed, like an exaggerated caricature of JACK ELAM! It is almost all jagged teeth, but...there is something about the eyes, eyelids, and set of the nose that DOES make you think of Jack Elam

(could this be an homage to ""Creature From Black Lake""?).

That Schifrin KNOWS that the Squatch SHOULD be much more apelike facially is proved by the fact that he sits for his ""special features"" director's interview with a ZINJANTHROPUS skull reconstruction on a table beside him, which says something because many anthro types believe the Zinjan skull is very similar to what a GIGANTOPITHECUS skull should look like, and a prevailing school of cryptozoological thought holds that a squatch

may well BE a gigantopithecus variant. Also of interest is that the same skull in Schifrin's interview is shown on the floor of the Squatch cave in the movie as Lance Henriksen is shining his flashlight around.

All this focus drawn to this zinjanthropus skull and yet the depicted killer creature in the flick bears this no resemblance whatsoever.

Odd...but of no real ultimate import. The movie stands or falls on its own telling of its story and in that it does a great job. Kudos to Ryan Schifrin for a good first time out of the gate. Keep it up, Kid, and you'll be a star!

""Abominable"" is anything BUT that, and I recommend it highly.",1160265600,6,7187,4.849102773246329
2613521,5,B000GI3RGK,"This is a movie all wanna be filmmakers need to see. This movie is fun, gory and really the best Bigfoot movie created as of yet.",1159920000,,129,4.0
2613522,1,B000GI3RGK,"This review is for the unrated version shown at a recent horror movie convention.  It was good to see Lance Henriksen and Jeffrey Combs working together and obviously enjoying themselves, but I would advise you to run screaming the other way from anyone suggesting this is a good movie.  The ending is stupid, the scares don't work (how in the world did this movie scare anyone?), and the whole `Rear Window' feel came off cheap and stupid.  I don't fault a movie for working with a low budget, in fact, some of my more favorite movies like `A Chronicle of Corpses' and `Ginger Snaps' had shoestring budgets and still came out with intelligent and frightening movies.  The writers of this movie had a lot of talent to work with and they chose to squander it and make a slasher movie starring a Bigfoot as the maniac.  In this case, showing the monster was a huge mistake.  It would have been more effective if the audience only saw the tracks, hair, and shadows of the creature.  The Bigfoot looked bad, I mean really bad.  Save your money, this is not scary and it's definitely not worth seeing.",1159747200,4,1096,4.5561224489795915
2613523,4,B000GI3RGK,"I actually saw this film in the theater and was just graphic enough to be funny and entertaining. I will own this movie when it comes out. I can't imagine the edited sci-fi channel version of this being near as good as the hard ""R"" I saw in the theater. This is one of my favorites of the year and I had high expectations going into this since I drove 300+ miles to see it.",1156204800,6,373,3.986666666666667
2613524,4,B000GI3RGK,"This movie was crazy! I mean crazy! I watched it on T.V. Late at night and I nearly had a heart attack! I haven't seen a Bigfoot movie this action packed ever! I was so scared and excited that I almost supplexed the yeti living next to us. The only thing is that our neighbor is a benevolent yetti and usually lets us borrow stuff so i decided against harming him. But I have to give a thumbs up to the party involved in making this movie. It is by far, the greatest sasquatch movie I have seen, and I hope there is a sequel, I also hope to buy it if it comes out on DVD. The only reason I didn't give this movie 5 stars is because I currently do not have the movie in my possession.",1153267200,5,683,3.920863309352518
2613525,3,B000GI3RGK,Its not the best movie but its not the worst.  it came on sci fi one night.  and it makes bigfoot totally opposite than what he/she really is.. juss watch it for yourself.  but they couldve made the movie a little bit better..,1152662400,,226,4.209302325581396
2613539,3,B000GI3RGK,It's not intended to be a bad movie. However... It's a stupid movie but it makes me giggle. The Yeti looks like a celebrity I won't dare mention here. If you mute it and make your own voices its even funnier. I think this is the real purpose of B-rated movies!,1449360000,,260,4.117647058823529
2613540,5,B000GI3RGK,"Wow! I saw thgis movie when I was a kid on the Sci-Fi channel (now Sy-Fy) and it was just awesome. Stumbling on its picture I remembered how much I loved it. Now that I'm a decade older and have about 200 movies in my collection I appreciate this film so much more! This movie is truly 5 stars, want to know why?

Why this movie is 5 stars
1) Starts the creeps immediately
2) Has plot, reminiscent of Alfred Hitchcock's Birds but still not like it for those who don't like Hitchcock
3) Cliche enough to laugh at as creature feature lovers like me want but has great twists
4) Matt McCoy slams this movie with expression, drawing you in
5) And most importantly, a yeti bites a dude's face in half. Enough said.

The movie is suspenseful,  expressive, and gorey in all the proportions. It's not mindless but not thought provoking. This is creature feature as it was meant to be. You must see it to believe it.

Best monster mash style movie in years",1449273600,,947,4.333333333333333
2613541,5,B000GI3RGK,Awesome awesome color and acting!  This horror movie stands above many horror movies because it is classy with classy actors!!,1448496000,,126,5.3
2613542,5,B000GI3RGK,I paid to much but I wanted it,1447286400,,30,2.875
