,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2718001,5,B000M0K51M,You get a great workout with this video! Its a challenge but its do-able and you'll definitely feel it the next day! I have always been a fan of Core Secrets and love the workout!,1363910400,2,179,4.142857142857143
2718002,5,B000M0K51M,"An evenly-paced, efficient workout. You just need a pair of dumbbells. Get them and then you're set.",1247184000,9,100,4.9411764705882355
8165497,4,B000M0K51M,Gunnar Peterson is an excellent instructor.  The exercises are easily followed and effective.  I wish he was still producing work-out videos.,1467331200,,141,5.666666666666667
8165498,4,B000M0K51M,Just hard enough for someone starting to get into shape. The 30 minute workout is good for a busy schedule. I wish the girls in the video would stop trying to get attention by making unnecessary comments.,1465862400,,204,4.54054054054054
8165499,5,B000M0K51M,All of Gunnar's DVD's are wonderful to exercise to. Thanx Gunnar.,1461715200,,65,5.0
8165500,5,B000M0K51M,really good workout DVD.  I've had it for over 7 years and still use it when I don't want to hit the gyn,1439942400,,104,3.5217391304347827
8165501,5,B000M0K51M,"If you are young and have good muscle tone this may be to easy. I enjoy it and it is a good workout for me, I am 64.",1428537600,,116,3.1785714285714284
8165502,1,B000M0K51M,Was a copy and when playing the DVD it was jumping all over the place. Very disappointed.,1418428800,,89,4.294117647058823
8165503,5,B000M0K51M,Gunnar Peterson never fails!! Great workout!!,1407888000,,45,6.666666666666667
8165504,5,B000M0K51M,"Kick Butt workout!! I love core secrets i have most of his videos it's fun to mix and match the dvds, I like how it combines weights and core work out to build a strong sexy body!!",1396224000,,180,3.891891891891892
8165505,5,B000M0K51M,One of my favorites of Gunnar Peterson's Core Secret Exercise Videos.!!!  It is a really great workout video.  I love it.,1383782400,2,121,4.714285714285714
8165506,5,B000M0K51M,"He is by far my favorite trainer!  He modifies every workout for any beginner, and challenges the advanced.  Plus he has this way about him that you just fall in love with, which makes it easy to WANT to pop in one of his DVD's and get a good workout in!  Two weeks in... 1 inch off my post pregnancy belly.  LOVE IT!",1373241600,,317,3.984126984126984
