,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2824998,4,B000PKG6OY,"During the first few minutes I thought Cocteau's Les Enfants Terribles seemed like an odd choice of novels to adapt for a director known for his low view of human nature but that is only because I was not all that familiar with Les Enfants Terribles. The title should have given me a clue but I realized as I watched that Cocteau also is very interested in exploring man's and woman's less seemly side. Furthermore, Melville's gritty noir sensibility is every bit as much on display here in this coming-of-age story as it is in the noir masterpieces that came later. In this adaptation of Cocteau's novel Melville ruminates about the insular world of a brother and sister whose precocious and despotic imaginations are destabilized only by uncertain desires. The two teen siblings are Paul, an ultra-sensitive student who is infatuated with another male student named Dargolos, and Lise, his sister, who has been forced to stay at home to care for their ailing mother. There is an obvious and deeply disturbing symbiotic bond between these two and the unwholesomeness of the bond is immediately apparent. Though they are young there is nothing youthful or innocent about either of them; in fact, much of the time, they seem to act like little blonde fascist versions of Elizabeth Taylor and Richard Burton--as with Taylor and Burton for these two cruelty and seduction are indistinguishable. Just how depravedly selfish these two are, or might be (again, the extent of their depravity is never made explicit) might disgust some viewers. (If the incest topic makes you queasy you should probably stay away from this.)  But even viewers who can handle the topic might be frustrated that Melville does not give us the proper amount of background information on these two to allow us any real depth of insight into the evolution of these two tormented psyches. To be fair, though, Cocteau was writing before Freudian psychoanalysis and the idea that we needed fully fleshed out case histories to understand individual or symbiotically joined psyches had become part of the common culture. As it is Cocteau and Melville only give us bits and pieces of Paul and Lise's psyches and all we can do is make assumptions about what went wrong.  Whether the cause of their rapid slide down the slippery slope of narcissism was lack of a tutor to socialize them or just a result of their having received an overabundance of  creativity and beauty at birth remains a mystery to the end. And we can never say whether Paul's infatuation with Dargolos and then the later infatuation with Agathe was an attempt to replicate his bond with his sister or to escape it. All we really know at films end is that the strange bond that exists between Paul and Lise prevents either of them from bonding with anyone outside their own mutually imagined realm. They do invite two guests to live with them (or, I should say, the two are seduced by Paul and Lise's depraved behavior) but they are welcome only so long as they play by Paul and Lise's very exclusive rules.

There is plenty here even for the casual Freudian and those who think deeply about such films will no doubt come up with their own plausible solutions to this brother-sister mystery but, it seems to me, one can only guess at Cocteau's and Melville's intentions--and I think this lack of explicitness is intentional. I can't help presuming that Cocteau is making a point about creativity and dissent and how asocial (anti-bourgeoisie) desires lead to psychological depravity but that judgement relies upon a value system that I do not think Cocteau and Melville necessarily share with the rest of society. More likley its just their own creative prerogotive to acknowledge that such states of desire exist outside the normally sanctioned channels of being.

In any event, this is a very creative film that will elicit a variety of responses from Freudians and anti-Freudians alike (I'll be curious to read future posts here).

Note: If this kind of thing is your kind of thing you might also like Volker Schlondorff's adaptation of Musil's Young Torless as well as the fictions of Edgar Allen Poe, Thomas Mann, Andre Gide, & Paul Bowles.",1185321600,36,4176,4.85814606741573
8192214,3,B000PKG6OY,"A 26-year-old actress (who looks like Harpo Marx) and a 24-year-old actor playing incestuous TEENAGE siblings was a BIG mistake and seriously compromises the believability of the film. Their advanced ages was a major distraction for me. The music worked nicely. More character background was needed. Much of the film doesn't make sense, i.e. Elisabeth's sudden marriage to an American Jew came out of nowhere (even though she's obsessively/possessively attached to her brother Paul, who for me, over exaggerates his mysterious illness to get attention--when provoked, he's as energetic and athletic as any man). The reputation this film has by some as a minor masterpiece is dead wrong.",1472342400,,686,5.361111111111111
8192215,5,B000PKG6OY,"I purchased this movie for my collection of foreign films. I have seen it several times, and every time I have been touched by the story.",1447200000,,137,4.3076923076923075
8192216,5,B000PKG6OY,"Under Jean-Pierre Melville's direction, Jean Cocteau offers to us his adaptation of ""Les Enfants Terribles"" (The Terrible Children), a popular French novel he wrote and published in the 1920s. The story of two teenagers, Paul and Elizabeth, and the mind games they play as brother and sister since the death of their father and, eventually, of their mother. Games that ironically reflect their parents' troubled marriage, but also allows them to escape a cruel reality. Though their playground dives into a path of no return as certain actions and people appear in the story and truths are revealed. A plotline I wouldn't want to reveal more, but which I consider a classic of French cinema. Not an incest story as some people have said, but instead, as Cocteau explained during a documentary available on the Criterion release of Orpheus, a story between two family members who shut themselves from the world and get together into their family cocoon. Their universe.

Of this movie collaboration between two talented filmmakers came an important question. Are we dealing with a Jean Cocteau movie or a Jean-Pierre Melville work? In a ""credits"" sense, this is a Jean-Pierre Melville film. But as many film viewers know of Cocteau's influence on the script, the dialogues, the set designs, a cinematography, and an editing work more frenetic and much closer to Hitchcock, many have felt this movie as Cocteau's work. It is even a debate that comes up in the Special features of this DVD as Experts discuss during an exhibition of Cocteau in Paris, while friends and collaborators of Cocteau try to answer that question. Among them, one of the producer even said that Melville almost renounced that movie. But personally, I think this movie is a collaborative partnership. That is of Melville as producer and director of a movie where Cocteau's dialogues, cinematography, and artistic input enriched and influenced Melville's camera. Therefore I think we are dealing with a Melville-Cocteau co-production.

Regarding the movie's storytelling, the work is as rich as Cocteau's work, but instead of setting it in the 1920s, Cocteau put his story into the 1950s as he felt only Christian Berard, who had passed away, could have reproduced the 1920s. A decision that had disappointed Melville, but which I think makes his story a timeless fable that could be transposed in any time period. As for Melville's musical choices of using Bach and Vivaldi's concertos, I felt the story became epic and reminded me of the eighteenth century. A time period Nicole Stephane found Cocteau very close to in his storytelling and his philosophy. And with Cocteau's narration, I couldn't help getting touched by this wonderful gesture as phrases from the novel became alive under the poet's voice. Transforming the story into a grand masterpiece that we had the chance of uncovering.

Of the actors, everyone gave a wonderful job. Including Edouard Dhermitte, who was Jean Cocteau's lover. Now I know that in the DVD's leaflet and in Jean Marais's autobiography, Melville and Marais considered Dhermitte an actor with weaknesses. Without the proper experience to pull the roles Cocteau had cast him in. Regarding Dhermitte's abilities in this movie, I do not quite agree. For if as an actor he is no Lawrence Olivier, he has nevertheless a perfect chemistry with his co-stars that are Nicole Stphane, Jacques Bernard and Rene Cosima. By the way, their chemistry together was so perfect that, as Jacques Bernard said during an interview for Objectif Cinma, all four of them became great friends after the film's shooting. Which is exceptional in cinema. And between Stephane and Dhermitte, I don't think any other actors could have the passion and energy those two had as brother and sister. Indeed, whenever I read the novel, I can't help visualizing Nicole and Edouard as the sole and unique figures of Paul and Elizabeth. And with all four of them together, this central quartet becomes a four leaved clover that makes their scenes perfect.

In its special features, I mentioned the Making of describing the movie's production and the Cocteau-Melville debate, but we also have an interview with Nicole Stephane for TV5, where she reminisces on the movie's production, her defense of Cocteau, and how she defended him after Melville had insulted him. It is a lovely feature that reminds to us how as a poet, Cocteau had touched and moved all those who had worked with him.

In the end, this movie is a great pinnacle in both Melville's and Cocteau's cinema.",1437264000,,4539,5.030585106382978
8192217,4,B000PKG6OY,"Don't expect the old stable conventions of plot and coherent characterization in this film. Based on Cocteau's 1929 novel, Jean-Pierre Melville's film captures the surrealist spirit in which audiences are encouraged to reflect on different levels of reality, as well as consider their own role in the mise-en-scene. The cinematography is brilliant: some of the shot-compositions are truly memorable in their use of light and shade. Maybe you need to view the film twice, if not thrice, to appreciate its qualities.",1345680000,,514,5.3580246913580245
8192218,4,B000PKG6OY,"It took time to build, but when things got really rolling, I felt things could not happen otherwise. The settings and actresses are truly fine. The musical score, simple and obsessive, is perfect for this almost naive plot of youth angst ""avant la lettre"". The final monologue of Elizabeth about ""how we have to make our lives ugly, unlivable"" is worth many bad French Literature we ""ought to read"".

While I cannot say it has any meaning, the ""form"" of this movie is so good one just forgets. I agree with Amazon's Tom Keogh that it may be ""a harbinger of pop narcissism"", I thought exactly the same. Some images are beautiful, like Liz moving in the garden with barren trees and a cloudy sky, prodding elegantly in a house that doesn't belong to her.

Doug Anderson on Amazon wrote a good summary and a great line: ""the unwholesomeness of the bond is immediately apparent"" ""little blonde fascist versions of Elizabeth Taylor and Richard Burton-"". The thread he and another reviewer have is interesting. I pinch from there my end line: ""In film the ""how"" is everything"".",1238630400,,1071,4.721925133689839
8192219,4,B000PKG6OY,"1.)This is a terrific film for anyone fond of Cocteau or anyone fond of the screwed-up nature of human beings. Who's Afraid of Virginia Woolfe? might be more human, more passionate and more real, but this film is an appropriately stranger, whimsical tragedy. It's enjoyable, the DVD is very fine. The Orphic Trilogy is Cocteau; it demonstrates his failure as a director and success as an eccentric artist and I enjoy it (them.) Yet only when Melville acts as foil does he become the master by being a servant.

OR

2.) Good... Not too weird, not too normal. Good. A nice pack of adequate French cinema and twisted Cocteau fantasia. Don't we all love the Dargelos persona? Isn't it a nice manipulation of victory over fear by re-designating the symbolism or the perception of symbolism assigned to the people involved in our lives; or relationships. Huh? Yeah. It's pretty good. Thank the Lord it's on DVD in the US. America could use some decency.",1189900800,,947,4.7682926829268295
8192220,2,B000PKG6OY,"This is a film I wish Jean-Pierre Melville never made. It's so removed from his milieu that I can't help being reminded of Alfred Hitchcock's involvement with the romantic comedy, MR AND MRS SMITH. It seems, however, that Melville wanted to do it so he has only himself to blame.

Here we are treated to a couple of overbearing teenagers orphaned early in the story -- but that doesn't seem to be the cause of the siblings troubles. Their story in the first part of the film is mostly confined to their shared bedroom in which torment each other at the top of their lungs. Some people are fascinated by this psychopathology, but it was pure hell for me.

Nicole Stphane as the sister has been revered for her performance -- yet I found it constantly over-the-top. I tolerated the performance of the actor playing the brother, Edouard Dermithe, better -- while he was roundly jeered by the critics. No doubt, cuz I don't speak French, I am reacting to only part of his performance.

An hour into the movie, and 46 minutes before the end, the film finally opens up and shows some momentum. That's about the time the American appears. He sings a pleasant ballad with a pleasant-enuf voice. Then the film begins to descend again, but it ends before it sinks to previous depths.

Jean Cocteau's source novel is considered a classic. Many people rank this film as a classic. That may be all you need to know about it.

If, like me, you want to see everything Melville did, than you have already decided to see this film. Just be aware that it is nothing like Melville's others ... I'm happy to say.

(To sample Melville, try his masterpieces -&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Army-of-Shadows/dp/B000NOK0HG/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Army of Shadows</a>&nbsp;or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Le-Samourai/dp/B000AQKUG8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Le Samourai</a>.)",1188086400,9,1943,5.396039603960396
8192221,3,B000PKG6OY,"""Les Enfants Terrible"" is a collaboration between one of France's greatest authors, Jean Cocteau, and one of its greatest directors, Jean-Pierre Mellville. It should be, and according to many, is, a superb, excellent film. But to me there was something... missing. I don't know what.

The plot of the movie centers around a brother and sister who have an unusually close relationship. It's not made clear in the movie if it's an incestual relationship, but the overtones are certainly there (indeed, when they make references to the ""games"" they play, one can easily substitute the word ""sex"", and remove all doubt).

Both children, apparently around sixteen, spend a great deal of time isolated in the room they share, and woe betide anyone who invades their sanctum. All is reasonably well until the sister marries a wealthy man, who soon dies, giving her, her brother and their friends a large house to live in.

From a technical standpoint a lot to admire in this film. There's a great deal of poetry in the visuals, some wonderful acting, and some powerful dialogue. But for me, as I said, something was missing. I'm not sure what it was. I SHOULD have liked this movie more than I did. Perhaps on subsequent viewings, I will like it more.

For now, though, it gets three stars. But at least it's a SOLID three stars, and I certainly don't feel as though I wasted my money by buying it.",1188000000,11,1391,4.711934156378601
8192222,5,B000PKG6OY,"This restoration is awesome. As for the eternal, unresolved debate over whether this is ""a Cocteau Film"" or ""a Melville Film""--I consider it to be Cocteau's masterpiece. That's not easy to say when you consider ORPHEUS and LA BELLE ET LA BETE, is it? Look what we're getting in pristine condition: Cocteau, Stephane, Dermithe AND Bach/Vivaldi...wow",1187827200,,348,5.232142857142857
