,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3049628,5,B0010PI72M,"Simply a fantastic horror film and highly recommended for those interested in small,  local films.  Joseph D. Durbin is a terrific young actor and should have been named  one of the headliners of this film.  The film industry should take note of the special,  unique, potential and talent of Joseph D. Durbin.  Hats off to Joseph D. Durbin for his role in this film, A+, 5 star performance.",1210032000,,390,4.661764705882353
3049629,5,B0010PI72M,"congratulations!

Another remarkable piece of work by the multi-talented Harry and his crew.  ""All Hallows' Eve"" is a facinating film; it is colorful and suspenceful, the dialogue awesome and the acting performances impressive.  This movie will hold your attention through to the end.

We urge anyone who has not seen ""All Hallows' Eve"" to not rely on the bland, critical evaluations of it.

The future of the horror movie industry may be in the hands of young Mr. Sparks and his team keeping it alive.  This movie is worth adding to any serious collection of horror films.  Don't wait, buy it, watch it again and again.

A.J.
President,
MSFC",1205193600,,642,4.825688073394495
3049630,5,B0010PI72M,"Wow!  This movie was entertaining from start to finish.  The first story was perhaps the stongest from a narrative point of view. It was also the most suspenseful. I must say, I did not see that ending coming.  The second story was the most emotional. Very intense and it had plenty of dark humor.  My favorite was the last story.  This was the most fun and I am partial to vampires.  Great music, great cinematography and effects and the actors were great all around. I can't wait to watch it again.",1198022400,,500,4.43956043956044
3049631,5,B0010PI72M,"We really enjoyed this movie...there's just the right balance of horror, humor and suspense.  With superb acting, excellent directing and some exceptional scenery throughout we were disappointed when it came to an end.  In this reviewer's opinion there is no doubt that we will be hearing and seeing much more of everyone involved in the making of All Hallow's Eve.",1197763200,,365,5.066666666666666
3049632,1,B0010PI72M,"This is the worst movie ever. I only watch the first story and then tossed the disc in the trash. I rather watch paint dry, or my hair grow. Mr Sparks should have his video camera taken away and go work at wal-mart. Please don't waste your time or money. I did.",1197763200,2,261,4.038461538461538
3049633,5,B0010PI72M,This is a must see for all horror movie fans!! Great indie film with top of the knotch acting!! This movie has great casting which explains the good chemistry between the actors and actresses.. Oh how can I forget the Gorgeus girls in this movie whew stunning!! Last but not least I was really impressed with Joseph D. Durbin's acting in this film! I think this actor will be the next BIG Star!,1197763200,,394,4.410958904109589
3049634,5,B0010PI72M,"I haven't seen many good films by independant companies, but ALL HALLOWS EVE is one I can heartily recommend!  It grabbed me in the first 7 minutes and I was trapped untill the end. IT IS GOOD!!! The plot is very plausible, the acting is first rate, and I simply LIKED it from start to finish. The price is a bit steep, but considering what you get, I would get this film. You'll LIKE IT!!!",1197158400,,390,4.2
3049635,5,B0010PI72M,"I LOVED this film!  The different stories and subplots keep the movie running at an engrossing pace.  The most compelling performance was given by Serena Lorien who plays Doris/Molly.  I had previously seen Serena in ""You Don't Know Jack"" and she does an even more superior job in this one.  I predict she has a fantastic career ahead of her.  I highly recommend ""All Hallows' Eve"" to all fans of the horror genre!",1197072000,3,414,4.616438356164384
3049636,1,B0010PI72M,"Lame, lame lame",1481846400,,15,4.333333333333333
3049637,2,B0010PI72M,It was s good cheesy Corny it was alright,1481587200,,41,3.6666666666666665
