,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3148900,4,B0015XHR5C,"What a fantastic season, Less whining more action. a lot happens in Season 9, they seem to embrace the idea o being around several more years and ramp up a few characters. This season Luca goes through some deep stuff and it was the interesting to watch him completely lose it. The episodes he narrates are my favorite.",1215820800,6,319,4.517241379310345
3148901,5,B0015XHR5C,"First off, it would be a lie to say the departures of Eriq La Salle and Anthony Edwards didn't hurt the show. They did. Dr. Greene was the heart of the ER, and Dr. Benton was the heart of the OR. After they both left the show in season eight, some reinventing would clearly be needed. ER continued on brilliantly for season nine. No, it was not the same show
it had been a season before, but season eight was much different than the first season. Nine was different. It had to be. It was not awful by any means.

Season nine picks up where eight left off. The hospital is in lockdown after a smallpox scare. It turns out the infection within County General is not smallpox, but monkeypox. Everyone is vaccinated and evacuated. Everyone except Carter, Abby, Chen and Pratt. During the evacuation, Dr. Romano is involved in an accident that will change the rest of his life. That accident has time and again been hailed as one of the most shocking moments of TV history!

The rest of the season is just as excellent as the season premiere. There are guest appearances by Sally Field, Don Cheadle and Edward Asnwer, among others. There is also a memorable Christmas episode that plays in reverse (a la MEMENTO) and of course the intense 200th episode, which alternates between the day and night shifts.

This season marks a change for ER. But the change isn't as bad as some people say. I think of season nine as the last truly CLASSIC season of ER. And while I'm still a loyal fan to this day, seasons 1-9 were the best of the best and I'll gladly add season nine of ER to my DVD collection.",1214179200,12,1589,4.3979591836734695
3148902,5,B0015XHR5C,"Like many ER fans after Dr. Greene was killed off in late Season 8, I was weary about what Season 9 would be like.  But after watching the first episode of the season,  I was dragged in once again!  My favorite character/storyline of this entire season would be the episodes with Robert Romano which is ironic because in past years I never really cared for his character, but Paul McCrane is such a exceptional actor - and I really loved the scenes with him and Dr. Corday!  Now they would of made a interesting romance pair.  The whole Benton/Corday or even Greene/Corday seemed kind of awkward for me.  Others might disagree.

The only thing I didn't like about this season, was the ""Africa"" episodes.  I prefer seeing action happening inside of county general rather then somewhere else.",1213833600,5,790,4.7153284671532845
3148903,4,B0015XHR5C,I love ER.  I like being able to watch all of the episodes of a season at my leisure.  I can't wait until 6/17.,1213401600,,111,3.5833333333333335
3148904,5,B0015XHR5C,"When this first aired on TV I started watching but ""put it down"" to watch other shows.  In a way I am glad I did, but also upset because I wish I could have watched it as it came out.  I am glad because now I can buy all the series on DVD and have an ER movie watch a thon.  Lol.  EXCELLENT SHOW!  I was upset with some of the characters leaving, but the show picks up the slack and keeps it going.  Nicely I might add.  I will be buying all the series as they come out.  Up to 8 now and waiting for 9 to ship :)

An excellent show by an excellent writer!  Thank you.",1212537600,4,567,3.689075630252101
3148905,5,B0015XHR5C,"I was thrilled to learn of season 9's release date. No matter which stars come or go, ER is a hit.  I plan to buy all 15 seasons!!!",1211414400,4,131,3.6785714285714284
3148906,5,B0015XHR5C,"ER continues to just as great as its previous seasons. Despite the departure of Anthony Edwards and Eriq La Salle, the drama and action still remains.

In this season, Carter must step up as the leader while dealing with his dysfunctional relationship with Abby. Luka hits rock-bottom and questions his desire in medicine. Weaver gets into hot water after an unethical favor for an alderman has tragic results. Pratt and Chen begin a relationship. Corday grieves after the death of Greene while teaching a medical student with Parkinson's Disease played by Don Cheadle. Romano's ""dead"" arm begins to be a burden and may derail his career in surgery. Susan treats a teenager with testicular cancer played by Patrick Fugit.

Highlight episodes: ""Chaos Theory"", ""Hindsight"", ""When Night Meets Day"" (ER's 200th episode)",1209513600,6,815,5.213740458015267
3148907,1,B0015XHR5C,"It is not the same without Anthony Edwards so I won't be buying it, Seasons 1-8 is complete to me",1207008000,3,97,3.9
3148908,5,B0015XHR5C,"Spoilers: While the television show ER lost some of its finest cast members in the preceding years, including founders Anthony Edwards, George Clooney, Julianna Margulies and the great Eriq LaSalle, it also gained some high calibre acting talent in the process.

Noah Wyle takes charge following the death of Mark Greene (in season eight), while Laura Innes's Kerry Weaver (a great characterization) continues with her usual ambitious plans, facing health and moral dilemmas on the way. Maura Tierney ably continues her role as Abby Lockhart, with Goran Visnjic maintaining his rebel ways. Newcomer Mekhi Phifer receives a top billing credit for his part as Gregory Pratt and although he has his moments, Sharif Atkins takes the upper hand with his portrayal of the likable Michael Gallant. Alex Kingston, a staple of the series has little to do this season while Sherry Stringfield returns as Susan Lewis, displaying some fine moments including a nice friendship with a terminal cancer patient. Ming-Na returns as Jing-Mei Chen, turning up the heat with her relationship with Pratt.

Season nine however, is highlighted by the brilliance of the underrated Paul McCrane. McCrane's Robert Romano faces a hard road to recovery after a devastating accident in the season opening. Though previously considered the shows 'villain', McCrane's character (who previously had few redeeming features other than his brilliance as a surgeon) is fleshed out more during season nine. With a more deeply felt characterization, McCrane gets the opportunity to display some brilliant acting talent, with a mix of the poignant and a touch of his trademark satiric wit. His friendship with Alex Kingston steps up a notch, with the two sharing a great mutual respect after years of relative hostility. It is a touching friendship.

Frances Sternhagen's Millicent Carter (John Carter's grandmother) is also worthy of a mention. First appearing in 1997, Sternhagen contributed to some great episodes and her pairing with Wyle left some great moments in the series history. This season is also graced with the presence of some great character actors including Bruce Weitz and Don Cheadle as a doctor in training with Parkinson's disease. On the whole, season nine is filled with solid work from all cast members and is a vast improvement over season seven and eight.",1206835200,38,2343,5.242666666666667
3148909,1,B0015XHR5C,"ER always suffered a little bit during times when a major character had exited the series. In February of 1999, George Clooney left as Dr. Ross and his absence left a huge gap for the remainder of the fifth season, while the seventh season dragged without Nurse Hathaway after Julianna Margulies made her departure. But the absence of Anthony Edwards as Dr. Greene created a permanent void, and one that Dr. Carter wasn't able to fill. I also thought for a long time that Carter and Abby would work as a couple. We finally see that unfold with the start of this season, but once they were together they sort of, well, sucked. Then there's Dr. Corday, who never showed any chemistry when the writers paired her with Dr. Greene and is now forced to be involved in some storyline where she's training an upcoming doctor who's keeping a secret about his disability. The real disability lies within the writers for creating a storyline that was totally boring as nothing compelling or challenging took place. We're also subjected to the return of Abby's mother as well as all the repeated tales of that relationship which took place two seasons earlier. There are many more flaws too numerous too mention, but let's just say that the quality of this once outstanding series had declined so bad that I stopped watching the show by the time they were airing the spring episodes. I remember the previews for the season finale though, which involved Carter and Luka stranded on some African safari. What should have happened next was NBC yanking the summer reruns and announcing that the show died a peaceful death.",1206662400,14,1606,4.759856630824372
3148910,5,B0015XHR5C,One of the best medical shows of all times,1505865600,,42,3.7777777777777777
3148911,4,B0015XHR5C,Er is a great show. Probably one of my top 5 TV shows.,1504137600,,54,3.230769230769231
3148912,5,B0015XHR5C,Very good. . Really enjoying the series,1503187200,,39,4.714285714285714
3148913,5,B0015XHR5C,Great condition,1498608000,,15,7.0
3148914,5,B0015XHR5C,loved it but already bought it on amazon with my daughters account.. it's free on TV now,1497484800,,88,4.235294117647059
3148915,5,B0015XHR5C,love it everything that defines a medical drama .,1497052800,,49,4.555555555555555
3148916,5,B0015XHR5C,Great love it,1489622400,,13,3.6666666666666665
3148917,5,B0015XHR5C,"I was an avid ER watcher when the show aired in 1994.  Although I typically like to have the DVDs, I have to say it is extremely convenient to have the whole series available to watch anywhere I have internet access.  I am enjoying each season and I highly recommend purchasing all seasons if you really enjoyed the show.",1487721600,,321,4.423728813559322
3148918,5,B0015XHR5C,This is such a wonderful series.,1487203200,,32,4.5
3148919,5,B0015XHR5C,Thank you very much for resolving the problem,1486512000,,45,4.75
3148920,4,B0015XHR5C,"Great characters and stories, but beginning this season, the drama of a lot of the episodes was replaced by tragedy; death, separation, heartaches abound. ER used to have a lot of humor to balance that out but it seems lacking in season 9 and only got worse thereafter. I pretty much lost interest after this season.",1485216000,,316,4.660714285714286
3148921,4,B0015XHR5C,Thank you,1482451200,,9,4.0
3148922,5,B0015XHR5C,great,1482364800,,5,5.0
3148923,5,B0015XHR5C,One of my favorite shows of all time.,1481587200,,37,3.75
3148924,5,B0015XHR5C,I love all the ER seasons!,1480464000,,26,3.5
3148925,5,B0015XHR5C,Excellent,1478649600,,9,9.0
3148926,5,B0015XHR5C,I love this series.,1472342400,,19,4.0
3148927,5,B0015XHR5C,love it,1465689600,,7,3.0
3148928,5,B0015XHR5C,"What can I say? I am hung up on ""ER."" This 9th Season means I only have 6 more seasons to go.",1464998400,,93,3.272727272727273
3148929,5,B0015XHR5C,One of my favorite TV shows! I love having instant access to it on Amazon Video.,1464134400,,80,4.0625
3148930,5,B0015XHR5C,great show,1462060800,,10,4.5
3148931,5,B0015XHR5C,love it,1461196800,,7,3.0
3148932,5,B0015XHR5C,I miss this show!!! Season 9 of ER is great!!! I love when Carter and Kovac go to Africa!!!! I highly recommend!!!!,1461024000,,115,4.2727272727272725
3148933,4,B0015XHR5C,"Good drama, love the cast.",1461024000,,26,4.4
3148934,5,B0015XHR5C,Love this show!!,1461024000,,16,4.666666666666667
3148935,5,B0015XHR5C,must continue on to season 10,1459987200,,29,4.0
3148936,5,B0015XHR5C,Great,1456531200,,5,5.0
