,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3457628,2,B001AQO3WY,"You have to give the creators of GENERATION KILL --Just LOVE that title-- credit. They did an amazing job making a great recrutement show. It is seriously needed now more than ever. It must be assumed the military gave it's full support in the making of this HBO production. Watching GENERATION KILL it should be clear to most viewers being in the Marines means being in a brotherhood, something so many young men are desperate for, and it sure looks like a lot of fun. That GENERATION KILL shows *some* bad stuff that can happen to our ""boys"" over there only serves to make it all the more exciting. This is where you can be somebody, be part of a group, and be a real man. All those people back home just don't get it and they never will. They have been through something more real, something deeper, something so much more meaningful than anything they could experience back home. If you murder innocent people, don't worry, you were ""just doing your job"".

EDIT (01-04-09):
I forgot to add that the the soldier's sunglasses are cool on the GENERATION KILL cover.",1219190400,5,1066,4.5811518324607325
3457629,5,B001AQO3WY,"This show is fantastic, gritty, scary, funny, shocking and all the other adjectives used to desribe it in other reviews.  However, you don't have to be in the military or a vet to appreciate it.  Basically, if you liked shows like Band of Brothers and Over There, you will love this.  It's a very real picture of what has gone on in the middle east on the presonal level, not the political.  It's entertaining in an sociological and educational way, along with just being a great show.  And, once again, it doesn't require having a past experience of shooting at brown or yellow people.

Simply Fudge, or is it Silly Fun, no wait it's Semper Fi, there, now I can enjoy this show... actually I like fudge better.

SEMPER FUDGE!",1219190400,5,726,4.538461538461538
3457630,5,B001AQO3WY,"Just got done watching eps. 1-6. Can't wait for the final show. CAN'T WAIT UNTIL THIS COMES AVAIL.ON DVD. I will be in line for a copy. After episode 6 I was so hooked that I went on to watch all of the footage shows on HBO regarding the real Marines, the filming in Africa, about the writer, etc... I'm hooked. Yes, it's brutal, yes, it's very frank, and yes, it's sometimes hilarious... just like life. Huge props for these amazing men and to the man who brought their story to us.
Thank you.",1218931200,7,494,4.26595744680851
3457631,5,B001AQO3WY,"This HBO series is unbelievable.  It captured the true meaning of being in the military.  The political internal battle is captured with great affects.  The series reflects the bond soldiers build with each other that no civilian can EVER experience.  This is way we bond for a lifetime and fight for our country. This is the military and a warrior in action on every level.

The writers, producers and actors did an outstanding performance in capturing the truth.

Michael Basedow
CW2, USA (Ret)",1218844800,134,496,4.9156626506024095
3457632,5,B001AQO3WY,I love this series!  I've been recording it with the DVR ever since the start.  I can't wait for it to come on DVD.  My hubby is a US Marine and this show has inspired me to even read the book.  I love it.,1218499200,4,205,3.590909090909091
3457633,5,B001AQO3WY,"GOD BLESS THE CORPS!!

Brilliant HBO Series on the good/bad of danger-close combat .. ..

For those who say this series is 'sad' and/or horrific, it is to a small extent, but that is what warfare brings and the innocent will always die with the guilty .. .. It is unavoidable .. .. Yet, far more innocents die in peacetime - Think Darfur and North Korea .. ..

As for the characters portrayed in the series - Did you feel some were unsavory and/or a bit warped?? Well .. ..Have you ever been in a HS/College/Pro sports locker room? Enough said .. ..

In the end, it takes a SPECIAL person to place yourself in harm's way, and an even MORE SPECIAL person to join the Corps .. ..

GOD BLESS ALL OF YOU AND THOSE WHO SERVE!

SEMPER FI",1217203200,10,731,4.185714285714286
3457634,2,B001AQO3WY,To much war to little plot,1519862400,,26,3.5
3457635,5,B001AQO3WY,great tv show about what the reality is in war.,1519516800,,47,3.8
3457636,5,B001AQO3WY,"Witty. Funny. Real.
Captures the essence of the male species in uniform under extreme conditions with all the quirks, flaws and inadequacies amidst courage, camaraderie and heroism.  Thoroughly enjoyed it. I've watched this series four times over and still haven't had enough of it.",1519516800,,282,5.409090909090909
3457637,5,B001AQO3WY,"""Generation Kill"" is the sort of inside look into the US Military I have long looked for.  It reminds me of Karl Marlante's Vietnam book ""Matterhorn"" which did a similar thing for the Vietnam era US Marines (and should have spawned something on the screen by now).  Unsparing in frankness, the various episodes display all the follies of command, individual cowardice, cruelty, compassion, true incompetence, individual heroism, true professionalism, love and devotion to duty and country that the Marines and our military are known for.  The acting performances are stunningly realistic and, at times it feels like watching a documentary. The Marine Corps trains its members to be coldblooded killers, but in an insurgency warfare situation this mindset may be a handicap.  How these soldiers must have grappled with this conundrum is shown here in graphic and unvarnished detail. I salute this series and only wish there was a second season showing the War of Occupation and more.",1519430400,,982,5.19620253164557
