,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3517639,5,B001CT05N0,"The (Three day Weekend) was excellent, it was a group of thee gay friends that meet at a cabin get away for the weekend but they all each have to bring a new friend a long, and then things really heat up.. The boyfriends have a hard time staying faithful. It is an execellent movie Enjoy.....",1230422400,4,292,4.232142857142857
3517640,4,B001CT05N0,"I enjoyed this movie.  The acting was pretty good, and the story was plausible, and one that many people can relate to, gay or straight.  It's a movie I would watch again, and probably enjoy more the second time.",1229731200,5,212,4.410256410256411
3517641,3,B001CT05N0,"*** alert ***
who is amos lassen,  and how does he rate items before the dvd is released.
  i have bought several items based on his recommedations.
all of them have been glowing 5 *  reviews, but when you get the
dvd that is released to the public, it seems that at least 20% of the
movie that he describes is not in the on the dvd.
  i won't be buying anything he reviews glowingly until i see a few more
opinons, or i can rent it first
Sad, but somewhere the movies he is seeing and what is released is
just not the same.  NOW on to the movie i received ,++Yes this is sterotypcial, good guys and not so good guys, but remember, the wrong thing about being """"gay""""  is we love MEN,  and that makes it
hard to be with one person only",1228089600,6,735,3.9794520547945207
3517642,4,B001CT05N0,"Writer/Director Rob Williams has a special insight about life, love and relationships that bring the characters and plots of his movies to life with reality. The GuestHouse boys chose the right actors for the parts in ""3-Day Weekend"" making the film even more believable.

You'll recognize yourself or someone you know...oh, the scenery is the icing on the cake!",1227225600,4,362,5.135593220338983
3517643,4,B001CT05N0,"Longtime couple Simon and Jason, along with their friend Cooper and his current ""boy"" Ace, decide to spend a ""3 Day Weekend"" (2008) at their luxurious cabin in the mountains, and each invites along a single friend to make it interesting.  There's a former college roommate, a nude yoga instructor and a shy nerd co-worker.  Also a high-paid callboy, who actually knows three of the others through his work.

It's a film about gay male relationships, borrowing a bit of the dynamic from both ""Love! Valour! Compassion"" and ""Boys In The Band,"" and actually does a good job briefly tackling such topics such as ageism, monogamous vs ""open"" relationships, how having come-of-age during the worst of the AIDS epidemic has affected gay baby boomers, self-image and spirituality.  There's the drama of a relationship falling apart, and the joy of another one beginning, right before their eyes. That's a lot to cram into 84 minutes, and, as a result, the plot is somewhat light overall, although the acting is above average, the production values and direction excellent for a low budget gay film.  DVD includes extensive extras, including deleted and extended scenes, bloopers, music video, director commentary and cast interviews. A pleasant diversion, which I give four stars out of five.",1226707200,5,1284,5.095238095238095
3517644,2,B001CT05N0,"Stereotypes abound in this generic gay getaway flick. Happy couple. Check. Bitter couple. Check. Newbie. Check. A completely off beat character. Check. Add some lame dramatic twist, lots of talking about one's feelings, some nudity, and shake. Check, check, check, and more stirred than shakened. The pacing and production felt more like a high school play than a movie with everyone taking turns to say their lines. You've been on this trip before. Try some other location instead.",1225843200,9,482,5.1923076923076925
3517645,4,B001CT05N0,"Just the right guy and just the wrong guy get found as ""3 Day Weekend"" takes a snapshot of men in various states of monogamy, marriage, momentary pleasure, and seperation.

The gorgeous ""Weekend"" gleefully admits that it is a thinly veiled homage to eight-gay-men-sitting-around-a-nice-house genre ""The Boys in the Band"" (1970) and ""Love! Valour! Compassion!"" (1997). But hey, fill a million dollar hunting lodge in SoCal with a 45-year-old muscle bear (Derek Long), a closeted 25-year-old self proclaimed ""geek"" (Chris Carlisle), and six male model types of various ages in between and you've got the makings of a party.

Take two couples -- one intergenerational, the other in an open relationship -- who take an annual weekend in the country and let them mix in their allegedly single friends for a change of pace. The secrets fly fast and furiously thanks to the invitation of Andre, a male hustler (Daniel Rhyder), that at least five of the guests already know. Buddhism translates to both a lust for life and an inability to button a shirt; turnabout becomes the most unfair play for a duo turned trio; the ambition to be paid to break hearts proves tempting; and with the exception of one or two characters who just don't seem to have any material whatsoever, Rob Williams' writing and direction soar. The assembled ensemble rises and shines. -- Thomas Heald, Pridelets.com",1225065600,32,1380,4.995652173913044
3517646,2,B001CT05N0,"Have a collection of over 50 gay films. This rates at the bottom it's that bad. Half of the acting is poor, the subject line is blurred beyond belief. Oddly the strange yoga guy seems to be the most normal of the 8 guys.  If your watching this most likely you're gay and will understand that this just pure bar seen drama that you've now purchased on DVD and brought into you home. I'm ashamed of my self for watching the whole trainwrack.",1483920000,,439,4.289156626506024
3517647,5,B001CT05N0,"Super fun, and sexy love it!!!",1483747200,,30,4.166666666666667
3517648,4,B001CT05N0,"I would love a weekend like this one with Daniel Rhyder, but at my age it would definitely be inter-generational. I liked the idea that they were not all buffed 20-somethings or even sexy 30-smethings. Those 40s, 50s, 60s and more come to all of us if you stay around long enough, but the need for love and sex doesn't age - they just improve with age like a fine wine.",1483142400,2,369,4.211267605633803
3517649,2,B001CT05N0,Interesting relationships between young & older gays. Disappointing that you see more nudity in PG-13 movies.,1480636800,,109,5.875
3517650,5,B001CT05N0,I love this movie it had some very good love scenes that I would like to have in my life.,1477612800,,89,3.5
3517651,3,B001CT05N0,"Had some cute scenes. Was just OK, nothing major",1477440000,,48,4.444444444444445
3517652,3,B001CT05N0,Didn't realize until after we clicked on it that we had already seen it previously. It is OK.,1476748800,,93,4.222222222222222
3517653,1,B001CT05N0,WASTE.,1476576000,,6,6.0
3517654,1,B001CT05N0,I watched the first 5 minutes and gave up... painfully bad. :(,1475798400,,62,4.25
3517655,3,B001CT05N0,"Not really excited about it.  Plot was done in so many other films.  Script was just ok, not great.  Acting was ok.  It's just an ok movie.  Not a horrible movie, just, eh, ok.",1475712000,,176,4.0588235294117645
3517656,3,B001CT05N0,"It's about relationships, not sex",1471824000,,33,5.8
3517657,3,B001CT05N0,"The acting was descent but I wasn't feeling the movie as much as I thought I would. The sex scenes if you want to call them that was more like something you can watch in a PG:13 movie. Out of the entire cast I liked the guy who played the 48 year-old guy with the 25 year-old boyfriend I liked, because he showed that not all gays (or bi guys like myself) are the same, and that he turned down sleeping with his ex because he was happy in a monogamous relationship. I also turned out liking the weird yoga guy, because of his positive out-look on life, and others. Overall, this is a one time watch type of movie.",1459209600,,613,4.116666666666666
3517658,5,B001CT05N0,happy with item,1456963200,,15,4.333333333333333
3517659,1,B001CT05N0,Boring,1456272000,,6,6.0
3517660,5,B001CT05N0,Good!,1448236800,,5,5.0
3517661,1,B001CT05N0,"Not even all the good-looking naked bodies could save this film from being a certified cure-for-insomnia.  Bad...really, REALLY bad.",1446854400,,132,5.947368421052632
3517662,5,B001CT05N0,Great fun,1445299200,,9,4.0
3517663,2,B001CT05N0,"Amazing how such an amazing situational setup could have wound up so bad. I mean 8 decent looking guys on a long weekend in a rustic cabin turned into a complete bore. Characters were not believable. Story was very shallow. Moderate nudity, mild softcore, and a few ""tiny"" full frontals. Picture and sound were not that great. Music was lame. What a flop.",1432080000,,355,4.650793650793651
3517664,5,B001CT05N0,Very well done.,1426204800,,15,4.333333333333333
3517665,5,B001CT05N0,ok,1415404800,,2,2.0
3517666,5,B001CT05N0,great movie,1412467200,,11,5.0
3517667,5,B001CT05N0,Very interesting but a little difficult to remember who was who.,1409270400,,64,4.909090909090909
3517668,4,B001CT05N0,"This was a good movie, it was set amongst great scenery. It was certainly a fairly accurate portrayal of gay lifestyles.  It was well acted.  I don't agree with the harsher assessments of this movie. It is worthwhile to watch and it is entertaining.",1385942400,6,249,4.636363636363637
3517669,5,B001CT05N0,"All of Bob Williams films are super and this one is no exception.
Good story and excellent acting by the entire cast.",1384300800,,117,4.363636363636363
3517670,5,B001CT05N0,"I thought this was a great gay movie because it portrayed gay men in a positive light, and also there was some conflict, but they resolved it well, just like a real relationship.",1369958400,2,178,4.424242424242424
