,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3677310,5,B001L1S1W6,I'm sad to say that i only found out about this show due to the fact that lifetime is now playing reruns of it. I loved what shows i saw so i decided to buy the seasons on dvd. The new adventures of old Christine is hilarious. I really wish the network that ran the show would have advertised a lot more and then maybe it wouldn't have been canceled. I would recommend this comedy to anyone who loves to laugh. I'm anxiously waiting for seasons 4 and 5 to come out on dvd!,1291248000,,472,4.031914893617022
3677311,5,B001L1S1W6,"Love watching this, excellent humour and life observations.

Sadly only 10 episodes in series due to scriptwriters strike so perhaps not best value for money at full price.",1290556800,13,172,5.142857142857143
3677312,5,B001L1S1W6,"I am totally bummed this ends with season 5....this is my new favorite show, its so funny.  I am on amazon trying to grab a deal to get all that is available so far.  Hope they release 4 and 5 soon....LOVE IT!",1289520000,,209,3.9523809523809526
3677313,4,B001L1S1W6,"This is a fun show that I only discovered on DVD.  We had purchased season one and two at a retail outlet and were very dissapointed to learn that later seasons would not be available for sale, except on line.  Amazon was the only place I could get this in Canada and I am very grateful....here's looking forward to season four and five.",1288742400,4,337,4.333333333333333
3677314,5,B001L1S1W6,"Best season ever.
But only 10 episodes?
You must be kidding.",1286582400,,60,4.545454545454546
3677315,4,B001L1S1W6,"I loved this show but again full price for a partial season (My Boys final season only has 9 eps)?  I will be searching for better prices (pssst...the WBstore has it for $10 less).  Why not bundle seasons 3 & 4 and leave the final season of Christine to stand alone (it wasn't as good anyway)  Still I wish the show hadn't been canceled, because Eric McCormack was awesome.",1284768000,2,373,4.3768115942028984
3677316,4,B001L1S1W6,"The show is doing pretty well, now in its 5th season. I just don't understand why the studio refuses to release seasons 3 and 4 on DVD or iTunes!",1265155200,15,145,4.0344827586206895
3677337,5,B001L1S1W6,LOVE IT,1479427200,,7,3.0
3677338,5,B001L1S1W6,So sad I didn't know about this show while in production . Julia and Wanda are my heroes in this show!,1479168000,,102,3.9047619047619047
3677339,5,B001L1S1W6,Wonderful!,1476921600,,10,10.0
3677340,5,B001L1S1W6,I like it.,1476835200,,10,2.6666666666666665
3677341,5,B001L1S1W6,"FUNNY! After a hard day at work, ""The New Adventures"" are a great way to wind down.",1474243200,,83,3.9411764705882355
3677342,5,B001L1S1W6,Very funny,1472428800,,10,4.5
