,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3764213,4,B001QDBX6A,"Eden Log is the type of movie you'll either LOVE or totally HATE. I fell on the love side of it. A lot of cinema today has the same premise in every film, and they basically candy coat it for a slightly different spin. Eden Log was refreshingly original. The film plays out like an old survival horror video game, where you aren't entirely sure whats' going on, but you slowly piece it together with the main character. I won't put in any spoilers, but I will say that this film is very unique, and I am now interested in seeing more of Franck Vestiel's work.",1242086400,9,559,4.283018867924528
3764214,3,B001QDBX6A,Very odd movie... a bit hard to follow but somehow makes sense at the end.,1444867200,,74,4.0
3764215,1,B001QDBX6A,This was on e of the worst movies ever,1444435200,,38,3.3333333333333335
3764216,3,B001QDBX6A,Ehh,1443484800,,3,3.0
3764217,4,B001QDBX6A,Good Plot. Surprise Ending.,1443139200,,27,6.0
3764218,2,B001QDBX6A,Too dark don't make too much sense till the end. Very disconnected story line.,1442448000,,78,4.642857142857143
3764219,1,B001QDBX6A,"Well if you want a ride through the hells that never even ascends to human love , much less Divine love ... this is the film for you. Watching this film is like being attacked by dark and evil spirits who revel in the sufferings of others; who are always angry, skeptical and negative, blaming others, violent in their intentions and cruel . The filmmaker and screenplay offer no redemption from any of this evil except to turn out the lights. I was stunned by the lack of any compassion, the sexual cruelty, the darkness and despair of being in hell. What a shame.",1442448000,,565,4.4423076923076925
3764220,3,B001QDBX6A,"It was more interesting than I thought, but I still had to read the wikipedia commentary to understand the plot",1442275200,,111,4.6
3764221,1,B001QDBX6A,"Wow, this was pretty awful. slow pace and you could have boiled it down to about 11 minutes and not lost any detail what-so-ever.",1441843200,,129,4.416666666666667
3764222,1,B001QDBX6A,"Crap. Could have been great, good premise acquit  cinematography ,but overall too vague and mysterious. Left me with unanswered questions.",1441843200,,138,5.9
3764223,4,B001QDBX6A,The story line was very good until the end. Didn't like the ending much.,1441756800,,72,4.214285714285714
3764224,1,B001QDBX6A,Weird,1441324800,,5,5.0
3764225,2,B001QDBX6A,Probably a really good book.  Movie made very little sense.,1441065600,,59,4.9
3764226,3,B001QDBX6A,"I didn't make it past the first 30 minutes, but my husband watched the whole thing so it couldn't have been THAT bad. The plot was interesting enough to give it a try despite the bad rating. I would have another go if I had the chance.",1440633600,,235,4.0212765957446805
