,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3848273,5,B0025KVNOU,"This awesome sitcom that, in my opinion, ranks right up there with Seinfeld and Cheers. It deserves to be honored by releasing EVERY season. I eagerly anticipate the release of Season 3, and every season thereafter.",1249948800,6,215,5.0
3848274,5,B0025KVNOU,Love this show!  They need to release all the seasons.  Even if they don't include a bunch of extras!,1247529600,20,101,4.2631578947368425
3848275,5,B0025KVNOU,"I own season one and season two.  Very funny show.  Even nicer without all the commercials.

I signed up to be notified upon season three's release.  I hope all the others make it too.

Roger",1241827200,6,191,4.3428571428571425
3848276,5,B0025KVNOU,I can't wait for them to release season three. My dad loves this show and I really want to be able to give it to him for fathers day :-) It took forever for season 2 to be released. I hope that they do better this time around.,1240531200,2,226,3.7291666666666665
3848277,5,B0025KVNOU,"Well after seeing how long it took the wise people to get season 2 out after Amazon had a listing for it but no date, let us all hope they are MUCH faster this time.  This is a great show, simple jokes that can make anyone laugh.",1240099200,17,229,3.872340425531915
3848278,5,B0025KVNOU,"Please show your support & comment for the release of Night Court Season 3, one of the funniest comedy series ever !",1240012800,2,116,4.318181818181818
3848296,5,B0025KVNOU,Works great and love the t.v. series!,1494892800,,37,4.428571428571429
3848297,5,B0025KVNOU,This is my go-to feel-good show.,1493769600,,32,4.5
3848298,5,B0025KVNOU,"I watched this when it aired and loved every episode.  It's nice to look back and enjoy the cast, especially Harry Anderson and John Laroquette.  The humor and pathos the show had is still evident and very much enjoyable.",1490313600,,221,4.641025641025641
3848299,5,B0025KVNOU,fun,1488067200,,3,3.0
3848300,5,B0025KVNOU,love the set,1487635200,,12,3.3333333333333335
3848301,5,B0025KVNOU,loved,1482710400,,5,5.0
3848302,5,B0025KVNOU,cost way too much!! but still funny,1482105600,,35,4.142857142857143
3848303,5,B0025KVNOU,"Always great,  funny and even a good moral tossed in.",1478995200,,53,4.3
3848304,5,B0025KVNOU,I am sucker for this kind of shows.,1477180800,,35,3.5
3848305,5,B0025KVNOU,Good,1477008000,,4,4.0
3848325,5,B0025KVNOU,The story continues with new characters and insane pranks. It borderlines on slapstick with whimsical court cases. I will watch this show over and over again.,1476921600,,158,5.115384615384615
3848326,5,B0025KVNOU,Great show,1476230400,,10,4.5
3848327,5,B0025KVNOU,Enjoyed every minute of these shows,1474588800,,35,5.0
3848328,5,B0025KVNOU,Hilarious show!,1474502400,,15,7.0
3848329,5,B0025KVNOU,GREAT!,1474070400,,6,6.0
3848330,5,B0025KVNOU,Great fun... never gets old.,1473984000,,28,4.8
3848331,5,B0025KVNOU,Just as I remembered.,1473724800,,21,4.5
3848332,4,B0025KVNOU,I love Night Court .  I am currently collecting the entire run .,1473638400,,64,3.923076923076923
3848333,5,B0025KVNOU,Great TV show and quick service.  Quality recording,1473120000,,51,5.375
3848334,5,B0025KVNOU,Original.,1471651200,,9,9.0
3848355,5,B0025KVNOU,"FUNNY FUNNY
Great Series",1470268800,,24,5.25
3848356,5,B0025KVNOU,"THIS IS A 'NIGHT COURT' HALLOWEEN EPISODE I JUST SAW FOR THE FIRST TIME HERE LOCALLY ON OUR 'FREE TV' CHANNEL, 'LaffTv' and I was impressed on how they dealt with the subject of real Witches. Even though it is full of discrimination and prejudice; it does show how it was once (not to very long ago) so hard to ""come out of the broom closet. I had to purchase this episode from Amazon; my Awesome partner in entertainment, wares, & miscellany.",1469491200,,443,4.414634146341464
3848357,5,B0025KVNOU,Great show,1468022400,,10,4.5
3848358,5,B0025KVNOU,"Here we go.  Finally, the cast has been completed with the addition of Markie Post as the Public Defender, Christine Sullivan.  Her inclusion to this wonderful cast made them go from fantastic to phenomenal.  There was something about Post's acting and character that properly rounded out the group.

Harry Anderson is still sitting court and presiding judge of Night Court.  As Harry Stone, Anderson injects both slapstick and magic (magician type) into the court.  Throw in the running joke about his love of his idol Mel Torme.  Episode 16 specifically deal with that along with Harry's charge, Leon.

Night Court is good fun, mostly clean comedy - what isn't is supplied by the delightfully lecherous Dan Fielding (John Larroquette).  Grab a friend or two, maybe even one of your kids - if you can pry them off their iWhatevers and initiate them into the wonderful wacky world of Night Court!",1467676800,,896,4.92
3848359,5,B0025KVNOU,Greatest comedy ever.,1467072000,,21,6.333333333333333
3848360,5,B0025KVNOU,Some of the best TV viewing ever.,1465776000,,33,3.857142857142857
3848361,5,B0025KVNOU,Streams like a dream and I love getting to spend my evening watching this rather than trashy reality shows!,1465776000,,107,4.684210526315789
3848362,5,B0025KVNOU,Awesome,1465430400,,7,7.0
3848363,4,B0025KVNOU,Wade though the 80s hair and fashion and discover these wonderful actors with great chemistry. They still continue to crack us up. Night Court will always be cool.,1465084800,,163,4.857142857142857
3848364,4,B0025KVNOU,loved it,1464652800,,8,3.5
3848385,5,B0025KVNOU,good quality good to watch,1462060800,,26,4.4
3848386,5,B0025KVNOU,Enjoyed this TV series. JWH,1461801600,,27,4.6
3848387,5,B0025KVNOU,Good Humor!!,1461369600,,12,5.5
3848388,4,B0025KVNOU,"When the show really hit its stride. Post became a regular and the raunch/tawdry humor went off the charts. No wonder this was the first year of Larroquette's many Emmys, with plenty of great storylines explored for the whole bunch. The show was always underrated (the Cosby lead-in during NBC's notorious Thursday night reign was a big diff) but deserved so much more credit for its unafraid approach, esp. during Season 3. Eps involving transsexuals, dwarf bosses, teenagers being shot, dementia and runaway children were not typically found on sitcoms back then, even during this non-PC period of the mid-80s. The writers were so skilled at weaving crass humor into true moments of profoundly genuine pathos, all under the mastered eye of late, great creator Weege. Which it why it was all the more disappointing that the following seasons went for more zaniness rather than taking time out for the heart, as well.",1460419200,,917,5.0
3848389,5,B0025KVNOU,you must watch!!,1459296000,,16,4.666666666666667
3848390,5,B0025KVNOU,good,1457049600,,4,4.0
3848391,5,B0025KVNOU,I love the humor in night court. One of my all time favorite sitcoms ever.,1453334400,,74,4.0
3848392,5,B0025KVNOU,hubs loved it,1453161600,,13,3.6666666666666665
3848393,5,B0025KVNOU,Nice to see them as an adult. Remember watching them as a kid and now it's a completely different show.,1449878400,,103,4.2
3848394,5,B0025KVNOU,Arrived on time and as described,1449792000,,32,4.5
3848404,5,B0025KVNOU,Loved this show! Had to buy the entire series!,1447977600,,46,4.222222222222222
3848405,5,B0025KVNOU,I grew up watching Night Court so it's awesome to have the series on DVD. I definitely go back to my youth when watching these episodes. They don't make sitcoms like this anymore.,1447804800,,179,4.454545454545454
3848406,5,B0025KVNOU,Great,1447718400,,5,5.0
3848407,5,B0025KVNOU,Awesome,1447372800,,7,7.0
3848408,5,B0025KVNOU,Thank you!,1445817600,,10,4.5
3848409,5,B0025KVNOU,Almost forgotten how great this show is and still holds up.,1444780800,,59,4.454545454545454
3848410,5,B0025KVNOU,as expected,1444003200,,11,5.0
3848411,4,B0025KVNOU,it is what i as for,1443398400,,19,2.3333333333333335
3848412,5,B0025KVNOU,Love Night Court own all seasons,1440115200,,32,4.5
3848413,5,B0025KVNOU,This show will make you laugh.,1438646400,,30,4.166666666666667
3848434,5,B0025KVNOU,Who wouldnt love night court?? Its a fun show ...hughly reccomend to anyone who needs to laugh their butt off,1438128000,,109,4.5
3848435,2,B0025KVNOU,"I knew it wasn't hd, but the quality isn't very well at all. The disks had problems getting to individual episodes.",1435968000,,115,4.523809523809524
3848436,5,B0025KVNOU,I bought this for my husband it is a great tv show.. He really enjoys it and so do i,1434672000,,84,3.25
3848437,5,B0025KVNOU,great shape,1434240000,,11,5.0
3848438,5,B0025KVNOU,Great  !!!!!!!!,1431302400,,15,6.5
3848439,5,B0025KVNOU,Fun 80's comedy,1431043200,,15,4.333333333333333
3848440,5,B0025KVNOU,"Another great (To Me) TV series that Amazon had for a very good price for an entire season. Fast, easy Prime shipping makes this a good deal for me.",1430956800,,148,4.137931034482759
3848441,5,B0025KVNOU,Very funny series! Just wish the entire series could be packaged as one.,1430352000,,72,4.615384615384615
3848442,5,B0025KVNOU,Great!,1426636800,,6,6.0
3848443,5,B0025KVNOU,Classic night court.  Season three is a great season.,1425859200,,53,4.888888888888889
3848463,4,B0025KVNOU,One of the few sitcoms I can watch,1425686400,,34,3.375
3848464,5,B0025KVNOU,A gift.,1425340800,,7,3.0
3848465,5,B0025KVNOU,Always great.  Post makes it even better.,1425340800,,41,4.857142857142857
3848466,5,B0025KVNOU,love it,1424908800,,7,3.0
3848467,5,B0025KVNOU,"I'd forgotten how funny Night Court was and the first season was a little slow getting started.  But by season 2, they had found their niche, and season 3 builds on that.  I'm ready to move on to season 4.",1424304000,,205,4.1
3848468,5,B0025KVNOU,"Night Court season 3 saw two major cast changes the first being that Markie Post joins the cast as Christine Sullivan and Florence Halop joins as Flo a new bailef to replace Selma Diamond, who died shortly after season 2 ended. It would be easy to say that Flo is the same kind of character as  Selma was but she quickly comes into her own as a slightly more mean-spirited character. This season would also see some of the shows first real attempts at more dramatic work. The season starts out with Bull getting drunk  over Selma's death and not taking it very well, Harry quits his job because of a ruling he made that gets a kid shot and Flo is being forced to retire against her will, and then there is all star 2-part season finale that features a Hurricane, a group of pregnant women that goes into labor and the Night Court crew and a few guest stars find their hands full ending with  Harry talking to God. Sadly this would be Florence Halop's first and only season because she died shortly season 3 wrapped.",1423008000,,1015,4.388297872340425
3848469,5,B0025KVNOU,I loved looking at this old tv show. It all ways make me laugh.,1422403200,,63,3.5714285714285716
3848470,5,B0025KVNOU,Night Court was always good for a laugh.,1421366400,,40,4.125
3848471,5,B0025KVNOU,great,1420761600,,5,5.0
3848472,5,B0025KVNOU,What a surprise.  I have watched all the season and love them all!,1418947200,,66,4.076923076923077
3848473,5,B0025KVNOU,Exactly what my son wanted for Xmas.,1418947200,,36,4.285714285714286
3848474,5,B0025KVNOU,"Really enjoyed the show years ago, and even now the humor remains classic.  The video quality is very good, and the discs work well.  Good price for some good entertainment.",1417824000,,173,4.733333333333333
3848475,4,B0025KVNOU,"Like a lot of old shows, these don't seem as funny as they once did.",1416960000,,68,3.6
3848476,4,B0025KVNOU,Loved it,1415491200,,8,3.5
