,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3904479,1,B002C6VMKC,One expects a higher priced Blu-ray Edition to be an improvement over the DVD Release. This release omits the Raymond Burr Godzilla King Of the Monsters version. Now instead of passing thew DVD on to a youngster I'll HAVE to keep both. I will not get tripled dipped on this one. Classic Media dropped the ball with this release. They've tarnished their impressive record of Kaiju releases,1254528000,8,388,4.8059701492537314
3904480,3,B002C6VMKC,"I bought the 2 disc dvd of Gojira that was released a few years ago. I definitely prefer the original Japanese version of the film versus the U.S. cut. I was very excited to find out that this monster movie/horror classic was coming to blu-ray. I eagerly awaited getting this disc home and watching it. BE WARNED: this blu-ray only displays up to 1080i. The picture is not that bad but it could have been better. This film is in dire need of a full restoration; if it is possible. The video is a notch better than the dvd; but not breathtaking by any means. In Japan, Godzilla movies are coming out on blu-ray. Let's hope that some of them come out on blu-ray over here: preferably ""GMK-Giant Monsters All-Out Attack"", ""Godzilla Final Wars"", ""Mothra vs. Godzilla"" (1964), ""Godzilla vs. MechaGodzilla"" (1974), ""Destroy All Monsters"", ""Godzilla vs. Hedorah"", ""Godzilla vs. Biollante"", ""Ghidorah The Three-Headed Monster"" and other Toho mammoth hits like: ""Frankenstein vs, Baragon"", ""War Of The Gargantuas"" and ""Rodan"". And hopefully they will be full restorations. After all the money we pay for blu-ray discs, we should not accept half-done, half-job upgrades. If anyone does not believe old films can not be totally digitally restored, watch ""Live And Let Die"" (1973), ""The Day The Earth Stood Still"" (1951) and ""In The Realm Of The Senses"" (1976) Criterion Collection.",1254096000,17,1370,4.986899563318778
3904481,5,B002C6VMKC,"As with many here I have several versions of Godzilla on different media. I could not resist the Blu-ray offer. It is the original with an English subtitle option and a few DVD extras. But there was no effort to clean up the scratches from the old film. The scratches are clearer and sharper.  There is the obligatory overlaid commentary.

""He wanted us to be happy...""

We get a full Godzilla with the warning about what happens if you didle around with the bomb. The anticipation of the big lizard is lots of fun but if you have not seem the film before you will have to read the subtitles fast. Then you will need to re-watch the film to see the acting.

If you watch many Japanese movies you will notice that many of the actors are majors in other movies. Emiko Yamane is played by Momoko Kchi one of my favorite from ""The Mysterians"" (1957). The paleontologist is played by Takashi Shimura from ""The Seven Samurai"" (1954).

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Mysterians-Momoko-Kchi/dp/B00068NWJW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Mysterians ~ Momoko Kchi</a>",1253750400,2,1099,5.186440677966102
3904482,3,B002C6VMKC,"This review is for the Blu-Ray version of Gojira.  Which Amazon, in its infinite wisdom, has not only bunched the reviews, but the contents of the regular DVD into the description.

I'm torn between liking this and hating this Blu-Ray version.  The picture is tight.  And I mean real tight.  The images on my Sony XBR 34 HD are practically 3D. The lighting, except for some natural blemish, is gorgeous just like the night scenes are beautifully hellish.  It's also cool seeing all the wires (FX) and folds of the G-suit in Blu-Ray tightness.  My complaints are the following:  This print should have been restored.  To have all the lines and scratches on a Blu-Ray transfer just doesn't make sense and makes you feel like you've wasted some cash.  I also believe that even in this ""original"" Japanese"" version there was a scene cut out.  I remember Ogata and crew travelling on a train and Emiko talking about how she survived Nagasaki.  At least I think I saw this in the Realto version when they had a limited release a few years ago in NYC.  I would have also like to have seen some sort of interview, whether made for the DVD or old newsreel clips, of the people who took part in creating the film.  Such as Ishiro Honda, Akira Ifukube and so on.  The extras provided by American fans are actually interesting but it would have been a nice accompaniment to have the real players involved.

That is all.",1253664000,10,1407,4.5458167330677295
3904483,5,B002C6VMKC,"Gojira BD has a great picture of scratchy lines, dirt and speckles covering good and not very good prints of what must have been a great cinema shoot. But, please have HD fun with my favorite monster and love the scratches. Aside from that, it looks and sounds better than the DVD. The disc is tuned for your system, the DVD isn't.
This Blu-ray is close to the print used on the DVD, adjusted a bit more than you can do on your TV;... and get it for that. But also/or buy the the DVD with the US Version with the Mythical Raymond Burr, who did a sequel!
Is it budget or creativity; this BD gives you a true 'retro' picture.",1253664000,,623,4.1570247933884295
3904484,5,B002C6VMKC,"There's a bunch of people saying that this is just the Americanized version of the film, but this is completely false.  The Japanese version of the film is included on one disc.  The original 98 minute Japanese version without Raymond Burr.  Everything from Classic Media's 2006 2 DVD release is being included on one disc here, except for the disappointing omission of the American version and the great commentary that went with it.

If I have on disappointment with this release it's that the disc appears like it won't feature any upgrades from the 2006 DVD version.  So you will get two documentary's, the creation of the Godzilla suit and story development, one audio commentary (which is outstanding), and the original trailer.  These are good extras, particularly the commentary, which is one of the best for any DVD, or Blu-Ray release that I have ever heard, but if you own the DVD you already have this plus the American version of the film and a commentary to go along with it.

Personally I was hoping that Classic media would wait until they could get Toho's brand new remastered print for this film.  That print is being released along with the rest of the Godzilla catalog starting now in Japan for about 68$ apiece.  In fact Japan's release of this film comes out this month as well.  The print used here is the same one that was used for the DVD release.  Which means it is serviceable, but there is a lot of print damage throughout.  Perhaps Classic Media is planning on re releasing this film in the future with the new remastered print.  We'll have to see what they do.

Regardless, if you already have the 2006 release all that your getting here is the same print with the same extras minus the American version of the film and the commentary that went with it, which seems like a waste of money to me.  If you don't own the DVD release or this Blu-Ray yet then I recommend sticking with the 2006 DVD release for now.",1253232000,4,1939,4.563583815028902
3904485,5,B002C6VMKC,"The only version of this film that I have see is with Raymond Burr. Going by the title, this may be the original Japanese version without Burr.

Quote from Leonard Maltin's Movie Guide: ""Originally released in Japan in 1954 as GOJIRA (a far superior film), at 98m; over 20m. were eliminated and inserts with Burr were added.""

Going by the title on the cover and the 98mins in the discription, this is more than likely the first release without Burr, that I have never seen. I hope this is the original Japanese version.",1252454400,,520,4.580645161290323
3904486,5,B002C6VMKC,"I already have the standard deff release of this classic, cant wait to see what the Blu-ray version looks like.
But I don't need to see it to rate it 5 stars, unless the studio does something really stupid with the transfer.
EDIT: I still give the original Japanese version 5 stars, but I have learned from the comments, and after reading
the review of the Blu-ray release compared to the Sony and BFI versions at DVDBeaver, the Blu-ray transfer is sadly lacking.
What a downer!!! I canceled my Blu-ray pre-order. I guess I will just stick with my Sony version which has the
original and the ""Americanized"" chopped up version with Raymond Burr on a seperate disc.
Maybe someday someone will release this classic on Blu and do it right. I am so dissapointed.",1252454400,,757,4.614814814814815
3904487,5,B002C6VMKC,Godzilla is the king of all monsters no matter what anybody says. King Kong has nothing on Godzilla,1252195200,,99,4.555555555555555
3904488,2,B002C6VMKC,Unfortunately this Blu Ray doesn't contain the American version with Raymond Burr. The audio aspects lean heavily towards the treble side and distorts when played loudly. The picture is clear but imperfections from the original can be seen throughout the movie. The Japanese version is quite interesting and the story line flows together nicely and doesn't jump around like in the American version. Your best bet is to spring some extra money for the Criterion copy which has both versions and to my understanding contains better audio and video qualities.,1458518400,,556,5.188888888888889
3904489,1,B002C6VMKC,The description States this is both the Japanese version and the American version on one Blu-ray disc. What I received was not that. Very disappointing.,1456099200,,152,5.12
3904490,2,B002C6VMKC,"Buyer beware, this says it includes the Americanized version of the movie as well, but it doesn't.",1454198400,,98,4.823529411764706
3904491,5,B002C6VMKC,"It Doesn't really matter whatever Sequel or Reboot is made these days, nothing beats the Original Legend in it's true glorious horror form. The only other film that has come close to it was the 1985 film which I am still waiting to be Re-released in Bluray format in the U.S.  The only exception as others take it is the not so much improvements. It's a bit difficult to restructure a film using the original content cinema equipment material that was used in that era. The only other format that has more improvement is the Criterion Edition but it's unfortunately in standard mode not HD.",1453680000,,590,4.619047619047619
3904492,5,B002C6VMKC,Monster Classics 5 stars love them all!,1449446400,,39,4.714285714285714
3904493,1,B002C6VMKC,"An absolutely horrible transfer of analog to digital.  It has lines across the screen that make it look like you are watching the film through window shades.  ""Blotches and smears"" travel up the screen while it's playing.  I was really disappointed as this is one of my favorite movies.",1447804800,,286,4.795918367346939
3904494,5,B002C6VMKC,"I purchased Gojira Blu-Ray back in June 2015 and finally had a chance to view it. The clarity of the picture is very good and not disappointing. I was disappointed because Godzilla king of the monsters starring Raymond Burr was not in it as described, however I also purchased Godzilla the criterion collection in Blu-Ray which had both movies as listed. I'm a true Godzilla fan since I was a kid and just starting to build my Godzilla collection in Blu-Ray. If your looking for Godzilla King of the monsters in Blu-Ray please purchase the criterion edition of Godzilla",1447545600,3,569,4.757575757575758
3904495,3,B002C6VMKC,This product clearly stated in the description that it included both the original Japanese classic and the 'Americanized' version. This is why I purchased it. This did not include the 'Americanized' version.,1438646400,2,207,5.5
3904496,5,B002C6VMKC,The king of monsters!!!,1437696000,,23,5.0
3904497,5,B002C6VMKC,Amazing original classic without the Americanized stuff added later!,1434240000,,68,6.666666666666667
3904498,3,B002C6VMKC,anyone looking to buy this movie just a heads up it DOES NOT have the American version as advertised.,1433289600,,101,4.368421052631579
3904499,5,B002C6VMKC,Oh yes,1424736000,,6,2.5
3904500,5,B002C6VMKC,Thank you. An awesome product from an awesome seller!,1422230400,,53,5.0
3904501,5,B002C6VMKC,Great,1419811200,,5,5.0
3904502,5,B002C6VMKC,"Great quality. Love the blu-ray quality. I have compared it to a DVD version I own, and it's amazingly better. Get it ASAP Godzilla fans!",1416268800,,137,4.52
