,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3910058,2,B002DDIQX0,"WESTBOUND(1959)---(directed by Budd Boetticher)---Randolph Scott, Virginia Mayo, Karen Steele, Andrew Duggan, Michael Dante, Michael Pate.
One of the seven westerns director Boetticher made with Scott(""7 Men From Now""; ""The Tall T""; ""Ride Lonesome""; ""Buchanan Rides Alone""; ""Decision At Sundown""; and ""Comanche Station""). Although all seven are high grade, ""B"" westerns, this one is, IMO, the weakest of the bunch. Scott plays a Union officer ordered to return to his civilian job of running a stagecoach line that will be carrying regular shipments of California gold that is desperately needed to conduct the war against the Confederacy. The stage line is based in a town run by a man(Duggan) who is sympathetic to the South and is determined to stop the gold from getting into Union hands and divert it to the Confederate war effort. Mayo plays Duggan's wife, who once had ""a thing going on"" with Scott. Steele plays the widow of a disabled Union soldier who was murdered by a member of Duggan's gang. She agrees to help Scott run the stage line. Given the poor quality of her acting ability, her only apparent reason for being in the film is her ample bosom and to provide a ""wholesome"" love interest for Scott, who no longer has any feeling for Mayo. This is an ""okay"" film, but suffers when compared to the other ""Boetticher/Scott"" films in the cycle(IMO, the best of the lot is, ""7 Men From Now"", which features Lee Marvin in an early role as a terrific ""bad guy"").",1258243200,11,1472,4.845238095238095
3910059,5,B002DDIQX0,I like Randolph Scott what else is there to say,1456963200,,47,3.8
3910060,5,B002DDIQX0,Rally liked this movie.,1455408000,,23,5.0
3910061,5,B002DDIQX0,Excellent service. Great product.,1439424000,2,33,7.5
3910062,4,B002DDIQX0,"Another good Randolph Scott western.  Virginia Mayo and Karen Steele are lovely to look at too.  Good story and very good performances.

Mr. Scott is great as usual.  I thought it was one of his better entries.  Fans of westerns and Randolph Scott should enjoy this one a good deal.",1437782400,2,282,4.56
3910063,3,B002DDIQX0,"Budd Boetticher distanced himself from this movie since it was done under contract. As a result, the story, relationships, and characterizations are weaker than his other collaborations with Randolph Scott.

Scott makes the film watchable with his competence, likability, and compassion; I'd recommend it only for fans wishing to complete the Ranown Cycle.

Seven Men From Now (1956) is the best of the cycle, imo.
The Tall T (1957) and Ride Lonesome (1959) are highly recommended.",1436313600,,481,5.315789473684211
3910064,5,B002DDIQX0,"Great Randy Scott western, directed by Budd Boetticher.",1430870400,,55,6.0
3910065,5,B002DDIQX0,Great Movie,1428796800,,11,5.0
3910066,4,B002DDIQX0,I enjoyed the movie.,1418601600,,20,4.25
3910067,3,B002DDIQX0,Run of the mill Randolph Scott western,1410048000,,38,4.571428571428571
3910068,5,B002DDIQX0,"Love Most Of His Work !!

It Worth It !!",1409529600,,40,3.0
