,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3948333,5,B002LITRJ4,"Betty and Don Go To Rome to Visit Connie Hilton is the thrust of this episode.  The attention to detail right down to Italian interior decor, hair styles and fashion of the 1960s is nothing short of astonishing.  Fellini himself couldn't have accessorized his own sets any better!  While in Rome, Betty gets made over in the Italian style for an evening and she is barely recognizable.",1254700800,2,385,4.7164179104477615
3948334,5,B002LITRJ4,"The two lasting images in this episode are Betty with her new-old Victorian fainting couch with dress to match and Don in a late night reenactment of the noir film NIAGARA, seedy motel and all. Everyone else is good too but maybe it is because everyone back in that time period wanted to BE Betty or Don, that they captivate us so. Everyone continues to jockey for position at Sterling Cooper.  Seemingly the order of the day is to just outflank your colleagues at Sterling Cooper.  Cooper himself outflanks Draper so that Draper can't leave him high and dry while Peggy tries to do just that--moving out and on, probably with Duck who has all female product clients with another agency. Joan is gone but I really don't believe it. As for Roger Sterling........... uhm..... Roger who?",1254096000,,784,4.7153284671532845
3948335,5,B002LITRJ4,"This episode reminds me of Woody Allen's MATCH POINT.  The whole thing turns on a simple twist of fate or luck. The Brits who now own the agency come over for a meet and greet.  There are three of them and they have plotted out exactly how the agency will further change.  The two older Brits have a bright young man with his Oxford degrees and such along with them and it is clear this is their fair haired young knight in shining armor.  He is going to be their new star player on the meeting the clients side.  This isn't great news for Don but he's still creative so he's less affected than others, who are just being mowed over by the Brits, especially Sterling who is left without any purpose or title.  But then there's that twist of fate or luck which takes place and everything is upended again.  Great episode.  I loved it.",1254009600,,833,4.294871794871795
3948336,5,B002LITRJ4,"I began watching Mad Men online and here I am in the third season and loving it every bit as much as ever.  This is the fourth episode of the third season and we are knee deep in the Draper family and the Cooper Sterling ad agency once again. An especially touching part of this episode is the little Draper girl spending time with her grandfather in his waning days. Another aspect of parents and their children is brought home at the ad agency when the son of a corporate titan decides to invest his future and fortune in the game of jai alai, predicting it will make baseball become passe in the USA.  We all know how he is going to fare but he barges ahead anyway.  The tv keeps us roughly abreast of where we are in time and I can tell we are in countdown mode to the Kennedy assassination.  I am on the edge of my seat imagining the impact it will have on these characters.  I am staying tuned and you should start!",1252281600,3,921,4.151685393258427
3948337,5,B002LITRJ4,My fav. show,1509753600,,12,3.3333333333333335
3948338,5,B002LITRJ4,loved it,1507420800,,8,3.5
3948339,5,B002LITRJ4,End of the collection,1506470400,,21,4.5
3948340,5,B002LITRJ4,"No problems anywhere, happy with the purchase.",1501977600,,46,5.714285714285714
3948341,5,B002LITRJ4,DVD in good condition & a good story,1498176000,,36,3.625
3948342,5,B002LITRJ4,yes,1494547200,,3,3.0
3948343,5,B002LITRJ4,"I had to wait until I could see all of these seasons, before I could rate the DVD's of them. All I can say now is ABSOLUTELY EXCELLENT!, and I thoroughly enjoy the special features that are included. I followed all of Mad Men when it was on AMC, and really enjoyed reliving it all now. I cherish this collection!",1491955200,,312,4.216666666666667
3948344,5,B002LITRJ4,The DVD is just as advertised. Will buy from the vender again.,1490054400,,62,4.25
3948345,5,B002LITRJ4,Great!,1486512000,,6,6.0
3948346,4,B002LITRJ4,"Mad Men continues to deliver in it's third season with many unexpected twists and turns.  Some negative reviewers complain about the slow pacing but perhaps they're not appreciating the deliberate evolution of the characters and the plot.  Spoilers ahead; Betty discovers Don's secret past, a British firm buys out Sterling/Cooper and then after their Brit efficiency expert raises the value of the firm it's sold leaving everyone's future in question.  Don has an affair with one of his kids teachers, Betty takes up with a political fixer for Gov. Nelson Rockefeller and decides to divorce Don despite recently having a baby boy with him.  Peggy has a relationship with Duck Phillips , and we get to meet famous hotelier Conrad Hilton who gives Don his account for the agency but turns out to be a high maintenance client.  Ultimately Don, Bert Cooper, Roger, Lane Pryce, decide to start their own agency through clever maneuvering bringing along Pete Campbell, Peggy, Harry Crane, and Joan operating out of a hotel suite.  Once again Matt Weiner provides a rich script chock full of engrossing story lines that are artfully blended together along with his eye for detail capturing the era to perfection.  There are reasons that ""Mad Men"" garnered all the awards and acclaim that it has and Season 3 provides ample proof.",1484697600,,1323,4.986363636363636
3948347,5,B002LITRJ4,addictive program.,1481587200,,18,8.5
3948348,4,B002LITRJ4,The characters seem very human; flawed personalities but realistic.,1480982400,,67,6.555555555555555
3948349,5,B002LITRJ4,This show just gets better with every season as the plot complications mount.,1475280000,,77,5.0
3948350,5,B002LITRJ4,Discs in great condition.,1475280000,,25,5.5
3948351,5,B002LITRJ4,Great show and blu ray really lets all the detail shine through pristinely.,1471305600,,75,4.846153846153846
3948352,5,B002LITRJ4,Addictive!,1469923200,,10,10.0
3948353,4,B002LITRJ4,"Season 3 was subtle in form. It gently transitioned from seriousness in pretense to assertiveness in the face of uncertainty. The new agency, Betty's new romance, Joan returning to the fray... I can't wait to watch Season 4 in its entirety!",1466553600,,240,4.878048780487805
3948354,4,B002LITRJ4,I am very please with the purchase.,1466208000,,35,4.142857142857143
3948355,5,B002LITRJ4,Exactly what I was expecting.  I was not disappointed.,1464566400,,54,5.0
3948356,5,B002LITRJ4,"This is a super fantastic great product at a great price. I'm very happy with it and glad I made the purchase. You will be too, so don't wait until they are all gone. Trust me, if I didn't like it, I wouldn't say that I did. I like it a lot.",1463788800,,241,3.6538461538461537
3948357,5,B002LITRJ4,Great show,1461369600,,10,4.5
3948358,5,B002LITRJ4,"This was made for John Ham, as I do not even recognize him in other movies.  He made this series shine and WAS the character.",1460937600,,125,4.0
3948359,5,B002LITRJ4,I love this show and have purchased all the season!,1459382400,,51,4.2
3948360,5,B002LITRJ4,"I bought these DVDs for my mom, and she loves them. They shipped timely.",1458691200,,72,4.214285714285714
3948361,5,B002LITRJ4,A Must for all Mad Men Fans!,1456876800,,28,3.142857142857143
3948362,5,B002LITRJ4,Any season of MadMen is awesome.,1456444800,,32,4.5
3948363,5,B002LITRJ4,already commented,1455408000,,17,8.0
3948364,5,B002LITRJ4,"One of the best shows out there! The acting, character development, cinematography, and art are basically perfect.",1454889600,,114,5.764705882352941
3948365,5,B002LITRJ4,geat,1452643200,,4,4.0
3948366,5,B002LITRJ4,What's not to love about Mad Men!,1450224000,,33,3.857142857142857
3948367,4,B002LITRJ4,"Wife liked it, so I like it",1448150400,,27,3.0
3948368,5,B002LITRJ4,"arrived excellent condition, i have no complaints",1447200000,,49,6.142857142857143
3948369,5,B002LITRJ4,Love all the seasons  and  love John Hamm,1446854400,,41,4.0
3948370,5,B002LITRJ4,watching the series on my own schedule was great. Got so involved in story line that I watched entire season in a day.,1446422400,,118,4.173913043478261
3948371,5,B002LITRJ4,Great price for the product.,1445990400,,28,4.8
3948372,5,B002LITRJ4,Love the show. Very interesting how the ad campaigns revolve around real products of the 60s. Lots of affairs too.,1445212800,,114,4.75
3948373,5,B002LITRJ4,"Fast delivery, great price.",1445040000,,27,6.0
3948374,5,B002LITRJ4,I enjoyed every season and ever show of Mad Men!  I am sorry that it ended!,1442361600,,75,3.6875
3948375,4,B002LITRJ4,"Season 3, is just as good as season one and two.  looking forward to seeing the entire run of the show, season by season.  Sorry I did not watch it when it was on TV, but glad that Amazon carries the DVD;s so I can watch each episode more than one time to catch the nueances.",1442275200,,275,3.892857142857143
3948376,5,B002LITRJ4,Bought as a gift and assume there was no problem watching the season. My rating is based entirely on the condition the product arrived in and not on the show itself.,1442275200,,165,4.354838709677419
3948377,5,B002LITRJ4,enjoyed,1442188800,,7,7.0
3948378,5,B002LITRJ4,Great show,1441670400,,10,4.5
3948379,5,B002LITRJ4,Awesome!,1440892800,,8,8.0
3948380,5,B002LITRJ4,"Perfect gift, price, & quick shipping.",1439942400,,38,5.5
3948381,5,B002LITRJ4,Love it.,1438214400,,8,3.5
3948382,5,B002LITRJ4,Great series; timely arrival.,1437436800,,29,6.5
3948383,5,B002LITRJ4,It's Mad Men...what more do I need to say?,1437436800,,42,3.7777777777777777
3948384,4,B002LITRJ4,Nice and interesting! Like.,1437177600,,27,6.0
3948385,5,B002LITRJ4,Outstanding series!,1437177600,,19,9.0
3948386,5,B002LITRJ4,Love the series,1436745600,,15,4.333333333333333
3948387,5,B002LITRJ4,"As a baby boomer, love the time period for this film in early 60s.  Get to reminisce about news of that time.  Hard to believe there was so much smoking by so many.  Good story lines yet wonder if the lead male (Don Draper) will finally be monogamous.  Good to see the lead female (his wife Bette) is beginning to develop as a character as a woman who needs to be more liberated and stand up for herself.",1436400000,,404,4.141025641025641
3948388,5,B002LITRJ4,Set in the sixties so fun to see all the reminders of younger years.  Storyline is always evolving!,1436140800,,99,4.5
3948389,5,B002LITRJ4,Love this series. Great writing.,1435968000,,32,5.6
3948390,5,B002LITRJ4,Great TV,1435881600,,8,3.5
3948391,5,B002LITRJ4,Great,1435536000,,5,5.0
3948392,4,B002LITRJ4,I keep hoping the series will not be so depressing.  Every character except the Roger Sterling character seems depressed.,1435276800,,121,5.368421052631579
3948393,4,B002LITRJ4,"With each season, I remember better and better why I got out of this business . . .",1435017600,,83,3.6666666666666665
3948394,5,B002LITRJ4,"I highly recommend this season of Mad Men. It is worth the purchase. I watch a lot of shows online, but this is one that is well worth the purchase! If you are on the fence about buying this, then do it!! You won't regret it!",1434672000,,225,3.9130434782608696
3948395,5,B002LITRJ4,So great!,1434585600,,9,4.0
3948396,5,B002LITRJ4,Great series!,1434153600,,13,6.0
3948397,5,B002LITRJ4,Absolutely love this show... Amazing!! I want to give it 100 stars lol,1434153600,,70,4.461538461538462
3948398,5,B002LITRJ4,Just love this whole series,1433721600,,27,4.6
3948399,5,B002LITRJ4,Awesome show!,1433721600,,13,6.0
3948400,5,B002LITRJ4,Cannot wait to watch this season.,1433203200,,33,4.666666666666667
3948401,5,B002LITRJ4,I'm hooked,1431907200,,10,4.5
3948402,5,B002LITRJ4,One of the best written story lines I've ever watched,1431820800,,53,4.4
3948403,5,B002LITRJ4,"Nothing sappy or sentimental about this series as far as I'm concerned.  A constant treat for women (maybe men too, I don't know).  Love the interior designs, the clothes, Jon Hamm.",1431388800,,181,4.806451612903226
3948404,4,B002LITRJ4,Great,1431043200,,5,5.0
3948405,5,B002LITRJ4,A+,1430524800,,2,2.0
3948406,5,B002LITRJ4,It was great!  They are all a mess but you cannot help but love them anyway.  Every episode peals back another layer of each character which keeps you hooked!,1430438400,,158,4.413793103448276
3948407,5,B002LITRJ4,Great,1430006400,,5,5.0
3948408,5,B002LITRJ4,"first time watching mad men, only wanted to find out how good a actor Aaron Stanford is in different roles, he was great!",1429747200,,121,4.304347826086956
3948409,5,B002LITRJ4,GREAT; YOU NEVER KNOW WHAT HE WILL DO NEXT.,1429574400,,43,3.888888888888889
3948410,5,B002LITRJ4,really good,1429401600,,11,5.0
3948411,5,B002LITRJ4,"As always, its great",1429315200,,20,4.25
3948412,4,B002LITRJ4,"Wonderful series from the 60's. Can almost smell the cigarettes, but without the nicotine - ha.",1429142400,,95,5.0
3948413,5,B002LITRJ4,No likable characters in this drama but you just can't stop watching it!,1428796800,,72,4.615384615384615
