,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4070234,5,B0035ECHVI,"Whenever I'm asked what my favorite Godard film is, I always receive funny looks when I tell them Vivre Sa Vie. I know it's not as energetic as his earlier films like Breathless and Band Of Outsiders, but it is one of the only truly touching films Godard ever made. Watching Vivre Sa Vie is like a cinematic awakening. This film has a lot of heart. Nothing about the soul of the film is staged in any way, the soul of the film is defined by its own constantly evolving personality which makes the emotional toll of watching Vivre Sa Vie wholly organic and very real. Its as if we are watching a film being born out of an idea, we watch the film have fun with its new found life, and we watch how it all ends. A clever metaphor for the life creative people give to inanimate objects, and for the passion that is ultimately lost on them. Godard never tries to force this one on you. Godard has split the film into twelve different tableaux in order to tell his story, a device that has been borrowed and used time and time again. The most important thing about Vivre Sa Vie is that Anna Karina's best performance can be found here as a prostitute in 1960s France. Karina is astonishingly good in Vivre Sa Vie. Without a doubt the finest film Godard and Karina ever worked on together.

Rather than go over the entire film and all of the ideas and statements Godard makes with it, which would take forever, I'll simply talk about one scene in particular that has since been branded into my heart.

It takes place in a movie theater. Anna Karina is watching Carl Theodor Dreyer's silent masterpiece The Passion Of Joan Of Arc, and begins to weep. We watch as she connects deeply with a film, and we in turn are affected by it as we are reminded of how moving a great film can really be. The entire sequence is breathtaking. One of the most touching things Godard ever filmed. This isn't to say that Godard is not a heartfelt filmmaker, there are personal moments in most of Godard's films, but sometimes he strives more of an artist than a human filmmaker. Here, in Vivre Sa Vie, the soul of the filmmaker can be found in all of its compounding sentimentality.

This scene means so much to me because never has the act of investing yourself emotionally in a film been explored to such a startling result. Anna Karina watches the film in tears, and she looks incredibly wondrous and innocent. Watching films can be a beautiful experience. Vivre Sa Vie demonstrates that wonderfully.",1369008000,,2477,4.4635761589403975
4070235,5,B0035ECHVI,The tragic story of a beautiful young French woman who works in a record store near the Arch of Triumph but as in the case of many jobs in Paris-France the job pays next to nothing and she is forced into prostitution.  Many cases were like that in Paris at the time.  This movie is not really fictional,1359849600,,302,4.189655172413793
4070236,5,B0035ECHVI,GREAT CRITERION WORKS FOR A GODARD AWARD-WINNING WORK...STILL DON'T GET WHY THE WOMAN CHOSE TO BE THIS WAY. MAYBE LIFE IS JUST LIKE THIS.,1359849600,,137,4.75
4070237,5,B0035ECHVI,"This is probably one of the best movies I've seen in over 20 years.  Anna Karina is absolutely gorgeous and amazing as a woman just trying to stay alive, to live her own life.  She is so breathtakeingly beautiful, she could be Angelina Jolie's mother.  Most definately one of Godard's best works.  The ending blew me away!",1352764800,,322,4.5964912280701755
4070238,5,B0035ECHVI,"I cannot imagine anyone seeing this movie and ever being able to forget it.  The director examines a life (Nana) and offers 12 discrete episodes that jump in time. Taken together, they paint Nana's gradual descent into prostitution...when she runs out of money and loses her dream of becoming an actress.

The movie begins with the camera focused on the back of the woman's head, with her face (only) reflected in the mirror.  She talks to the mirror, not to her boyfriend beside her, about the pain of the breakup.  Another episode involves her being in the audience at a movie theater showing another movie on screen: Carl Dreyer's ""The Passion of Joan of Arc"".  In this episode, Nana silently weeps.  (Not coincidentally, Joan of Arc was punished by men for trying to act as one).  Then there is the episode where Nana casually allows a man to make love to her for money. This is the first instance she trades sex for money.  It is pertinent she resists the man's desperate efforts to kiss her on the mouth.  Soon afterwards, there is a scene where a man embraces her in a hotel room while she looks away, all the while emotionally distant - smoking her cigarette.

A very powerful episode is one where she dances around a pool table listening to jukebox music - it's a very famous part of the movie.  This will be the first...and only time that we glimpse a smile on Nana's face.(Of course, that dance reminds one of her dance in Godard's film ""Band of Outsiders""). The tragedy of Nana's life is that bad luck has taken away all her potential for happiness. Ultimately, ""Vivre Sa Vie"" proceeds towards the inevitable climax when her pimp tries to sell her off to another pimp, as simple chattel.

Three matters stick most in my mind about the film. First, the story of prostitution is displayed on the screen without any touch of sentiment or fun.  There is no ""Pretty Woman"" nonsense here.  Second, Anna Karina is a radiant actress...and we understand immediately how quickly the director must have fallen in love with her.  (They were married at the time of the filming). Third, was the ending in which the camera itself looks down at the sidewalk, almost ashamed of the way this human life is being treated.

It is a masterpiece of neorealism, a film that is enhanced by the understated acting of the lead actress.",1344384000,6,2321,4.624390243902439
4070239,5,B0035ECHVI,"A fan of Godard's work, I had seen excerpts and the trailer on YouTube, which finally impelled me to buy this Blu-Ray disc.  I love this film on many levels.

Primarily, I wanted to see the Paris of 1962 again, the Paris of my first visit as a child, to smell the Gitanes and Gauloises, to see the people, the caf&eacute;s, the streets; the true Paris before it became an imitation of itself.  I still love Paris, and am conscious of some of the less positive changes, but choose to ignore them (as much as possible).  I mention this because Paris is very much a character in the film and is the page upon which the story has been written.  People who knew Paris in earlier years will especially appreciate it.  There is even a great shot of people standing in line for Truffaut's ""Jules et Jim"".  Shots like that give it somewhat a documentary feel, of being there in the present; and also it is somewhat of a time capsule of life in that time and place.

Secondly, I of course love Anna Karina who is incredibly beautiful and has such a lovely inner quality, plus her Danish accent drives French guys like me crazy (lol).  But when you see the filmed interview that comes with the disc, you will see how different she is in ""real life"" and appreciate even more her work as an actress, even if the character of Nana was a co-creation with Godard.  I wanted to see her in this film also because she was not yet really a big star, and I find there is less self-awareness in performance in the early part of a career, which is more interesting to watch.

Thirdly, I love the way Godard explores new ways of telling a story on film.  This was the type of film-making that inspired me in film school, and there are so many lessons one can learn from him.  I find watching his work really can open up one's mind, inspire creativity, and help one think outside the box.  So many films today seem very packaged and formulaic, so Godard for me is particularly refreshing.  Only 83 minutes long, this film seems to have more in it than some major epics.

The opening of the film looks a bit grainy, perhaps because of the low light exposure, and I wondered if the blu-ray made an appreciable difference in definition, but as the film continued I saw that the blu-ray does add to the clarity and was worth getting.

The story itself is tragic, so be prepared for that, even if there are some wonderful lighter moments.  One's heart breaks for all the Nana's who have met the same fate, but even so, Nana takes full responsibility for her actions.  Godard asserts that she was able to ""keep her soul"", but I doubt this is often true in real life.  In any case, it is refreshing to see a film from a time when one could have a 10-minute philosophical discussion on film, which I think would not really even be possible in France today.  Don't expect to be titillated though, and I greatly admire Godard for this, especially with the subject matter.  Today everything would unfortunately have to be very graphic, but Nana never is shown in more than the beginning stages of undress or finishing dressing.  There are a few nudes in one scene, but each is more like a brief ""still life"".  As a result, the sordidness of the ""profession""  becomes very real and believable, and for me it is proof that in film too, less is more.

There are a few nice extras, such as the interviews with Karina, and film prof Jean Narboni.  And there is an interesting documentary about prostitution in Paris at that time, including an interview with the author of the work upon which the film is based. I would have liked to have an interview with Godard from the period, but it is not on this disc.  The film however is itself very telling about Godard and his feelings about filming Karina, his wife at that time; feelings he expresses in a voice-over reading of the ""Oval Portrait"" by Poe, a story of an artist and his muse.  ""Vivre Sa Vie"" is very much such a story.",1326499200,8,3937,4.406639004149378
4070240,5,B0035ECHVI,"I am a huge Jean-Luc Godard fan, and, of his films, ""Vivre Sa Vie"" (My Life To Live) is my favorite. It's hard to  imagine watching this movie any other way than on Blu-Ray. It is just EXTRAORDINARY.",1315094400,,199,4.2368421052631575
4070241,4,B0035ECHVI,"It was 1962 and Jean-Luc Godard and wife, Anna Karina have worked on two films together ""Le petit Soldat"" (created in 1960 but released in 1963 due to the film being banned) and the 1961 film ""Une femme est une femme"" (A Woman is a Woman).  By that time, both Godard and Karina's marriage life became a public spectacle especially rumors that their marriage was on the rocks.

Despite their rocky personal life, Godard's goal was to make Karina a serious actress and in 1962, he began working on his screen adaptation of ""Vivre sa vie"" (My Life to Love) which utilizes the studies of prostitution from ""O en est la prostitution"" by Marcel Sacotte.  But Godard would have his most challenging directorial experience at the time when funding for the film was turned down and the budget for the film was 400,000 francs, less that ""Breathless"" and it would be the first film in which Godard would be co-producer (putting half of his money towards the film) alongside producer Pierre Braunberger.

""Vivre sa vie"" would create the film in 13 sequences, Godard called it ""tableaux vivants"" (live paintings) which was inspired by the 1931 film ""The Threepenny Opera"" (directed by Georg Wilhelm Pabst) and the film was shown at the Venice Film Festival in which the film received boos from the audience (because it was unlike his other films) and even received some critical pans by a few critics  but the film would go on to receive the Critics' Prize and the Special Jury Prize and those same critics that panned the film earlier, some would go back and watch it again and at this point, many proclaimed the film as Godard's masterpiece, even receiving praise from director/friend (at the time) Francois Truffaut and would be the first film for Godard to end the year in Cahiers du Cinema best ten list for that year.

VIDEO:

""Vivre sa vie"" is presented in 1:33:1 aspect ratio and in black and white.  For many years, many people had only a VHS  and import DVD to watch ""Vivre sa vie"".  And now people have the chance to watch Godard's tragic masterpiece in HD.  Detail is much more evident in the backgrounds, you can see the surfaces of the signs and the walls, detail on the stains of the walls to the detail in Karina's clothing.  Blacks are nice and deep, grays and whites and the overall contrast levels look fantastic.  There is a good amount of grain tot he film and for the most part, this is the most detailed version of ""Vivre Sa Vie"" available on any physical media at this time.

According to the Criterion Collection, the picture has been slightly windowboxed to ensure that the maximum image is visible on all monitors. The new HD digital transfer was created on a Spirit Datacine from teh original 35mm camera negative.  Thousands of instances of dirt, debris, scratches, splices, warps, jitter and flicker were manually removed using MTI's DRS system and Pixel Farm's PFClean system, while Digital Vision's DVNR system was used for small dirt, grain and noise reduction.

AUDIO & SUBTITLES:

""Vivre Sa Vie"" is presented in Monaural French with English subtitles.  Audio is presented in LPCM 1.0 and according to the Criterion Collection, the soundtrack was remastered at 24-bit from the optical prints.  Clicks, thumps, hiss and hum were manually removed using Pro Tools HD.  Crackle was attenuated using AudioCube's integrated audio workstation.

It's important to note that for this film, Godard went for an experimental use of sound.  That is the soundtrack (dialogue and noise) was recorded directly on a single track.  No sound editing, natural sounds and everything that one would hear in a regular conversation with another person is what you would hear in this film.  The only addition was the music to the live soundtrack during the post-production phase of the film.

Dialogue (as well as crowd ambiance) is clear and understandable and the bass line for the main theme song (especially during the dance sequences) sound very good in HD.

SPECIAL FEATURES:

""Vivre sa vie - THE CRITERION COLLECTION #512' comes with the following special features:

  * Audio Commentary - The audio commentary is by film scholar Adrian Martin and was recorded in 2001.  What I enjoyed about this commentary is Martin's knowledge of the film but also his enthusiasm about Godard's oeuvre and how the scene was shot.  Very detailed and informative audio commentary and definitely worth listening to!
  * Jean Narboni on Vivre sa vie - (45:15) A 2004 interview with French scholar Jean Narboni by film historian Noel Simsolo who breaks down various scenes from the film and it's script.
  * Cinepanorama: Anna Karina - (11:05) An interview with Anna Karina from the French TV program ""Cinepanorama"" from April 1962 before the release of ""Vivre sa vie"".
  * Faire Face: ""La Prostitution"" - (21:48) Featuring excerpts from ""La Prostitution"", an episode of the French TV series ""Faire face"" which aired back in Feb. 1961.  Featuring interviews with prostitutes, Max Fernet, Paris's director of police and Marcel Sacotte, author of ""Ou en est: La Prostitution"" which was the inspiration of ""Vivre sa vie"".
  * Ou en est: La Prostitution - Featuring text information on how Godard utilized Sacotte's studies on prostitution for the film and photos of pages from the Sacotte's ""Ou en est: La Prostitution"".
  * Stills Gallery - Using your remote, you can view various stills from the film.
  * Godard's Trailer - (2:22) The theatrical trailer for ""Vivre sa vie"".

EXTRAS:

  * 42-Page Booklet- Featuring the scenario ""Vivre Sa Vie Scenario"" by Jean-Luc Godard, the essay ""The Lost Girl"" by Michael Atkinson and an interview with Godard on ""Vivre sa vie"" for Sight & Sound Magazine (Winter 1962-1963), an interview with Jean-Luc Godard from Cahiers du Cinema from Dec. 1962, an essay on the film's soundtrack in ""An Audacious Experiment: The Soundtrack of Vivre Sa Vie"" by Jean Collet.

JUDGMENT CALL:

For any Godardite, let alone the Anna Karina fans not enjoy ""Vivre sa vie"".  I felt that the journey Godard has taken the viewers for the character Nana and her descent into prostitution was well done, there is no sugar coating the whole lifestyle of these women.  As Karina may be a woman who tries to maintain her soul despite being a prostitute, the only ending that I can foresee for this character was a tragic ending.  This was evident to me right when I saw the ""Joan of Arc"" film and Nana's face as she tearfully wept as Joan is to be put to death.

No sugar coating, no happy ending, no ""Pretty Woman"" type of ending, it is what it is.

""Vivre sa vie"" was a film that was a unique experience, especially having watched many of Godard's films and also having read about the personal turmoil that was going on behind-the-scenes with his marriage to his muse Anna Karina.

I look at ""Vivre sa vie"" as Godard trying to maintain his composure as a director and the audience, trying to make amends with his wife, Francois Truffaut, explain differences between ""Vivre sa vie"" and why ""A Woman is a Woman"" did not work but we also saw at the same time, the film alienating some Godardites and even upsetting his former friend/director Jean-Pierre Melville.

But as ""Breathless"" is seen as the flame that sparked the French New Wave and intellectual films, ""Vivre sa vie"" influenced cinema with lengthy dialogue which would become used by fellow directors and many young directors who were influenced by the film.  From the opening sequence of Nana and her husband, the camera shot is from behind, Godard wanted no distractions by showing the character's faces from the front but by the back.  The use of the tableux sequences and as mentioned, the dialogue sequences.  Where Rohmer made things much more intellectual in ""My Night at Maud's"", I can easily see why people criticized ""Vivre sa vie"" at first because of the dialogue was not as intellectual as they hoped for it to be.

Interesting to note, an interview is included in the book insert of how Godard wanted many people to understand his film (something that he would eventually get away from a few years later) and although Godard does read a passage from Edgar Allen Poe's book at the end of the film, the book that had any significance was ""Ou en est la prostitution"" by Marcel Sacotte.  The tricks of the trade in which Nana and her new pimp Raoul begin discussing and a way for Nana to make even more money.

But as the film does feature lengthy dialogue, not all were impressed, including one of Godard's earliest supporters Jean-Pierre Melville who was very critical towards him.  In fact, it was one of the major reasons that Godard and director Melville ended their friendship as according to Melville's wife Florence who recalled her husband telling Godard ""You are making a lazy man's cinema, this is no longer deserves the name of cinema, you put down the camera and you have people talk, nothing more.  For me, this isn't cinema"". (p. 141, ""Everything is Cinema"", Richard Brody) and in response Godard said, ""There can no longer be a friendship between us, if one doesn't like one's friend's film, no one can longer be his friend.""

But Godard received a good review from another earlier supporter, director Francois Truffaut who wrote ""There are films one can admire and yet that do not invite you to follow...why pursue it?  These are not the best films.  The best films open doors, they support our impression that cinema begins and begins again with them.  `Vivre sa vie' is one of those."" (p. 319, ""The Films In My Life"", Francois Truffaut)

So, the film received its boos but many people came around to declare the film as a Godard masterpiece.  But one thing I have always wondered was if there was an alternate ending to this classic Godard film.  If Godard had actually thought about another type of ending and the more I researched, I've read that Godard and Karina had a lengthy argument on how the film was supposed to end. Karina opposed the ending of the film and according to several books, because of the ending Godard chose, which went against his wife's wishes, it was the beginning of the breakup of their marriage (and another unfortunate incident involving Karina).

So, I've always found ""Vivre sa vie"" to be a unique Godard experience.  From Coutard's cinematography, Godard's use of the tableaux, Antonioni-like sequenes and the recording of the sound and ambiance from the actual filming and as much as I call this a Godard masterpiece, I've felt that Anna Karina was absolutely dashing in this film.  A role that gave the actress the depth she needed to showcase her emotional side and also her flirtatious side, needless to say, this is a film where Karina shined.

The Blu-ray release of ""Vivre sa vie"" is done quite well.  Not only do you get an informative commentary by film scholar Adrian Martin but the interview with film scholar Jean Narboni is also well-done and informative.  The other features are like icing on the cake, especially the hilarious interview with Anna Karina who is surprised by the questions asked by the interviewer and the 42-page booklet is a major plus.

Overall, ""Vivre sa vie"" is a release that many Godard fans have been waiting for (now all we need is ""Week End"") and the fact that The Criterion Collection also chose this film for Blu-ray release is fantastic.  Although ""Vivre sa vie"" is not my favorite Godard film (which still goes to ""Pierrot le fou""), ""Vivre sa vie"" is still a Godard masterpiece that is worth having in your cinema collection.

Definitely recommended!",1282003200,7,11508,4.803453529710513
4070242,5,B0035ECHVI,"My Life to Live is a highly stylized and extraordinarily unformulaic adaptation of a simple premise: a young woman, seeking the freedom and excitement of, what Federico Fellini calls La Dolce Vita, leaves her family to pursue an acting career, only to turn to a life of prostitution. From the opening sequence showing a detached, seemingly clinical exhibition of Anna Karina's face and profile, followed by an uneasy dialogue between Nana (Karina) and Paul (Andre-S. Labarthe) filmed at an angle showing the backs of their heads, we are introduced to the singular, iconoclastic vision that is Jean-Luc Godard. Stripped of expression and sentimentality, Godard, nevertheless, succeeds in creating a film that is visually stunning and full of pathos. We are drawn to Anna, not because of her seductive persona or compassionate actions, but because she is humanity, lost and desperate, incapable of comprehending her misery nor articulating her pain (Note the parallel character of Antonio Ricci in Vittorio de Sica's The Bicycle Thief.

Godard's revolutionary camerawork transcends nouvelle vague novelty: it serves as a cinematic extension of Nana's soul. The awkward angles and long panning shots during Nana and Paul's conversations reveals the underlying tension and emotional distance between them. Deeply affected (understandably) by Maria Falconetti's performance in Carl Theodor Dreyer's The Passion of Joan of Arc, Nana's conversation proceeds in silent film intertitles - reflecting her own suffering and innate desire to achieve greatness and escape the banality of her sordid life. The seamless camerawork following Nana as she dances uninhibitedly around the billiard room feels intoxicating, almost mesmerizing - a fleeting glimpse of the few brief moments of pure joy she has ever known. My Life to Live is a truly remarkable film: a synthesis of artistic vision and moral tale, suffused with haunting melody, the ballad of a contemporary tragedy.",1271808000,29,1960,5.468646864686469
8388901,5,B0035ECHVI,its nice,1518048000,,8,3.5
