,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4255361,5,B0043CT8GI,This wonderful DVD provides a fuller look into Gauguin's life than any other biography of him I have seen.  The telling of his story illustrated by his beautiful works leaves one with a greater understanding of both.  This video includes some gorgeous works I had never seen before.  I highly recommend this DVD.,1362873600,10,312,4.849056603773585
4255362,4,B0043CT8GI,all is well hs shhs shns hs sh shshhs shshs shhskwslkslls soiosllss ssossloss sjjs sagsdid kxlkxkkxkx xkxlxkx xkxkx x xkx,1361923200,,121,5.1
4255363,5,B0043CT8GI,"Until I saw this DVD, I ""judged"" Gauguin (the man) by the myths circulating around him. Yet, few artists' work pierce my psyche more than his does. Why so?  Perhaps the secret is his mixture of the sexual and the sacred.  The purpose of this documentary is not only to celebrate Gauguin's genius..but to set the record straight. Consider one point. Most commentators remark that the artist abandoned his wife; this documentary explains that the wife's conventional family abandoned him and kicked him out...and so he left.

I never quite grasped the fact that Gauguin's world view was not French...but Peruvian.  He also traveled the world more than any of the other French artists of his time  - from Panama to Brazil to Brittany to Copenhagen to Provence to Martinique and of course Tahiti. After learning this, I formed two opinions.  First, that his attraction to primitive or exotic art may have been influenced by his childhood upbringing. Second, that just about all of Gauguin's art suggests the autobiography of an uncomfortable soul; it reflects a man displaced - whether it is a sculpture of a faun  (half man - half beast) or the ""Yellow Christ"" where the savior is surrounded by maids of Brittany.

This movie goes the distance and travels to each and every location that Gauguin lived  - we see the actual sites which influenced his work; as just one example, Gauguin's mother had a fetish for pre-Columbian pottery.  That was unusual in her day. It is no surprise, then, that Gauguin himself tried pottery as an art form and he may have been profoundly influenced by the primitive visions that his mother treasured.

I truly learned a great deal from this documentary and have no reservations about recommending it. Bottom line, Gauguin's visual vocabulary - mixing from one culture to the next - is his own.",1333670400,14,1823,4.848387096774194
4255364,4,B0043CT8GI,"""Oh, I hate that man. He left his wife and children, was cruel to Van Gogh, and bedded down all those Tahitian girls. I just cannot look at his paintings."" This is a simple-minded, uninformed, dull, and predictable comment that I have little patience or tolerance for. I have heard it countless times whenever I list Paul Gauguin among the painters I identify with aesthetically. Several films have been made about about Gauguin, yet none of them have caught his essence, at least until this documentary by Waldemar Januszczak.  It is not a perfect film, but Gauguin is vividly present in it.

Donald Sutherland starred as Gauguin in the 1986 film Oviri, directed by Henning Carlson.  In that film, the banker Gauguin and his wife, Matte, are on a Sunday horse and carriage ride with his co-workers and their wives. The financiers engage in shop talk while Gauguin broods.  Finally, the frustrated painter taps the carriage driver on the shoulder and tells him to stop.  Gauguin looks at his wife and peers and says, ""You are my jailers.""  With that, he jumps out of the carriage and walks off to find his paradise.  A nice story but one that is a total fiction, buying into the painter's mythology.

In actuality, Paul Gauguin (1848-1903), contrary to the repeated myths, was not a millionaire banker.  He was a successful stock broker.  He did not quit his job.  The stock market crashed and he lost his job.  Gauguin, who had been a ""Sunday"" painter for years, felt that this was reason enough to pursue painting full time, something he had been longing to do.  It was with this that his wife left him. Gauguin did not desert his wife and five children.  His wife rejected him after he lost his income as a stockbroker.

Art critic Waldemar Januszczak attempts to set the record straight.  ""What's to like about this man?,"" Januszczak asks.  ""First of all, there is the art, which needs no defense.  Gauguin painted some of the world's most alluring woman and put them into several of the world's most gorgeous pictures, but what I really like about him is that he did it for big and noble reasons.""  And then, most aptly, he says, ""There is always more to a Gauguin than meets the eye.""  Januszczak covers those ""big and noble reasons,"" but falls a little short in the ""more than meets the eye"" comment (more on that later).

Januszczak follows Gauguin's travels.  ""Take it from me that he had guts by the barrel-load and with the life he lead, he needed them.""  Januszczak takes the viewer through Gauguin's early history: the premature death of his father, the strict Catholic upbringing in a boarding school as Gauguin was prepped for the priesthood.  Gauguin was having none of it and, of course, he was on his way to his own brand of vocation; but first, he ran off to sail the seven seas.

After a seven year stint in the navy, the twenty-three year old Gauguin landed a job in the French Stock Exchange through the assistance of his late mother's lover.  Gauguin remained in that position for eleven years.  During that time, he met and hurriedly married Matte.  ""This was a tough woman. She smoked cigars, loved dancing and parties, expensive dresses.  She thought she was marrying an up and coming financial wiz kid.  What she didn't know was that her Gauguin had a terrible secret.  He had got interested in art!""

Most fatefully, Gauguin met numerous painters, including Pissarro and Cezanne.  For Matte, this would prove to be a Pandora's box.  Gauguin's great granddaughter, Mette, expands on this: ""I don't think she had any idea of his passion for art.  She saw it as an interesting hobby that kept him out of the bars.  It was a safe hobby for a man to have.  But that began to change.  And she said to my grandfather that she really had no idea that this was in him.  It was really quite a shock to her.  I don't think she had any real interest in art.""

With the recession, ""Matte was reluctant to cut back on her maids.  Gauguin was reluctant to cut back on his art.""  Their posh house had to be sold, and the family bought a less expensive home where Gauguin had his first studio.  Januszczak wanted to take his cameras in there but, ""Nuns don't like to let Gauguin through the door.  They shouldn't have worried.  Gauguin's painting here are among his most lyrical, including his paintings of the church.""

During this time,  Gauguin wrote his occupation down as ""artist"" on his fifth child's birth certificate.  ""It was hard on Matte.  She was so fond of elegant dresses and parties.  She wasn't interested in poverty.  This was not what she married Gauguin for.  When her uncle turned up on a boat bound for Denmark, she got on it.  She did not consult Gauguin.  He cashed in his life insurance early and followed her.""  It was a humiliating six months in Denmark.

A job as a waterproofing salesman in Copenhagen was disastrous.  Gauguin hated Danish businessmen, and they hated him.  Through political connections, Matte got a job with the conservative Prime Minister giving French lessons to diplomats while  ""Gauguin, the embarrassing bohemian she brought back from Paris, was banished, out of sight, to the attic.  In this little room Gauguin painted his first self-portrait.""  Matte was constantly embarrassed by her husband, his opposing political views, the way he dressed, his lack of income.  She and her family ganged up on him and threw him out.  This happened in 1885, and it is the true beginning of Gauguin's life as an artist.

Back in Paris, Gauguin took up pottery.  His first works in this medium harked back to primitive imagery and unbridled sexuality.  There is little doubt that Gauguin, deemed a penniless vagabond, felt impotent. Belittled in the eyes of his wife, erotic pottery was Gauguin's response.

In 1887, Gauguin, with the painter Emile Bernard, spent time painting in the artist colony of Pont-Aven.  At first, Gauguin made his bed with the Impressionists, but he found the movement too stifling.  The artist found his own voice and, posthumously, he came to be seen as one of the fathers of the Symbolist school, of cloisonnism, and of Synthetism.  Gauguin also became fascinated with Theosophy, a kind of philosophical blend of various religions and cultures.  Mystical symbology, Japanese art and primitivism came to have much impact upon his work.

Along with fellow painter Charles Laval, Gauguin spent some time in Panama, even working briefly on the Panama Canal.  He was fired, but he also contracted malaria from his stint there, and it would remain a health impediment throughout his life.  In Martinique, Gauguin wrote a naughty latter to Matte (who he never saw again after 1891) in which he describes an encounter with a woman and a fruit.  ""Is it true?"" asks Januszczak.  ""I don't think so.  It's too much like the story of what Eve did to Adam.  Whether it happened or not, fruit as the symbol of desire began appearing in his paintings.""  This is one of the few concessions Januszczak makes to Gauguin's use of symbolism.  The filmmaker does not delve too deeply into that ""more than meets the eye"" symbology.  Quasi-religious metaphors and primitive desires become an obsession with Gauguin, who readily identified with the outcast.

Gauguin's work in Pont-Aven, Brittany, and Arles are more self-assured in composition and more exploratory than his later Tahitian paintings of ""alluring women.""  His ""Self-Portrait With Halo"" (depicting himself both as Lucifer and as a saint), as ""Christ In The Garden of Olives,"" his ""Vision After The Sermon,"" ""Yellow Christ"" (which fuses elements of Buddhism with orthodox Christianity), and ""Self-Portrait with Yellow Christ"" are among his most startling, arrogant, and masterful canvases.  Gauguin's ludicrous, self-pitying empathy with the betrayed Christ (painted after a woman he loved ran off with Laval) was ""an unlikely route to great work.""

Of course, the nine weeks Gauguin spent with Van Gogh in Arles (1888) resulted in Van Gogh's infamous lopping of of his ear lobe.  The collaboration between Van Gogh and Gauguin was doomed from the start.  Each artist had found his own (very different) path before their stay at the Yellow House. Regardless, they respected each other's work, and Gauguin inherited from Van Gogh an admirable ""Greed for Yellow.""  Gauguin, like Van Gogh, suffered much from depression and had suicidal tendencies.

After his later, famous Gospel canvas ""Where Do We Come from? What Are We? Where Are We Going?"" (`A Buddhist message refracted through a Christian prism' about the cycle of life), Gauguin, like Van Gogh, also attempted suicide (he failed, only getting sick from the arsenic he consumed).  The reason for this attempt (which, oddly, Januszczak does not discuss) is that Gauguin's daughter Aline had died unexpectedly.  Gauguin's remorse and sense of guilt overwhelmed him.  There is a single recorded memory of Gauguin's public admission of failure.  A friend recalled ""he burst into tears and sobbed, I let down my family and he ran out of the cafe.""

Of course, Gauguin's sojourn to Tahiti sealed his fame and he went there twice, never actually finding his much sought after Eden.  Gauguin's affairs with underage native girls is used as evidence of his hedonism, but as Januszczak explains, ""Gauguin had been faithful to Matte for sixteen years before he gave into temptation.""  Incredulously, some art historians even want to hold his mix of Christian imagery with native figures as proof of inherent racism within Gauguin.  This is an absurdly Politically Correct assumption.  Such critics fail to mention that Gauguin also employed Buddhist, Hindu, Judaic, Pagan and even literary imagery (Edgar Alan Poe) into those same canvases.

Gauguin himself exaggerated his hedonism, claiming that one lover was thirteen when she was, in fact, fifteen.  Today, either seems shocking, but we are looking at the situation through twenty-first century filters.  It was much more accepted in years past; my own parents were married at the age of fifteen.  It was not that uncommon.

Gauguin sought to escape the phoniness of a bourgeoisie society which had deemed him a failure.  Tahiti was, he thought, his Lost Horizon, but he found the influences of Christian missionaries had infected the culture there.  He was, yet again (at least psychologically) exiled.  Januszczak gives an amusing anecdote regarding Gauguin's frequent clashes with Church clergy.  A bishop had riled him and Gauguin responded, in clay, by making the bishop into a horned devil.  ""The bishop was not amused.""

Gauguin's mid-life crisis gave way to serial affairs and eventually resulted in syphilis.  Ravaged with the disease and destitute, Gauguin, worked as journalist in Tahiti. He took sides with the natives against the French colonists, was fined, and sentenced to three months in prison for ""libeling"" the governor.  As he was appealing his sentence, on May 8th, 1903, Gauguin took a large amount of morphine and died of a syphilitic heart attack (or, as some have claimed, a suicide).

His last few paintings are among his most sublime images,  anonymous male figures on white horses, riding into the shore line.  Predictably, Gauguin became a huge success after his death and was a major influence on Picasso (a whole book could be written about that).  Despite a few quibbles, Januszczak's film is superb and an essential way to get to know the greatest painter since El Greco.  It is an apt and overdue tribute for which Januszczak deserves considerable credit and gratitude.

Still, I cannot help but think back to a few years ago when the Indianapolis Museum of Art spent untold millions to purchase and exhibit a large collection of Gauguin's Pont-Aven works.  A life-size puppet of Gauguin greeted children at the festive grand opening.  Contrast this with Paul Gauguin himself, dying penniless, in the middle of the night, in the mud, in a hut, in agony, alone except for the company of his dog named Penis and never knowing if anyone really gave a damn whether he painted or not.

And Paul Gauguin was an immoralist?

*my review originally appeared at 366 weird movies.",1325116800,45,12120,4.910837438423646
4255365,4,B0043CT8GI,"Waldemar Januszczak must be proud of this documentary, which retraces the footsteps of one of the greatest and most notorious artists the world has ever known.  Having studied Gauguin for many years, I found so much more information to learn in this film.  The only things that were kind of distracting were some of the inappropriate choices of background music, the constant close-ups of Januszczak and his sledgehammer in-your-face delivery as narrator.  The camera work could've been better, too - some parts are dizzying hand held jerky scenes that are annoying.  Notwithstanding, the scenes were amazing, seeing the chronology of Gauguin's paintings and the stories behind them, and hearing the locals speaking frankly about what Gauguin was really like was captivating, to say the least.",1318464000,15,793,5.32
4255366,5,B0043CT8GI,"I loved this, iI cryed, found funny in parts, but lost my pride as a painter. However I cant be a second rate Gauguin!!!",1418774400,,120,4.041666666666667
4255367,5,B0043CT8GI,great artist with personal morals somewhat different from others,1417392000,,64,6.222222222222222
4255368,4,B0043CT8GI,Informative and interesting.,1412553600,,28,8.666666666666666
4255369,3,B0043CT8GI,"Not what I was hoping for , but it was informative",1410825600,,50,3.6363636363636362
4255370,5,B0043CT8GI,"This is a definitive treatment of Gauguin. I wish there were similar documentaries on other artists. Production value was high, information was provided in an interesting manner. I rate this the best of the documentaries and docudramas I own on artists. Highly recommended and well worth owning.",1409788800,,295,5.297872340425532
4255371,5,B0043CT8GI,"Another item I purchased as a gift, reported by recipient to be excellent!",1406160000,,74,4.769230769230769
4255372,4,B0043CT8GI,"This is such a nice film of Gauguin and his art.
First, there are two part of the film, enough time to let us know what a special artist Gauguin was.
Second, during the movie there are so many beautiful his artwork we might never have chance to see but we would know through the film.
I love this film and it bright my thought about Gauguin. and learned a lot about all the colorful work and hot girl came from where....
It's a very value film, worth people who loves art to keep it. :-) Please go get it.",1390262400,5,505,4.06
4255373,5,B0043CT8GI,"As with all of the DVDs featuring Waldemar Januszczak, this one is very highly recommended. Januszczak travels the world to fully tell the story of every point in the life of an artist who has almost passed into myth. As always, the story is told with insight and humor, and with a focus on both the life and the art.",1385596800,,317,4.3
4255374,4,B0043CT8GI,My artistic idol.  Paul Gauguin was a colorist with no comparison or equal.  I watch this film over and over.,1371340800,,109,4.4
4255375,4,B0043CT8GI,"A full documentary of the artist Paul Gauguin from his birth in Paris in 1848, his time in Lima Peru from the age of 2 to 7 when he returned to Paris and his eventual death in French Polynesia. I found this an engaging documentary with a great sound track.",1364688000,2,256,4.14
