,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4533523,5,B0052ZFFT4,"The Butterfly Circus is a wonderful short film that can speak to everyone. We all can get down and discouraged, but this is the type of movie that can help to lift you up out of the depths. I highly recommend this film!",1312243200,2,219,4.116279069767442
4533524,5,B0052ZFFT4,"This is just a TEASE!!!  It's beautifully done, even the music is fanTAStic!!!  I really hope it will be made into a full movie....I'd buy it in a heartbeat!!  I'm so happy",1312070400,5,172,4.3125
4533525,5,B0052ZFFT4,"I originally bought ""The Butterfly Circus"" because Eduardo Verastegui was in it.
But as it turned out it was a wonderfully cast film.
The DVD has Special Features- Behind the Scenes and Outtakes.  It tells you about
the other actors in the film who are not as well known as Eduardo.
The movie is very touching, its a short film but well worth the money.",1311379200,2,353,4.430769230769231
4533526,5,B0052ZFFT4,This movie is a part of my heart and will be yours too if you take the time to experience it.,1310256000,4,93,3.4761904761904763
4533527,5,B0052ZFFT4,"A few years ago, a teenage girl entered the shop where I was working.  Her father was pushing her in a wheelchair because she had no arms and legs.  I don't know if she had lost them to illness or an accident or was born that way, because I didn't look at where her limbs should be but rather at her face.  Her expression was one of such great despair that it haunts me even now. Whenever I watch The Butterfly Circus, I think of that girl and hope that she is o.k., that she's come to terms with her life.  This film is a little miracle, and Nick Vujicic is an inspiration. The Butterfly Circus is one of the best short films I've ever seen! It shows you that each one of us has the power to do wonderful things.",1309564800,39,713,4.035460992907802
4533528,5,B0052ZFFT4,This movie is what movies were meant to be made for... uplifting society.  What a wonderful message NOT done in a cheesy way. Highly recommend!!  Buy and support GOOD film making.,1309478400,26,179,4.741935483870968
4533529,5,B0052ZFFT4,"I enjoy the positive message to this short film. Well written, and beautifully acted out, the message is not about what you can't do....but what you can do. I recommend this movie for anyone that enjoys inspirational films.",1308009600,19,223,4.894736842105263
4533530,5,B0052ZFFT4,Very touching movie w/ Nick.,1469664000,,28,4.8
4533531,5,B0052ZFFT4,"Beautiful story. Great acting! Inspiring!  Production was a bit lacking, but well worth watching.",1463788800,,97,5.928571428571429
4533532,5,B0052ZFFT4,"This is one of the best movies I have ever seen.  It has meaning and purpose.  It actually made me angry and happy, plus I cried.  It is very short but very good.",1463616000,,162,3.8484848484848486
4533533,5,B0052ZFFT4,Awesome inspiring story,1463097600,,23,7.0
4533534,5,B0052ZFFT4,Wonderful movie about acceptance and hope.,1463097600,,42,6.166666666666667
4533535,5,B0052ZFFT4,Simply beautiful! A character-building movie! Invite your teens to watch with you.,1454544000,,82,5.916666666666667
4533536,5,B0052ZFFT4,This film is life changing.  I don't say that lightly.  I've watched it so many times and learn something new each time.  It's a true gift.  I can't wait to get more copies for my friends and family!,1454198400,,199,4.157894736842105
4533537,5,B0052ZFFT4,Great movie! Wonderful to see the compassion of a great leader.,1454025600,,63,4.818181818181818
4533538,5,B0052ZFFT4,"Great movie to watch when it is too late for a full length! Inspirational, clean, and beautiful camera work.",1451433600,,108,4.7368421052631575
4533539,5,B0052ZFFT4,Great Thank You!!!,1450396800,,18,5.333333333333333
4533540,5,B0052ZFFT4,"Really opened my eyes to the temerity of Nick Vujicic.  What an inspiration!  Made me want to learn more about him.  You can do so on YouTube, but watch this film first, so you won't be spoiled.  It's best to go into this one not knowing anything.",1449619200,,247,4.191489361702128
4533541,5,B0052ZFFT4,"Excellent short film about the value and dignity of every human life, and the redemptive power of love and respect.",1448150400,,115,4.8
4533542,5,B0052ZFFT4,"Awesome movie, delivered when expected.  Thanks",1447372800,,47,6.833333333333333
4533543,4,B0052ZFFT4,"A lovely little movie about decency to others, especially encouraging thoughtless and cruel people to see the light of caring about others. Nicely acted and filmed. A wonderful family film, short enough to engage the kids.",1445472000,,222,5.194444444444445
4533544,5,B0052ZFFT4,"Grate for a retreat reflection, thanks.",1444780800,,39,5.666666666666667
4533545,4,B0052ZFFT4,It was great.  I have seen Nick on Christian TV many times before.,1443830400,,66,4.076923076923077
4533546,5,B0052ZFFT4,"An excellent ""Short Film""... So much of a story in just 23 minutes.",1443657600,,67,4.230769230769231
4533547,5,B0052ZFFT4,Great video for anyone and everyone.  We are all of infinite worth!,1442880000,,67,4.583333333333333
4533548,5,B0052ZFFT4,"Such a poignant, encouraging story. Not only do the characters overcome huge obstacles, but they learn to flourish. Take the time to watch this amazing short film. You will not be disappointed.",1442016000,,193,5.0625
4533549,5,B0052ZFFT4,Love the message. Hope they keep making more of these.,1441756800,,54,4.5
4533550,5,B0052ZFFT4,Awesome!,1441152000,,8,8.0
