,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4654912,5,B005CXOG6O,"For Cardinals fans still floating on cloud nine after St Louis polished off the Texas Rangers in Game Seven of the 2011 World Series, this marvelously crafted film recounting the most improbable championship season in franchise history should keep the euphoria at a fever pitch through the long off-season, and beyond.

Certainly, the historical significance of what the Cardinals accomplished in 2011 is astounding - from the wild finish to the regular season which got them the Wild Card berth in Game 162 - to the shocking five game triumph over the Phillies in the NLDS (Carpenter's Game Five masterpiece is included as a bonus) - to the incredible offensive display in the six game whipping of the Brewers in the NLCS - and finally, to the thrilling showdown against Texas which culminated in the Cardinals' eleventh World Series championship, overall.

This was indeed a magical championship run for the Redbirds; here's a great way to relive the magic, with the St Louis Cardinals 2011 Official World Series Championship Film.  It's a definite winner!",1322092800,12,1058,5.068965517241379
4654913,5,B005CXOG6O,"I just got a copy of the 2011 Official World Series Film and it is awsome!  Hearing the reactions from the guys to the various pivotal moments of the Fall Classic made them all the more special.  I love the way all the key points of the season were highlighted - the loss of Wainwright, the early woes of the bullpen, the Pujols injury, the Rasmus Trade, the ascent to the Wild Card - everything.

There is also a bonus disc featuring Game Five of the NLDS against the Phillies - possibly the gutsiest Chris Carpenter performance ever - in its entirety.

I also liked the fact that most of the game audio was taken from Mike Shannon and John Rooney on KMOX.  Much better than hearing those sniveling Yankee and Red Sox appologists on FOX.

I loved how each game was encapsulated, especially the dramatic fashion in which the stage was set for Games Six and Seven.

One thing I had a problem with was the narration.  While I do think that Jon Hamm did a good job, I would much rather that Billy Bob Thornton (who narrated the 2006 Official World Series Film) had been the narrator.

I think captions would have been a plus, but, otherwise, in terms of content, it blows the 2006 World Series Film away.",1321920000,55,1201,4.398190045248869
4654914,1,B005CXOG6O,"It appears from everywhere I've searched online for the DVD details - there may be NO subtitles or captions on this DVD.  That was the case on the 2006 DVD and I'm disappointed that 5 years later that may continue to be the case despite technology advances and updated ADA laws.

I am deaf and rely on subtitles/captions for my viewing - how can I enjoy recapping the Cardinals world championship without those??",1321833600,20,412,4.63013698630137
4654915,5,B005CXOG6O,Great experience,1432166400,,16,7.5
4654916,5,B005CXOG6O,loved it,1428796800,,8,3.5
4654917,5,B005CXOG6O,Help to relive great memories for my home town team's 2011 championship run.,1428537600,,76,4.923076923076923
4654918,5,B005CXOG6O,"Big Cardinal fan.  Was great to watch this over, and over, and over, and....",1428105600,,76,4.428571428571429
4654919,5,B005CXOG6O,HD QUALITY VIDEO.GREAT GAME!WHY NOT A COMPLETE ALL STAR GAME ON BLU RAY?OR MORE COMPLETE PLAYOFF GAMES ON BLU RAY?GREAT DEAL!,1427068800,,125,5.0
4654920,5,B005CXOG6O,"Excellent, Those amazing Cardinals!!!",1426636800,,37,8.5
4654921,5,B005CXOG6O,Just a great DVD to follow up the St. Louis Cardinals winning the 2011 World Series... Always a Cardinal at heart ~~,1426377600,,116,4.318181818181818
