,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4832899,4,B005M1O5N0,When I saw some of the reviews that said it was just a bunch of third season episodes I was worried that it was a re-release of episodes that were party of the previous set. This is not that it is the next 18 episodes that follow the episodes released as the U.S. Complete Third Season. It has similar features to the previous U.S. releases.,1411603200,6,341,4.2615384615384615
4832900,1,B005M1O5N0,My Fourth Season set came and it's actually the Third Season episodes which I just watched!!! I'm not happy about this - I was looking forward to seeing some new episodes!,1410825600,,171,4.548387096774194
4832901,2,B005M1O5N0,This is a jocke. It is neither the fourth season nor any season at all; only an inconexed mixture of parts mostly from the fifth. I returned it because I already have the original material.,1409961600,3,189,4.428571428571429
4832902,2,B005M1O5N0,"After purchasing the fourth season and realizing most of the episodes were on Season 3, I wrote to the seller and she graciously refunded my money.  Then I read other peoples reviews and found out that in the US, there are more episodes in a season then there are in Canada, so that explained the discrepancy.  In the US, you can by-pass Season 4 and go straight to Season 5.",1408752000,,375,4.3428571428571425
4832903,5,B005M1O5N0,its a good clean movie that you can relate to. we can`t wait for next series to come out. Very good,1399507200,,99,3.761904761904762
4832904,5,B005M1O5N0,"If you order the first three season of Heartland (As seen on GMC/UP) they are off from this set.  If you order this season 4, you will have the same episodes of Season 3 (As seen on GMC/UP).  I made the mistake of ordering this, when I went and looked at the complete list of episodes, this season matches my season 3 (as seen on GMC/UP).  Thought this information would be helpful to many.  The GMC/UP DVDs have more episodes on them compared to these, however you can only buy Season 1 through 3, which is actually Season 4 of the Canada Version.

Other than that this series is really good! It's hard to stop watching!",1393372800,20,621,4.318965517241379
4832905,1,B005M1O5N0,It is the complete Season Three instead of Season Four. I am very disappointed in Amazon for taking advantage of me. Even the the episodes were shortened.................,1392249600,,170,5.333333333333333
4832936,5,B005M1O5N0,"I really live Heartland and have watched as much as Netflix and amazon have.  Would highly recommend it and is a great family show, clean, no sex, no swearing, just a nice story and beautiful scenery",1489622400,,199,4.527777777777778
4832937,5,B005M1O5N0,Awesome! Can't stop watching.,1488499200,,29,6.5
4832938,4,B005M1O5N0,Item came quickly. The show is even better that UPTV edited out the language. Love the horses and scenery.,1487635200,,106,4.631578947368421
4832939,5,B005M1O5N0,Excellent looking forward to season 10,1487203200,,38,5.5
