,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5015101,5,B006S4D5BI,"In my state, a high school student must pass four of seven State tests, including Algebra I and Algebra II exams, in order to receive a high school diploma. So I purchased Jason Gibson's Volume I and Volume II Algebra I video courses for my 9th-grade nephew to use to help him review for his year-end high school Algebra I test. Many of the concepts evaluated on the State Algebra I test are taught/reviewed on these videos. My nephew has found Jason Gibson's video explanations to be clear and easily understood, as well as easily remembered. He is able to learn and review in minutes what he says would take him hours to figure out by re-reading his class notes and textbook. These lessons are so engaging for him that he will watch two to three lessons--one right after another--when he comes home from school each day. He and I are so glad that we purchased these videos. We will be very surprised if he does not pass his State Algebra I test this spring.",1325808000,3,959,4.485714285714286
5015102,5,B006S4D5BI,"In my state, a high school student must pass four of seven State tests, including Algebra I and Algebra II exams, in order to receive a high school diploma. So I purchased Jason Gibson's Volume I and Volume II Algebra I video courses for my 9th-grade nephew to use to help him review for his year-end high school Algebra I test. Many of the concepts evaluated on the State Algebra I test are taught/reviewed on these videos. My nephew has found Jason Gibson's video explanations to be clear and easily understood, as well as easily remembered. He is able to learn and review in minutes what he says would take him hours to figure out by re-reading his class notes and textbook. These lessons are so engaging for him that he will watch two to three lessons--one right after another--when he comes home from school each day.  He and I are so glad that we purchased these videos.  We will be very surprised if he does not pass his State Algebra I test this spring.",1325808000,3,961,4.485714285714286
5015103,5,B006S4D5BI,"I gave 5 stars for this DVD. It's an excellent tool for math dummies like me, I never had any knowleadge of math in me at all, (I couldn't even do basic multiplication and division) but now I got a placement level in college of Math Level 4! just by watching the Math Tutor DVD series alone.

Somehow all of the things I learned in high school just slipped through my brain. I don't remember exactly when I stopped trying to understand math, but I remember that, in school, I was left behind in classes so many times I lost count, and at some point I just lost the interests all together and decided to LET IT GO! because I thought I would never be able to keep up with the teachers and my classmates, esp. fractions, I never understood how come they can transform (simplify) themselves like that, but now I do, because of this DVD (and the whole series of Math Tutor DVD, I purchased and watched 8 of them so far, starting from Grade 1-7 Basic Math).

Jason Gibson is a great teacher, I recommend his line of products to everyone, and trust me no matter what age you are (I'm 30+), you'll never struggle with math again.

It WORKS!!!",1325635200,13,1134,4.314553990610329
5015104,5,B006S4D5BI,Tapes are very.  Big help,1453334400,,25,4.0
5015105,5,B006S4D5BI,Tapes are a very big help,1453334400,,25,3.3333333333333335
5015106,5,B006S4D5BI,Easy to learn algebra with Jason's methods. (you still need to work at it),1453334400,,74,4.357142857142857
5015107,5,B006S4D5BI,"My grand daughter who is home schooled and ten years old has done the pre algebra, and algebra 1. She has done many on-line algebra work sheets and has easily understood Jason's teaching. Please understand this takes much work, and re-watching these video's many times to get the most  from them. I think they are a wonderful way to grasp the concepts of algebra.",1451692800,,363,4.671875
5015108,5,B006S4D5BI,Very good series of instructional DVD's.,1447632000,,40,5.833333333333333
5015109,5,B006S4D5BI,Very good and clear,1446681600,,19,4.0
5015110,5,B006S4D5BI,It was easy to understand and very helpful.,1438992000,,43,4.5
5015111,4,B006S4D5BI,Purchased for my rising 8th grader. Completed the course over the summer. He was very happy with the content and the explanations. Would recommend.,1438992000,,147,5.166666666666667
5015112,4,B006S4D5BI,Purchased for my rising 8th grader. Completed the course over the summer. He was very happy with the content and thew explanations. Would recommend.,1438992000,,148,5.208333333333333
