,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5111219,1,B007V2LN4M,"I wonder, how long it will be, before someone does an actual porn/undead/rape film where the action is REAL. They would go to jail, but the film would be legend. This is in no way intending to give, or inspire, anyone to actually make said film. The way the sickness and violence is attaining popularity in films of the day simply make me wonder, not why, but when...",1349136000,,367,4.411764705882353
5111220,5,B007V2LN4M,"Saw Bled White when it debuted in the Chicago area near where it was filmed.  It's got some real interesting twists, good concepts, well executed.  Later, I read that it won some awards in Hollywood for it's genre. Not surprised.  I've been saying for a couple years that I wanted to get this movie for my home collection. Now, finally, it's available and I'm pre-ordering.  Won't surprise me if it develops a cult following.  It's that good.",1342828800,7,442,4.688311688311688
5111221,2,B007V2LN4M,"We purchased this collection for the movie Bled White, which was partially filmed in my small town. The movie was OK for a low-budget independent film, but if you aren't watching to recognize local landmarks, you might not enjoy it to the degree we did. (We saw them filming some scenes and the zombie makeup was really good in person--looked very convincing). Bled White was the best of the movies on the collection. The others don't even rate a B-movie distinction. The gore doesn't make up for bad dialog and worse acting. But you weren't expecting George Romero quality in a collection with titles such as ""Porn Star Zombies and ""Santa Clause vs. the Zombies,"" were you?",1369612800,,674,4.769230769230769
5111222,3,B007V2LN4M,It was ok the movies were not as great as i thought they would be but not bad for the price of them,1364688000,,99,3.347826086956522
5111223,1,B007V2LN4M,"All these movies were cheaply made and very bad.  Save your money, and buy something else.  Don't buy this one.",1364601600,,111,4.5
5111224,2,B007V2LN4M,"First let me say I am not a Zombiephile or a film critic.
Some were horrible! Bad acting bad lighting, makeup, camara angles and more. Others I never got too far into because I was so bored and they dragged.
One movie makes what I paid worth it. ""Bled White"". It had a nice new look at zombies that made you think. It really made you care for some of the characters. Even found myslef talking to the screen.",1357689600,,407,4.1645569620253164
5111225,3,B007V2LN4M,"the only thing I can is I did recieve it promptly but, it was given as a gift so I am unsure if he liked it",1357603200,,107,3.1538461538461537
5111226,1,B007V2LN4M,These movies all look like they were shot with flip cams by a group of buddies one weekend after a booze-filled bender when they thought it would be a cool idea to make a zombie movie.,1354579200,2,184,4.138888888888889
5111227,3,B007V2LN4M,"This is not really a review. This is just a listing of exactly what movies are on this DVD. I hope it may be helpful to someone.

Porn Star Zombies (2009) - 80 min - Comedy / Horror - Director: Keith Emerson - Stars: Joshua Cameron, Alicia Marie Emerson and Kira Ratterman.

Bled White (2009) - 85 min - Horror - Director: Jose Carlos Gomez - Stars: North Roberts, Matthew E. Prochazka and Colleen Boag.

Office of the Dead (2009) - 72 min - Comedy - Director: Matthew Chung - Stars: Teddy Chen Culver, Christina July Kim and Shawn Parikh.

The Chosen One (2009) - 72 min - Fantasy / Horror / Mystery - Director: Theodore Collatos - Stars: Arthur Collins, Carolina Monnerat and Sam Porretta.

Biker Zombies a.k.a. Biker Zombies from Detroit (Video 2001) - 80 min - Horror / Comedy / Fantasy - Director: Todd Brunswick - Stars: Tyrus Woodson, Jillian Buckshaw and Joshua Allan.

Night of the Dead (Video 2012) - 83 min - Comedy / Horror / Sci-Fi - Director: Dennis Devine - Stars: Randal Malone, Shevaun Kastl and Ron Jeremy.

Santa Claus Versus the Zombies (2010) - 99 min - Comedy / Horror - Director: George Bonilla - Stars: Billy W. Blackwell, Alex Del Monacco and Cassidy Rae Owens.

Bunker of Blood (2011) - Horror - Director: George Bonilla - Stars: Jeffrey Wayne Smith, Russ Croley and Stacey T. Gillespie.",1351728000,11,1313,4.5574468085106385
5111228,3,B007V2LN4M,"Definitely a good value for 8 movies. Worth it if you are looking for new zombie movies, and are not expecting too much.",1350691200,6,120,4.260869565217392
5111229,4,B007V2LN4M,"More than satisfied with this collection.  I wanted to kick back with a beer and watch some Zombies.  I hoped to be entertained by some never before seen scenes, some unknown names, some creativity by new directors and their casts.  That's what I got.  Some are better than others.  One reviewer said real zombies can't run.  Who says so?  Ha! If I wrote a Zombie movie, my zombies might climb trees if the plot needed them to do that.  Zombie movies aren't for the closed-minded.

If you're  in the mood for zombies, and you don't have arbitrary zombie rules in your head, than buy this set of eight.  It's an Extreme Value.  LOL.",1349481600,10,631,4.486725663716814
5111230,1,B007V2LN4M,"Where should I begin.  These films, (& I use the term loosely) are atrocious & that's not because all of the actors are unknown.  This is not what I base my opinion on at all. Honestly, I've only watched one of the 8 but I think that speaks loudly in reference to the other 7.  I have started watching another with hopes of redemption for the rest of the collection but it's just more of the same.  They don't even look like the traditional zombie & they definitely don't move like one.  These zombies run extremely fast.  This can't be compared to any of today's zombie flicks.  The Walking Dead it's not.  I should've known something was up when the 1 reviewer only commented on 1 of the movies.  He said he wouldn't be suprised if it became a cult classic.  I don't see that ever happening.  Another big clue should've been the fact that one of the movies has porn in the title & Santa Clause in another. Go figure!!!  So I tried to watch the remaining films in this set but I couldn't get past the first 15-30 mins. I'm sticking by my original review.  I have yet to see a real zombie.  Please, go & buy a book or something else.  Anything!",1349395200,,1144,4.255813953488372
8522070,1,B007V2LN4M,Pretty lame,1509494400,,11,5.0
8522071,3,B007V2LN4M,"Some good, some bad...some really bad.  Good addition to a zombie fans collection, but not for the casual viewer.  Interesting treatments of the zombie genre, but definitely not Romero.",1493164800,,185,5.344827586206897
8522072,4,B007V2LN4M,"I really only bought it because one of these was filmed in my hometown. I haven't even watched all of them yet, but I'd say they are about what you'd expect. Which is pretty great.",1459296000,,180,4.171428571428572
8522073,3,B007V2LN4M,ok,1446163200,,2,2.0
8522074,2,B007V2LN4M,"I puyt i don't like it because the dvds don't work, see there are two discs and each disk they say plays 4 films. NO THEY DONT! i tried and tried and the ones i really wanted to see are the ones that don't play, so what am i left with ..well llot of filler, which i could of been ok with but i didn't get to see the films i ordered. So why not return it, well you see i order allot and i have a job so when a package drives i open it and sometimes weeks go by before i can get around to watching the dads i order. So the packaging is far from  gone so i have no way of sending it back or asking for a disk that works. I will say that the films i did see were a bit of a mixed bag on the campy side i did enoy the christmas zombie film but there were two other i didn't like and 3 i couldn't watch, So i give a two stars for the christmas x]zombie tim that was fun but the rest who knows, don't say its an 8 film if you can only get l\4 to work.",1412380800,,944,3.5384615384615383
8522075,5,B007V2LN4M,"did not care for the movies at all. they were so boring. not sellers fault. thank you so much for the fast shipping great packaging.
happy holidays to you and your family.",1386720000,,171,4.375
8522076,3,B007V2LN4M,"OK, I like B-Horror movies.  (Remember TMC and Joe Bob Briggs)?
The movies I can watch but where did they copy them from???
I think I still have some VHS takes that will play like these.
So, be warned, you will NOT be getting DVD quality here.
Just accept it and sit back and watch.
Lance",1381881600,,288,4.142857142857143
