,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
8555187,3,B00AO7HQVA,"It was just ok, the story needed more development.",1512259200,,50,4.666666666666667
8555188,2,B00AO7HQVA,"This movie was not what I expected, didn't like the ending, very low budget movie",1510617600,,81,4.466666666666667
8555189,5,B00AO7HQVA,all good thank you,1442448000,,18,3.75
8555190,2,B00AO7HQVA,"i do not like the way the movie ended it did not make any sense no closure but the dvd was in good condition,thank you GOD BLESS U.",1406937600,,131,3.7142857142857144
8555191,2,B00AO7HQVA,"This movie was weird, if you going to have 2 sisters going after the same man, You should had him with someone, and this movie did not have a GOOD ending at all, I thought the way it was going, you was going to put the homeless man with the older Sister, and the younger Sister she was not ready for no relationship at all, I wish I could get a REFUND.",1406851200,2,352,3.9027777777777777
8555192,3,B00AO7HQVA,"This movie was not what I expected it to be, I didn't like the way it ended. The Deacon didn't know the women were trying to get him to like him. The movie wasn't that good.",1396396800,,173,3.8333333333333335
8555193,2,B00AO7HQVA,"Deacon Wyles acted as if he did not know that those sisters liked him. Are you kidding? Are you that blind? This was a waste of money. I never do like when a woman chases a man. I think that it should be the other way around. If you have faith in God, you won't have to chase, she will be there when you least expect it. I believe. I would not of brought this dvd if I had seen the previews.",1385424000,,391,3.7804878048780486
8555194,4,B00AO7HQVA,"Contrary to some of the other reviews, this movie is worth it. The acting is not bad considering the actors are not well-known. The ending will leave you upset.",1376524800,,160,4.551724137931035
8555195,3,B00AO7HQVA,The movie started slow and on top of that the ending wasn't complete. It left off with you wondering don't buy it.,1374364800,3,114,4.2272727272727275
8555196,5,B00AO7HQVA,This is a very good movie.  Lots of laughter and the movie kept you interested.  A really good movie.  Love it.,1370304000,,111,4.190476190476191
