,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5566746,5,B00BATGDCO,"Cheech and Chong animated, I thought they all ready are. This is a great animation, with great voices. A first I hope of many. Cheech and Chong doing ninety nine point nine, percent of the voices, is a GREAT BONUS! A truely talented duet, that we, as United State Citizens, should be very proud and celebrated. These two can never be replaced by anyone, on earth, ever again. They make me Proud to be a U. S. citizen, and proud of the funniest two people on Earth. Thank you GOD, for Cheech and Chong. May they live long and healthy lives. We will never see Comedians, and Greatness,  like these two ever again. Sincerely, Jon Berry Linder, Photographic Artist.",1367625600,8,661,4.554621848739496
5566747,4,B00BATGDCO,"These guys really crack me up. I love this movie. It really doesn't matter if the animation isn't up to Pixar standards since it's really all about the comedy!

I love these guys so much that if either of them were to run for congress, I'd vote for them in a heartbeat over 98% of the people that are currently congressmen! When it comes to everyone's (well, the more intelligent portion of our population) favorite recreational herb, they make more sense than most of our nation's so-called leaders!

I recommend that everyone purchases this just to support the legendary comedy duo even if for no other reason. If you get a few laughs, and you will, then count them as the icing on the cake.",1367452800,5,693,4.536
5566748,5,B00BATGDCO,"If you're lighting up right now, then this one is for you.  If not, you won't get the jokes and anyway what are you doing watchin' a Cheech & Chong movie in the first place?",1367193600,9,173,3.942857142857143
5566749,5,B00BATGDCO,"This reminds me of what the boys were like in their prime. I'm not sure if the young folks will appreciate this as its been a generation since these guys were big. I grew up in the 80's and never liked the Three Stooges but that wasn't my generation either, so I understand. But Cheech & Chong were very popular in my time.

For those of us die hard fans: sit back, grab some smoke, and get ready to laugh.",1367193600,5,406,4.075
5566750,5,B00BATGDCO,"I love Cheech and Chong, they are the ultimate comedy duo :) I enjoyed this movie a lot! I think the animation was pretty cool, and the jokes are funny as always! Peace.",1367107200,,169,4.151515151515151
5566751,2,B00BATGDCO,"I was a fan of the old movies and albums, but the animation is terrible. No, I wasn't expecting Pixar, but why would they even put this out when everything here was done so much better before. Mabey I will try to sit through it again, as it tries to re-live their glory years. But an animated movie with their name on it deserved to be much better.",1366761600,4,348,4.132352941176471
5566752,3,B00BATGDCO,All I wish is that the animation had been better but the jokes and the laughs are still there a wonderful way to spend 85 minutes,1366761600,4,129,4.0
5566753,4,B00BATGDCO,"HEY WATCH THIS! was released 3 years ago and seemed to leave more than a few ""loyal"" cheech & chong fans with a case of cotton mouth so severe that the legacy the duo created, decades earlier, was considered to be tarnished to say the least. Ladies and Gentlemen, This must be the year of the bong because these crazy cats are BACK & BETTER THAN EVER! Many reviews complained the disaster with their last venture ""HWT"" was that the magic was gone, leaving cheech and chong going through the routine while a nostalgic crowd humored their attempts.

All such debates should cease because CHEECH & CHONG'S ANIMATED MOVIE fixes the problem of an aged physical appearance of C&C, that disillusioned some deeming C&C  old enough to break bones instead of smoking them. Classic jokes are brought back giving the viewer ""A+"" material  with some pleasant updates making this animated venture vintage and a MUST! for Cheech & Chong Fans. I'm glad a new generation can get hip and the original fans can enjoy a new addition to the collection. It's crude but that's the humor of course.

 IF YOU ""LOVE"" CHEECH & CHONG... HEY WATCH THIS!",1366675200,6,1124,4.685279187817259
5566754,4,B00BATGDCO,"Very funny mix of old and new jokes. Several skits make up this cartoon version of everything you know and love about Cheech & Chong. From the drugs, girls and celebrities, you will laugh at something and feel it fits well with the existing Cheech & Chong collection.
I'm glad there is something new out by these two hilarious nutjobs and figure I'm probably not alone there. They have a ton of fans, and all of them are going to find this cartoon pretty groovy!",1366416000,16,462,4.447058823529412
5566765,2,B00BATGDCO,Crappiest Cheech and Chong movie ever! It made no sense even when I was stoned! Don't waste your time stick with the old ones!,1480464000,,126,4.291666666666667
5566766,5,B00BATGDCO,Gratuitous entertainment,1479859200,,24,11.5
5566767,3,B00BATGDCO,"It was just silliness. I absentmindedly enjoyed it. But I bet under different circumstances, it can come off as redundant and unintelligent.",1476835200,,140,5.409090909090909
5566768,1,B00BATGDCO,Don't bother worst Cheech and Ching movie ever!,1470787200,,47,5.0
5566769,5,B00BATGDCO,great cartoon,1470614400,,13,6.0
5566770,2,B00BATGDCO,Sorta lame and not what they used to be.,1469491200,,40,3.5555555555555554
5566771,2,B00BATGDCO,just OK,1467936000,,7,3.0
5566772,2,B00BATGDCO,"I love Cheech and Chong. I thought what could be better then combining animation with the hilarious outtakes of the guys... Oh wow was I disappointed when I watched this one.

You expect stupidity from Cheech and Chong but this was just plain stupid. It did not have the funny skits you are used to and it had no logical flow. It was like it was written by a want to be comedian who is five. I did not like it at all. My teenage sons did get a kick out of it but they are not true fans of the duo. I wouldn't waste my money on this one.",1466640000,,536,3.8727272727272726
5566773,5,B00BATGDCO,fun,1459123200,,3,3.0
5566774,5,B00BATGDCO,Haven't watched it yet but great price and fast shipping,1457827200,,56,4.7
5566775,5,B00BATGDCO,Loved it ,1456358400,,9,3.5
5566776,5,B00BATGDCO,Great movie,1455062400,,11,5.0
5566777,4,B00BATGDCO,Kinda a silly version of their antics but funny seeing them in a cartoon version....STILL got high when I watched this ;-),1454976000,,122,4.590909090909091
5566778,4,B00BATGDCO,decent,1453852800,,6,6.0
5566779,5,B00BATGDCO,Love Cheech & Chong always!,1451260800,,27,4.6
5566780,5,B00BATGDCO,Awesome product but took too long to ship.,1448668800,,42,4.375
5566781,5,B00BATGDCO,"No surprises. It is just what I expected, silly but fun.",1447545600,,56,4.181818181818182
5566782,5,B00BATGDCO,Great dvd,1446595200,,9,4.0
5566783,5,B00BATGDCO,Good stuff! Reminded me of their earlier tapes and records. Puts a picture to the tapes and records I always listened to of them. I really enjoyed it and I'm glad I bought it!,1445040000,,175,4.176470588235294
5566784,5,B00BATGDCO,Funny movie hilarious,1444089600,,21,6.333333333333333
5566795,5,B00BATGDCO,Reel funny,1439856000,,10,4.5
5566796,5,B00BATGDCO,good deal and fast shipping.,1439424000,,28,4.8
5566797,5,B00BATGDCO,Excellent,1439251200,,9,9.0
5566798,5,B00BATGDCO,AWESOME DEAL!!!!!!!!!!,1438992000,,22,10.5
5566799,5,B00BATGDCO,they still got the charm from en 70's and 80's movie but as cartoon :),1438128000,,70,3.7333333333333334
5566800,5,B00BATGDCO,Very funny...,1436227200,,13,6.0
5566801,4,B00BATGDCO,Good times.,1435190400,,11,5.0
5566802,5,B00BATGDCO,Love the movie..,1433203200,,16,4.666666666666667
5566803,4,B00BATGDCO,great way of seeing two great men,1430697600,,33,3.857142857142857
5566804,3,B00BATGDCO,funny as fuxk,1429574400,,13,3.6666666666666665
5566805,5,B00BATGDCO,Awesome.,1429401600,,8,8.0
5566806,5,B00BATGDCO,"I LOL' and Loved this being Animated. I was a Fan of the ""Up in Smoke"" an All the Cheech an Chong Movies! An Ya Dont have to be High to watch...they give ya a great feeling.' Nice to have to your DVD Collection",1428969600,,210,3.7954545454545454
5566807,3,B00BATGDCO,This was possibly one of the worst movies I have ever seen. It gets three stars for the promptly shipping but it really doesn't deserve much else.,1428364800,,146,4.444444444444445
5566808,5,B00BATGDCO,Right on time. Now it's cheech and chong animated movie time.,1427846400,,61,4.636363636363637
5566809,5,B00BATGDCO,"Great Movie! So cool to finally ""see"", what I had heard on their albums all these years!",1424908800,,88,4.235294117647059
5566810,1,B00BATGDCO,Stupid.,1423267200,,7,7.0
5566811,5,B00BATGDCO,Excellent picture and sound very good cartoon  top-quality all the way top-quality sound and picture,1422230400,,100,5.666666666666667
5566812,4,B00BATGDCO,Good job,1422057600,,8,3.5
5566813,5,B00BATGDCO,Great movie. Funny and a million laughs.,1420848000,,40,4.857142857142857
5566814,4,B00BATGDCO,It's a funny animated movie for the fans of Cheech and Chong.,1420416000,,61,4.166666666666667
5566825,5,B00BATGDCO,Very funny,1420329600,,10,4.5
5566826,5,B00BATGDCO,item exactly as described,1418860800,,25,5.5
5566827,1,B00BATGDCO,"I love Cheech & Chong.  I really do.  But this is just bad animation of tired old skits.  There is no overall story. It's not funny.  I do like the whole idea of making Cheech & Chong animated, but this isn't how to do it.",1417996800,,222,3.8666666666666667
5566828,2,B00BATGDCO,"Good old comedy interactions, but the animation quality sucked. Ruined the movie jokes. Not funny!",1416787200,,98,5.6
5566829,5,B00BATGDCO,Good Movie!!,1416700800,,12,5.5
5566830,4,B00BATGDCO,if your looking for new material you might be disappointed but if you like animation and their comedy records you will love this,1416355200,,128,4.608695652173913
5566831,5,B00BATGDCO,this movie is too funny Cheech an Chong did a grate job,1416009600,,55,3.6666666666666665
5566832,4,B00BATGDCO,"The GN8000MPA GN8000 Multi-Purpose Ampli-by GN Netcom, Inc. that I purchased was not refurbish very well looked worned and had  static when using the volume control my customer is not very happy with that unit and shipping cost was outrages. Not very happy with this purchase.",1411344000,,276,5.0
5566833,1,B00BATGDCO,LAME!!!!,1410480000,,8,8.0
5566834,5,B00BATGDCO,"great deal , fast delivery",1409529600,,26,4.4
5566845,5,B00BATGDCO,Funny as hell!!!,1408320000,,16,4.666666666666667
5566846,3,B00BATGDCO,Not as good as I hoped,1407369600,,22,2.8333333333333335
5566847,5,B00BATGDCO,awesome,1407196800,,7,7.0
5566848,5,B00BATGDCO,Funny,1406419200,,5,5.0
5566849,5,B00BATGDCO,Classic cheech & chong......only in a cartoon version.....very funny......,1405814400,,74,7.333333333333333
5566850,4,B00BATGDCO,Brought back the memories,1404777600,,25,5.5
5566851,5,B00BATGDCO,"Gotta Love It, I like all their movies !! Start your collection today if you are a fan !!!!!!",1404518400,,93,3.9473684210526314
5566852,3,B00BATGDCO,"If you are a fan of Cheech & Chong, then you've probably already listened to most of this movie. It is nothing but a cartoon put to the old albums and movies, there is very little new material. Anyway, I'd still recommend it to a Cheech & Chong fan, I mean watching them as cartoons was pretty entertaining even though I knew the material.",1404432000,,339,4.3125
5566853,5,B00BATGDCO,Great & on time!,1404345600,,16,3.25
5566854,1,B00BATGDCO,Stupid ass movie,1404259200,,16,4.666666666666667
5566865,5,B00BATGDCO,"I love this movie. I can not get enough of it, I watch it over and over. I would not recommend this movie for anyone under the age of 18. It can be graphic at times with bad language, strong nudity and lots and lots of drug use.
Over all i love this movie and i would recommend it to an ADULT over the age of 18 who love Cheech and Chong movie's.",1403481600,,346,3.7534246575342465
5566866,3,B00BATGDCO,While entertaining  its  just some of Cheech & Chongs old material. The bug in it was pretty stupid. That's one thing I'd cut out.,1403222400,,130,4.375
5566867,3,B00BATGDCO,The movie arrived on time and it was brand new. I really didn't like watching it. It was kind of boring to me. Maybe I should have been stoned when I watched it. Lol,1402272000,,165,3.8823529411764706
5566868,2,B00BATGDCO,The movie had only a few good laughs. It had some real gross humor and then was boring. A big disappointment.,1402185600,,109,4.238095238095238
5566869,5,B00BATGDCO,The best one out of the entire franchise the mix of old and new works so well together i was very pleased,1401580800,,105,3.8181818181818183
5566870,5,B00BATGDCO,i have been a fan of these 2 for years...they r hilariuos......my 2 fav scenes  in this cartoon is the beginning cootchie buster the grab and then the drive in scene .....great laughs but not kid friendly at all adult content humor,1400544000,,231,4.5
