,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5661768,5,B00BO9PJAM,"Louise Palanker put together an insightful and realistic look at the 60's family band, The Cowsills, who were the inspiration for the hit TV show ""The Partridge Family."" This is a must-see for any Cowsill fan, or for anyone who grew up in the 60's. While the children smiled and charmed the audiences with such delightful hits as ""The Rain, the Park, and Other Things,"" behind-the-scenes, they had to deal with their controlling, abusive father. Their story is a bittersweet rags-to-riches-to-rags one, and a testament to the determined spirit of the talented siblings to rise above their past.",1362614400,6,594,5.071428571428571
5661769,5,B00BO9PJAM,"Well rounded documentary with terrific footage of this underrated 70's band.  What happened behind the scenes is always fascinating and sometimes tragic, but the ups are what really move this story along.  I have new respect for The Cowsills",1362614400,3,241,5.153846153846154
5661770,5,B00BO9PJAM,Amazing story of an amazing band and family.  Thanks to Louise for all the hard work and the The Cowsills for all they gave for their whole lives.,1362614400,2,146,4.214285714285714
5661771,4,B00BO9PJAM,"I had never heard of these guys until David Cassidy died. I looked them up and have been hooked ever since. Its good for all of us to tell our stories and hopefully expose whatever abuses were done to us to help the next generation.

This was well written. I enjoyed it.",1513296000,3,270,4.1923076923076925
5661772,5,B00BO9PJAM,I love the Cowsills.  A sad documentary.,1513123200,,40,4.714285714285714
5661773,5,B00BO9PJAM,Brutally honest and at times difficult to watch.  It moved me to tears to learn of the abuse endured by talented young kids who gave so much joy to my generation.  And their long and difficult recovery coming to terms with their abusive father.,1513123200,,244,4.5227272727272725
5661774,5,B00BO9PJAM,Fantastic story. I had no idea the pain they went through. Flower girl was my favorite song in my teen years..Please watch this film ,1511740800,,133,4.541666666666667
5661775,5,B00BO9PJAM,"Good documentary, done by the family. Doesn't pull all punches (although you get a sense that life with Bud was much worse than they portray). This band was formative for those of us at that age. Happy, positive, family oriented in a period where so many things in the country were dark (Vietnam war, youth in the streets, the sometime violent push back by many against racism, the assassination of Kennedy). Harmonies were awesome.... great to see the clips.",1511654400,2,459,4.822784810126582
5661776,4,B00BO9PJAM,A nostalgic look at an interesting band; good memories.,1507075200,,55,5.222222222222222
5661777,5,B00BO9PJAM,Great band! Interesting tale of what could have been. More appreciation for them now then when I was a kid.,1506643200,,107,4.4
5661778,1,B00BO9PJAM,I hAve prime. I grew up listening to them but I.list my hearing and it's not in close caption.,1504396800,,94,4.0
5661779,5,B00BO9PJAM,"It goes to show that what you see on the surface is not necessarily what's going on underneath, especially in show biz.  My heart goes out to them for having such an abusive father. I didn't know they were the real life inspiration for the Partridge Family, which was one of my FAVORITE shows growing up, so WOW, they are the real deal. Bless all of them.",1504051200,,355,4.298507462686567
5661780,5,B00BO9PJAM,"I was born in 74, yet recall seeing their albums in thrift shops years later. Funny, I always thought how they looked like, ""The Partridge Family"". Never knowing they were the original concept. I can honestly say they are talented. Over the years, I've heard their music pop up and do enjoy it. My mother actually remembers them and will enjoy this movie as much as I have.",1503792000,4,373,4.5
5661781,4,B00BO9PJAM,Really interesting and well done.  Sad.  I think I'd be very bitter for many reasons.  Wishing them the best.  So talented.,1503446400,,123,4.714285714285714
5661782,5,B00BO9PJAM,Phenomenal story of one of the most underrated bands of all time.  I was born in 1959 and in the late 60's I was too young for hard rock.  I loved the pop harmonies of the Cowsills and so wanted to be just like them.  This is a touching and many times sad and distressing story but it makes them that much more real.  And just this past Friday I was able to mark one item off my bucket list...I saw the Cowsills LIVE as part of the Happy Together Tour when they came to Hot Springs!  They sounded spectacular.  Wished they would have been the whole concert.,1503273600,4,557,4.111111111111111
5661783,2,B00BO9PJAM,"love the music, but alot of origin story is left out as it rapidly skips ahead to become not much more than a whine fest. The end shows the siblings accepting each other for who they are, but that's only after everyone has had a chance to tell their horror story of how their parents ruined their lives.
ON the bright side, you won't be inspired to get into the music industry",1502928000,,376,4.236111111111111
5661784,4,B00BO9PJAM,"You don't have to be a big fan of their music to appreciate this honest portrayal of siblings growing up in a large, musical family. The 60s and 70s had a lot of large families -- both on television and in real life, and for those of us who grew up in one, we can relate to so much of this film. It is true, to a great extent, siblings raise each other in large families, and those bonds can be greater than the parent-child bond. I enjoyed this movie very much!",1502755200,,462,4.032608695652174
5661785,5,B00BO9PJAM,truly excellent documentary.  left me moved . . . made me care.  hat talent!,1502150400,,76,4.357142857142857
5661786,4,B00BO9PJAM,"'m the same age as Susan, and I went right back to being a kid watching them on Saturday music shows, listening to AM radio.  They were so talented, and I always wondered what happened to them. They just disappeared. Today's kids are more empowered than we were, and can't fathom kowtowing to Authoritarianism, but it was a very different era, and still, I remember 1969 as a great year to be a kid.  Sure, Vietnam was raging and civil rights were struggling, but our older brothers and sisters were shining klieg lights on all that hypocrisy.  We went to the moon.  The future seemed bright.  Well, fast forward 5 decades and...I wonder what Bill's musical output could have sounded like, given different circumstances. Haunting, and ultimately uplifting in this family's love for each other.",1502064000,2,793,4.844444444444444
5661787,3,B00BO9PJAM,"Just OK, I've seen better band bios.  Was good to find out what happened.  I very much remember them and they were HUGE for a short time.  They really had the *pop* sound of the 60s.  What this film did not do, and I wish it had, was to tell how much they actually were allowed to play/sing on their albums.  They allude to not playing in one anecdote, but if you aren't looking for it, you might miss it.  I imagine they just came in to sing (with help, perhaps) after studio musicians laid down the tracks.  Unlike some other made-for-TV groups, they had a ton of talent, so were able to back it up live.  It is a shame that their father was an angry, alcoholic pedophile (using alcohol to deal with his desires, which only caused him to lose whatever control he tried to exert over himself).  A good watch if you remember them.  If you don't, then it is probably hard to 'get'!",1501804800,,880,4.2155688622754495
5661788,5,B00BO9PJAM,"How interesting to hear the story of The Cowsills. It feels good to hear and remember the great songs they produced, but especially to hear from them personally what their lives were like. They are amazingly talented and I enjoyed seeing how much they love and respect each other after all of it.",1501200000,,296,4.60377358490566
5661789,5,B00BO9PJAM,"What an excellent documentary! I loved the Cowsills when I was a kid...I was born in 1963...(I remember hearing ""Hair"" on every radio station that we tuned into, in every state, while on a family road trip from Washington to Missouri) and ""The Rain, The Park, & Other Things"" remains a favorite song of mine to this day. I loved it that a little girl that was my age was in a band!

I recall hearing of Barry's disappearance during Katrina and was saddened by his death, but I had no idea that Bill died too.

It's disheartening and sickening to discover that their father was so abusive. The Cowsills were so talented, only to be shot down by their father.

But I found myself tapping my feet and singing along while I watched this movie. If you love their music, as I do, you will enjoy this movie.",1500940800,2,800,4.355704697986577
5661790,5,B00BO9PJAM,"As a child I loved the Cowsills and even though I didn't know them personally, I was very proud that kids like me....made it (The Cowsills).
Then after a couple good songs, it was like they vanished. I loved the Cowsills Story-the adult children were honest and very down to earth. My mother once watched Bud Cowsill doing an interview and stated to me,"" Well we all know who wears the pants in that family..big time."" As a kid, I didn't know what she was talking about, but after watching this...now I understand. I think if Bud just step back and let the kids breathe alittle, they would of stayed famous. Truthfully I believe the kids,  that much of the money that they made was wasted on bad decisions and investments by the father. And what is truly  sad you didn't hear of the passing of Mrs. Cowsill and the 2 brothers. I give a thumbs up on this story and hope only good things will happen for this talented family.",1499385600,6,923,4.391812865497076
5661791,5,B00BO9PJAM,"I loved the movie. Both times! That uplifting joyous Spirit of the 60's all came back watching this. I clearly remember waiting for INDIAN LAKE to come on the radio. And when it did, would close my eyes and SING!! Bill Cowsill hated it, but the beautiful harmonies and the feeling of endless possibilities swept over me. And Susan was the joy filled Spiritual Center. Watching them on Ed Sullivan I fell in love with her. First crush. First girl in a group............ Too familiar story. Bad management. Hurt feelings. Should have fired the Colonel, or their dad. Like Elvis, management, or dad tried to maintain a certain image. But as I was reminded, the Cowsill's were much more! If you were a child of the 60's, I was eleven when I was first transfixed by Susan dancing to INDIAN LAKE, watch this wonderful movie!",1499385600,5,818,4.6482758620689655
5661792,5,B00BO9PJAM,Right up there among my favorite documentaries. Their personal story is beyond anything you could imagine if you followed this band as a youngster. What a shame this talent was squandered by the last person who should have been in charge.,1497571200,2,238,4.829268292682927
5661793,5,B00BO9PJAM,"What a horrifying true story of heartbreak behind the uplifting sound of America's family band. This is an eye-opener for anyone who ever envies the lives of people so relentlessly in the public eye, presented in an idyllic fashion. So sad and depressing, but the human spirit is stronger than we imagine. For me, this story was truly a horror. I sincerely hope that the person who called himself ""father"" has found the reward that he so justly deserves.",1497052800,4,454,4.7594936708860756
5661794,5,B00BO9PJAM,Heartbreaking & riveting.,1496016000,,25,7.666666666666667
5661795,5,B00BO9PJAM,"An amazing and talented family, it is great to listen and watch their story.",1491868800,2,76,4.5
5661796,4,B00BO9PJAM,"If you like/liked the Cowsills, you'll really enjoy this in depth look at their lives and career.",1491696000,,97,4.764705882352941
5661797,5,B00BO9PJAM,What a story. I was and still am a big fan of the Cowsills. You cannot be a fan and not watch this movie. Bob Cowsill does a great job of walking the viewer through it.,1490572800,,168,3.6944444444444446
5661798,1,B00BO9PJAM,"After seeing this on tv, I really wanted it, as I'm a big fan of the band. However, this dvd is of poor quality, and I've been tempted to return it or just junk it. The label appears to be a pc generated one, and those do eventually peel off, and will damage your player. The menu is poorly made, and the live videos are stretched and very poor quality both audio and video. This gives the appearance of an illegal copy, and I am very disappointed. You'd be better off recording it from tv.",1490486400,,490,4.168421052631579
5661799,5,B00BO9PJAM,Great just as listed,1489017600,,20,4.25
5661800,5,B00BO9PJAM,excellent presented very well so sorry this family had all these hardships,1488499200,,74,5.25
5661801,5,B00BO9PJAM,great tragic story,1486339200,,18,5.333333333333333
5661802,5,B00BO9PJAM,"The first time I saw the Cowsills after watching this video, my eyes welled with tears and I wanted to jump on stage and give them all a hug. Every time I see or hear them I am amazed at their talent and their courage and fortitude. I highly recommend this documentary. You not only get to hear their beautiful harmony, you will walk away wanting to hang out with them.

Thank you!",1481587200,,381,4.219178082191781
5661803,5,B00BO9PJAM,"Great documentary!  It was good to hear their story from their perspective.
Great Band.  I listened to The Cowsills growing up.  I like their new music too.",1481328000,,156,4.703703703703703
5661804,5,B00BO9PJAM,"Another band that got screwed, and so did we. In the same controlling vein as the Beach Boys father, this poor family of extremely talented kids had it even worse. They were forced into the bubblegum mode when according to insiders, 2 of the young members were already writing great songs and they were squashed. The mom didn't even want to be in the band.  The vocal harmonies were like watching 2 Bee Gees vocal groups on the same stage. They could have been so much more. This documentary is really worth watching because if you weren't a fan before, (I wasn't) you will be after watching it.",1481155200,4,595,4.5092592592592595
5661805,5,B00BO9PJAM,Fascinating and moving,1476489600,,22,6.666666666666667
5661806,5,B00BO9PJAM,wonderful story. I really enjoyed the documentary,1476403200,,49,6.142857142857143
5661807,5,B00BO9PJAM,Great film / biography. Highly recommended.,1475798400,,43,6.333333333333333
5661808,5,B00BO9PJAM,Fascinating look behind the scenes with the Cowsill family. A real eye opener as far as what was going on when they were on top and what has happened since.,1475798400,,156,4.233333333333333
5661809,5,B00BO9PJAM,"One of the best documentary's I've seen. If you're a fan of either The Cowsills OR The Partridge Family, this one's for you.",1475452800,,124,4.434782608695652
5661810,4,B00BO9PJAM,"Amazing story that everyone should watch. A bit ameteurish, but wonderful in spite. Super talented family with a sad, yet ultimately triumphant story.",1474848000,,150,5.565217391304348
5661811,5,B00BO9PJAM,If you're fan you'll love it,1473984000,,28,3.8333333333333335
5661812,5,B00BO9PJAM,Great movie,1472774400,,11,5.0
5661813,5,B00BO9PJAM,"Did you grow up during the sixties?  If so you simply must see this documentary.  Oh, how I love the time.  It was, perhaps, the most musically magical period in all of modern time.  So many years later I must say I remember The Coswills.  But, I hardly knew them.  They blipped on the screen for a moment and then they were gone.  What happened?  This documentary tells the story.  It isn't the story you might think.  This family was the real deal.  They weren't the kids picked out to represent a musical juggernaut of a family.  They were the real deal.  So, what happened?  Well, it started with the patriarch being horribly divisive, and since he held the keys to the kingdom, he crushed it.  But, there's much  more.  The family didn't just fade into pop oblivion.  This was a family and it kept on being brothers and sister.  They reemerged and in that there is  a story.  The family that had it all, lost it all, and became the absolute blueprint for The Partridge Family kept breathing and living  This is their story and it deserves another look.  Thank goodness a filmmaker thought the same.  I can't tell you how much this story has moved me.  It's sad and it's also uplifting all in the same.  If you grew up when The Cowslips were a blip on the radar you simply must see this film.  It's a survivor's story and it's a celebration of what family really means. The music is a huge bonus.  Please see this film if you were born in a time when pop music defined so much.  You'll be richer for it.",1471996800,,1507,4.320143884892087
5661814,5,B00BO9PJAM,Great story line,1471737600,,16,4.666666666666667
5661815,5,B00BO9PJAM,A must see bitter sweet story of family survival and triumph over tough adversity.. I've always loved their music and now I love these people! We have watched this several time and always come away moved. Your emotions will be tested and you'll think about this story for days after it's viewed.,1471564800,,295,4.6923076923076925
5661816,5,B00BO9PJAM,Very good documentary ( only makes sense if you were around in the late 60's :),1469145600,,79,4.0
5661817,5,B00BO9PJAM,"Didn't know the story of The Cowsills, but loved this band as a little girl.  Their story is not what I expected.  I bet it will surprise you, too.",1468800000,,147,4.0344827586206895
5661818,5,B00BO9PJAM,Good !!! I enjoyed it,1468022400,,21,3.4
5661819,4,B00BO9PJAM,interesting,1466467200,,11,11.0
5661820,4,B00BO9PJAM,Enjoyable and eye opening - the chronology could have been a little clearer - but a cautionary tale about fame and fathers,1466035200,,122,4.590909090909091
5661821,5,B00BO9PJAM,Beautifully done story of an extremely underrated and highly talented musical family. This family went through a lot and their story touched my heart. I have been a fan since I was a child but this movie made me fall in love with The Cowsills. I have so much admiration and respect for them as people as well as musicians.,1465948800,3,322,4.383333333333334
5661822,5,B00BO9PJAM,"Can't say enough about this documentary.... A trip down memory lane, but OH, So Much More!! Incredible music, but above all, a touching, inspiring story of the strength of sibling love, and the power of family ties, individual strength, and resilience.  Long Live the Cowsills!!!! If you ever loved their music - or even if you haven't a clue who they are - treat yourself to this engrossing film. Thanks to the filmmakers and The Cowsills for sharing their stories with us. Rest in peace, dear Barry, Bill, and Richard. Be sure to catch the touring Cowsills - Susan, Bob, and Paul; Susan and her band in New Orleans; and John as the current drummer of The Beach Boys!",1465430400,7,668,4.61344537815126
5661823,5,B00BO9PJAM,"An excellent documentary covering the rise and fall of this late 60s family band. Most Americans living in the late 60s and early 70s will remember the Cowsills, but  don't know what happened after they shot to stardom.  Most people probably didn't realize how insanely talented each member of this band is and was.. Even though we have heard this kind of story before, complete with a father who had no idea how to love his family and in the end, ended up killing the band, The filmmakers give a great insight to this all -American family and their battles with addiction and lack of a loving father' and most importantly their survival.  The film barely hits on Barbara Cowsill, the mother, and her plight in all of this, but this film is more about the kids journey and shows how much parenting has changed in 50 years but not the family dynamic.",1465257600,,849,4.5359477124183005
5661824,5,B00BO9PJAM,"beautiful and touching movie about a massively underrated great band that could have made a lot more fabulously great unforgettable music had they been dealt a slightly different hand by life. ""The Rain, the Park, and Other Things"" was probably their only real flash of pop brilliance but they were capable of so much more. See this movie and feel the pain, but also the wonder of what people can endure and yet maintain their spirit and optimism.",1465084800,,447,4.743589743589744
5661825,5,B00BO9PJAM,"Great movie, great music , great story- amazed at what they accomplished.",1464220800,,73,5.166666666666667
5661826,5,B00BO9PJAM,Well Done.,1463702400,,10,4.5
5661827,5,B00BO9PJAM,The extremely talented Cowsills could have gone on to Greener Pastures (pun intended) had it not been for their drunken horrible father. It's also a great look back at the 60's.,1463529600,,177,4.741935483870968
5661828,5,B00BO9PJAM,"Outstanding, heartbreaking and inspiring . . . all at the same time!",1459123200,2,68,4.75
5661829,5,B00BO9PJAM,"When I saw this on air on TCM I thought it was an excellent production. I wish it was longer but in its format it's excellent to get a perspective on the rise and fall of the band. There song ""The Rain The Park and Other Things were excellent. It's sad that the band was destroyed by a meddling parent whose ideas were counter to what the band member and producers wanted. They should have been left alone and allowed to produce the music that they wanted. I would like to see them produce another video that is in depth and longer. It was worth the money.",1458518400,2,556,4.205607476635514
5661830,5,B00BO9PJAM,"Great move...Bob Cowsill's narration was wonderful....This story is abjectly sad at times, but the story is an awesome one...",1457308800,,125,5.631578947368421
5661831,5,B00BO9PJAM,Very interesting and very informative!!,1457222400,,39,7.0
5661832,5,B00BO9PJAM,Unbelievable story about what could have been a great band.  Their story is one that no one at the time would have believed.,1456531200,,124,4.391304347826087
5661833,5,B00BO9PJAM,it was a very informative story with all the family and then some. very interesting and touching and mostly the music talent was tremendous and everyone had their heart in the music. a great story i will watch again.,1455062400,,216,4.564102564102564
5661834,5,B00BO9PJAM,"While I was watching the film there was a real WOW factor.  I had the pleasure to meet and talk to them on a Rock and Roll Cruise shortly after I saw the film and WOW, they are the real thing.  Great People and Great Entertainers.

The film was a true portrait of who the group really is, it was well done.",1454544000,4,306,3.903225806451613
5661835,5,B00BO9PJAM,Sad bud interesting.,1453334400,,20,6.0
5661836,5,B00BO9PJAM,This is a heartbreaking story of a super talented family and the twists of fate that bring them crashing down.,1452124800,,110,4.55
5661837,5,B00BO9PJAM,"I'm the same age as Susan Cowsill.  So, when we were both around 10 years old, I fell in love.  She had such a bubbly
personality, and the music was good, too.  I still have a ""crush"" on Susan, and maybe now, she'll get in front of the tv cameras more often.  So much talent!",1450569600,2,275,3.9454545454545453
5661838,4,B00BO9PJAM,I enjoyed the story. I was not aware of how difficult the father was. I would recommend this if you were a fan. Also didn't know about the relationship to the Partridge Family!,1449446400,,176,4.363636363636363
5661839,4,B00BO9PJAM,Good history lesson of a great band..nice to know what goes on behind the scenes.,1449014400,,81,4.466666666666667
5661840,5,B00BO9PJAM,"What an amazing family!  With everything they went through personally, they still managed to produce some awesome music for the time - only to have the rug pulled out from under them by their own father.  No flashy show-biz musicians - just down to earth people, who all happened to be in the same big family!  You won't be disappointed in watching their story - family bonding at it's very best!  Great job, Louise Palanker!",1447027200,,425,4.626666666666667
5661841,5,B00BO9PJAM,Insightful and entertaining,1446508800,,27,8.333333333333334
5661842,5,B00BO9PJAM,i love them soooo much!,1446249600,,23,3.8
5661843,5,B00BO9PJAM,Excellent story of the Cowsills,1445644800,,31,5.4
5661844,5,B00BO9PJAM,"Very enlightening and before watching this, I had no idea of the abuse the Cowsill children had to endure from their father.  I enjoyed watching them perform some of their big hits.",1444867200,,181,4.65625
5661845,5,B00BO9PJAM,"While only vaguely familiar with their songs, I found the story absorbing. An interesting bunch--they found pop stardom while navigating through what many probably experience with a domineering, abusive parent. After later listening, their song ""Some Good Years"" has really stuck with me--and seems a good measure of the story too.",1444521600,,331,5.509803921568627
5661846,5,B00BO9PJAM,"Excellent film history of the Cowsill family, I will recommend this film to babyboomers everywhere",1441929600,,98,5.6
5661847,5,B00BO9PJAM,"As a Cowsill fan who always wondered what happened to them, I enjoyed watching this.  Still love their music. . .took me back in time when I watched this. I'd recommend it to everyone who was a loyal Cowsill fan.",1441929600,,212,4.3
5661848,4,B00BO9PJAM,"A tragic, yet fascinating look at an underrated musical force in the late 60's. A bit incomplete however, as I would have liked to know what happened to the mom and dad; did they ever reconcile? Where did they end up,etc. otherwise a great documentary.",1441584000,,252,4.622222222222222
5661849,5,B00BO9PJAM,"and you thought your family had problems don't think so, a very good documentary happy to have in my collection plus their greatest hits",1440979200,,136,4.708333333333333
5661850,4,B00BO9PJAM,"Growing up I loved the song ""The Rain The Park and Other Things"" , but I was never really into the band.  I was more a fan of groups like The Beatles and Rolling Stones. I recently saw The Cowsills perform with The Happy Together Tour and then became curious as to their ""story"".  I enjoyed this documentary very much.  I discovered that I am the same age as Susan but with only one older brother. She was fortunate to have so many. It made me sad to hear of yet another controlling father and husband. That was so typical of that era.  I am sad for all the losses they went through but happy that Paul, Susan and Bob are still playing together.  I'm glad I got to see the three of them perform and hear their story.  Whether you are a fan or not I think you will enjoy seeing this documentary.",1440892800,2,794,4.123376623376624
5661851,5,B00BO9PJAM,Great band. Sad story. Saw them here in Nashville this summer and they were great! See them if them come to your city!!,1440115200,,119,4.217391304347826
5661852,4,B00BO9PJAM,"Labor of love, shoestring budget, raw, uncensored, enlightening, Will Cowsills earn newfound respect from music elites? Cowsills were the real deal musically, but a ""Hindenberg"" as a family.",1439683200,,190,5.821428571428571
5661853,5,B00BO9PJAM,Very wonderful and loving tribute to a very talented family band...,1439596800,,67,5.181818181818182
5661854,5,B00BO9PJAM,A sad but compelling look at a musically-talented American family.  The sad part is that the story could have turned out so much better for the band.,1439164800,,149,4.518518518518518
