,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5775874,5,B00D78DBPS,"THIS WAS FOR MY FIVE YEAR OLD GRANDDAUGHTER, SHE LOVES ALL THINGS BARBIE,  WE WATCHED IT TOGETHER AND BOTH ENJOYED IT VERY MUCH",1379203200,3,127,4.521739130434782
5775875,4,B00D78DBPS,i know it kept the attention of my seventeen month old for almost the whole movie.  for that i think its good,1379030400,3,109,3.9545454545454546
5775876,4,B00D78DBPS,"When i heard that there was going to be a new Mariposa film, i could not wait. I loved the first one, even though some aspects of it where questionable, the Skeezites who eat butterfly fairies?! I was shocked to hear Kelly Sheridan voice instead of Chiara Zanni. I liked how Zanni brought a new diminution to a non-Barbie character, however, in this film, Sheridan 's voice makes Mariposa sound like all of the other Barbie characters and brings no depth to this character we have come to love. I have other nit picks about this film as to the hair change, color and style, but i will not go into detail. Another issue i had was the villain of the film. The character was not well thought out and her plan is the same as all of the other Barbie villains. i would have liked to see more of her back story as to why she started off looking one way then changing. Moreover, I do think that this story brings a new look at Barbie films and what she can accomplish because she was not the full focus of the film. Mariposa and Princess Catania shared the spotlight and worked together to save the land. the lesson, over all, was vary strong; showing the viewer that all you need is to take time to get to know and understand each others differences to truly be a friend. Over all i loved the film and it is worth giving it a chance.",1378684800,2,1326,4.24505928853755
5775877,5,B00D78DBPS,"My six year old daughter loves this movie, and it came in DVD + BluRay formats, so I'm happy! seems to be of quality material and scratch resistant, as no damage is apparent...yet.",1378512000,,180,4.484848484848484
5775878,5,B00D78DBPS,"For years this household has purchased the Barbie videos.
Each time you think they run out of ideas, they come up with more. Each video has a good message.
Support the supplier for releasing this title on Blu Ray as it is not available at your local Walmart store.",1378166400,,264,4.408163265306122
5775879,5,B00D78DBPS,I enjoyed watching this with my daughter. All the Barbie movies are lots of fun for mommy daughter time. Buy it.,1377993600,8,112,4.380952380952381
5775880,4,B00D78DBPS,"This is a review from a 8+1/2 year old. I think this movie is great. In my opinion,  it's kind of different from the other barbie movies because I think it has a little more action. The reason I didn't give this movie five stars wasn't beacause I found anything wrong, it was just beacause I have seen better.
P.S. I like the lesson about friendship.",1377734400,25,350,4.303030303030303
5775881,5,B00D78DBPS,My 6 year old loves it!  She has a large collection of Barbie movies and books and she says this is her favorite.,1377648000,18,113,3.9130434782608696
5775882,3,B00D78DBPS,"My girls and I are huge fans of the barbie movies. With that said, I wasn't super impressed with this one. It had potential but fell flat. Normally my girls watch the movie over and over again but the keep going back to the secret door rather than this one.",1496880000,,257,4.16
5775883,5,B00D78DBPS,These Barbie movies are all really good. Daughter loves this one.,1493683200,,65,5.0
5775884,5,B00D78DBPS,My daughter loves this movie.  She's watching it again as I type this.  Anyone who loves the Barbie movies will thoroughly enjoy this one!!!  Great item at great price!!!,1489449600,,170,4.793103448275862
5775885,5,B00D78DBPS,"I'd seen the first Mariposa and liked it. Sequels can be hit or miss, but this was not a disappointment. It revisits characters from the first Mariposa while being a different story. Really great movie, sweet story line and overall a must see!",1477872000,,243,4.674418604651163
5775886,5,B00D78DBPS,Cute movie.,1477008000,,11,5.0
5775887,5,B00D78DBPS,My daughter gives this movie five stars.,1476230400,,40,4.857142857142857
5775888,5,B00D78DBPS,This movie is a favorite of my girls!,1473206400,,37,3.75
5775889,5,B00D78DBPS,Granddaughter loves it.,1472774400,,23,7.0
5775890,5,B00D78DBPS,great fun for our 5 yr old niece.,1468972800,,33,3.25
5775891,5,B00D78DBPS,Another great Barbie movie! Just as good as any other. Always a great story to every Barbie movie.,1466035200,,98,4.5
5775892,5,B00D78DBPS,remembered why I got these for my daughter on VHS. Enjoyed sharing it with my granddaughter! I My granddaughter loved it.,1461369600,,121,4.809523809523809
5775893,4,B00D78DBPS,There aren't many sequel Barbie movies. This one's not bad.,1458604800,,59,5.0
5775894,5,B00D78DBPS,great movie,1457136000,,11,5.0
5775895,5,B00D78DBPS,kids liked it,1453852800,,13,3.6666666666666665
5775896,5,B00D78DBPS,Perfect condition . Girls loved it.,1452729600,,35,5.0
5775897,5,B00D78DBPS,Great!,1452729600,,6,6.0
5775898,5,B00D78DBPS,"Bought for niece, she loved it.",1452470400,,31,4.333333333333333
5775899,5,B00D78DBPS,Kids love it!,1451260800,,13,3.6666666666666665
5775900,4,B00D78DBPS,Granddaughters love this type movie.  They are 5 and 3 years old.  Not really suitable for adult review. :),1447632000,,107,4.578947368421052
5775901,5,B00D78DBPS,Great movie for kids!,1443398400,,21,4.5
5775902,5,B00D78DBPS,Daughter loves it.,1442534400,,18,5.333333333333333
5775903,5,B00D78DBPS,Good movies,1442534400,,11,5.0
5775904,5,B00D78DBPS,Daughter loves this and all Barbie movies.  She has them all and is waiting the newest to be released.  Shipped quickly.,1441584000,,120,4.666666666666667
5775905,5,B00D78DBPS,The item was exactly as I ordered it and it came on time.  I am happy with how my order was handled.  My grand-daughter loves the movie. :),1439251200,,139,3.9285714285714284
5775906,5,B00D78DBPS,Such a great movie,1439251200,,18,3.75
5775907,5,B00D78DBPS,"My daughter loves this movie, I purchased the movie and the doll as a Christmas gift and both have held up well and she is still watching the movie and playing with the doll, so I guess that means it was a hit!",1438819200,,210,3.9069767441860463
5775908,5,B00D78DBPS,5 year old Granddaughter loved it !,1437955200,,35,4.142857142857143
5775909,5,B00D78DBPS,Granddaughter was so surprised by her. great price,1437091200,,50,5.375
5775910,5,B00D78DBPS,My granddaughter loves this movie. She is 7 years old.,1435708800,,54,4.5
5775911,4,B00D78DBPS,"It was just ok, not as good as other Barbie dvds we have but watchable. Little ones seemed to like it ok",1435363200,,104,3.772727272727273
5775912,5,B00D78DBPS,My 3 and 1/2 year old loves this cute movie,1434499200,,43,3.4
5775913,5,B00D78DBPS,a very cute sequel to the first one,1430784000,,35,3.5
5775914,3,B00D78DBPS,Granddaughter begged me to buy this. She is 6yo. She watched this once. I have offered to play it again multiple times & she just isn't interested.,1430265600,,147,4.481481481481482
5775915,5,B00D78DBPS,I love it,1428969600,,9,2.3333333333333335
5775916,5,B00D78DBPS,Very cute movie,1428364800,,15,4.333333333333333
5775917,5,B00D78DBPS,Daughter loves these barbie movies.,1428364800,,35,6.2
5775918,4,B00D78DBPS,Good,1427587200,,4,4.0
5775919,5,B00D78DBPS,"My daughter loves Barbie and all of her movies, they all have nice singing and dance that kids can follow along with. It is cute watching your kids dance and sing like a princess",1427241600,,178,4.264705882352941
5775920,4,B00D78DBPS,My daughter likes this movie. It's an average Barbie movie.,1425859200,,59,5.0
5775921,5,B00D78DBPS,Great Item Thanks All New Factory Sealed,1424995200,,40,4.857142857142857
5775922,5,B00D78DBPS,Little girl loved it,1424044800,,20,4.25
5775923,5,B00D78DBPS,Cute little video.  My 3 year old granddaughter watches it as she plays with the Barbie Mariposa and the Fairy Princess playset.  Great purchase.,1423699200,,145,5.0
5775924,5,B00D78DBPS,"Though not as educational as some, we love Barbie and this movie was full of all the happy, kind Barbie stuff we love.",1422489600,,118,4.173913043478261
5775925,5,B00D78DBPS,Granddaughter loves mariposa,1420243200,,28,8.666666666666666
5775926,5,B00D78DBPS,gave as a christmas present,1419638400,,27,4.6
5775927,5,B00D78DBPS,My 4 year old grand daughter loved it.,1416009600,,38,3.875
