,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5897931,4,B00E9CC6SO,I like how this doc goes more into the damage to victims and meditates on the aftermath is for victims of abuse.  It plays half like cold case file with a matter-of-fact presentation style and half like a personal therapy project.,1445558400,,230,4.609756097560975
5897932,3,B00E9CC6SO,Sad story about a respected doctor in a small town that totally destroyed the innocence of so many children.,1445558400,,108,4.7368421052631575
5897933,5,B00E9CC6SO,"This is the true story of a pedophile pediatrician who got away with molesting children.

This movie deeply touched me.",1441324800,3,119,4.95
5897934,4,B00E9CC6SO,Very interesting film.,1437436800,,22,6.666666666666667
5897935,5,B00E9CC6SO,"This was a difficult film to watch but I feel it is an important film and one that focuses on the children as they were and the adults that they became. It speaks of the evil that dwells in some human beings but that is far outshined by the courage, honesty, pain, determination and hope that his victims project. I applaud the young man who made this film with all my heart and I am grateful for those who opened up about their pain and the damage done by this horrible excuse for a man. I think it also speaks to the fact that we need harsher laws and more awareness of the effects of the offenders. It is unthinkable for a person so depraved to go unpunished and never to be made accountable. The film is one I am glad I took the time to view--because we need more people like the ones who opened up and dared to speak against this evil.",1436918400,19,840,4.128048780487805
5897936,4,B00E9CC6SO,"This is the true story of a child molester who had the perfect job for himself. He was a pediatrician!

I had a personal interest in the story, as I went to high school with the perpetrator and knew him fairly well. He got away with his molestation for years, because no child was going to rat on his beloved doctor. The film maker had a personal interest in the case, as he had been molested as a child and wanted to call attention to the crime. A difficult film to watch, but it is very well done and makes the case that a person that you like and trust could very well be a child molester.",1400630400,24,592,4.05982905982906
5897937,5,B00E9CC6SO,Very interesting study of incest in a small town.,1486598400,,49,4.555555555555555
5897938,1,B00E9CC6SO,Not a very good documentary. More like a home movie,1486598400,,51,4.2
5897939,5,B00E9CC6SO,Well done documentary.,1485734400,,22,6.666666666666667
5897940,5,B00E9CC6SO,"Great job by Patrick Brown. I grew up and live in Bartlesville so it really hit close to the heart. I praise all the people who came forward with their stories. If we can change one thing it would be changing the statue of limitations laws for minors against this type of predator. As a father now and someone who experienced the same lewd acts against myself I can say for sure I might be behind bars now if this had happened to my kid.
God bless the victims and good luck to Dr Bill when its time for him to meet his maker.",1485475200,,525,4.0576923076923075
