,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5942952,5,B00ET2ODYE,"Dennis (Paul Giamatti) and Rene (Paul Rudd) are small time guys with small dreams.  They travel from Quebec to New York to sell Christmas trees.  For Dennis this is a chance for personal redemption after his release from prison for burglary.  Rene just wants to earn enough money to buy his girlfriend Therese (Amy Landecker) an engagement ring.  Therese also happens to be Dennis' ex-wife so there is an obvious friction between the two business partners.  Along the way they meet a sundry  assortment of characters including a  Russian dental assistant, Olga (Sally Hawkins), who sympathizes with sad sack Dennis.  ""All Is Bright"" is at turns funny and poignant.  Giamatti plays Dennis with a degree of sullen pathos and Rudd's Rene is affable.  The chemistry between these two underrated veteran actors sparkles.  Director Phil Morrison establishes a melancholic mood which is punctuated by a terrific soft jazz score of holiday standards.  Some of the reviewers have said this isn't really a Christmas movie but that couldn't be further from the truth.  Hallmark doesn't have a trademark on seasonal fare.  This offbeat indie sleeper is filmmaking at its finest.",1387065600,7,1166,5.132978723404255
5942953,3,B00ET2ODYE,"Dennis (Paul Giamatti) has spent four years in prison. His divorced wife (Amy Landecker) wants nothing to do with him. She has told their daughter(Tatyana Richaud) he died from cancer. She plans on marrying Rene (Paul Rudd), Dennis' partner in crime who didn't get caught. With no money, home, or job, Dennis goes with Rene to sell Christmas trees in NYC, which is not a great idea for either man. Apparently this is something NYC generously allows Canadians to do without a permit, license, or sales tax ID number.

The film attempts to be quirky, except it does so in a sad pathetic way and not as a comedy or dark comedy. The jokes didn't make it, even when delivered by some of Hollywood's finest. I consider the film an early Christmas gift for writer Melissa James Gibson.

If I was going to miss one Paul Giamatti film, I would miss this over ""Lady in the Water.""

Parental Guide: F-bomb. No sex. Obscure distant nudity.",1386201600,,927,4.606060606060606
5942954,4,B00ET2ODYE,"I have to disagree with most of the reviews, it was bittersweet and heart warming. I really enjoyed it and it didn't have a Hollywood ending.

If you only like slick comedies, than this is not for you.",1385251200,9,201,4.2894736842105265
5942955,3,B00ET2ODYE,"""Season's Greetings from Canada."" After being released from prison Dennis (Giamatti) returns home to see his kid he is surprised when he finds out his wife told the daughter he was dead. Things get worse when he finds out his ex crime partner Rene (Rudd) is now dating his wife. Looking for work Dennis joins Rene on a trip to New York City to sell Christmas trees. The trip not only forces them to deal with the present circumstances but winds up affecting the lives of everyone involved. First of all even though this is about selling trees I would not call this a Christmas movie. Going into this I was excited because I love Paul Giamatti and think Paul Rudd is underrated. While the movie is good and the acting is great as expected it is very depressing. This is a movie that I can't really talk about what is going on too much because it will give something away but just know that you see the full arc of Dennis from happiness of being released to happiness with himself. If you are a Giamatti fan you will like this but don't expect a happy Christmas movie at all. Overall, great acting and worth seeing but don't be shocked if you are sad when its over. I give it a B.",1384560000,4,1178,4.3108108108108105
5942956,1,B00ET2ODYE,"Rented on Direct Tv.  Our entire family hated it so much, we quit watching after trying for 35 minutes.  Waste of good actors.",1381017600,2,126,4.434782608695652
8609164,5,B00ET2ODYE,Great,1528329600,,5,5.0
8609165,2,B00ET2ODYE,the preview look like it funny. its not funny,1523059200,,45,4.111111111111111
8609166,4,B00ET2ODYE,All is Bright with this order! Movie is a decent holiday flick while knocking back the eggnog and cognac!,1516060800,,105,4.578947368421052
8609167,5,B00ET2ODYE,"I guess most people want Hallmark films for Christmas. This isn't one of them, though in many ways it could be.  The people are real, the story is real, the acting is superb, the music is great, and I find it as uplifting as any Hallmark film.  This seems a labor of love for both Giamatti and Rudd, and most viewers wouldn't recognize their characters from other roles they've played.  I thought their interplay was very complex and interesting. If you want to be surprised and challenged by a great, small story that offers compelling characters and a compelling storyline, and that offers in the end a very traditional narrative about Christmas, then give this a watch.",1450483200,,672,4.726495726495727
8609168,3,B00ET2ODYE,"Dennis (Paul Giamatti) has spent four years in prison. His divorced wife (Amy Landecker) wants nothing to do with him. She has told their daughter(Tatyana Richaud) he died from cancer. She plans on marrying Rene (Paul Rudd), Dennis' partner in crime who didn't get caught. With no money, home, or job, Dennis goes with Rene to sell Christmas trees in NYC, which is not a great idea for either man. Apparently this is something NYC generously allows Canadians to do without a permit, license, or sales tax ID number.

The film attempts to be quirky, except it does so in a sad pathetic way and not as a comedy or dark comedy. The jokes didn't make it, even when delivered by some of Hollywood's finest. I consider the film an early Christmas gift for writer Melissa James Gibson.

If I was going to miss one Paul Giamatti film, I would miss this over ""Lady in the Water.""

Parental Guide: F-bomb. No sex. Obscure distant nudity.",1419033600,,927,4.606060606060606
