,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6034915,5,B00FWVXRNE,"Full Content Listing for WWE's New DVD Set on WCW Nitro
- Silvervision released the full content listing for WWE's new The Very Best of WCW Nitro DVD set. The DVD will be hosted by former World Heavyweight Champion Diamond Dallas Page. Here it is:

Disc 1:

WCW History Lesson

Flyin' Brian Pillman vs. Jushin Thunder Liger
4th September, 1995

Hulk Hogan vs. Big Bubba Rogers
4th September, 1995

""Macho Man"" Randy Savage & Hulk Hogan vs. Ric Flair & Arn Anderson
8th January, 1996

""Rome wasn't built in a day.""

WCW World Tag Team Championship Match
Sting and Lex Luger vs. The Road Warriors
5th February, 1996

Parking Lot Brawl
Lord Steven Regal vs. Belfast Bruiser
29th April, 1996

Eddie Guerrero vs. Ric Flair
20th May, 1996

Scott Hall Nitro Debut
27th May, 1996

Kevin Nash Nitro Debut
10th June, 1996

Migrating to Hot'Lanta

WCW World Tag Team Championship Triangle Match
Sting & Lex Luger vs. The Steiner Brother vs. Harlem Heat
24th June, 1996

nWo is Taking Over
8th July, 1996

nWo Awoke a Sleeping Giant

The Outsiders attack WCW Superstars
29th July, 1996

Sting & Lex Luger vs. The Outsiders Scott Hall & Kevin Nash
12th August, 1996

nWo takes Over
26th August, 1996

""Sting"" attacks Lex Luger
9th September, 1996

The Enigmatic Sting

Sting walks out on Nitro
16th September, 1996

Rowdy Roddy Piper confronts Eric Bischoff
18th November, 1996

Rey Mysterio Jr. vs. Dean Malenko
30th December, 1996

Disc 2:

Badda Bang!

Diamond Dallas Page vs. Mark Starr
13th January, 1997

Harvey Schiller suspends Eric Bischoff
3rd March, 1997

Sting attacks the nWo
17th March, 1997

The High- Flying Cruiserweights

WCW Cruiserweight Championship Match
Syxx vs. Rey Mysterio Jr.
21st April, 1997

WCW World Heavyweight Championship Match
Hollywood Hulk Hogan vs. Lex Luger
4th August, 1997

Disregard for Tradition & Authority

nWo mocks the Four Horsemen
1st September, 1997

Diamond Dallas Page vs. Buff Bagwell
29th September, 1997

Sting Saves DDP from the nWo
27th October, 1997

Sting vs. ""Macho Man"" Randy Savage
2nd February, 1998

Jericho's 1004 Holds
30th March, 1998

Who's Next?

WCW World Heavyweight Championship Match
Hollywood Hulk Hogan vs. Goldberg
6th July, 1998

WCW World Tag Team Championship Match
Kevin Nash & Sting vs. Scott Hall & The Giant
20th July, 1998

Non-Title Match
Rey Mysterio Jr. vs. Chris Jericho
3rd August, 1998

WCW Cruiserweight Championship Match
Juventud Guerrera vs. Billy Kidman
14th September, 1998

Tradition Returns!

Ric Flair Returns to the Four Horsemen
14th September, 1998

WCW United States Championship Match
Bret ""Hitman"" Hart vs. Diamond Dallas Page
26th October, 1998

Ric Flair vs. Eric Bischoff
28th December, 1998

Disc 3:

Cracks in the Armour

WCW World Heavyweight Championship Match
Kevin Nash vs. Hollywood Hulk Hogan
4th January, 1999

Goldberg Spears The Hitman
29th March, 1999

WCW World Heavyweight Championship Match
Sting vs. Diamond Dallas Page
26th April, 1999

Solidifying a Legacy

Eddie Guerrero vs. Juventud Guerrera
21st June, 1999

Hulk Hogan & Goldberg & Sting vs. Kevin Nash & Sid Vicious & Rick Steiner
9th August, 1999

Billy Kidman vs. Diamond Dallas Page
16th August, 1999

WCW World Heavyweight Championship Match
Bret ""Hitman"" Hart vs. Goldberg
20th December, 1999

WCW World Heavyweight Championship Match
Kevin Nash vs. Sid Vicious
24th January, 2000

Last Ditch Effort

The Bischoff & Russo Era Begins
10th April, 2000

Steel Cage Match for the WCW World Heavyweight Championship Match
Jeff Jarrett vs. Diamond Dallas Page
24th April, 2000

Tag Team Ladder Match
3 Count vs. Jung Dragons
18th July, 2000

WCW World Heavyweight Championship Match
Booker T. vs. Lance Storm
7th August, 2000

Triple Cage War Games Match for the WCW World Heavyweight Championship
4th September, 2000

Vince McMahon Buys WCW
26th March, 2001

Sting vs. Ric Flair
26th March, 2001

Celebrating WCW

Special Features:

Rey Mysterio Jr. vs Mr. JL
26th August, 1996

Overall im super excited about this set the only problem i have is not eniugh jericho and i was hoping for some of the infamous hardcore matches but i cant complain i hope they make a volume two",1299888000,26,4141,5.007374631268436
6034916,5,B00FWVXRNE,Love this,1465344000,,9,4.0
6034917,4,B00FWVXRNE,Thanks!,1463961600,,7,7.0
6034918,4,B00FWVXRNE,Collection,1463702400,,10,10.0
6034919,5,B00FWVXRNE,Great addition for any wrestling fan.,1463097600,,37,5.333333333333333
6034920,5,B00FWVXRNE,My husband enjoyed this DVD.,1462752000,,28,4.8
6034921,5,B00FWVXRNE,Great,1459036800,,5,5.0
6034922,2,B00FWVXRNE,"I would have given this product a better review but the product was advertised as very good and when I received it, it was very badly scratched and wouldn't play!!!! I love everything about 90's wrestling and really wanted to relive the great moments WCW had to offer!!!",1458432000,,270,4.645833333333333
6034923,5,B00FWVXRNE,Great DVD. Bought it for a friend.,1457222400,,34,4.0
6034924,5,B00FWVXRNE,I am 100% satisfied with both the product and the prompt service.,1454544000,,65,4.5
6034925,4,B00FWVXRNE,Good price at $3.74 . Throwback to the 90s.  Just needs less Hogan.,1454544000,,67,4.153846153846154
6034926,5,B00FWVXRNE,"Hulk hogan, ddp, nwo, sting, bret hart, goldberg, macho man. This dvd was awesome to say the least",1453680000,,98,4.5
6034927,5,B00FWVXRNE,"This is some of the stuff that i remember from when WCW was a good brand of wrestling. Still i got it for one match in general when Hollywood Hogan won the tilte form Kevin Nash with just the poke of a finger. I have not watched it yet, just got it today. Still 2 more volumes to get andi will have it caught up.",1451433600,,312,3.8153846153846156
6034928,4,B00FWVXRNE,GIFT,1450569600,,4,4.0
6034929,5,B00FWVXRNE,Check out Hulk Hogan-The Ultimate Anthology from Amazon! It shows Hulk from the beginning to Hulk's' WWE Hall of Fame Induction!,1450396800,,128,5.142857142857143
6034930,5,B00FWVXRNE,"If you miss wcw nitro, then this is the set ti buy! Relive some if the best matches and craziest moments that changed the wrestling landscape back in the mid to late 90s!",1449273600,,170,4.181818181818182
6034931,5,B00FWVXRNE,"I never thought i would miss WCW but this excellent 3 disc set made me do just that. I wish Nitro was around to push WwE to higher heights and make the sport fun again. Check out this DVD, its a fun ride.",1447200000,,204,3.7674418604651163
6034932,5,B00FWVXRNE,great,1445644800,,5,5.0
6034933,3,B00FWVXRNE,Is it me or the image quality is terrible ? With little lines on it :(,1445040000,,70,3.4375
6034934,5,B00FWVXRNE,Exactly as described. Came in within the dates expected.,1442880000,,56,5.333333333333333
6034935,5,B00FWVXRNE,My son loved it.,1441670400,,16,3.25
6034936,5,B00FWVXRNE,This is an awesome DVD. Grew up watching this. The good old days of real competition wrestling. A must have,1440633600,,107,4.4
6034937,5,B00FWVXRNE,Good,1437523200,,4,4.0
6034938,1,B00FWVXRNE,so stupid you can smell the idiocracy through the damn TV screen! along with the 400 pounds of slob sweat!,1435276800,,106,4.35
6034939,5,B00FWVXRNE,PERFECT,1433721600,,7,7.0
6034940,5,B00FWVXRNE,Great,1432425600,,5,5.0
6034941,5,B00FWVXRNE,All good arrived on time no problens,1429747200,,36,4.285714285714286
6034942,5,B00FWVXRNE,MY GRANDDAUGHTER IS A TRUE FAN OF STING,1429401600,,39,4.0
6034943,5,B00FWVXRNE,good seller!! a++ nice job!!,1420934400,,28,4.8
6034944,4,B00FWVXRNE,"I actually bought--and enjoyed--the 2nd volume of the ""Best of Nitro"" before getting Volume 1. And much like that 2nd volume, the first edition of the best of Nitro was like revisiting an old friend you haven't seen for many years--but always enjoy the company of when you do get together.

As I said before in my writeup for Vol. 2, pro wrestling was at its peak during the Monday Night Wars & I have my doubts if wrestling will ever be that much fun again. Whether you were loyal to WCW or what was the WWF at that time--Monday Nights at 8pm were appointment viewing--and if for some reason you couldn't get to a tv set to watch it live, then you definitely had your VCR setup to tape the night's action--anyone remember VCRs, heh...

I still remember the next days after Nitro and Raw went off the air & getting together in school with all my buds and discussing the shows & the pros and cons of both organizations. Hell, I still have vivid memories of some of the talks we had after that infamous Monday Night when ""Razor Ramon"" stepped foot into a WCW ring.

That, of course, was the beginning of the mega-hot nWo angle--an angle that in retrospect was the thing that brought WCW to the top & eventually brought them crashing back down to earth--as yet again, I point to the night of Starrcade '97 & how that should have been the beginning of the nWo being phased out--but instead we got nWo overkill with the split into nWo Hollywood and Wolfpac.

And, there was that infamous night in early January '99 when I had hopes that WCW would climb back into the ratings battle with the WWF--and they had the main event that could have delivered those ratings--a Starrcade '98 rematch between Goldberg and Kevin Nash.

But, somehow that main event got switched to Nash vs. Hogan and the rest--as they say--is bad wrestling history. WCW never could recover from the ""fingerpoke of doom"", although there were the occasional bright spots--i.e. Sting's World Title match with DDP in April of '99.

And the last waning years of WCW were tough for even the most ardent WCW supporter to watch--although I will admit, I remember watching that first Nitro when the Russo and Bischoff era began & honestly, it wasn't a bad show at all. But it wasn't long after that, that Russo got complete control of the book again & the rest might be moments best reserved for Wrestlecrap.

But, I would say overall, the great WCW moments--and there were many of them--outweighed the bad & even WWE fans will tell you--if they were being honest--that the WWF product wasn't all grade A material during those years either.

In the end, if you're someone who likes to look back at what I call ""The Good Old Days"" of professional wrestling--then both volumes of ""The Best of Nitro"" deliver the goods.
4 stars",1415577600,,2780,4.557114228456914
6034945,2,B00FWVXRNE,Less than what I expected,1412467200,,25,4.2
6034946,5,B00FWVXRNE,"Got this DVD for my husband, as he is a huge wrestling fan, to add to his growing collection. He thought it was a great DVD.",1408924800,,124,3.8076923076923075
6034947,5,B00FWVXRNE,Looks good.,1404691200,,11,5.0
