,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6335490,5,B00J5LXT44,"I love the season one and I'm waiting with so much expectation the second season in Blu-Ray, but it looks like it didn't has a Spanish subtitles, Please can you fix this because all my familie loves this series, but they cannot speak english..",1398729600,8,243,4.545454545454546
6335491,5,B00J5LXT44,"Review of content. No spoilers.

I can't explain one of my main reasons for vastly preferring this over the first season without going into a pivotal plot point that occurs early on in the proceedings.

What I *can* say is that in season 2, Spacey settles down and grows into the role of Frank Underwood, playing the part in a far more subtle, more nuanced, less hammy way. Fans of his Machiavellian methods will be delighted to hear that he is still as devious and as ruthless as ever. Ditto his wife Claire (a compelling performance from Robin Wright).

All in all, a thoroughly enjoyable exploration of ambition at the heart of power in the company of the Underwoods who never once take their eyes off The Ultimate Prize. Unmissable.",1398124800,102,736,4.6461538461538465
6335495,3,B00J5LXT44,"Purchased as gift for husband. Interesting, but a bit much. British version was better (and free on PBS!). Will donate to Library - check it out for free!",1506902400,,154,4.535714285714286
6335496,5,B00J5LXT44,I hope season three is as good as season two was.,1506643200,,49,3.5454545454545454
6335497,5,B00J5LXT44,Used it as a gift.,1504656000,,18,2.8
6335498,5,B00J5LXT44,as described and received as promised,1504569600,,37,5.333333333333333
6335499,5,B00J5LXT44,love this  all actors are fantastic especially Spacey  Been a fan for many years,1503705600,,80,4.642857142857143
6335500,5,B00J5LXT44,"Great series and great vendor. DVDs accurately described, fairly priced, well packed and promptly shipped. What more can you ask!",1501459200,,129,5.5
6335501,5,B00J5LXT44,Excelent,1501372800,,8,8.0
6335502,5,B00J5LXT44,enjoy this show,1500854400,,15,4.333333333333333
6335503,5,B00J5LXT44,for my mother in law. We LOVE this show,1499040000,,39,3.4444444444444446
6335504,5,B00J5LXT44,Spectacular acting of Kevin and Robin,1497225600,,37,5.333333333333333
6335505,5,B00J5LXT44,LOVE KEVIN SPACY,1497052800,,16,4.666666666666667
6335506,5,B00J5LXT44,ok,1496361600,,2,2.0
6335507,5,B00J5LXT44,Great,1495929600,,5,5.0
6335508,4,B00J5LXT44,Too real for comfort,1495756800,,20,4.25
6335509,5,B00J5LXT44,", enjoyed it totally",1494979200,,20,4.25
6335510,4,B00J5LXT44,Good,1494633600,,4,4.0
6335511,5,B00J5LXT44,Great series,1493856000,,12,5.5
6335512,5,B00J5LXT44,Love it!,1491523200,,8,3.5
6335513,5,B00J5LXT44,Great series!!,1491264000,,14,6.5
6335514,5,B00J5LXT44,great,1491177600,,5,5.0
6335525,5,B00J5LXT44,Great series,1490832000,,12,5.5
6335526,5,B00J5LXT44,This package was received pretty quickly and the Series is phenomenal.  So glad I purchased,1490054400,,91,5.066666666666666
