,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6403028,5,B00K5SY9GI,"Finally! One of my very best favorite cartoons on DVD! I personally love the Gobots and love this series. The only problem is this DVD doesn't have the Battle of Gobotron pilot episode I was hoping for. Still, love it!",1415491200,5,218,4.475
6403029,5,B00K5SY9GI,even though i haven't got my box set yet. i know i'm going to love it.  i loved this show as a kid in the 80's. thank you Amazon!!! can't wait for vol 2.,1414713600,,153,3.5
6403030,5,B00K5SY9GI,"This cartoon a 80's cult classic about the two sides of the gobots between the guardians against the renegades,",1412640000,,111,4.894736842105263
6403031,5,B00K5SY9GI,"Great piece of the past! I remember this as a child and loved it, and still do! Good value for money and should keep the kids quite to!",1411948800,2,135,3.857142857142857
6403032,5,B00K5SY9GI,I love it! I'm waiting for volume 2.,1409184000,2,36,3.625
6403033,5,B00K5SY9GI,It was one of my cartoons back in the 1980s now it's available on DVD & I am looking forward to the next volume of the series,1408924800,6,125,3.6666666666666665
6403034,5,B00K5SY9GI,"Note: Amazon has the same item under two separate choices: This one labeled ""DVD"", the other choice was/is ""DVD-R"". There are 3 discs, each about 3+ hours worth of episodes, an average of 25 minutes per episode. This was a daily series during the weekdays to account for so many episodes, 65 total, but this being the first volume of 35. Volume 2 now available thanks to Warner Bros.

Challenge of the Gobots, the animated Series (First 35 Main Season Episodes) offers plenty of varied adventures in every episode, with some of the best voice acting in the cartoon industry, including Frank Welker (Uni and many other voices). Peter Cullen, voices from Voltron, etc.

The quality of the remastering of this series is exceptional. The colors are vibrant and don't bleed into one another, with a clear image in practically every frame. Amazing considering each disc contains about 3 hours and 40 minutes, or about 10+ episodes on each disc of 3 total.

Most episodes center around Leader 1 (jet), Scooter (red scooter) and Turbo (red car) versus the notorious and very evil Cy-Kill (red white motorcycle), Crasher (black car) and Copter (blue helicopter). The good news is, these are very well developed characters over the series, who have to handle a myriad of difficult situations and interactions. In one episode, both good and evil are forced to work together to unite against a more powerful force hindering their future. Many other new Guardians and Renegades make appearances throughout the series. Many planets are visited, including a snow land where the good Gobots' Tranport ship resembles an AT-AT Walker from Star Wars. There are quite a few nods in this show to Star Wars, like plan for the attack on the Death Star as another example in another episode.

Cy-kill, the main villain, really shines in this series. Voiced by a now deceased voice actor, his range and villainy oftentimes steal the show, as he connives one devious plan after the other, sometimes succeeding while ultimately losing to the good of the Guardians and their three human friends. Leader 1 is great as I remember him, and Scooter is an endearing character who is not as wimpy as one might first imagine, even with his unique, strange voice.

The great news is, Challenge of the Gobots includes great sound effects, music and animation for an animated series from the 80's. The transformations are plentiful and really well done, and usually serve a purpose for the situation. The special effects are nice too, with glowing lasers and blasts in every episode.

I can't say enough good things about this series, which has gone far beyond my expectations, having only seen a few episodes as a kid. Do not be fooled by the questionable artwork of the cover art of this DVD set. The quality of the video and the show matches that of the original Mini Series offered also from the Gobots Warner Hanna Barbera Classic Collection (5 episode mini series).

Highly recommended to fans of Transformers and one of the best series offered from Hanna Barbera. Lots of fun to be had here with Challenge of the Gobots. Brilliant.

Video: 10/10. Looks outstanding. Remastered.
Audio: 9/10 Mono Sound as originally recorded.
Storytelling: 10/10. Some of the best stories from Hanna Barbera right here.
Voice Acting: 10/10. The best in the business.
Animation: 9/10. Excellent for a weekly series from the 80's.
Colors: 10/10. Awesome range of colors. Very colorful show with good color design.
Character Design: 9/10. Greatly match the action figures and well drawn.
Backgrounds: 10/10. Beautifully painted backgrounds fill every scene.
Fun Factor: 10/10. Very fun to watch these robots interact and cause trouble or solve it.
Length: 10/10. 35 episodes here, 65 total for the series.
Overall: 10/10. Surpassed my expectations.",1406332800,22,3796,4.976340694006309
6403035,5,B00K5SY9GI,Favorite cartoon,1456963200,,16,7.5
6403036,4,B00K5SY9GI,"Before there was the transformers there was the GoBots. Even though this series started after the transformers, the Gobots toyline was first and inspired those who would make the transformers.
The good guys are powerful robots known as the guardians their foes are the renegades. Both are part of an ancient alien race that centuries ago discovered away to become immortal by having their brains placed in giant robots that can transform into vehicles. The earth as become part of their battleground for the ultimate prize, the control of their homeworld Gobotron.
This volume 1 contains 30 episodes, picking up where the original mini-series left off, which is also available on DVD.
A great addition to add to ones collection of great 80s cartoons and transformers fans.
There are no special features on this set. But the quality of the episodes look and sound beautiful as when they were brand new, near mint condition. They have been fully restored and remastered.",1453680000,,968,5.0186335403726705
6403037,5,B00K5SY9GI,I aways love this series and finally have to enjoy. The video quality is great and the audio as well.,1444780800,,101,4.1
6403038,5,B00K5SY9GI,Awesome!!!! Used to watch this and Transformers great remastering job great picture and sound quality.,1443484800,,102,5.866666666666666
6403039,5,B00K5SY9GI,Just like I remembered it.,1443225600,,26,4.4
6403040,5,B00K5SY9GI,5 stars,1430870400,,7,3.0
6403041,5,B00K5SY9GI,Great,1429228800,,5,5.0
6403042,5,B00K5SY9GI,YOU ROCK ANOTHER TIME ANOTHER PLACE 1985,1429228800,,40,4.857142857142857
6403043,5,B00K5SY9GI,"good color and excellent sound. They just need to make ""GoBots: Battle of the Rock Lords"" now and that would complete the series.",1427414400,,129,4.6521739130434785
6403044,5,B00K5SY9GI,Only wish is that there was a volume two.....,1426377600,,45,4.111111111111111
6403045,5,B00K5SY9GI,Just waiting for volume 2 and the rock lord movie,1426377600,,49,4.0
6403046,5,B00K5SY9GI,80's Goodness!,1426118400,,14,6.5
6403047,5,B00K5SY9GI,"As a kid I always liked Gobots better than Transformers. But I'm weird like that, I always end up liking things that aren't as popular, or that people like to make fun of. Gobots, they're light hearted, funny, campy, and absolutely wonderful. I'm introducing my kid to one of the best things from my childhood and she loves 'em too! This collection is good quality. Three discs, no bells or whistles, just good times with Gobots. The incidental music, it's so funny too! Very catchy and funky just like a lot of those great Hanna Barbera shows from the 70's and 80's.

As a DVD set, it's great. As a show, it's fantastic. What more is there to say? I never thought I'd get to see these old cartoons again since everyone's all ""Transformers this"" and ""Optimus Prime"" that. Bah, Gobots are where it's at!",1424563200,7,802,4.531034482758621
6403048,5,B00K5SY9GI,Grate toon & toy line. Can't wait for the next dvd set.,1424390400,,55,3.6666666666666665
