,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6791590,1,B00PAU1SL0,Creepy crap.,1458000000,,12,5.5
6791591,1,B00PAU1SL0,.........meh,1457222400,,12,12.0
6791592,1,B00PAU1SL0,Its a documentary about oddballs.,1455580800,,33,5.8
6791593,2,B00PAU1SL0,"I kinda feel sorry for these guys n gals.  I get it, why this works for them, which is the appeal of this show, but yeah...not my thing.  Little too depressing and grotesque, honestly.",1454630400,,184,4.382352941176471
6791594,5,B00PAU1SL0,Great if you're into some pretty raunchy and raw stuff.,1454198400,,55,4.6
6791595,5,B00PAU1SL0,Great interviews! love it!,1453680000,,26,5.75
6791596,3,B00PAU1SL0,"Interesting documentary. Worth seeing once. Wouldn't necessarily say it was worth a purchase, but I'm glad I saw it.",1429833600,4,116,5.157894736842105
6791597,1,B00PAU1SL0,Stupid,1484438400,,6,6.0
6791598,3,B00PAU1SL0,This is a documentary and it is ok from the point of view. For Adults only.,1484006400,,75,3.75
6791599,2,B00PAU1SL0,It just didn't impress me,1483401600,,25,4.2
6791600,1,B00PAU1SL0,Not good,1483315200,,8,3.5
6791601,1,B00PAU1SL0,Was terrible.,1482105600,,13,6.0
6791602,1,B00PAU1SL0,Poor quality film.,1481587200,,18,5.333333333333333
6791603,1,B00PAU1SL0,no thank you,1479168000,,12,3.3333333333333335
6791604,1,B00PAU1SL0,crap!!,1478649600,,6,6.0
6791605,1,B00PAU1SL0,Did not like.,1476144000,,13,3.6666666666666665
6791606,1,B00PAU1SL0,Some people should not go around nude and this is full of them. If you are doing this type of show you should be at least little fit. Even the subject lack any class.,1475539200,,166,3.911764705882353
6791607,2,B00PAU1SL0,It was alright I wouldn't give it 4 stars though,1474243200,,48,3.9
6791608,3,B00PAU1SL0,pleasant film,1474156800,,13,6.0
6791609,1,B00PAU1SL0,Not entertaining at all,1473984000,,23,5.0
6791610,1,B00PAU1SL0,"This maybe the worst documentary on burlesque ever; if it isn't I don't want to see the others. It is depressing to see what is involved behind the scenes. If closeups of lipstick on vaginas is your thing then, by all means, watch it, otherwise stay away.",1473897600,,255,4.446808510638298
6791611,3,B00PAU1SL0,Just so-so,1473033600,,10,4.5
6791612,2,B00PAU1SL0,dID NOT HOLD MY INTEREST,1473033600,,24,4.0
6791613,4,B00PAU1SL0,It is an x rating.,1472601600,,18,2.8
6791614,1,B00PAU1SL0,Don't waste your time unless you enjoy very strange examples of tasteless nudity.,1471392000,,81,5.3076923076923075
6791615,4,B00PAU1SL0,Definitely worth the watch.,1470700800,,27,6.0
6791616,4,B00PAU1SL0,"This is a well-made, well-presented piece. The characters take stripping to the level of performance art, appearing to use the stage as a form of therapy, and to explore some of the darker corners of the human psyche.",1469923200,,217,4.7368421052631575
6791617,3,B00PAU1SL0,good intentions but no trailblazers which i believe was the intent,1469664000,,66,5.090909090909091
6791618,1,B00PAU1SL0,one is to many,1469145600,,14,2.75
6791619,5,B00PAU1SL0,New burlesque still keeping original burlesque true. Great to see and know there are artist out there still doing real burlesque!,1468886400,,129,5.190476190476191
6791620,3,B00PAU1SL0,Ok movie,1468800000,,8,3.5
6791621,4,B00PAU1SL0,"Very interesting and eye opening, well done and showed a perspective I never knew existed.",1468627200,,90,5.066666666666666
6791622,3,B00PAU1SL0,tacky,1468540800,,5,5.0
6791623,1,B00PAU1SL0,Not as good as it could have been.,1467158400,,34,3.375
6791624,3,B00PAU1SL0,different,1466899200,,9,9.0
6791625,3,B00PAU1SL0,It was an interesting documentary,1466899200,,33,5.8
6791626,1,B00PAU1SL0,Got way past normal stuff,1465430400,,25,4.2
6791627,1,B00PAU1SL0,Boring,1465084800,,6,6.0
6791628,5,B00PAU1SL0,"Amazing documentary.. You could easily find yourself caring for the performers..We could all learn from them. The one guy is from American Horror Story (freakshow i think!) The nudity is extremely graphic..so don't watch around kids, but its worth watching.",1465084800,2,257,5.45
6791629,1,B00PAU1SL0,"Was not plan and filmed very good, did not  keep your interest.",1464652800,,63,4.25
6791630,2,B00PAU1SL0,Not interesting.,1464566400,,16,7.5
6791631,2,B00PAU1SL0,Interesting insight into the artistic aspect of burlesque and somewhat sad.,1464566400,,75,5.909090909090909
6791632,5,B00PAU1SL0,"Challenging, informative and well made.",1461801600,,39,7.0
6791633,5,B00PAU1SL0,must see!!,1460678400,,10,4.5
6791634,4,B00PAU1SL0,"Ok, this is a very interesting documentary. The subject is very intriguing and enjoyable. However, it lacks a cohesive story and the cinematography is a bit shaky. Other than that, this is a fine film to watch and learn about a fantastic American institution.",1459641600,3,259,4.909090909090909
6791635,5,B00PAU1SL0,"This is one of the best documentaries about some of the first artists in the neoburlesque movement. Challenging heteronormative patriarchal culture, these artists are truly special, innovators in the American style of theatre performance for the modern age. Reversing the male gaze, rejecting the gender binary, and celebrating all bodies, this documentary is amazing. But don't expect to be comfortable,  or mildly and pleasantly entertained, it's serious business and addressing serious issues that artists of this marginalized art form encounter.",1459296000,,549,5.8625
6791636,1,B00PAU1SL0,Not my thing,1458172800,,12,3.3333333333333335
8687208,5,B00PAU1SL0,"I loved the honestly in this film.  The performers poured their hearts out, so I don't understand the ewwws being written here.  The neo-burlesque scene in my opinion has created a forum for true performance artists.  And I'm sorry, how can you not be in love with Rose Wood, Bob or Mat??",1496966400,,288,4.5
8687209,5,B00PAU1SL0,Worth watching,1487462400,,14,6.5
8687210,1,B00PAU1SL0,Eww and eww....the most unattractive group of naked people ever assembled.,1486944000,,74,5.818181818181818
8687211,3,B00PAU1SL0,Very interesting,1486339200,,16,7.5
8687212,2,B00PAU1SL0,It is what it is.,1486166400,,17,2.6
8687213,3,B00PAU1SL0,okay,1485388800,,4,4.0
8687214,5,B00PAU1SL0,This is a crazy video. It was a trip to see how some of the other half live.,1485388800,,76,3.2777777777777777
8687215,1,B00PAU1SL0,Did not watch the whole thing. Not sure why even started it. Do not recommend.,1485216000,,78,4.266666666666667
8687216,3,B00PAU1SL0,Good movie,1484784000,,10,4.5
8687217,4,B00PAU1SL0,cute,1484697600,,4,4.0
