,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7154533,5,B00WUI3KAM,My kids and I love watching Clarence. I wish they had more available on DVD.,1453075200,,76,4.133333333333334
7154534,5,B00WUI3KAM,My son loves Clarence. Its a cartoon that I can even sit and watch,1451692800,3,66,3.7857142857142856
7154535,5,B00WUI3KAM,I love this show. So does my 5-year-old boy. It's hilarious!,1450828800,,60,4.545454545454546
7154536,5,B00WUI3KAM,My nephew loved these movies.  I got these for his birthday.,1447632000,,60,4.454545454545454
7154537,5,B00WUI3KAM,Wonderful cartoon for children and adults,1447027200,2,41,6.0
7154538,5,B00WUI3KAM,I LOVE IT SO MUCH AND IT'S THE BEST,1445212800,3,35,3.0
8714339,5,B00WUI3KAM,Husband loves his gift!  Clarence DVD has great episodes and is hilarious!,1515283200,,74,5.166666666666667
8714340,5,B00WUI3KAM,My Son and I laugh so hard watching this. Want more Clarence movies....,1510272000,,71,4.538461538461538
8714341,5,B00WUI3KAM,Great dvd,1498953600,,9,4.0
8714342,5,B00WUI3KAM,It was exactly what I expected,1491004800,,30,4.166666666666667
8714343,5,B00WUI3KAM,We enjoy it as a family,1473206400,,23,3.0
8714344,4,B00WUI3KAM,Hilarious cartoon. Worth your money for a couple of hours of entertainment in the car ride.,1472428800,,91,4.75
8714345,5,B00WUI3KAM,Funny dvd and fun episodes,1464048000,,26,4.4
8714346,5,B00WUI3KAM,This is a great follow up to Clarence - Mystery Pinata.  Definitely a great reminder of when I was a young'un.  Ohh...to be a kid again.,1459209600,3,136,4.1923076923076925
8714347,5,B00WUI3KAM,Good show. I can watch this show with my son and legitimately enjoy it.,1458518400,,71,4.142857142857143
8714348,5,B00WUI3KAM,My kids and I love this show!,1454976000,,29,3.2857142857142856
