,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7365597,5,B013HOZGCW,"How many times have you watched a movie in your favourite genre and thought ""Hey, I could do better than that!""  And yet, few of us ever do.

The creators of ""Chill: The Killing Games"" DID do that, and the results are a delight for horror fans of any age.  The basic plot is: Some friends decide to revive a role-playing game called ""Chill"", where the players draw roles from a box, and one of them is designated as the ""killer"" (think a live-action role-playing game for horror fans).  The goal is to survive the night without the ""killer"" getting you.  The game had been banned on the college campus where the film is set because of several REAL deaths that had happened the last time it had been played.  And, as you can imagine, someone decides to revive THAT part of things as well.

The cast is delightful... from veteran indie horror pro Roger Conners to relative newcomers Kelly Rogers, Angelia DeLuca and DJ Remark, they're all believable and compelling in their roles (I especially loved Kelly Roger's spooky goth and Jason Orr's narcissistic pretty-boy) .  Special credit goes to Director of Photography Noelle Bye... many indie horror films suffer from poor lighting and amateurish execution, but Bye's camera-work is professional and VERY effective, setting a mood that the script and cast deliver on in spades.

In an era where ""found-footage"" films bore us and zombies are more comical than scary, ""Chill"" is a wonderful homage to the 80's-era slasher films that so many of us grew up on.  Though clearly an homage, the story is original enough to keep even the most jaded horror fan interested.

This is THE film for your Halloween horror marathons this year... don't miss it!",1444694400,7,1692,4.760273972602739
7365598,2,B013HOZGCW,"Good idea in the making, things just got a little too goofy for a horror movie.",1473897600,,79,4.0
7365599,2,B013HOZGCW,"Yes, the budget of this film was near zero. But that doesn't necessarily make a bad movie. It was poorly acted, but I've seen worse in multi million dollar movies. I think the main problem with the film is that it's not about anything. They spend the first half of the movie talking about this 'game' called chill. Well I never got what the game was. ""the next dungeon and dragons"" you can see in some newspaper clippings... What why? From what I understand, the only ""role playing"" part of the game is playing dead after you have been killed. That's stupid. There are even some dice in the cover of the movie. Why was that? Also, the killer makes no sense. Who's that again? What was the motivation? Also, it's pretty ridiculous there was no way out and Windows were indestructible. Such a large building and the killer always managed to find precisely who was being sought after. I never sensed any urgency or desire to escape from the victims. Were they as bored as I was? However, I do have to accept I saw the full movie. As boring and pointless as it was, at least it made me want to see the conclusion. That's why I give it two stars instead of 1. In the end, I think I did not hate it, just consider it worthless. I'm thankful it comes with the prime subscription. Having paid for it... now that would be the real tragedy",1473811200,,1329,4.341365461847389
7365600,1,B013HOZGCW,lame,1473724800,,4,4.0
7365601,3,B013HOZGCW,Ok movies,1473638400,,9,4.0
7365602,2,B013HOZGCW,I thought this movie had a beyond low budget look too it and was very poorly made the acting was also terrible. How anyone can say they enjoyed it I don't know.,1473292800,,160,4.03125
7365603,3,B013HOZGCW,Entertaining in a strange sort of way. It involves what happens to someone who gets too immersed in researching the underbelly of an outlawed dare game.,1473033600,,152,4.884615384615385
7365604,4,B013HOZGCW,"Not a bad movie once it got going with the game remake.  The idea of the chill game is also a very real possibility.
Is this a real game that people will play?  I hope not.  Somebody will probably get hurt or dead.",1473033600,,214,3.9302325581395348
7365605,4,B013HOZGCW,"Great B flick!!!  Left me wanting more, I have so many unanswered questions.  Left me wanting more!! Chill 2 perhaps??  Please say so",1472947200,,133,4.695652173913044
7365606,1,B013HOZGCW,"i couldn't give it no stars. this was a truly awful bad attempt a movie making and equally painful to watch. boring and very predictable,",1472947200,,137,4.52
7365607,3,B013HOZGCW,Ok,1472860800,,2,2.0
7365608,5,B013HOZGCW,"If you're a fan of independent cinema you will more than likely really enjoy this film. The official IMDB states this was produced for under $8,000.00 which makes it all the more impressive! The camera work, lighting, locations, etc. all surpassed my expectations! The cast is diverse and some certainly read stronger than others, but the majority of the actors clearly have a steady grasp on the material and deliver their dialogue well. Stand-outs include Angelia DeLuca as the sarcastic and slightly embittered Madison and Kelly Rogers as the comedic and intentionally over-the-top Raven. Those girls steal every scene they're in and I hope to see more from them in the near future! The pacing is a bit slow at times but the story is constantly developing and there are even several moments of solid humor that gives this piece an ever more unique approach that helps it stand out against all of the other slasher out there right now!
The DVD itself is pretty simple and doesn't offer too much in the sense of bonus material that won't do much to excite the average viewer. The one exception to this is the large amount of cut-scenes included. There are several genuinely entertaining scenes that were omitted from the final cut of the film. It baffles me why they would have cut this solid material, but I suspect it would have to be attributed to the all-ready lengthy time-frame of the film. Adding in many more scenes would have brought this film close to 2 hours and, in the term of indies, that does seem a bit excessive!
Overall, a great story executed but a talented and clearly devoted crew who really look like they had a blast making this flick! If you're a lover of B horror, this movie is more than likely going to leave you pleasantly surprised!",1472860800,4,1762,4.687096774193549
7365609,1,B013HOZGCW,"Typical slasher movie. How many of these can they make? Anyway couldn't finish and fast forwarded to the end to see which character was the killer. Oh boy, what a waste of time.",1472774400,,177,4.393939393939394
7365610,1,B013HOZGCW,Slow and horrible,1472774400,,17,5.0
7365611,1,B013HOZGCW,"Who in their right mind would rate this above one-star? The plot and so-called killer could be compared to a very low-budget ""I Know What You Did Last Summer"" killer; the acting was horrible (you can see the dead make-up lady still breathing), and the killer over-exaggerates the motions when stabbing his victims which is totally unnecessary. I believe any sensible viewer comprehends what is going on even if they cannot see the victim at the time of the killing, i.e, Raven. The unknown, self-proclaimed, famous actor hammed it up way too much (all the actors/actresses must have volunteered) and the amount of blood, in some scenes, was way too much for the injury inflicted upon the victim. Then we find that there are three psychos instead of one. If this movie was available in Red Box I would seriously want my dollar back.",1472688000,,831,4.777777777777778
7365612,1,B013HOZGCW,How could this type movies get 4 stars... LOL. Looks like people like to play pranks in ratings too....,1472601600,,103,4.473684210526316
7365613,1,B013HOZGCW,Oh my God can you smell that? It's the malodorous scent of a particularly vile B movie. Avert your eyes (and noses).,1472515200,,116,4.318181818181818
7365614,1,B013HOZGCW,"Bad acting, sound was awful, drawn out, and did I say bad acting? I don't know who gave this more than a single star, I lost a little bit of hope on low-budget films thanks to this one...",1472428800,,187,3.9473684210526314
7365615,2,B013HOZGCW,"To be fair, I couldn't finish it, so maybe it got better at some point...?? I normally love bad, low-budget B-movies, but I kinda wonder if all the good reviews were written by the cast and crew.",1471737600,6,195,4.297297297297297
7365616,2,B013HOZGCW,I don't think I saw the same film as the people who rated it 4 stars or more. The acting was sooooooooo bad. This film should be listed under comedy not horror!,1471564800,3,160,4.03125
7365617,2,B013HOZGCW,"Cheesy. Only watched enough to make that determination, and just to put an ""FYI"" up. There at least was an actual PnP horror RPG called ""Chill"" of that era. I don't see this having anything in particular to do with that but just an interesting little factoid.",1470700800,2,259,4.531914893617022
7365618,5,B013HOZGCW,"In a cinematic world where everything is being remade and originality is frowned upon, ""Chill: The Killing Games"" breaks through with an original, compelling story. It may lack in some technical aspects, but it gives it a classic b-movie horror feel which horror fans will love. If your looking for an expensive, explosive, Hollywood hoopla this isn't it. But, if you want a solid film that will keep you on the edge of your seat, then make some popcorn, turn off the lights, buckle up, and enjoy the thrilling ride of this indie masterpiece.",1467331200,,542,4.776595744680851
7365619,5,B013HOZGCW,"this was a great film, the SPFX were great",1461888000,,42,3.7777777777777777
