,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7624093,4,B01B8OVALE,It is good if you like corny stuff.,1470441600,,35,3.5
7624094,4,B01B8OVALE,"Really silly in parts but funny, that's what you get with T. J. Miller.",1469404800,,71,4.142857142857143
7624095,4,B01B8OVALE,"I honestly had a great time watching it. Had a number of really funny, belly laugh moments. I even had to rewind a few parts because I was still laughing and missing the dialogue. If you like TJ Miller, it's a no brainer. Adam and Richard are great as well. This is one I will re-watch.",1463443200,2,286,4.125
8749696,5,B01B8OVALE,I'm glad I bought this dvd.,1535760000,,27,3.6666666666666665
8749697,2,B01B8OVALE,Boring movie,1530748800,,12,5.5
8749698,5,B01B8OVALE,"I love Silicon valley, so seeing that actor in this movie was a bonus. Love the part when Thomas Middleditch gets cover with cocaine... I laughed so hard.",1516752000,,154,4.535714285714286
8749699,5,B01B8OVALE,this movie was hilarious! I hope it gets a sequel.,1513728000,,50,4.1
8749700,5,B01B8OVALE,It was delivered early and it's a funny movie,1510704000,,45,4.111111111111111
8749701,5,B01B8OVALE,"When the love of his life (Shannon Woodward) jilts him at the altar thanks to his hard partying pals Jason (T.J. Miller) and Evan (Adam Pally), Nardo (Thomas Middleditch) follows her down to Mexico where he's carjacked and left naked in the middle of nowhere. Reluctantly calling Jason and Evan to help him with his runaway bride-to-be, Nardo gets into all kinds of trouble and so does his 2 man rescue party. They run into all kinds of messes and each is hysterical and so funny. These 3 guys were perfect and if you are a lover of ""Hangover"" you will love this too. I thought this was so funny, I laughed out loud so many times as did my friends when we watched it. The circumstances that these guys get into are really a laugh riot. Let me just say that I think you will enjoy this if you have the type of sense of humor that likes some crude stuff and just fast paced wit.",1510531200,,876,4.251497005988024
8749702,4,B01B8OVALE,This is a fun show.,1501545600,,19,3.0
