,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
267730,A3MV1KKHX51FYT,6301798252,Acute Observer,"[1, 1]","In a courtroom a convicted killer is sentenced to death. He tells Charlie Chan he won't forget him. As he is being led away he grabbed a guard's pistol and made an escape. Steve McBirney knows a place where he can lay low. Dr. Cream invites Chan and scientific expert Von Braun to a radio show to discuss a famous conviction. Chan knows of Dr. Cream's links to criminals and suspects something. The radio show will be broadcast from the Wax Museum, where many famous murderers are shown in effigy. Was the executed Joe Rock really innocent? Suspense comes from knowing what is really going on there. But there is a surprise, and an unexpected death.Now Chan has to figure out who committed this murder. The people are in danger from an unknown murderer! They are all kept in one room. Things happen. Then Chan deduces who the unknown killer is, a surprise ending. Chan explains why he began to suspect this person.This film is not as good as some earlier films because of its lower quality story and production values. But a branded character series will create a demand for such stories.",3,Another Locked Room Mystery,1178668800,"05 9, 2007",2007,1088,"['courtroom', 'convicted', 'killer', 'sentenced', 'death', 'Charlie', 'Chan', 'wo', ""n't"", 'forget', 'being', 'led', 'away', 'grabbed', 'guard', 'pistol', 'made', 'escape', 'Steve', 'McBirney', 'place', 'where', 'can', 'lay', 'low', 'Dr', 'Cream', 'Chan', 'scientific', 'expert', 'Von', 'Braun', 'radio', 'show', 'discuss', 'famous', 'conviction', 'Chan', 'Dr', 'Cream', 'links', 'criminals', 'suspects', 'something', 'radio', 'show', 'will', 'be', 'broadcast', 'Wax', 'Museum', 'where', 'many', 'famous', 'murderers', 'are', 'shown', 'effigy', 'Was', 'executed', 'Joe', 'Rock', 'really', 'innocent', 'Suspense', 'knowing', 'what', 'really', 'going', 'surprise', 'unexpected', 'death.Now', 'Chan', 'figure', 'out', 'who', 'committed', 'murder', 'people', 'are', 'danger', 'unknown', 'murderer', 'are', 'kept', 'one', 'room', 'Things', 'happen', 'Then', 'Chan', 'deduces', 'who', 'unknown', 'killer', 'surprise', 'ending', 'Chan', 'why', 'began', 'suspect', 'person.This', 'film', 'not', 'as', 'good', 'earlier', 'films', 'lower', 'quality', 'story', 'production', 'values', 'branded', 'character', 'series', 'will', 'create', 'demand', 'such', 'stories']",N/A
267731,A62OMGKSVPZZU,6301798252,"Andrew R. Oerman ""Andy Oerman""","[14, 15]","This is an amalgam of several mystery/horror themes, and that is exactly why it is good. There are the chills of the wax museum setting, the whodunit aspect, the revenge plot of the gangster, some locked-in-an-old-dark-house elements, plus the comedy of #2 Chan (Toler) and his pithy interaction with #2 son. The labyrinthine mystery is eventually solved in fairly conventional fashion, but the movie is a lot of fun.",4,Person Who Not Like This Movie Need Head Examined.,989193600,"05 7, 2001",2001,417,"['amalgam', 'several', 'mystery/horror', 'themes', 'exactly', 'why', 'good', 'are', 'chills', 'wax', 'museum', 'setting', 'whodunit', 'aspect', 'revenge', 'plot', 'gangster', 'locked-in-an-old-dark-house', 'elements', 'comedy', '2', 'Chan', 'Toler', 'pithy', 'interaction', '2', 'son', 'labyrinthine', 'mystery', 'eventually', 'solved', 'fairly', 'conventional', 'fashion', 'movie', 'lot', 'fun']",N/A
267732,A55DWAFXRTZXG,6301798252,arthur,"[0, 0]","Like new , I can't be happier. You send it to me very quickly. I will enjoy it for manny years. ART",5,GREAT JOB,1359763200,"02 2, 2013",2013,99,"['new', 'ca', ""n't"", 'be', 'happier', 'send', 'very', 'quickly', 'will', 'enjoy', 'manny', 'years', 'ART']",N/A
267733,A1G5Q9HBN0EGDV,6301798252,Bobby Underwood,"[6, 7]","This terrific entry in the Charlie Chan series stars Sidney Toler as the intrepid sleuth from Honolulu. One of the most atmospheric of the original entries, this one is centered around a live radio broadcast from the Museum of Crime, where notorious criminals have been immortalized in wax. Chan's second son, Jimmy (Sen Yung), is on hand to ""help"" pop solve an old crime and avoid becoming a victim himself.Young Jimmy accepts the challenge for his pop to appear on the Crime League's weekly broadcast to clear the name of Joe Rocke, a man Chan has long believed was unfairly executed for a crime he did not commit. Our favorite Oriental detective will be pitted against the scientific detective who proved Rocke was guilty. It is Chan's suspicion that the wax museum and his invitation are tied to the recent escape of a man he helped convict of murder, however, which prompts him to accept. Chan arrives for the live broadcast on a rainy night, Jimmy close behind despite his pop's admonition not to cut class, and the creepy fun begins.A botched attempt to electrocute Charlie, and the murder of his scientific rival by poison blow dart, not to mention a wax Charlie Chan, all add up to mystery fun for Charlie Chan fans. The Chan entries always had a good cast and this one is no exception. Marguerite Chapman as the young radio reporter hoping this night will be a great story and Joan Valerie as the pretty but slightly shady, Lily, assistant to the very shady director of the museum, stand out. A good screenplay from John Larkin and some tight direction from Lynn Shores give this one some zip.The real treat, as always, is watching Chan solve the case while trying to keep his young and excitable son from ruining everything. Chan fans will like this one a lot. It's a real kick in the pants!",5,Fun and Atmospheric Charlie Chan Film,1141171200,"03 1, 2006",2006,1802,"['terrific', 'entry', 'Charlie', 'Chan', 'series', 'stars', 'Sidney', 'Toler', 'intrepid', 'sleuth', 'Honolulu', 'One', 'most', 'atmospheric', 'original', 'entries', 'one', 'centered', 'live', 'radio', 'broadcast', 'Museum', 'Crime', 'where', 'notorious', 'criminals', 'have', 'been', 'immortalized', 'wax', 'Chan', 'second', 'son', 'Jimmy', 'Sen', 'Yung', 'hand', 'help', 'pop', 'solve', 'old', 'crime', 'avoid', 'becoming', 'victim', 'himself.Young', 'Jimmy', 'challenge', 'pop', 'appear', 'Crime', 'League', 'weekly', 'broadcast', 'clear', 'name', 'Joe', 'Rocke', 'man', 'Chan', 'long', 'believed', 'was', 'unfairly', 'executed', 'crime', 'did', 'not', 'commit', 'favorite', 'Oriental', 'detective', 'will', 'be', 'pitted', 'scientific', 'detective', 'who', 'proved', 'Rocke', 'was', 'guilty', 'Chan', 'suspicion', 'wax', 'museum', 'invitation', 'are', 'tied', 'recent', 'escape', 'man', 'helped', 'convict', 'murder', 'however', 'accept', 'Chan', 'live', 'broadcast', 'rainy', 'night', 'Jimmy', 'close', 'pop', 'admonition', 'not', 'cut', 'class', 'creepy', 'fun', 'begins.A', 'botched', 'attempt', 'electrocute', 'Charlie', 'murder', 'scientific', 'rival', 'poison', 'blow', 'dart', 'not', 'mention', 'wax', 'Charlie', 'Chan', 'add', 'up', 'mystery', 'fun', 'Charlie', 'Chan', 'fans', 'Chan', 'entries', 'always', 'had', 'good', 'cast', 'one', 'exception', 'Marguerite', 'Chapman', 'young', 'radio', 'reporter', 'hoping', 'night', 'will', 'be', 'great', 'story', 'Joan', 'Valerie', 'pretty', 'slightly', 'shady', 'Lily', 'assistant', 'very', 'shady', 'director', 'museum', 'stand', 'out', 'good', 'screenplay', 'John', 'Larkin', 'tight', 'direction', 'Lynn', 'Shores', 'give', 'one', 'zip.The', 'real', 'treat', 'always', 'watching', 'Chan', 'solve', 'case', 'trying', 'keep', 'young', 'excitable', 'son', 'ruining', 'everything', 'Chan', 'fans', 'will', 'like', 'one', 'lot', 'real', 'kick', 'pants']",N/A
267734,A39CX0EE4BZCZC,6301798252,Craig Connell,"[0, 0]","After first seeing Warner Oland play Charlie Chan in a half-dozen or more pictures, this was my first look at Sidney Toler playing the famous detective. At first I thought he was a distant second to Oland but I have grown to like his version almost as much.Sen Yung was almost as good as Keye Luke, too, as one of Chan's sons and helpers. Yung plays son ""Jimmy"" and adds a lot of humor to the movie.What was really fun about this movie were all the varied characters. There were all kinds of suspects at the wax museum and many pretending to be statutes. The film was humorous and fascinating. Toler's films tended to have more humor in them. I enjoyed ogling Marguerite Chapman in this film.This is now  out on DVD as part of the Charlie Chan Volume 5 set of four films.",5,Lots Of Fun Characters In This Chan Mystery,1233619200,"02 3, 2009",2009,771,"['first', 'seeing', 'Warner', 'Oland', 'play', 'Charlie', 'Chan', 'half-dozen', 'more', 'pictures', 'was', 'first', 'look', 'Sidney', 'Toler', 'playing', 'famous', 'detective', 'first', 'thought', 'was', 'distant', 'second', 'Oland', 'have', 'grown', 'like', 'version', 'almost', 'much.Sen', 'Yung', 'was', 'almost', 'as', 'good', 'Keye', 'Luke', 'too', 'one', 'Chan', 'sons', 'helpers', 'Yung', 'son', 'Jimmy', 'lot', 'humor', 'movie.What', 'was', 'really', 'fun', 'movie', 'were', 'varied', 'characters', 'were', 'kinds', 'suspects', 'wax', 'museum', 'many', 'pretending', 'be', 'statutes', 'film', 'was', 'humorous', 'fascinating', 'Toler', 'films', 'tended', 'have', 'more', 'humor', 'enjoyed', 'ogling', 'Marguerite', 'Chapman', 'film.This', 'now', 'out', 'DVD', 'part', 'Charlie', 'Chan', 'Volume', '5', 'set', 'four', 'films']",N/A
267735,A1K1JW1C5CUSUZ,6301798252,"Donald Mitchell ""Jesus Loves You!""","[1, 2]","Charlie Chan at the Wax Museum is the most successful of the Sidney Toler films featuring Honolulu's most famous fictional detective. Although it's certainly not a big-budget extravaganza, the script, direction, and acting take good advantage of a constantly surprising location on a stormy night for murder.Many will compare Charlie Chan at the Wax Museum to the Warner Oland film, Charlie Chan's Secret. Clearly, Wax Museum is an attempt at exploring the same formula in a different way. For my money, Wax Museum is the better film.As the film opens, Steve McBirney is sentenced to prison in part on Charlie Chan's testimony. McBirney threatens Chan who shows no loss of composure. But as McBirney is being taken off to prison, he makes an escape and finds his way to the wax museum where the doctor and his assistant use plastic surgery to disguise fugitives.To Charlie's surprise, the doctor makes a strong bid for Charlie to talk about an old case (Joe Rocke's conviction that Charlie thinks was a mistake) on the radio at the wax museum that night by approaching number two son, Jimmy. Charlie already suspects the doctor is helping criminals and agrees to go in order to see what he can observe.McBirney has a dastardly plan in mind for Charlie. Will Charlie survive?At the wax museum, things are seldom as they seem. The mix-ups add to the mystery and the humor with Charlie's law student son as the fall guy for many of the jokes. There's also an element of satire as the script puts in some pretty unexpected twists and turns (including a rare poison).Before 64 suspenseful minutes end, you'll have a new respect for what can be done with a noir film to add humor and dark mysteries.",5,"Menacing Atmosphere, Old Scores to Settle, Dangerous Plans, and Hidden Identities",1205884800,"03 19, 2008",2008,1693,"['Charlie', 'Chan', 'Wax', 'Museum', 'most', 'successful', 'Sidney', 'Toler', 'films', 'featuring', 'Honolulu', 'most', 'famous', 'fictional', 'detective', 'certainly', 'not', 'big-budget', 'extravaganza', 'script', 'direction', 'acting', 'take', 'good', 'advantage', 'constantly', 'surprising', 'location', 'stormy', 'night', 'murder.Many', 'will', 'compare', 'Charlie', 'Chan', 'Wax', 'Museum', 'Warner', 'Oland', 'film', 'Charlie', 'Chan', 'Secret', 'Clearly', 'Wax', 'Museum', 'attempt', 'exploring', 'same', 'formula', 'different', 'way', 'money', 'Wax', 'Museum', 'better', 'film.As', 'film', 'Steve', 'McBirney', 'sentenced', 'prison', 'part', 'Charlie', 'Chan', 'testimony', 'McBirney', 'Chan', 'who', 'loss', 'composure', 'McBirney', 'being', 'taken', 'off', 'prison', 'escape', 'way', 'wax', 'museum', 'where', 'doctor', 'assistant', 'use', 'plastic', 'surgery', 'disguise', 'fugitives.To', 'Charlie', 'surprise', 'doctor', 'strong', 'bid', 'Charlie', 'talk', 'old', 'case', 'Joe', 'Rocke', 'conviction', 'Charlie', 'was', 'mistake', 'radio', 'wax', 'museum', 'night', 'approaching', 'number', 'two', 'son', 'Jimmy', 'Charlie', 'already', 'doctor', 'helping', 'criminals', 'go', 'order', 'see', 'what', 'can', 'observe.McBirney', 'dastardly', 'plan', 'mind', 'Charlie', 'Will', 'Charlie', 'survive', 'wax', 'museum', 'things', 'are', 'seldom', 'seem', 'mix-ups', 'add', 'mystery', 'humor', 'Charlie', 'law', 'student', 'son', 'fall', 'guy', 'many', 'jokes', 'also', 'element', 'satire', 'script', 'pretty', 'unexpected', 'twists', 'turns', 'including', 'rare', 'poison', '.Before', '64', 'suspenseful', 'minutes', 'end', ""'ll"", 'have', 'new', 'respect', 'what', 'can', 'be', 'done', 'noir', 'film', 'add', 'humor', 'dark', 'mysteries']",N/A
267736,A2TXR85WQLE32N,6301798252,D. S. Thurlow,"[1, 1]","1940's ""Charlie Chan at the Wax Museum"" was one of the very best of the many movies featuring the iconic detective from the Honolulu Police Department.  Sidney Toler does the honors as Charlie Chan, ably assisted by Victor Chen Yeung as Number Two Son.The premise is a closed house murder mystery inside a Wax Museum of Crime, where a local radio station hosts a debate over a controversial murder case.  Charlie Chan, who believes the man convicted of the crime was innocent, will debate the scientist on whose circumstancial evidence the man was convicted.The radio show, held at night during a rain storm, draws lots of visitors, both invited and uninvited.  The museum director, Dr. Cream, is secretly a plastic surgeon for the mob who fears exposure.  One of his most recent patients, the escaped killer Steve McBirney, is hanging around, hoping for a shot at Chan.  A local radio station personality becomes unduly upset when the show is disrupted by the murder of one of the participants.  A demented night watchman contributes to the confusion.This atmospheric episode has its share of laughs from Number Two Son's pratfalls, and Charlie's laconic wisdom, but also generates some real suspense as the killer or killers pick off participants in the radio show.  Charlie Chan and Number Two Son will have to think quickly to stay alive and reveal the identity of the real killer in a tense conclusion.This outstanding Charlie Chan episode is very highy recommended to fans of the series.",5,Wax Museum Murder...,1206662400,"03 28, 2008",2008,1493,"['1940', 'Charlie', 'Chan', 'Wax', 'Museum', 'was', 'one', 'very', 'best', 'many', 'movies', 'featuring', 'iconic', 'detective', 'Honolulu', 'Police', 'Department', 'Sidney', 'Toler', 'honors', 'Charlie', 'Chan', 'ably', 'assisted', 'Victor', 'Chen', 'Yeung', 'Number', 'Two', 'Son.The', 'premise', 'closed', 'house', 'murder', 'mystery', 'Wax', 'Museum', 'Crime', 'where', 'local', 'radio', 'station', 'debate', 'controversial', 'murder', 'case', 'Charlie', 'Chan', 'who', 'man', 'convicted', 'crime', 'was', 'innocent', 'will', 'debate', 'scientist', 'circumstancial', 'evidence', 'man', 'was', 'convicted.The', 'radio', 'show', 'held', 'night', 'rain', 'storm', 'draws', 'lots', 'visitors', 'invited', 'uninvited', 'museum', 'director', 'Dr', 'Cream', 'secretly', 'plastic', 'surgeon', 'mob', 'who', 'exposure', 'One', 'most', 'recent', 'patients', 'escaped', 'killer', 'Steve', 'McBirney', 'hanging', 'around', 'hoping', 'shot', 'Chan', 'A', 'local', 'radio', 'station', 'personality', 'unduly', 'upset', 'when', 'show', 'disrupted', 'murder', 'one', 'participants', 'demented', 'night', 'watchman', 'confusion.This', 'atmospheric', 'episode', 'share', 'laughs', 'Number', 'Two', 'Son', 'pratfalls', 'Charlie', 'laconic', 'wisdom', 'also', 'real', 'suspense', 'killer', 'killers', 'pick', 'off', 'participants', 'radio', 'show', 'Charlie', 'Chan', 'Number', 'Two', 'Son', 'will', 'have', 'think', 'quickly', 'stay', 'alive', 'reveal', 'identity', 'real', 'killer', 'tense', 'conclusion.This', 'outstanding', 'Charlie', 'Chan', 'episode', 'very', 'highy', 'recommended', 'fans', 'series']",N/A
267737,ACIBQ6BQ6AWEV,6301798252,"Gary F. Taylor ""GFT""","[20, 22]","Charlie Chan films are frequently accused of pandering to racial stereotypes.  There is a certain truth to this, but Charlie Chan and company were neither more nor less stereotypical than such other popular series as the &quot;Blondie&quot; or &quot;Dr. Kildare&quot; series, and--while we may occasionally roll our eyes at a few 1930s sensibilities--its stereotypes are never mean-spirited and Charlie (along with his various sons) is always presented in a positive light.This particular Chan episode is one of the best of the Sidney Toler vehicles, and unlike most other Chan films actually generates considerable atmosphere with its tale of a killer run wild in a mysterious wax museum, where all is not as it seems.  Victor Sen Yung plays &quot;number two son&quot; Jimmy Chan very broadly, and the film is rounded out with a very able and entertaining cast.  As with most Chan films, everything is &quot;over the top,&quot; but WAX MUSEUM never goes so far over the top that it becomes pure camp; it remains an unpretentious, simple little movie that is quite a lot of fun to watch, and both fans of the series as well as newcomers will enjoy it quite a bit.",4,Entertaining entry in the popular series,1011139200,"01 16, 2002",2002,1163,"['Charlie', 'Chan', 'films', 'are', 'frequently', 'accused', 'pandering', 'racial', 'stereotypes', 'certain', 'truth', 'Charlie', 'Chan', 'company', 'were', 'neither', 'more', 'less', 'stereotypical', 'such', 'other', 'popular', 'series', 'quot', 'Blondie', 'quot', 'quot', 'Dr.', 'Kildare', 'quot', 'series', 'may', 'occasionally', 'roll', 'eyes', 'few', '1930s', 'sensibilities', 'stereotypes', 'are', 'never', 'mean-spirited', 'Charlie', 'various', 'sons', 'always', 'presented', 'positive', 'light.This', 'particular', 'Chan', 'episode', 'one', 'best', 'Sidney', 'Toler', 'vehicles', 'most', 'other', 'Chan', 'films', 'actually', 'considerable', 'atmosphere', 'tale', 'killer', 'run', 'wild', 'mysterious', 'wax', 'museum', 'where', 'not', 'Victor', 'Sen', 'Yung', 'quot', 'number', 'two', 'son', 'quot', 'Jimmy', 'Chan', 'very', 'broadly', 'film', 'rounded', 'out', 'very', 'able', 'entertaining', 'cast', 'most', 'Chan', 'films', 'everything', 'quot', 'top', 'quot', 'WAX', 'MUSEUM', 'never', 'so', 'far', 'top', 'pure', 'camp', 'unpretentious', 'simple', 'little', 'movie', 'quite', 'lot', 'fun', 'watch', 'fans', 'series', 'as', 'well', 'newcomers', 'will', 'enjoy', 'quite', 'bit']",N/A
267738,A2KWQ64TRHB3YH,6301798252,Israel Drazin,"[1, 1]","See my review of Charlie Chan: Murder over New York which I thought was a great film because it was so funny while telling us a tale of a murder investigation. In this film, Chan is investigating two murders. While it is good, it is not as good as the New York film. Number 2 son continues to fumble, make mistakes, cause more difficulties for his father to solve the crimes, and he is funny, but he is not as funny as in the NY film. Similarly, Chan continues to make somewhat silly wise Confucius-like statements, but not as many or as clever or funny as in NY. Despite this, the film is worth watching because it is still funny and the criminal case is interesting.Chan agrees to participate with a German investigator in a radio broadcast in a wax museum. The German ""proved"" that a certain man committed a murder, but Chan is convinced that he is wrong. Other people are in the building, including an escaped murderer who vowed to kill Chan and the real killer that the German failed to identify as the murderer. This man has had plastic surgery that totally disguised his features.",4,"A fun Charlie Chan film, but not the funniest",1319673600,"10 27, 2011",2011,1087,"['See', 'review', 'Charlie', 'Chan', 'Murder', 'New', 'York', 'thought', 'was', 'great', 'film', 'was', 'so', 'funny', 'telling', 'tale', 'murder', 'investigation', 'film', 'Chan', 'investigating', 'two', 'murders', 'good', 'not', 'as', 'good', 'New', 'York', 'film', 'Number', '2', 'son', 'fumble', 'make', 'mistakes', 'cause', 'more', 'difficulties', 'father', 'solve', 'crimes', 'funny', 'not', 'as', 'funny', 'NY', 'film', 'Similarly', 'Chan', 'make', 'somewhat', 'silly', 'wise', 'Confucius-like', 'statements', 'not', 'many', 'clever', 'funny', 'NY', 'film', 'worth', 'watching', 'still', 'funny', 'criminal', 'case', 'interesting.Chan', 'agrees', 'participate', 'German', 'investigator', 'radio', 'broadcast', 'wax', 'museum', 'German', 'proved', 'certain', 'man', 'committed', 'murder', 'Chan', 'convinced', 'wrong', 'Other', 'people', 'are', 'building', 'including', 'escaped', 'murderer', 'who', 'vowed', 'kill', 'Chan', 'real', 'killer', 'German', 'failed', 'identify', 'murderer', 'man', 'had', 'plastic', 'surgery', 'totally', 'disguised', 'features']",N/A
267739,A37B3O457INKEA,6301798252,Peter Kenney,"[8, 8]",Another pre-WWII film by 20th Century-Fox. Charlie is giving a weekly Crime League radio broadcast at the museum when an escaped convict seeks revenge on him for helping to put him in prison. One of Charlie's panelists is mistakenly killed by a poison dart intended for the great detective.Sidney Toler plays Chan while Sen Yung is again cast in the role of Jimmy Chan. The screenplay is by John Larkin and the movie's director is Lynn Shores.CHARLIE CHAN AT THE WAX MUSEUM is one of the best entries in the series.,5,Killed By A Poison Dart,1030320000,"08 26, 2002",2002,515,"['pre-WWII', 'film', '20th', 'Century-Fox', 'Charlie', 'giving', 'weekly', 'Crime', 'League', 'radio', 'broadcast', 'museum', 'when', 'escaped', 'convict', 'revenge', 'helping', 'put', 'prison', 'One', 'Charlie', 'panelists', 'mistakenly', 'killed', 'poison', 'dart', 'intended', 'great', 'detective.Sidney', 'Toler', 'Chan', 'Sen', 'Yung', 'again', 'cast', 'role', 'Jimmy', 'Chan', 'screenplay', 'John', 'Larkin', 'movie', 'director', 'Lynn', 'Shores.CHARLIE', 'CHAN', 'AT', 'THE', 'WAX', 'MUSEUM', 'one', 'best', 'entries', 'series']",N/A
