,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
563635,A1EC6AFLZGQ3A2,B000051SHA,"Aloixa Sinclaire ""Aloixa""","[0, 0]",Omissions amount to manipulation in this piece... The tenor of which is suspicious at best - Tesla deserves much better.,3,Who funded this project?,1398902400,"05 1, 2014",2014,120,"['Omissions', 'amount', 'manipulation', 'piece', 'tenor', 'suspicious', 'best', 'Tesla', 'much', 'better']",Tesla: Master of Lightning VHS
563636,A3JRSDCNYGQTW6,B000051SHA,"amazon customer ""JBMD""","[25, 26]","Wow!  What a life...what a video!  After you watch this, you will realize this man, NOT Edison, is the great inventor of the 20th century.  As you click the remote control on your TV to change channels, you'll always think of TESLA!",5,TESLA!,1245542400,"06 21, 2009",2009,232,"['Wow', 'What', 'life', 'what', 'video', 'watch', 'will', 'realize', 'man', 'NOT', 'Edison', 'great', 'inventor', '20th', 'century', 'click', 'remote', 'control', 'TV', 'change', 'channels', ""'ll"", 'always', 'think', 'TESLA']",Tesla: Master of Lightning VHS
563637,A196FM8CRBSM10,B000051SHA,Anonymous,"[0, 0]","Very well done documentary with a perfect balance of biography, history and science. It starts as a typical American Dream story of a young immigrant but gets a lot more interesting afterwords. A true life lesson. Wish it was a bit more scientific though.",5,Very nice documentary!,1391558400,"02 5, 2014",2014,255,"['Very', 'well', 'done', 'documentary', 'perfect', 'balance', 'biography', 'history', 'science', 'typical', 'American', 'Dream', 'story', 'young', 'immigrant', 'lot', 'more', 'interesting', 'afterwords', 'true', 'life', 'lesson', 'Wish', 'was', 'bit', 'more', 'scientific', 'though']",Tesla: Master of Lightning VHS
563638,A3AVXCMJKARIF9,B000051SHA,bob,"[1, 1]","Tesla was a genius in the pure sense of the word. Unlike others of this time period he was not in it for the money. He honestly wanted to help mankind and make this a better world to live in. Edison was very much a capitalist and if there wasn't anything in it for him he just never bothered to try, he actually demanded money first before he would even attempt to invent or improve any existing products. This movie really left me with a bad taste in my mouth not just for Edison but others that Tesla had to deal with, they really sounded like some super selfish jerks!Not to say Tesla did not have some fame and fortune in his career but that wasn't his number one priority and that kind of earns him a special place in my heart.Tesla is finally after all these years beginning to be recognized for his momentous contribution to science and his country and country men here in the U.S.This is a wonderful movie,well made and researched. enjoy it and learn something about Tesla that you may not have known.",5,what did Einstein have that this guy didn't?,1344470400,"08 9, 2012",2012,1009,"['Tesla', 'was', 'genius', 'pure', 'sense', 'word', 'others', 'time', 'period', 'was', 'not', 'money', 'honestly', 'wanted', 'help', 'mankind', 'make', 'better', 'world', 'live', 'Edison', 'was', 'very', 'much', 'capitalist', 'was', ""n't"", 'anything', 'just', 'never', 'bothered', 'try', 'actually', 'demanded', 'money', 'first', 'would', 'even', 'attempt', 'invent', 'improve', 'existing', 'products', 'movie', 'really', 'left', 'bad', 'taste', 'mouth', 'not', 'just', 'Edison', 'others', 'Tesla', 'had', 'deal', 'really', 'sounded', 'super', 'selfish', 'jerks', 'Not', 'say', 'Tesla', 'did', 'not', 'have', 'fame', 'fortune', 'career', 'was', ""n't"", 'number', 'one', 'priority', 'kind', 'earns', 'special', 'place', 'heart.Tesla', 'finally', 'years', 'beginning', 'be', 'recognized', 'momentous', 'contribution', 'science', 'country', 'country', 'men', 'here', 'U.S.This', 'wonderful', 'movie', 'well', 'made', 'researched', 'enjoy', 'learn', 'something', 'Tesla', 'may', 'not', 'have', 'known']",Tesla: Master of Lightning VHS
563639,A1U2DKI6BUZKV2,B000051SHA,Charlene,"[1, 1]","I used to think Thomas Edison was the most awesome inventor until I learned more about Tesla.  Tesla has been left out too much in education; and even though he had his idiosyncrasies, he was most certainly ahead of his time!  Discover more about him!",5,A must see.,1371600000,"06 19, 2013",2013,251,"['used', 'think', 'Thomas', 'Edison', 'was', 'most', 'awesome', 'inventor', 'learned', 'more', 'Tesla', 'Tesla', 'been', 'left', 'out', 'too', 'much', 'education', 'even', 'had', 'idiosyncrasies', 'was', 'most', 'certainly', 'ahead', 'time', 'Discover', 'more']",Tesla: Master of Lightning VHS
563640,A3G8HQP6FR4NWS,B000051SHA,chris and sherry,"[1, 1]","This was a great show. I could not leave to refill my drink, because my husband would not pause it. It starts from his beginnings to the end. You will learn more than you knew before about Tesla. I walked away from this movie thinking, that was a truly, humble, intelligent, great genius of a man.",5,I learned a ton that I did not know,1401753600,"06 3, 2014",2014,297,"['was', 'great', 'show', 'could', 'not', 'leave', 'refill', 'drink', 'husband', 'would', 'not', 'pause', 'beginnings', 'end', 'will', 'learn', 'more', 'knew', 'Tesla', 'walked', 'away', 'movie', 'thinking', 'was', 'truly', 'humble', 'intelligent', 'great', 'genius', 'man']",Tesla: Master of Lightning VHS
563641,AFXCGK5813VOM,B000051SHA,Cynical1,"[0, 0]","It is sad that so few know about Tesla's achievements, and while this movie help bring much of it to light, it short changes many of Edison's contributions by limiting his role to just being a champion of merits of DC.",4,Important historic information,1391558400,"02 5, 2014",2014,218,"['sad', 'so', 'few', 'know', 'Tesla', 'achievements', 'movie', 'help', 'bring', 'much', 'light', 'short', 'changes', 'many', 'Edison', 'contributions', 'limiting', 'role', 'just', 'being', 'champion', 'merits', 'DC']",Tesla: Master of Lightning VHS
563642,A2161MAS1NMMZ3,B000051SHA,D. Mitchell,"[1, 2]","A lot of this is good history of Nikola Tesla, but you can also tell the writers did not have a good understanding of the science involved.  They credit Tesla for inventing alternating current power, which is not at all correct.  Tesla was (one of) the inventors of three-phase current.  The whole discussion of HAARP and particle beam weapons was very scatter brained and inaccurate, more like something produced by the History Channel than by PBS.I think we are still waiting for an excellent professional history of Tesla.  Just as one example, few Tesla fans mention that Tesla did not believe in radio waves, but though signals and energy were being conducted through the Earth as electric current, or conducted through the plasma of the ionosphere.  They also never mention his patent battles with Galileo Farraris.  Although Farraris' patents came before Tesla's, he charmed and convinced a jury that he had a sort of mystical vision of the invention earlier, and was thus &#34;first to invent&#34; even though Farraris had been &#34;first to file&#34;.  Like Edison and Marconi, there is also an historical criticism of Tesla that is absent from the writings of zealous followers.",3,"Mix of History, Science and Pseudoscience",1391385600,"02 3, 2014",2014,1188,"['lot', 'good', 'history', 'Nikola', 'Tesla', 'can', 'also', 'tell', 'writers', 'did', 'not', 'have', 'good', 'understanding', 'science', 'involved', 'credit', 'Tesla', 'inventing', 'alternating', 'current', 'power', 'not', 'correct', 'Tesla', 'was', 'one', 'inventors', 'three-phase', 'current', 'whole', 'discussion', 'HAARP', 'particle', 'beam', 'weapons', 'was', 'very', 'scatter', 'brained', 'inaccurate', 'more', 'something', 'produced', 'History', 'Channel', 'PBS.I', 'think', 'are', 'still', 'waiting', 'excellent', 'professional', 'history', 'Tesla', 'Just', 'one', 'example', 'few', 'Tesla', 'fans', 'mention', 'Tesla', 'did', 'not', 'believe', 'radio', 'waves', 'signals', 'energy', 'were', 'being', 'conducted', 'Earth', 'electric', 'current', 'conducted', 'plasma', 'ionosphere', 'also', 'never', 'mention', 'patent', 'battles', 'Galileo', 'Farraris', 'Farraris', 'patents', 'came', 'Tesla', 'charmed', 'convinced', 'jury', 'had', 'sort', 'mystical', 'vision', 'invention', 'earlier', 'was', 'thus', '34', 'first', 'invent', '34', 'even', 'Farraris', 'had', 'been', '34', 'first', 'file', '34', 'Edison', 'Marconi', 'also', 'historical', 'criticism', 'Tesla', 'absent', 'writings', 'zealous', 'followers']",Tesla: Master of Lightning VHS
563643,A34GZPHWYPSY2T,B000051SHA,"E. Hernandez ""Call me Harry""","[1, 1]","TESLA (2007 release, approximately 90 minutes) is one of those typical A&E; biographies that went over so well beginning some decades ago (if I recall correctly), only this was a PBS production. This entry, about inventor Nikola Tesla, is a highly recommended documentary. It is filled with great facts, a smooth narrative copied mostly from Margaret Cheney's excellent biography,Tesla: Man Out of Time, and for me the added treat was Stacey Keach reading from Tesla's own writings.In my review of Cheney's biography, which I think is the greatest biography of Tesla, I recommend this documentary as a sort of visual complement/companion. However, in itself it is an excellent introduction to the life and work of the great Nikola Tesla, the man who not only made lightning, but made the field of our entire modern technology.Nothing more can be said in a review about the inventor who gave us remote control ... in 1893!!",5,Tesla,1321056000,"11 12, 2011",2011,922,"['TESLA', '2007', 'release', 'approximately', '90', 'minutes', 'one', 'typical', 'A', 'E', 'biographies', 'went', 'so', 'well', 'beginning', 'decades', 'recall', 'correctly', 'only', 'was', 'PBS', 'production', 'entry', 'inventor', 'Nikola', 'Tesla', 'highly', 'recommended', 'documentary', 'filled', 'great', 'facts', 'smooth', 'narrative', 'copied', 'mostly', 'Margaret', 'Cheney', 'excellent', 'biography', 'Tesla', 'Man', 'Time', 'added', 'treat', 'was', 'Stacey', 'Keach', 'reading', 'Tesla', 'own', 'writings.In', 'review', 'Cheney', 'biography', 'think', 'greatest', 'biography', 'Tesla', 'recommend', 'documentary', 'sort', 'visual', 'complement/companion', 'However', 'excellent', 'introduction', 'life', 'work', 'great', 'Nikola', 'Tesla', 'man', 'who', 'not', 'only', 'made', 'lightning', 'made', 'field', 'entire', 'modern', 'technology.Nothing', 'more', 'can', 'be', 'said', 'review', 'inventor', 'who', 'gave', 'remote', 'control', '1893']",Tesla: Master of Lightning VHS
563644,A1KH1WY70DN12U,B000051SHA,"E. Price ""goodchoice@bigfoot.com""","[6, 6]","THE ""SELLERS"" OF THIS ITEM HAVE DOUBLED THE PRICE. IT IS AVAILABLE FROM PBS FOR $15.00 ON VHS. IT ISN'T OFFERED ON DVD ANYWHERE. GREAT HISTORY, AMAZON DOES OFFER SEVERAL NICE BOOKS ABOUT TESLA.",5,SHOP PBS,1134259200,"12 11, 2005",2005,193,"['SELLERS', 'THIS', 'ITEM', 'HAVE', 'DOUBLED', 'THE', 'PRICE', 'IT', 'AVAILABLE', 'FROM', 'PBS', 'FOR', '15.00', 'ON', 'VHS', 'IT', ""N'T"", 'OFFERED', 'ON', 'DVD', 'ANYWHERE', 'GREAT', 'HISTORY', 'AMAZON', 'DOES', 'OFFER', 'SEVERAL', 'NICE', 'BOOKS', 'ABOUT', 'TESLA']",Tesla: Master of Lightning VHS
