,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
668361,A38X9S7BO23A8M,B00005NGA2,"Alan Libbey ""hkmp5k""","[0, 0]","Satriani is one of the eight wonders of the world! This DVD is one of the best concerts I have seen! If you like shredding guitar players with soul like satriani that can make the guitar do things like no one on earth, buy this dvd you will not be sorry! &quot;The Ferrari of guitar players!&quot;",5,&quot;The Ferrari of guitar players!&quot;,1015372800,"03 6, 2002",2002,297,"['Satriani', 'one', 'eight', 'wonders', 'world', 'DVD', 'one', 'best', 'concerts', 'have', 'seen', 'like', 'shredding', 'guitar', 'players', 'soul', 'satriani', 'can', 'make', 'guitar', 'do', 'things', 'one', 'earth', 'buy', 'dvd', 'will', 'not', 'be', 'sorry', 'quot', 'Ferrari', 'guitar', 'players', 'quot']",N/A
668362,AJ1S12KV4D5Z3,B00005NGA2,"Andy Reddings ""Electric Blues""","[2, 3]","Joe loves playing guitar. He loves playing it so much that watching him live becomes a wonderful treat. He lets his fingers surf and fly at the same time on the fretboard. Whoever thinks his playing is monotonous probably has heard a song or two of his. The visuals are amazing. The production is raw and no silly editing is done to the live show. Thats what makes it very personal. After watching Metallica's Live Binge and Purge, I was seriously dissappointed because the directors had made the entire show seem so polished with useless effects and no down to earth scenes that gave us no idea what it is like to be in the audience. But this LIVE IN S.F dvd makes you feel as if you are actually present in the concert. Good Job! I have deducted a star (which I feel sorry for) because Joe did not play some of his tunes which deserve more recognition and more live play. For example, I have never heard him play, train of angels, lights of heaven, rubina's blue sky happiness, secret prayer, morrocan sunset ect. But whatever it is, This dvd is definitely something anyone would enjoy. It speaks the universal language.....music.Highlight in this DVD: Always with me, Always with you",4,San Francisco is the place to be.,1075248000,"01 28, 2004",2004,1186,"['Joe', 'playing', 'guitar', 'playing', 'so', 'much', 'watching', 'live', 'wonderful', 'treat', 'fingers', 'surf', 'fly', 'same', 'time', 'fretboard', 'Whoever', 'playing', 'monotonous', 'probably', 'heard', 'song', 'two', 'visuals', 'are', 'amazing', 'production', 'raw', 'silly', 'editing', 'done', 'live', 'show', 'Thats', 'what', 'very', 'personal', 'watching', 'Metallica', 'Live', 'Binge', 'Purge', 'was', 'seriously', 'dissappointed', 'directors', 'had', 'made', 'entire', 'show', 'seem', 'so', 'polished', 'useless', 'effects', 'down', 'earth', 'scenes', 'gave', 'idea', 'what', 'be', 'audience', 'LIVE', 'IN', 'S.F', 'dvd', 'feel', 'are', 'actually', 'present', 'concert', 'Good', 'Job', 'have', 'deducted', 'star', 'feel', 'sorry', 'Joe', 'did', 'not', 'play', 'tunes', 'deserve', 'more', 'recognition', 'more', 'live', 'play', 'example', 'have', 'never', 'heard', 'play', 'train', 'angels', 'lights', 'heaven', 'rubina', 'blue', 'sky', 'happiness', 'secret', 'prayer', 'morrocan', 'sunset', 'ect', 'dvd', 'definitely', 'something', 'anyone', 'would', 'enjoy', 'universal', 'language', '..music.Highlight', 'DVD', 'Always']",N/A
668363,A2I60N7KS8IDZ2,B00005NGA2,ClwydJ,"[0, 0]","I was very impressed with this dvd. As a casual fan of Joe's I guess I wasn't expecting much but I found this to be well-shot & entertaining. I really enjoyed the slower less frenetic paced editing & I have some blu-rays in my collection I would say don't look as good as this dvd! Also a surprise is the exceptional playing of his bass player Stu Hamm, a fellow I had never heard of but whose playing really stood out. My only very minor gripe would be that you see the cameramen more than you should, but hey, they got some great footage. If you're a fan of Satch's or even just of the electric guitar this is a great buy.",5,Really Good,1327708800,"01 28, 2012",2012,624,"['was', 'very', 'impressed', 'dvd', 'casual', 'fan', 'Joe', 'guess', 'was', ""n't"", 'expecting', 'much', 'found', 'be', 'well-shot', 'entertaining', 'really', 'enjoyed', 'slower', 'less', 'frenetic', 'paced', 'editing', 'have', 'blu-rays', 'collection', 'would', 'say', 'do', ""n't"", 'look', 'as', 'good', 'dvd', 'Also', 'surprise', 'exceptional', 'playing', 'bass', 'player', 'Stu', 'Hamm', 'fellow', 'had', 'never', 'heard', 'playing', 'really', 'stood', 'out', 'only', 'very', 'minor', 'gripe', 'would', 'be', 'see', 'cameramen', 'more', 'should', 'hey', 'got', 'great', 'footage', ""'re"", 'fan', 'Satch', 'even', 'just', 'electric', 'guitar', 'great', 'buy']",N/A
668364,A40HEATDIM1HH,B00005NGA2,"Davidm ""shagrath""","[2, 2]","This is an amazing dvd set that has great video quality & sound, i highly recomend it 4 any satriani fans out there...you will enjoy this over & over.......as 4 the othere rater saying it has ""cheap packaging"" ??? what else did you want?? a little photo book??? i'd personally rather have 2 quality dvd's that some silly book i'm gonna look at a few times......for under $X this is a true bargain....",5,unbeleivable price & quality !!,1000512000,"09 15, 2001",2001,400,"['amazing', 'dvd', 'set', 'great', 'video', 'quality', 'sound', 'i', 'highly', 'recomend', '4', 'satriani', 'fans', 'out', 'there', 'will', 'enjoy', '4', 'othere', 'rater', 'saying', 'cheap', 'packaging', 'what', 'else', 'did', 'want', 'little', 'photo', 'book', 'i', ""'d"", 'personally', 'rather', 'have', '2', 'quality', 'dvd', 'silly', 'book', 'i', ""'m"", 'gon', 'look', 'few', 'times', 'X', 'true', 'bargain']",N/A
668365,A102ZVRQ4ZTX5Q,B00005NGA2,"""dose2000""","[1, 1]","While i've only been able to see Joe ""live"" once, & then on theofficial ""G-3"" vhs tape(I'll remedy seeing him once ""live"" by seeing him on the current tour w/Dream Theatre & King's X!)thoseperformances were yrs back. This performance is current(2001)&recorded live at ""Fillmore West"" in San Fran. Joe plays so extremely confidently & well on this incredible sounding & looking dvd that you must buy it. If you don't have a dvd playeryet(shame on you;->) ...Joe is just awesome, playing what he does at a seemingly effortless pace. If your a guitar player, this dvd will either inspire you or at 1st lead you to think you should quit playing!What can I say about the drumming of Jeff Campitelli? Well once again he's rock solid, & while he prefers(I assume it's his choice)to let the spotlight fall directly on Joe, Jeff has added considerably to his unique set-up w/more drums(all used)as well as many more beautiful sounding Paiste cymbals!For whatever reason Jeff chooses not to solo, he DOES show vg speed on his dblbass drum pedal at the end of the last song, ""Rubina"". On the other hand, bassist Stu Hamm does do 1 solo albeit short at about5-6 minutes. While personally I cannot await the release of SteveVai's dvd(recorded in England towards the end of 2001)which his homepage says is in the editing stages now. As much as I love Satriani, I cannot wait to see Vai's dvd as he used Billy Sheehan& the other-worldly drummer Virgil Donati on that tour/dvd, so hurry it up Steve! So if you love Satriani you'll think this dvdis the greatest thing since sliced bread! If you're new to Joe, this dvd will make you re-think that guitarists;many(JS-Vai)consider to be only ""shredders"", cannot play or write songs full of soul & emmotion, because Joe lays it all out there for you on this effort. BTW as others have pointed out, the 1st 3 songs were shot w/multiple camera's in such a way you can choosefrom 4 different angles of Joe & the band! Personally, I alwayschoose the 1 that only really shows Jeff's playing. ! GREAT DVD!Steven Munari""There are 40 people in the world, and 5 of them are hamburgers.""My fave quote of all time by Don Van Vliet. (aka Capt. Beefheart)",5,Incredible! A 2&1/2 hour extravganza w/Joe at his best!,1030752000,"08 31, 2002",2002,2172,"['i', ""'ve"", 'only', 'been', 'able', 'see', 'Joe', 'live', 'once', 'then', 'theofficial', 'G-3', 'vhs', 'tape', ""'ll"", 'remedy', 'seeing', 'once', 'live', 'seeing', 'current', 'tour', 'w/Dream', 'Theatre', 'King', 'X', 'thoseperformances', 'were', 'yrs', 'back', 'performance', 'current', '2001', 'recorded', 'live', 'Fillmore', 'West', 'San', 'Fran', 'Joe', 'so', 'extremely', 'confidently', 'well', 'incredible', 'sounding', 'looking', 'dvd', 'must', 'buy', 'do', ""n't"", 'have', 'dvd', 'playeryet', 'shame', '>', 'Joe', 'just', 'awesome', 'playing', 'what', 'seemingly', 'effortless', 'pace', 'guitar', 'player', 'dvd', 'will', 'either', 'inspire', '1st', 'lead', 'think', 'should', 'quit', 'playing', 'What', 'can', 'say', 'drumming', 'Jeff', 'Campitelli', 'Well', 'once', 'again', 'rock', 'solid', 'assume', 'choice', 'let', 'spotlight', 'fall', 'directly', 'Joe', 'Jeff', 'added', 'considerably', 'unique', 'set-up', 'w/more', 'drums', 'used', 'as', 'well', 'many', 'more', 'beautiful', 'sounding', 'Paiste', 'cymbals', 'reason', 'Jeff', 'not', 'solo', 'show', 'vg', 'speed', 'dblbass', 'drum', 'pedal', 'end', 'last', 'song', 'Rubina', 'other', 'hand', 'bassist', 'Stu', 'Hamm', 'do', '1', 'solo', 'albeit', 'short', 'about5-6', 'minutes', 'personally', 'can', 'not', 'await', 'release', 'SteveVai', 'dvd', 'recorded', 'England', 'end', '2001', 'homepage', 'editing', 'stages', 'now', 'As', 'much', 'love', 'Satriani', 'can', 'not', 'wait', 'see', 'Vai', 'dvd', 'used', 'Billy', 'Sheehan', 'other-worldly', 'drummer', 'Virgil', 'Donati', 'tour/dvd', 'hurry', 'up', 'Steve', 'So', 'love', 'Satriani', ""'ll"", 'think', 'greatest', 'thing', 'sliced', 'bread', ""'re"", 'new', 'Joe', 'dvd', 'will', 'make', 're-think', 'guitarists', 'many', 'JS-Vai', 'consider', 'be', 'only', 'shredders', 'can', 'not', 'play', 'write', 'songs', 'full', 'soul', 'emmotion', 'Joe', 'there', 'effort', 'BTW', 'others', 'have', 'pointed', 'out', '1st', '3', 'songs', 'were', 'shot', 'w/multiple', 'camera', 'such', 'way', 'can', 'choosefrom', '4', 'different', 'angles', 'Joe', 'band', 'Personally', 'alwayschoose', '1', 'only', 'really', 'Jeff', 'playing', 'GREAT', 'DVD', 'Steven', 'Munari', 'are', '40', 'people', 'world', '5', 'are', 'hamburgers', 'fave', 'quote', 'time', 'Don', 'Van', 'Vliet', 'aka', 'Capt', 'Beefheart']",N/A
668366,A2S3GVLZF1BI3L,B00005NGA2,"Gilberto Dotti Cesa ""gdc""","[1, 12]","I have this DVD and look at it over 15 times. It was great!!! I have a blu-ray player and after watch the blu-rays of Jeff Beck, NIN, Queen,etc,  I just can say that this  DVD of Joe Satriani has bad sound and bad video quality. I hope it comes in Blu-ray, of course if the master can be put on Blu-ray and receive a good trancription ! I will buy it !!! DVD IS DEAD !!!Let's Blu-ray, NOW !!!",1,In Blu-ray I hope give FIVE STARS ....,1243728000,"05 31, 2009",2009,392,"['have', 'DVD', 'look', '15', 'times', 'was', 'great', 'have', 'blu-ray', 'player', 'watch', 'blu-rays', 'Jeff', 'Beck', 'NIN', 'Queen', 'etc', 'just', 'can', 'say', 'DVD', 'Joe', 'Satriani', 'bad', 'sound', 'bad', 'video', 'quality', 'hope', 'Blu-ray', 'course', 'master', 'can', 'be', 'put', 'Blu-ray', 'receive', 'good', 'trancription', 'will', 'buy', 'DVD', 'IS', 'DEAD', 'Let', 'Blu-ray', 'NOW']",N/A
668367,A17ZLPBIOB6GB8,B00005NGA2,"Jazzcat ""stef""","[15, 17]","This DVD sets the standard in my opinion for concert on dvd format. This one has a lot of pluses. First of all it is a full lenght concert, two discs full of great, great music. The track list is right, it covers the long career Joe has behind him. Every album is represented here. The specials are short and interesting as they should be. Not boring at all, or stupid as they are in many cases. The production work is simply phenomenal. There's nothing wrong. Lights works are perfect, the stage is simple in its design but truly clear in its concept and really effective. Camera works are just right, just perfect. A lot of motion but a lot of nice focuses on Joe's hands... perfect balance. The audio is nothing less that 5.1. The band played a great night. Everything went out really good. This dvd sets the standard in terms of music contents, production level, specials contents, and overall balance in my opinion. Few dvds come near this one in every aspect. Just to make a clear comparison, this San Francisco concert dvd is HEAVEN where Steve Vai's dvd Live at the Astoria is HELL. It does not even come close. Abysses separate these two dvds. Sorry Steve, you have still a lot to learn from your old master Joe.",5,This DVD sets the standard,1081468800,"04 9, 2004",2004,1221,"['DVD', 'standard', 'opinion', 'concert', 'dvd', 'format', 'one', 'lot', 'pluses', 'First', 'full', 'lenght', 'concert', 'two', 'discs', 'full', 'great', 'great', 'music', 'track', 'list', 'right', 'long', 'career', 'Joe', 'album', 'represented', 'here', 'specials', 'are', 'short', 'interesting', 'should', 'be', 'Not', 'boring', 'stupid', 'are', 'many', 'cases', 'production', 'work', 'simply', 'phenomenal', 'nothing', 'wrong', 'Lights', 'works', 'are', 'perfect', 'stage', 'simple', 'design', 'truly', 'clear', 'concept', 'really', 'effective', 'Camera', 'are', 'just', 'right', 'just', 'perfect', 'lot', 'motion', 'lot', 'nice', 'focuses', 'Joe', 'hands', 'perfect', 'balance', 'audio', 'nothing', 'less', '5.1', 'band', 'played', 'great', 'night', 'Everything', 'went', 'out', 'really', 'good', 'dvd', 'standard', 'terms', 'music', 'contents', 'production', 'level', 'specials', 'contents', 'overall', 'balance', 'opinion', 'Few', 'dvds', 'come', 'one', 'aspect', 'Just', 'make', 'clear', 'comparison', 'San', 'Francisco', 'concert', 'dvd', 'HEAVEN', 'where', 'Steve', 'Vai', 'dvd', 'Live', 'Astoria', 'HELL', 'not', 'even', 'come', 'close', 'Abysses', 'separate', 'two', 'dvds', 'Sorry', 'Steve', 'have', 'still', 'lot', 'learn', 'old', 'master', 'Joe']",N/A
668368,A3S5C7Y0WT2Q9N,B00005NGA2,J. Lizzi,"[28, 28]","I'll take this DVD over ""G3"" every time.  ""Joe Satriani - Live in San Francisco"" is a superb combination of great playing, great sound, and good camera work and editing.This concert, recorded at the Fillmore in December of 2000, showcases 24 songs plus a short blues introduction (not listed) and a bass solo.  Eight studio albums are represented, from ""Not of This Earth"" (1986) through ""Engines of Creation"" (2001; not yet released at the time).  ""Crystal Planet"" (1998), ""Surfing With the Alien"" (1987), and ""Flying in a Blue Dream"" (1989) were the most represented, with six, five, and four songs, respectively.Overall, the performance has all the ingredients that make for a superlative rock 'n' roll concert:  well over two hours of music, tight playing (one of the band's ""on"" nights), enough variation on the songs to make them ""live"" without losing the essence of the music, varied camera views (without going overboard on the tilted angles, thank you), and expert sound mixing.  Disc 1 features thirteen songs, with very little down time between numbers; no need to go into detail about every song; they're all great.  Disc 2 adds eleven more, plus a little more flavor with the opening blues intro and a bass solo by Stu Hamm that incorporates classically themed arpeggios, popping/hammering techniques and even a rendition of ""Foggy Mountain Breakdown.""  Also, ""Big Bad Moon"" features Joe singing and playing a harmonica that doubles as a slide (clever).  As opposed to his G3 ""power trio,"" Joe enlisted the services of Eric Caudieux, who added rhythm guitar and keyboards, which is a smart move since as the ""middle"" was severely lacking from the G3 show.  Still, I would have preferred that Eric made it out front even more often, similar to what guitarist Mike Keneally does in Steve Vai's band.  Jeff Campitelli keeps his driving drum beats going throughout.  Even with my audio system set to ""DVD Stereo"" the tunes still rocked.  Users of 5.1 will be really pleased.For the most part, the camera work is very good.  Lots of angles are available both from the boom-mounted unit over the audience, and a few hand-held ""roamers.""  The vast majority of the time, what's on the screen is exactly what I want to see:  Joe's playing posture and fingering are highlighted 80% of the time, as it should be.  Seeing the cameramen moving around all over the place was a little distracting at times, but not enough to damage the video presentation.  Check out the feature that allows for four different camera angles on three of the songs:  the hand-helds provide a more intimate dynamic perspective, mostly from on stage.  Also worth watching is the nine-minute backstage commentary where Joe explains his influences, describes his pedal effects, etc.Satriani fans MUST get this DVD.  It's great for other guitar/rock fans as well.",5,A+ performance; excellent sound; good camera work & features,1041379200,"01 1, 2003",2003,2837,"[""'ll"", 'take', 'DVD', 'G3', 'time', 'Joe', 'Satriani', 'Live', 'San', 'Francisco', 'superb', 'combination', 'great', 'playing', 'great', 'sound', 'good', 'camera', 'work', 'editing.This', 'concert', 'recorded', 'Fillmore', 'December', '2000', '24', 'songs', 'short', 'blues', 'introduction', 'not', 'listed', 'bass', 'solo', 'Eight', 'studio', 'albums', 'are', 'represented', 'Not', 'Earth', '1986', 'Engines', 'Creation', '2001', 'not', 'yet', 'released', 'time', 'Crystal', 'Planet', '1998', 'Surfing', 'Alien', '1987', 'Flying', 'Blue', 'Dream', '1989', 'were', 'most', 'represented', 'six', 'five', 'four', 'songs', 'respectively.Overall', 'performance', 'ingredients', 'make', 'superlative', 'rock', 'n', 'roll', 'concert', 'well', 'two', 'hours', 'music', 'tight', 'playing', 'one', 'band', 'nights', 'enough', 'variation', 'songs', 'make', 'live', 'losing', 'essence', 'music', 'varied', 'camera', 'views', 'going', 'overboard', 'tilted', 'angles', 'expert', 'sound', 'mixing', 'Disc', '1', 'features', 'thirteen', 'songs', 'very', 'little', 'down', 'time', 'numbers', 'need', 'go', 'detail', 'song', ""'re"", 'great', 'Disc', '2', 'eleven', 'more', 'little', 'more', 'flavor', 'opening', 'blues', 'intro', 'bass', 'solo', 'Stu', 'Hamm', 'classically', 'themed', 'arpeggios', 'popping/hammering', 'techniques', 'even', 'rendition', 'Foggy', 'Mountain', 'Breakdown', 'Also', 'Big', 'Bad', 'Moon', 'Joe', 'singing', 'playing', 'harmonica', 'slide', 'clever', 'opposed', 'G3', 'power', 'trio', 'Joe', 'enlisted', 'services', 'Eric', 'Caudieux', 'who', 'added', 'rhythm', 'guitar', 'keyboards', 'smart', 'move', 'middle', 'was', 'severely', 'lacking', 'G3', 'show', 'Still', 'would', 'have', 'preferred', 'Eric', 'made', 'out', 'front', 'even', 'more', 'often', 'similar', 'what', 'guitarist', 'Mike', 'Keneally', 'Steve', 'Vai', 'band', 'Jeff', 'Campitelli', 'driving', 'drum', 'going', 'Even', 'audio', 'system', 'set', 'DVD', 'Stereo', 'tunes', 'still', 'rocked', 'Users', '5.1', 'will', 'be', 'really', 'pleased.For', 'most', 'part', 'camera', 'work', 'very', 'good', 'Lots', 'angles', 'are', 'available', 'boom-mounted', 'unit', 'audience', 'few', 'hand-held', 'roamers', 'vast', 'majority', 'time', 'what', 'screen', 'exactly', 'what', 'want', 'see', 'Joe', 'playing', 'posture', 'fingering', 'are', 'highlighted', '80', '%', 'time', 'should', 'be', 'Seeing', 'cameramen', 'moving', 'around', 'place', 'was', 'little', 'distracting', 'times', 'not', 'enough', 'damage', 'video', 'presentation', 'Check', 'feature', 'four', 'different', 'camera', 'angles', 'three', 'songs', 'hand-helds', 'provide', 'more', 'intimate', 'dynamic', 'perspective', 'mostly', 'stage', 'Also', 'worth', 'watching', 'nine-minute', 'backstage', 'commentary', 'where', 'Joe', 'influences', 'pedal', 'effects', 'etc.Satriani', 'fans', 'MUST', 'get', 'DVD', 'great', 'other', 'guitar/rock', 'fans', 'as', 'well']",N/A
668369,A2TA37C7P7711W,B00005NGA2,John A. Bertels,"[0, 0]","Recorded in December of 2000 at the Fillmore in San Francisco, this DVD offers a stunning performance by one of the most competent, skilled guitarists of the modern era. If there's any sound that can be made by a guitar, Joe Satriani is the man who will do it. He proves in this 2.5 hour segment that he can reproduce just about anything he records in the studio; ""Crystal Planet"" is a prime example of this and I was totally floored by his fingers effortlessly flying over the fretboard.I highly recommend this DVD -- what's great about it is that it was recorded at a smaller venue and that makes for some up-close and personal camera views of Joe and Company ""in action"". His band offers a solid backing and definitely deserves honorable mention, especially Stuart Hamm and his very creative bass solo. One comment that I had about the sound level of Eric Cadieux at rhythm guitar is that it was toned way down. Of course, it was deliberate but even watching this in 5.1 (home theater), I had difficulty hearing anything he was playing.This is for Satriani fans and those who enjoy virtuoso-guitarist rock instrumental music. There is only singing on one song and harmonica on another. Overall, Joe's playing reminds us that his music doesn't need any singing -- he can keep an audience mesmerized for 150 minutes with his level/style of playing.",5,"Five ""Plus"" Stars",1198713600,"12 27, 2007",2007,1349,"['Recorded', 'December', '2000', 'Fillmore', 'San', 'Francisco', 'DVD', 'stunning', 'performance', 'one', 'most', 'competent', 'skilled', 'guitarists', 'modern', 'era', 'sound', 'can', 'be', 'made', 'guitar', 'Joe', 'Satriani', 'man', 'who', 'will', 'do', '2.5', 'hour', 'segment', 'can', 'reproduce', 'just', 'anything', 'studio', 'Crystal', 'Planet', 'prime', 'example', 'was', 'totally', 'floored', 'fingers', 'effortlessly', 'flying', 'fretboard.I', 'highly', 'recommend', 'DVD', 'what', 'great', 'was', 'recorded', 'smaller', 'venue', 'up-close', 'personal', 'camera', 'views', 'Joe', 'Company', 'action', 'band', 'solid', 'backing', 'definitely', 'honorable', 'mention', 'especially', 'Stuart', 'Hamm', 'very', 'creative', 'bass', 'solo', 'One', 'comment', 'had', 'sound', 'level', 'Eric', 'Cadieux', 'rhythm', 'guitar', 'was', 'toned', 'way', 'down', 'course', 'was', 'deliberate', 'even', 'watching', '5.1', 'home', 'theater', 'had', 'difficulty', 'hearing', 'anything', 'was', 'playing.This', 'Satriani', 'fans', 'who', 'enjoy', 'virtuoso-guitarist', 'rock', 'instrumental', 'music', 'only', 'singing', 'one', 'song', 'harmonica', 'Overall', 'Joe', 'playing', 'reminds', 'music', ""n't"", 'need', 'singing', 'can', 'keep', 'audience', 'mesmerized', '150', 'minutes', 'level/style', 'playing']",N/A
668370,A1P2NBM3P3TS2X,B00005NGA2,"John S. Harris ""The Voice of Reason""","[0, 0]","If only the G3 concert DVD had been the same length as this - well over 2 hours!!The lack of any real packaging insert leaves me with the impression that this was assembled on the cheap, but the concert footage more than makes up for it.  Stu Hamm's bass solo, while entertaining, still pales compared to the one he did on the G3 Tour stop in Memphis in 1997.  And the addition of a keyboardist doesn't really complement all the songs -- much of Satriani's stuff sounds best performed as a 3-piece.  But it is great to watch the Satch man at work.  Great DVD to watch again and again!",4,Great concert!!,999993600,"09 9, 2001",2001,584,"['only', 'G3', 'concert', 'DVD', 'had', 'been', 'same', 'length', 'well', '2', 'hours', 'lack', 'real', 'packaging', 'insert', 'impression', 'was', 'assembled', 'cheap', 'concert', 'footage', 'more', 'up', 'Stu', 'Hamm', 'bass', 'solo', 'entertaining', 'still', 'compared', 'one', 'did', 'G3', 'Tour', 'stop', 'Memphis', '1997', 'addition', 'keyboardist', ""n't"", 'really', 'complement', 'songs', 'much', 'Satriani', 'stuff', 'best', 'performed', '3-piece', 'great', 'watch', 'Satch', 'man', 'work', 'Great', 'DVD', 'watch', 'again', 'again']",N/A
