,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
727276,A2I3PGEX2A61KE,B00007EFIK,A Customer,"[2, 4]","'No Man's Land', a high-octane drama from 1987 was another one of those movies that fell past the back burner to the floor behind the stove. Charlie Sheen fans flocked to this movie, and girls fell in love with a young DB Sweeney (The Cutting Edge)..but that kind of promotion takes away from what a good movie it is. Sure there are technical errors that people who sit glued to TV screens all day love to point out, but for us normal people who don't mind if a gun is on a table one second and then disappears the next...its' safe to say this movie laid substantial ground for the types of car chase movies there are today. Basil Poledouris' musical score is creepy, and the drama between Sheen and Sweeney is great as a young rookie detective who gets thrown into the mix of a slick car theif's (Charlie Sheen) world and finds that the worst mistake he makes...is making a friend. No doubt inspired by 'Miami Vice', 'The Boys Next Door' and even '48 HRS.', 'No Man's Land' is an exciting movie to see once and then never see again. I only say that because if you see it once and then forget about it, you'll never find yourself picking apart the plot or comparing it to today's trashy car-theft, car chase, car sex...blah blah blah movies usually thanks to directors of teenaged 'movie stars'. Rated R for a few uses of the F-word, mildly explicit violence and adult themes..'No Man's Land' earns the respect I have for movies like 'Lethal Weapon', 'Beverly Hills Cop' and 'The Karate Kid'. Once its' been done, its' almost impossible to do it just as well twice.",4,The Movie That Brought Car Theft To Hollywood,1053475200,"05 21, 2003",2003,1565,"['Man', 'Land', 'high-octane', 'drama', '1987', 'was', 'one', 'movies', 'fell', 'back', 'burner', 'floor', 'stove', 'Charlie', 'Sheen', 'fans', 'flocked', 'movie', 'girls', 'fell', 'love', 'young', 'DB', 'Sweeney', 'Cutting', 'Edge', '..but', 'kind', 'promotion', 'away', 'what', 'good', 'movie', 'Sure', 'are', 'technical', 'errors', 'people', 'who', 'sit', 'glued', 'TV', 'screens', 'day', 'love', 'point', 'out', 'normal', 'people', 'who', 'do', ""n't"", 'mind', 'gun', 'table', 'one', 'second', 'then', 'next', 'safe', 'say', 'movie', 'laid', 'substantial', 'ground', 'types', 'car', 'chase', 'movies', 'are', 'today', 'Basil', 'Poledouris', 'musical', 'score', 'creepy', 'drama', 'Sheen', 'Sweeney', 'great', 'young', 'rookie', 'detective', 'who', 'thrown', 'mix', 'slick', 'car', 'theif', 'Charlie', 'Sheen', 'world', 'worst', 'mistake', 'making', 'friend', 'doubt', 'inspired', ""'Miami"", 'Vice', 'Boys', 'Next', 'Door', 'even', ""'48"", 'HRS', ""'No"", 'Man', 'Land', 'exciting', 'movie', 'see', 'once', 'then', 'never', 'see', 'again', 'only', 'say', 'see', 'once', 'then', 'forget', ""'ll"", 'never', 'find', 'picking', 'apart', 'plot', 'comparing', 'today', 'trashy', 'car-theft', 'car', 'chase', 'car', 'sex', 'blah', 'blah', 'blah', 'movies', 'usually', 'thanks', 'directors', 'teenaged', ""'movie"", 'stars', 'Rated', 'R', 'few', 'uses', 'F-word', 'mildly', 'explicit', 'violence', 'adult', ""themes..'No"", 'Man', 'Land', 'respect', 'have', 'movies', ""'Lethal"", 'Weapon', ""'Beverly"", 'Hills', 'Cop', ""'The"", 'Karate', 'Kid', 'been', 'done', 'almost', 'impossible', 'do', 'just', 'as', 'well', 'twice']",N/A
727277,A3MV1KKHX51FYT,B00007EFIK,Acute Observer,"[0, 1]","No Man's Land, 1987 filmThere is a new guy in town, he finds a job as an auto mechanic. Bill rents a pad. His boss sends him to fix a stranded car. Bill meets the driver and quickly fixes the problem. [A test?] He takes it for a test drive and passes on a curve! There are other close calls. He sees how another worker is roughed up; the competition. The factory alarm isn't worth much. Ted asks him to visit a nightclub at 1am and introduces him to his sister Ann. Bill recognizes a face. Later he meets his contact and reports his progress. ""Concentrate on Varrick!"" Bill gets an offer to pick up a car. There is a problem and Bill has to run to escape. He visits Ann to learn more. Bill watches the visitors to the repair shop.They are noticed at a parking garage. Bill uses a ""slim jim"" to open a locked door. He is caught by two guards, then bailed out. Bill meets Ann again. Varrick goes shopping, carrying bags makes them look legitimate. They grab a black car parked at the curb. Then a silver coupe from a parking garage. The owner sees him and shows his disapproval. There is a car chase for action. The Porsche is followed by a Lincoln and a Camaro, then there are car crashes. It's the competition and they have a shotgun! But they get away to a ""chop shop"" where stolen cars get a new identity from junked models. Varrick gets a surprise when he finds Malcolm speechless. The police arrive to investigate, but learn nothing. Bill visits Ted, who asks for a favor: watch his back. They visit a club. Ted mingles with the dancers to meet Martin, a business rival. Who noticed this?Next they visit a Christmas Eve party at a house. Ted gets a phone call from a police detective who gives him a warning about mechanic. What will he do? Ted takes Bill to meet this cop for a pay-off. Ted drives to save Bill's life (and silence a witness). Who can you trust? Bill reports to Lieutenant Bracey about the killing of Loos. Bill meets Ann for a talk. ""Just believe me."" Bill gets a nasty surprise at his pad. His Uncle Mike talked to Ann! His cover is blown. He calls Lt. Bracey, but there is another problem! Ted prepares to skip town on business. Will he see Bill tonight? ""Be careful"" warns Ann. They meet at a shopping mall. Ted knows Bill's real name! There is a final argument, shots are fired, and Ted's prediction comes true.This is a story about professional car thieves in Los Angeles with the usual human conflicts in a drama. It tells about an undercover investigation and its problems. It shows the need for strict security in any undercover operation. It doesn't tell how the demand for certain car models creates the stolen car market. There is also a need for good used parts (they all don't come from a junkyard). Is it different in other parts of the country?",4,The Business of Auto Theft,1342224000,"07 14, 2012",2012,2781,"['Man', 'Land', '1987', 'filmThere', 'new', 'guy', 'town', 'job', 'auto', 'mechanic', 'Bill', 'pad', 'boss', 'fix', 'stranded', 'car', 'Bill', 'driver', 'quickly', 'fixes', 'problem', '[', 'test', ']', 'test', 'drive', 'passes', 'curve', 'are', 'other', 'close', 'calls', 'how', 'worker', 'roughed', 'up', 'competition', 'factory', 'alarm', ""n't"", 'worth', 'much', 'Ted', 'visit', 'nightclub', '1am', 'introduces', 'sister', 'Ann', 'Bill', 'face', 'Later', 'contact', 'reports', 'progress', 'Concentrate', 'Varrick', 'Bill', 'offer', 'pick', 'up', 'car', 'problem', 'Bill', 'run', 'escape', 'Ann', 'learn', 'more', 'Bill', 'visitors', 'repair', 'shop.They', 'are', 'noticed', 'parking', 'garage', 'Bill', 'slim', 'jim', 'open', 'locked', 'door', 'caught', 'two', 'guards', 'then', 'bailed', 'out', 'Bill', 'Ann', 'again', 'Varrick', 'shopping', 'carrying', 'bags', 'look', 'legitimate', 'grab', 'black', 'car', 'parked', 'curb', 'Then', 'silver', 'coupe', 'parking', 'garage', 'owner', 'disapproval', 'car', 'chase', 'action', 'Porsche', 'followed', 'Lincoln', 'Camaro', 'then', 'are', 'car', 'crashes', 'competition', 'have', 'shotgun', 'get', 'away', 'chop', 'shop', 'where', 'stolen', 'cars', 'get', 'new', 'identity', 'junked', 'models', 'Varrick', 'surprise', 'when', 'Malcolm', 'speechless', 'police', 'arrive', 'investigate', 'learn', 'nothing', 'Bill', 'Ted', 'who', 'favor', 'watch', 'back', 'visit', 'club', 'Ted', 'mingles', 'dancers', 'meet', 'Martin', 'business', 'rival', 'Who', 'noticed', 'visit', 'Christmas', 'Eve', 'party', 'house', 'Ted', 'phone', 'call', 'police', 'detective', 'who', 'warning', 'mechanic', 'What', 'will', 'do', 'Ted', 'Bill', 'meet', 'cop', 'pay-off', 'Ted', 'save', 'Bill', 'life', 'silence', 'witness', 'Who', 'can', 'trust', 'Bill', 'Lieutenant', 'Bracey', 'killing', 'Loos', 'Bill', 'Ann', 'talk', 'Just', 'believe', 'Bill', 'nasty', 'surprise', 'pad', 'Uncle', 'Mike', 'talked', 'Ann', 'cover', 'blown', 'Lt.', 'Bracey', 'problem', 'Ted', 'skip', 'town', 'business', 'Will', 'see', 'Bill', 'tonight', 'Be', 'careful', 'Ann', 'meet', 'shopping', 'mall', 'Ted', 'Bill', 'real', 'name', 'final', 'argument', 'shots', 'are', 'fired', 'Ted', 'prediction', 'story', 'professional', 'car', 'thieves', 'Los', 'Angeles', 'usual', 'human', 'conflicts', 'drama', 'undercover', 'investigation', 'problems', 'need', 'strict', 'security', 'undercover', 'operation', ""n't"", 'tell', 'how', 'demand', 'certain', 'car', 'models', 'stolen', 'car', 'market', 'also', 'need', 'good', 'used', 'parts', 'do', ""n't"", 'come', 'junkyard', 'different', 'other', 'parts', 'country']",N/A
727278,A1LDU8X0GPLY6Q,B00007EFIK,DK3466,"[0, 1]",Love this movie and could not find it in any store. It was in excellent condition and arrived quickly. Thank you. I will be back to shop with you.,5,totally happy,1325808000,"01 6, 2012",2012,146,"['Love', 'movie', 'could', 'not', 'find', 'store', 'was', 'excellent', 'condition', 'arrived', 'quickly', 'Thank', 'will', 'be', 'back', 'shop']",N/A
727279,A1KD8NJPZ01R37,B00007EFIK,doppelganger,"[2, 3]","This is the greatest late-80's car-chase movie ever. With Sheen in his heyday, and other classic elements that made this movie THEE PORSCHE MOVIE OF ALL TIME. The chases were not clumsy Miami Vice style don't-hurt-the-Ferrari fare, but INTENSE, throttle&corner;, jumping, flying and ramming with the sweetest Porsches of the 80's. Add the backdrop of ""Less than Zero"" production similarities and late-night 80's escapades, woo-hoo! This is the genre for gen X probably, but you may enjoy it otherwise. It's a timeless piece and thoroughly watchable for action fans.Many years ago I ordered the VHS of ""No Man's Land"" only to receive some skiing documentary. Horrified, I learned it was gone, ""out-of-print"". I don't know when it was produced last, and it may not be again so if your a collector it's something to consider.",5,THEE PORSCHE MOVIE OF ALL TIME,1044316800,"02 4, 2003",2003,822,"['greatest', 'late-80', 'car-chase', 'movie', 'ever', 'Sheen', 'heyday', 'other', 'classic', 'elements', 'made', 'movie', 'THEE', 'PORSCHE', 'MOVIE', 'ALL', 'TIME', 'chases', 'were', 'not', 'clumsy', 'Miami', 'Vice', 'style', ""don't-hurt-the-Ferrari"", 'fare', 'INTENSE', 'throttle', 'corner', 'jumping', 'flying', 'ramming', 'sweetest', 'Porsches', '80', 'Add', 'backdrop', 'Less', 'Zero', 'production', 'similarities', 'late-night', '80', 'escapades', 'woo-hoo', 'genre', 'gen', 'X', 'probably', 'may', 'enjoy', 'otherwise', 'timeless', 'piece', 'thoroughly', 'watchable', 'action', 'fans.Many', 'years', 'ago', 'ordered', 'VHS', 'No', 'Man', 'Land', 'only', 'receive', 'skiing', 'documentary', 'Horrified', 'learned', 'was', 'gone', 'out-of-print', 'do', ""n't"", 'know', 'when', 'was', 'produced', 'last', 'may', 'not', 'be', 'again', 'so', 'collector', 'something', 'consider']",N/A
727280,A1NI0VOVXZBM7Y,B00007EFIK,"Jose Lopez ""Jose Lopez""","[1, 1]","Not to be confused with other Dubious and Pretty Entertaining Movies of another Genre,No Man's Land is not a Carpet Munching Free for all but a Movie Starring A Pre-Burnt Charlie Sheen(Hot Shots,Hot Shots Part Deux,nevermind two and in half; son of lefty loon sheen as we all know.)and Some D.B. Sweeney Dude(whatever happen to Him?)along with Pre-Kook Conspiracy/Canada Living Randy Quaid,The movie is worth watching for Porschephiles(Im a Vette Guy Myself,I don't mess with souped up fascist Vdubs.)I like the 930 Slantnose,there is a Cool Camaro and good car chase along with Pepsi plug-in/SemiTruck smash,overall a good 80s movie.",4,No Man's Land,1302652800,"04 13, 2011",2011,634,"['Not', 'be', 'confused', 'other', 'Dubious', 'Pretty', 'Entertaining', 'Movies', 'Genre', 'No', 'Man', 'Land', 'not', 'Carpet', 'Munching', 'Free', 'Movie', 'Starring', 'Pre-Burnt', 'Charlie', 'Sheen', 'Hot', 'Shots', 'Hot', 'Shots', 'Part', 'Deux', 'nevermind', 'two', 'half', 'son', 'lefty', 'loon', 'sheen', 'know', 'D.B', 'Sweeney', 'Dude', 'happen', 'Him', 'Pre-Kook', 'Conspiracy/Canada', 'Living', 'Randy', 'Quaid', 'movie', 'worth', 'watching', 'Porschephiles', 'Im', 'Vette', 'Guy', 'Myself', 'do', ""n't"", 'mess', 'souped', 'up', 'fascist', 'Vdubs', 'like', '930', 'Slantnose', 'Cool', 'Camaro', 'good', 'car', 'chase', 'Pepsi', 'plug-in/SemiTruck', 'smash', 'overall', 'good', '80s', 'movie']",N/A
727281,AHWQLLL6TBC6Q,B00007EFIK,Justin Bradley,"[1, 1]",Seen it long time ago & started to check if i'll could find it and did. So went and got it,5,Love the movie,1389225600,"01 9, 2014",2014,90,"['Seen', 'long', 'time', 'started', 'check', 'i', ""'ll"", 'could', 'find', 'did', 'So', 'went', 'got']",N/A
727282,A2PG9LZTXATFYE,B00007EFIK,Pam Bennett,"[0, 0]",Charlie Sheen is beautiful in this movie!,5,Five Stars,1404691200,"07 7, 2014",2014,41,"['Charlie', 'Sheen', 'beautiful', 'movie']",N/A
727283,A3REVHGEV34NS3,B00007EFIK,PINKY,"[0, 1]",I enjoyed this movie thru and thru. Unpredictable and in the land of Los Angeles and Porsches.,4,Wanna take a helluva ride?,1177459200,"04 25, 2007",2007,94,"['enjoyed', 'movie', 'thru', 'thru', 'Unpredictable', 'land', 'Los', 'Angeles', 'Porsches']",N/A
727284,A1Z4HI0OUWRIS4,B00007EFIK,Steve Kanayama,"[1, 3]","This is one of the great action film in 80's.Unfortunately, it only comes with full screen versionand stereo surround. It does not have any extra such asinterview, deleted scines, nor making of.I just have to say ""What were you thinking MGM?And yet now HD DVD and Blue Ray is started taking places so kinda wasting time complaing about it.....NOT!",4,Great fun!,1163635200,"11 16, 2006",2006,347,"['one', 'great', 'action', 'film', ""80's.Unfortunately"", 'only', 'full', 'screen', 'versionand', 'stereo', 'surround', 'not', 'have', 'extra', 'such', 'asinterview', 'deleted', 'scines', 'making', 'of.I', 'just', 'have', 'say', 'What', 'were', 'thinking', 'MGM', 'yet', 'now', 'HD', 'DVD', 'Blue', 'Ray', 'started', 'taking', 'places', 'so', 'kinda', 'wasting', 'time', 'complaing']",N/A
727285,AN6HVTNPEXFON,B00007EFIK,Umizoomi fan,"[0, 0]",This is one of his great movies when he was an actor who didn't just say dirty jokes on a sitcom,5,Charlie Sheen's top 10,1395705600,"03 25, 2014",2014,96,"['one', 'great', 'movies', 'when', 'was', 'actor', 'who', 'did', ""n't"", 'just', 'say', 'dirty', 'jokes', 'sitcom']",N/A
