,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
756824,A313R81OURQLM1,B00009QG5O,Aaron Dean,"[6, 6]",This is absolutely terrific.  I grew up watching this show only in syndication.  It's almost like watching the show for the first time.  The colors and the details are stunning.  Some of these episodes were hacked to bits in syndication and I'm seeing scenes that I have never seen before.  I am also pleased to see that Season 2 is getting the same treatment.  What I'm worried about is that they are going to stop there.  Seasons 3 and 4 are my favorites and they were also hacked up big time on the previous releases.  I remember hearing that Imavision had trouble securing the original footage for seasons 3 and beyond and were only provided with the syndicated versions.  I will breathe a sigh of relief when I have at least 3 and 4 in a beautiful edition like this.,5,Beautiful and cautiously optimistic for future releases.,1395878400,"03 27, 2014",2014,771,"['absolutely', 'terrific', 'grew', 'up', 'watching', 'show', 'only', 'syndication', 'almost', 'watching', 'show', 'first', 'time', 'colors', 'details', 'are', 'stunning', 'episodes', 'were', 'hacked', 'bits', 'syndication', ""'m"", 'seeing', 'scenes', 'have', 'never', 'seen', 'am', 'also', 'pleased', 'see', 'Season', '2', 'getting', 'same', 'treatment', 'What', ""'m"", 'worried', 'about', 'are', 'going', 'stop', 'there', 'Seasons', '3', '4', 'are', 'favorites', 'were', 'also', 'hacked', 'up', 'big', 'time', 'previous', 'releases', 'remember', 'hearing', 'Imavision', 'had', 'trouble', 'securing', 'original', 'footage', 'seasons', '3', 'were', 'only', 'provided', 'syndicated', 'versions', 'will', 'breathe', 'sigh', 'relief', 'when', 'have', 'least', '3', '4', 'beautiful', 'edition']",N/A
756825,A3MV1KKHX51FYT,B00009QG5O,Acute Observer,"[0, 1]","Little House on the Prairie - Season 1The original nine books could never have provided enough material for the nine TV seasons. New stories were created that continued the original characters, as with other TV shows. The real question is: how authentically did they follow the original stories? Some fans of the original books were disappointed by these TV adaptions. Hollywood changes books to condense and simplify them to fit into the allotted time slots and to reach a wider audience. Her books were written in the late 1930s from personal experiences that no historian can match. Laura lost her savings in the Great Depression. An adult who reads Laura's books can see things that a teenager may miss. The economic depression of their era are referenced implicitly. Young Laura would have little knowledge of these problems. An older Laura would have censored events that were not suitable for children's books. Here are the titles of the twenty-four shows.Disc 1.A Harvest of Friends.  Country Girls.The 100-Mile Walk.  Mr. Edwards' Homecoming.Disc 2.The Love of Johnny Johnson.  If I Should Wake Before I Die.Town Party, Country Party.  Ma's Holiday.Disc 3.School Mom.  The Raccoon.The Voice of Tinker Jones.  The Award.Disc 4.The Lord Is My Shepherd - Part 1. The Lord Is My Shepherd - Part 2.Christmas at Plum Creek.  Doctor's Lady.Disc 5.Family Quarrel.  The Circus Man.Plague.  Child of Pain.Disc 6.Money Crop.  Survival.To See the World.  Founder's Day.",5,The Television Series Inspired by the Books,1352073600,"11 5, 2012",2012,1466,"['Little', 'House', 'Prairie', 'Season', '1The', 'original', 'nine', 'books', 'could', 'never', 'have', 'provided', 'enough', 'material', 'nine', 'TV', 'seasons', 'New', 'stories', 'were', 'created', 'continued', 'original', 'characters', 'other', 'TV', 'shows', 'real', 'question', 'how', 'authentically', 'did', 'follow', 'original', 'stories', 'fans', 'original', 'books', 'were', 'disappointed', 'TV', 'adaptions', 'Hollywood', 'changes', 'books', 'condense', 'simplify', 'fit', 'allotted', 'time', 'slots', 'reach', 'wider', 'audience', 'books', 'were', 'written', 'late', '1930s', 'personal', 'experiences', 'historian', 'can', 'match', 'Laura', 'lost', 'savings', 'Great', 'Depression', 'adult', 'who', 'Laura', 'books', 'can', 'see', 'things', 'teenager', 'may', 'miss', 'economic', 'depression', 'era', 'are', 'referenced', 'implicitly', 'Young', 'Laura', 'would', 'have', 'little', 'knowledge', 'problems', 'older', 'Laura', 'would', 'have', 'censored', 'events', 'were', 'not', 'suitable', 'children', 'books', 'Here', 'are', 'titles', 'twenty-four', 'shows.Disc', '1.A', 'Harvest', 'Friends', 'Country', 'Girls.The', '100-Mile', 'Walk', 'Mr.', 'Edwards', 'Homecoming.Disc', '2.The', 'Love', 'Johnny', 'Johnson', 'Should', 'Wake', 'Die.Town', 'Party', 'Country', 'Party', 'Ma', 'Holiday.Disc', '3.School', 'Mom', 'Raccoon.The', 'Voice', 'Tinker', 'Jones', 'Award.Disc', '4.The', 'Lord', 'Is', 'My', 'Shepherd', 'Part', '1', 'Lord', 'Is', 'My', 'Shepherd', 'Part', '2.Christmas', 'Plum', 'Creek', 'Doctor', 'Lady.Disc', '5.Family', 'Quarrel', 'Circus', 'Man.Plague', 'Child', 'Pain.Disc', '6.Money', 'Crop', 'Survival.To', 'See', 'World', 'Founder', 'Day']",N/A
756826,A117W77RMYE0TA,B00009QG5O,"Amazon Customer ""Esther""","[1, 2]","For years, we've waited for the Little House on the Prairie series to come out with sequential episodes!  It's finally happened, and from the people that I know... it's selling like hotcakes!It's about time that they released this series on DVD.  It's not very often you can find a good, solid, family-oriented TV series on DVD.  Most others, there's always a little something that needs to be &quot;shielded&quot; from the eyes and ears of children.  But not so with this series.A great series to be sure, and you can count on me buying every single one of the series as they are released.  A must-see!",5,It's about time...,1073865600,"01 12, 2004",2004,603,"['years', ""'ve"", 'waited', 'Little', 'House', 'Prairie', 'series', 'come', 'out', 'sequential', 'episodes', 'finally', 'happened', 'people', 'know', 'selling', 'hotcakes', 'time', 'released', 'series', 'DVD', 'not', 'very', 'often', 'can', 'find', 'good', 'solid', 'family-oriented', 'TV', 'series', 'DVD', 'Most', 'others', 'always', 'little', 'something', 'be', 'quot', 'shielded', 'quot', 'eyes', 'ears', 'children', 'not', 'so', 'series.A', 'great', 'series', 'be', 'sure', 'can', 'count', 'buying', 'single', 'one', 'series', 'are', 'released', 'must-see']",N/A
756827,A1NPROXGAEEPHD,B00009QG5O,"Amazon Customer ""Mrs. Snowman""","[4, 17]","Don't get me wrong, I love Michael Landon, but he didn't look a THING like the real Pa Ingalls, and I have a big problem with the fact that people think that Little House is his. Truth is it is based on Laura Ingalls Wilder's autobiographical book series. I think that if they were going to make up things that never happened in the books, they should have called the series something different. If you read the books you will find that some of the stuff in the TV episodes has NOTHING to do with Laura's life. I think Landon gets more credit than Laura. It takes away from the true seies too much. Mary never did get married and Jack on the set is a sheepdog instead of a bulldog...I just don't think the TV series always did the books and Laura's legacy justice. Is there ANYONE else who feels the same way I do???",1,Cannot hold a candle to the books,1293753600,"12 31, 2010",2010,816,"['Do', ""n't"", 'get', 'wrong', 'love', 'Michael', 'Landon', 'did', ""n't"", 'look', 'THING', 'real', 'Pa', 'Ingalls', 'have', 'big', 'problem', 'fact', 'people', 'think', 'Little', 'House', 'Truth', 'based', 'Laura', 'Ingalls', 'Wilder', 'autobiographical', 'book', 'series', 'think', 'were', 'going', 'make', 'up', 'things', 'never', 'happened', 'books', 'should', 'have', 'called', 'series', 'something', 'different', 'read', 'books', 'will', 'find', 'stuff', 'TV', 'NOTHING', 'do', 'Laura', 'life', 'think', 'Landon', 'more', 'credit', 'Laura', 'away', 'true', 'seies', 'too', 'much', 'Mary', 'never', 'did', 'get', 'married', 'Jack', 'set', 'sheepdog', 'instead', 'bulldog', 'just', 'do', ""n't"", 'think', 'TV', 'series', 'always', 'did', 'books', 'Laura', 'legacy', 'justice', 'there', 'ANYONE', 'else', 'who', 'feels', 'same', 'way', 'do']",N/A
756828,A14GOIC2XB5CAD,B00009QG5O,"Anthony Chiappette ""chippe01""","[12, 12]","Having bought all seasons of the previously released DVD's, I must say, this release is 1000% percent better.  Full episodes, brilliant clarity and vividness!  They did an excellent remastering job on this set.As everyone is well aware, the initial DVD releases contained visually inferior and cut episodes.  I bought them all, because I loved the series and at least could watch them.  Fuzzy picture, scenes ending abruptly and missing scenes were what plagued the initial releases.  However, this Blu-Ray release corrects all that, at a great price.I am looking forward to the rest of the series being released in this pristine quality. Hopefully, they will continue with this price range.Excellent Job, Lion's Gate!",5,Fantastic!,1395705600,"03 25, 2014",2014,718,"['Having', 'bought', 'seasons', 'previously', 'released', 'DVD', 'must', 'say', 'release', '1000', '%', 'percent', 'better', 'Full', 'brilliant', 'clarity', 'vividness', 'did', 'excellent', 'remastering', 'job', 'set.As', 'everyone', 'well', 'aware', 'initial', 'DVD', 'releases', 'contained', 'visually', 'inferior', 'cut', 'episodes', 'bought', 'loved', 'series', 'least', 'could', 'watch', 'Fuzzy', 'picture', 'scenes', 'ending', 'abruptly', 'missing', 'scenes', 'were', 'what', 'plagued', 'initial', 'releases', 'However', 'Blu-Ray', 'release', 'great', 'price.I', 'am', 'looking', 'forward', 'rest', 'series', 'being', 'released', 'pristine', 'quality', 'Hopefully', 'will', 'continue', 'price', 'range.Excellent', 'Job', 'Lion', 'Gate']",N/A
756829,A84Q0UTM3F6B4,B00009QG5O,A. Queckboerner,"[5, 5]","I've read several reviews that give the quality of the production of the DVD's a bad taste.  I say I have to disagree.  When I watch them on my DVD player, they sound just fine.  Yes, I have noticed that they cut out some of the crucial opening and closing credits and that does get frustrating if you want to figure out who guest starred on the episode you are watching but it's not a big deal to me.  I appreciate that they cut out some of that so that when you watch each episode (each episode is it's own chapter), you get right to the show and don't have to listen to the theme song each time.I just ordered season 2 and I'm looking forward to watching more of this great classic show.My favorite tear jerker shows of season 1 are:Country Girls and The Lord is My ShepherdOther good shows are:School Mom and Child of Pain",5,The best series ever made!,1156550400,"08 26, 2006",2006,826,"[""'ve"", 'read', 'several', 'reviews', 'give', 'quality', 'production', 'DVD', 'bad', 'taste', 'say', 'have', 'disagree', 'When', 'watch', 'DVD', 'player', 'sound', 'just', 'fine', 'Yes', 'have', 'noticed', 'cut', 'out', 'crucial', 'opening', 'closing', 'credits', 'get', 'frustrating', 'want', 'figure', 'out', 'who', 'guest', 'starred', 'episode', 'are', 'watching', 'not', 'big', 'deal', 'appreciate', 'cut', 'out', 'so', 'when', 'watch', 'episode', 'episode', 'own', 'chapter', 'get', 'right', 'show', 'do', ""n't"", 'have', 'listen', 'theme', 'song', 'time.I', 'just', 'ordered', 'season', '2', ""'m"", 'looking', 'forward', 'watching', 'more', 'great', 'classic', 'show.My', 'favorite', 'tear', 'jerker', 'shows', 'season', '1', 'are', 'Country', 'Girls', 'Lord', 'ShepherdOther', 'good', 'shows', 'are', 'School', 'Mom', 'Child', 'Pain']",N/A
756830,A33PBPH27N70XG,B00009QG5O,architecture101,"[0, 0]",i picked up little house about a month ago and have been hooked ever since its such a wonderful show the writing and acting is so well done for its time and is perfect for families anyone who has children i would highly recommend it not only is it a good show to watch but can teach us lessons on many different subjects highly recommended!!walmart has been selling 2 seasons together for $20 a really good deal so far ive seen 1/2 3/4 5/6 seasons together,5,one of the best family shows!,1271721600,"04 20, 2010",2010,456,"['i', 'picked', 'up', 'little', 'house', 'month', 'ago', 'have', 'been', 'hooked', 'ever', 'wonderful', 'show', 'writing', 'acting', 'so', 'well', 'done', 'time', 'perfect', 'families', 'anyone', 'who', 'children', 'i', 'would', 'highly', 'recommend', 'not', 'only', 'good', 'show', 'watch', 'can', 'teach', 'lessons', 'many', 'different', 'subjects', 'highly', 'recommended', 'walmart', 'been', 'selling', '2', 'seasons', 'together', '20', 'really', 'good', 'deal', 'so', 'far', 'ive', 'seen', '1/2', '3/4', '5/6', 'seasons', 'together']",N/A
756831,A1T9PJBFBFKSGD,B00009QG5O,Auburn Niewiadomski,"[1, 1]","Little House on the Prairie was great from the very beginning, and I absolutely loved season one. Since I was born in 1995 I had only been able to see re-runs on television but to find out the entire season one was on DVD was a thrill for me. I watched this with my whole family and we had a blast, but despite my immense fondness for this show, I can't give it a five star rating, why is that? Just read below.This collector's edition set includes all twenty-three episodes of season one but mentioned by numerous reviewers, certain scenes have been edited which may cause a major frustration to hardcore fans. But to newcomers, or the many that watched the re-runs, this probably won't be too big a problem. Another problem mentioned by reviewers is the restoration of the film; there are still some scenes with a mass amount of grainy and dirty film that takes away from the program. Now in the pamphlet these problems are explained, ""This special collector's edition was compiled using the best masters available and restored using state-of-the art color correction, picture enhancement and noise reduction technologies. Every effort has been made to include all available scenes of each episode while producing the highest quality DVD's possible. Due to the vintage nature of the material used, you may on occasion, notice slight audio or video glitches."" (Just saying, edited scenes and grainy footage will still be a problem on almost all of these releases from NBC Home Entertainment, so don't expect much better in the next releases.) But I'm not entirely convinced that they tried there hardest, take the Andy Griffith Show for example, that show was filmed outdoors and the image looks fantastic on DVD and that show began a decade before Little House, but put these issues aside and this set can be a pleasant purchase.It may not seem like it, but I am impressed with certain aspects of this release. The packaging is excellent mind you; there are some nice photographs of Michael, Karen and Melissa on the inside and the discs have nice photos as well. Another nice item is the included pamphlet which includes episode synopsis (there are major spoilers in them if it's your first time watching) and additional information. I was still a little disappointed about the lack of bonus material, no interviews, no outtakes, zip, wilch, nothing. Oh...uh there are character profiles and a quiz...these honestly are extremely uninteresting, I just think this section of the release could have been so much better. But am I forgetting something??? Ah yes! The shows itself, there are so many fantastic episodes, and you feel so many emotions from one episode to the next, a good feeling of ""there's still hope for humanity"" comes in the first episode ""A Harvest of Friends"" and you may get a good cry in the extremely emotional tearjerker ""the Plague"" or get a laugh in ""Mr. Edwards' Homecoming"" and feel moments of anger in ""Country Girls."" There's something for everybody and season one has a great variety of episodes, and they are all unique thanks to the brilliant directing, writing and of course, acting.These releases do have their faults, but they're still highly recommended to anyone who wants to relax, lay back and remember these times when everything was just a little bit...simpler.",4,Little House on the Prairie - Season One,1216252800,"07 17, 2008",2008,3303,"['Little', 'House', 'Prairie', 'was', 'great', 'very', 'beginning', 'absolutely', 'loved', 'season', 'one', 'was', 'born', '1995', 'had', 'only', 'been', 'able', 'see', 're-runs', 'television', 'find', 'out', 'entire', 'season', 'one', 'was', 'DVD', 'was', 'thrill', 'watched', 'whole', 'family', 'had', 'blast', 'immense', 'fondness', 'show', 'ca', ""n't"", 'give', 'five', 'star', 'rating', 'why', 'Just', 'read', 'below.This', 'collector', 'edition', 'set', 'twenty-three', 'episodes', 'season', 'one', 'mentioned', 'numerous', 'reviewers', 'certain', 'scenes', 'have', 'been', 'edited', 'may', 'cause', 'major', 'frustration', 'hardcore', 'fans', 'newcomers', 'many', 'watched', 're-runs', 'probably', 'wo', ""n't"", 'be', 'too', 'big', 'problem', 'problem', 'mentioned', 'reviewers', 'restoration', 'film', 'are', 'still', 'scenes', 'mass', 'amount', 'grainy', 'dirty', 'film', 'away', 'program', 'Now', 'pamphlet', 'problems', 'are', 'explained', 'special', 'collector', 'edition', 'was', 'compiled', 'using', 'best', 'masters', 'available', 'restored', 'using', 'state-of-the', 'art', 'color', 'correction', 'picture', 'enhancement', 'noise', 'reduction', 'technologies', 'effort', 'been', 'made', 'include', 'available', 'scenes', 'episode', 'producing', 'highest', 'quality', 'DVD', 'possible', 'Due', 'vintage', 'nature', 'material', 'used', 'may', 'occasion', 'notice', 'slight', 'audio', 'video', 'glitches', 'Just', 'saying', 'edited', 'scenes', 'grainy', 'footage', 'will', 'still', 'be', 'problem', 'almost', 'releases', 'NBC', 'Home', 'Entertainment', 'so', 'do', ""n't"", 'expect', 'much', 'better', 'next', 'releases', ""'m"", 'not', 'entirely', 'convinced', 'tried', 'hardest', 'take', 'Andy', 'Griffith', 'Show', 'example', 'show', 'was', 'filmed', 'outdoors', 'image', 'fantastic', 'DVD', 'show', 'began', 'decade', 'before', 'Little', 'House', 'put', 'issues', 'aside', 'set', 'can', 'be', 'pleasant', 'purchase.It', 'may', 'not', 'seem', 'am', 'impressed', 'certain', 'aspects', 'release', 'packaging', 'excellent', 'mind', 'are', 'nice', 'photographs', 'Michael', 'Karen', 'Melissa', 'inside', 'discs', 'have', 'nice', 'photos', 'as', 'well', 'nice', 'item', 'included', 'pamphlet', 'episode', 'synopsis', 'are', 'major', 'spoilers', 'first', 'time', 'watching', 'additional', 'information', 'was', 'still', 'little', 'disappointed', 'lack', 'bonus', 'material', 'interviews', 'outtakes', 'zip', 'wilch', 'nothing', 'Oh', 'uh', 'are', 'character', 'profiles', 'quiz', 'honestly', 'are', 'extremely', 'uninteresting', 'just', 'think', 'section', 'release', 'could', 'have', 'been', 'so', 'much', 'better', 'am', 'forgetting', 'something', 'Ah', 'yes', 'shows', 'are', 'so', 'many', 'fantastic', 'episodes', 'feel', 'so', 'many', 'emotions', 'one', 'episode', 'next', 'good', 'feeling', 'still', 'hope', 'humanity', 'first', 'episode', 'Harvest', 'Friends', 'may', 'get', 'good', 'cry', 'extremely', 'emotional', 'tearjerker', 'Plague', 'get', 'laugh', 'Mr.', 'Edwards', 'Homecoming', 'feel', 'moments', 'anger', 'Country', 'Girls', 'something', 'everybody', 'season', 'one', 'great', 'variety', 'episodes', 'are', 'unique', 'thanks', 'brilliant', 'directing', 'writing', 'course', 'acting.These', 'releases', 'do', 'have', 'faults', ""'re"", 'still', 'highly', 'recommended', 'anyone', 'who', 'relax', 'lay', 'back', 'remember', 'times', 'when', 'everything', 'was', 'just', 'little', 'bit', 'simpler']",N/A
756832,A3R7PQAHD3NZM0,B00009QG5O,Autumn Blues Reviews,"[0, 0]","Restored beautifully, Little House on the Prairie Season One which includes &#34;The Pilot Movie&#34; is now out on Blu-ray and DVD. Released in time to the 40th Anniversary of the original pilot movie which was broadcast on NBC. This series is not only a treat for this new generation but also for those who grew up watching the Ingalls family. This 6-DVD Set +Digital Ultraviolet is a Deluxe Remastered Edition which includes the pilot movie and twenty-four original broadcast length episodes of the premiere season, over 21 hours of content. With better picture and better sound, this version has been restored completely to broadcast length.I was very excited to give Little House on the Prairie Season One restored edition a review. I had watched a few sporadic episodes of this series as a child when the Engels children were older and  really didn't remember much about it. Watching the pilot movie, which is 96 minutes, and  twenty-four original broadcast length episodes of the premiere season and this complete first season has been quite a unique experience. My husband and I watched this together.  He had never watched an episode before but was familiar with the name of the show. He has really enjoyed this show and we are both looking forward to the second season. While some people might turn up their nose at an old show like this as compared to the shows on TV today, we found them quite entertaining and while they may be outdated compared to newer shows, they can still teach life lessons to young and old alike.The picture and sound quality on this 6-DVD Set +Digital Ultraviolet Remastered Edition is really good. I really love the pilot movie and it so nice to see how this series got started. I would totally recommend this version to anyone not wanting to spend the additional money on the Blu-ray edition.",5,Really good sound and picture quality. Totally happy with this edition.,1402876800,"06 16, 2014",2014,1831,"['Restored', 'beautifully', 'Little', 'House', 'Prairie', 'Season', 'One', '34', 'Pilot', 'Movie', '34', 'now', 'out', 'Blu-ray', 'DVD', 'Released', 'time', '40th', 'Anniversary', 'original', 'pilot', 'movie', 'was', 'broadcast', 'NBC', 'series', 'not', 'only', 'treat', 'new', 'generation', 'also', 'who', 'grew', 'up', 'watching', 'Ingalls', 'family', '6-DVD', 'Set', '+Digital', 'Ultraviolet', 'Deluxe', 'Remastered', 'Edition', 'pilot', 'movie', 'twenty-four', 'original', 'broadcast', 'length', 'episodes', 'premiere', 'season', '21', 'hours', 'content', 'better', 'picture', 'better', 'sound', 'version', 'been', 'restored', 'completely', 'broadcast', 'length.I', 'was', 'very', 'excited', 'give', 'Little', 'House', 'Prairie', 'Season', 'One', 'restored', 'edition', 'review', 'had', 'watched', 'few', 'sporadic', 'episodes', 'series', 'child', 'when', 'Engels', 'children', 'were', 'older', 'really', 'did', ""n't"", 'remember', 'much', 'Watching', 'pilot', 'movie', '96', 'minutes', 'twenty-four', 'original', 'broadcast', 'length', 'episodes', 'premiere', 'season', 'complete', 'first', 'season', 'been', 'quite', 'unique', 'experience', 'husband', 'watched', 'together', 'had', 'never', 'watched', 'episode', 'was', 'familiar', 'name', 'show', 'really', 'enjoyed', 'show', 'are', 'looking', 'forward', 'second', 'season', 'people', 'might', 'turn', 'up', 'nose', 'old', 'show', 'compared', 'shows', 'TV', 'today', 'found', 'quite', 'entertaining', 'may', 'be', 'outdated', 'compared', 'newer', 'shows', 'can', 'still', 'teach', 'life', 'lessons', 'young', 'old', 'alike.The', 'picture', 'sound', 'quality', '6-DVD', 'Set', '+Digital', 'Ultraviolet', 'Remastered', 'Edition', 'really', 'good', 'really', 'love', 'pilot', 'movie', 'so', 'nice', 'see', 'how', 'series', 'got', 'started', 'would', 'totally', 'recommend', 'version', 'anyone', 'not', 'wanting', 'spend', 'additional', 'money', 'Blu-ray', 'edition']",N/A
756833,AN34KJZFR4NAE,B00009QG5O,Barb,"[0, 0]","Sometimes sappy does the trick for me and my daughter. Little House on the Prairie is just good, wholesome entertainment. Sometimes acting is all you need&#8212;and all you really want.",4,"Sappy, sure, but also good family fun.",1383177600,"10 31, 2013",2013,185,"['Sometimes', 'sappy', 'trick', 'daughter', 'Little', 'House', 'Prairie', 'just', 'good', 'wholesome', 'entertainment', 'Sometimes', 'acting', 'need', '8212', 'really', 'want']",N/A
