,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
772131,A55CHTKKLTZP4,B0000C1XSR,Barry Brandon,"[5, 6]","I like this movie , great cast with a good story that weaves in and out and makes for a interesting demons from beyond kind of movie. This is a very tame as far as blood, gore and nakedness but the story does not need it.I hate to say it folks the Brits have really been stepping up to the plate with the horror movie genre and I hope they keep them coming.I bought this used off Amazon for around $3.00 and am very happy I did,",3,This will teach you young'uns  to fool around with Ouija boards,1150934400,"06 22, 2006",2006,428,"['like', 'movie', 'great', 'cast', 'good', 'story', 'interesting', 'demons', 'kind', 'movie', 'very', 'tame', 'as', 'far', 'blood', 'gore', 'nakedness', 'story', 'not', 'need', 'it.I', 'hate', 'say', 'Brits', 'have', 'really', 'been', 'stepping', 'up', 'plate', 'horror', 'movie', 'genre', 'hope', 'keep', 'coming.I', 'bought', 'used', 'off', 'Amazon', '3.00', 'am', 'very', 'happy', 'did']",N/A
772132,A3RX54RU8R8OMH,B0000C1XSR,"F. J. Harvey ""Cricket ,country music and a go...","[2, 2]","Eight young people -with about that number of brain cells between them all-while out of their faces on booze ,pills and with what little intelligence they had to start with muddled by the moronic influence of ""rave ""culture ,opt to try out an ouija board for a giggle.Bad mistake my intellectually challenged  friends because they conjure up an Arabian fire demon -a djinn in the Arab vernacular.Now it just turns out that some years earlier the father of one of their number had conjured up that exact same pesky little demon and under its influence had committed murder resulting in his incarceration in a mental institution .The djin wreaks bloody havoc on the group ,to the considerable benefit of the nation's gene pool ,in my view.When people get offed in a horror movie it helps audience sympathy if they are in some way innocent victims but these imbeciles brought it all down on their own head .As people who believe in nothing but their own pleasure they mock things they do not understand and I enjoyed watching them meet their end and was rooting for the djinn.The shallow ,hedonistic nincompoops deserved their fate and reperesnt no great loss to society .Quite what the great Tom Bell who plays the father was doing in this witless farrago of nonsense is beyond me -he was normally very selective about his roles -but his is the only half-way competent performance . the other performances would not have passed muster in akindergarten playAdd a thumping electro soundtrack of mind rotting banality and the result is a movie painful to thje ears as well as the eyesMay I suggest root canal surgery as a less painful alternative to watching this tripe ?For good modern Brit horror try The Descent ,or dog Soldiers",2,Inept on every level,1202256000,"02 6, 2008",2008,1726,"['Eight', 'young', 'people', '-with', 'number', 'brain', 'cells', 'all-while', 'booze', 'pills', 'what', 'little', 'intelligence', 'had', 'start', 'muddled', 'moronic', 'influence', 'rave', 'culture', 'opt', 'try', 'out', 'ouija', 'board', 'giggle.Bad', 'mistake', 'intellectually', 'challenged', 'friends', 'conjure', 'up', 'Arabian', 'fire', 'demon', '-a', 'djinn', 'Arab', 'vernacular.Now', 'just', 'out', 'years', 'earlier', 'father', 'one', 'number', 'had', 'conjured', 'up', 'exact', 'same', 'pesky', 'little', 'demon', 'influence', 'had', 'committed', 'murder', 'resulting', 'incarceration', 'mental', 'institution', '.The', 'djin', 'wreaks', 'bloody', 'havoc', 'group', 'considerable', 'benefit', 'nation', 'gene', 'pool', 'view.When', 'people', 'get', 'offed', 'horror', 'movie', 'audience', 'sympathy', 'are', 'way', 'innocent', 'victims', 'imbeciles', 'brought', 'down', 'own', 'head', '.As', 'people', 'who', 'believe', 'nothing', 'own', 'pleasure', 'mock', 'things', 'do', 'not', 'understand', 'enjoyed', 'watching', 'meet', 'end', 'was', 'rooting', 'djinn.The', 'shallow', 'hedonistic', 'nincompoops', 'deserved', 'fate', 'reperesnt', 'great', 'loss', 'society', '.Quite', 'what', 'great', 'Tom', 'Bell', 'who', 'father', 'was', 'doing', 'witless', 'farrago', 'nonsense', '-he', 'was', 'normally', 'very', 'selective', 'roles', '-but', 'only', 'half-way', 'competent', 'performance', 'other', 'performances', 'would', 'not', 'have', 'passed', 'muster', 'akindergarten', 'playAdd', 'thumping', 'electro', 'soundtrack', 'mind', 'rotting', 'banality', 'result', 'movie', 'painful', 'thje', 'ears', 'as', 'well', 'eyesMay', 'suggest', 'root', 'canal', 'surgery', 'less', 'painful', 'alternative', 'watching', 'tripe', 'good', 'modern', 'Brit', 'horror', 'try', 'Descent', 'dog', 'Soldiers']",N/A
772133,A244CRJ2QSVLZ4,B0000C1XSR,J. B. Hoyos,"[0, 0]","""Long Time Dead"" makes for great late night viewing when the lights are turned out and the white candles are burning.  It has a great cast that includes Lukas Haas of ""While She Was Out,"" a suspenseful musical score provided by Don Davis, and wonderful direction from Marcus Adams (""Octane"").  The plot is well-paced, involves gory deaths, and is very suspenseful.  It is nicely capped by a twist ending that is very downbeat and unforgettable.In London, a group of thrill-seeking college students play with a home made Ouija board consisting of a glass surrounded by pieces of paper with letters of the alphabet and the words ""yes"" and ""no"" scribbled on them.  The game commences and the glass spells out ""ALL DIE.""  Soon, the friends begin experiencing gruesome deaths involving burns.  The survivors learn that a demon has been brought into our world - a powerful Arabian demon of fire known as a Djinn.  They must banish it back to Hell before it kills them all.""Long Time Dead"" is highly recommended for those who enjoy mysterious occult horror.  If demons are your cup of tea, you may want to watch the ""Wishmaster"" series.  These films also have a Djinn, one that grants wishes - wishes the lead to people's horrible deaths.  ""Witchboard,"" starring the gorgeous Tawny Kitaen, also involves the horrible consequences of teens playing with an Ouija board.",4,ALL DIE (Great Occult Horror From Director Marcus Adams),1240358400,"04 22, 2009",2009,1360,"['Long', 'Time', 'Dead', 'great', 'late', 'night', 'viewing', 'when', 'lights', 'are', 'turned', 'out', 'white', 'candles', 'are', 'burning', 'great', 'cast', 'Lukas', 'Haas', 'Was', 'Out', 'suspenseful', 'musical', 'score', 'provided', 'Don', 'Davis', 'wonderful', 'direction', 'Marcus', 'Adams', 'Octane', 'plot', 'well-paced', 'gory', 'deaths', 'very', 'suspenseful', 'nicely', 'capped', 'twist', 'ending', 'very', 'downbeat', 'unforgettable.In', 'London', 'group', 'thrill-seeking', 'college', 'students', 'play', 'home', 'made', 'Ouija', 'board', 'consisting', 'glass', 'surrounded', 'pieces', 'paper', 'letters', 'alphabet', 'words', 'yes', 'scribbled', 'game', 'commences', 'glass', 'out', 'DIE', 'Soon', 'friends', 'begin', 'experiencing', 'gruesome', 'deaths', 'involving', 'burns', 'survivors', 'learn', 'demon', 'been', 'brought', 'world', 'powerful', 'Arabian', 'demon', 'fire', 'known', 'Djinn', 'must', 'banish', 'back', 'Hell', 'Long', 'Time', 'Dead', 'highly', 'recommended', 'who', 'enjoy', 'mysterious', 'occult', 'horror', 'demons', 'are', 'cup', 'tea', 'may', 'want', 'watch', 'Wishmaster', 'series', 'films', 'also', 'have', 'Djinn', 'one', 'lead', 'people', 'horrible', 'deaths', 'Witchboard', 'starring', 'gorgeous', 'Tawny', 'Kitaen', 'also', 'horrible', 'consequences', 'teens', 'playing', 'Ouija', 'board']",N/A
772134,A19V0VJMKKRMC8,B0000C1XSR,"jj ""Justin""","[4, 5]",I was searching through the older release shelf looking for a fun way to spend $3.00 since the new releases are $3.79 and came across this worthy film. I didn't know it was british luckilly because if I had I would've got something else because this was a really scary flick.,5,good movie,1114300800,"04 24, 2005",2005,275,"['was', 'searching', 'older', 'release', 'shelf', 'looking', 'fun', 'way', 'spend', '3.00', 'new', 'releases', 'are', '3.79', 'came', 'worthy', 'film', 'did', ""n't"", 'know', 'was', 'british', 'luckilly', 'had', 'would', ""'ve"", 'got', 'something', 'else', 'was', 'really', 'scary', 'flick']",N/A
772135,A2FDWH4W7Y151F,B0000C1XSR,John La Rocca,"[2, 4]","I picked up this movie at my local video store cause I thought it could be a sleeper horror pick.  What I got was just the tired out scares many of today's horror movies give you.  You know the friend popping out of nowhere scare, or the mouses making noises scare etc.I always complain that they remake good movies (Planet Of The Apes, Texas Chainsaw Massacre) and never deliever.  Why don't they remake movies that just missed.  &quot;Long Time Dead&quot; was little more then &quot;just missed&quot;, but it had strong potential to be a very good horror film.Plot is a bunch of kids decided to play gjijui (sp?) board.  Of course the spirit or in this case the demon the bring up wants to kill them.  For some reason they could only bring up this deman &quot;Dijin&quot; who is a fire demon and wants to kill all of them.  So what happened to the good ghosts?  Did they get pushed aside by the big bully Dijin Demon? Guess these kids are just unlucky.  So the kids get killed one by one.The ending you could see a mile away.  Why do they continue with these horror movies do this type of ending where you the film watcher is just sitting thinking &quot;Ok, this is going to happen now.&quot;  You want to be suprised, and even the writer and director must have realized that the ending that everyone including Stevie Wonder could have seen coming.Oh well, rent at your own risk.",1,Cliche scares!,1068336000,"11 9, 2003",2003,1381,"['picked', 'up', 'movie', 'local', 'video', 'store', 'cause', 'thought', 'could', 'be', 'sleeper', 'horror', 'pick', 'What', 'got', 'was', 'just', 'tired', 'out', 'scares', 'many', 'today', 'horror', 'movies', 'give', 'know', 'friend', 'popping', 'nowhere', 'scare', 'mouses', 'making', 'noises', 'scare', 'etc.I', 'always', 'complain', 'remake', 'good', 'movies', 'Planet', 'Apes', 'Texas', 'Chainsaw', 'Massacre', 'never', 'deliever', 'Why', 'do', ""n't"", 'remake', 'movies', 'just', 'missed', 'quot', 'Long', 'Time', 'Dead', 'quot', 'was', 'little', 'more', 'then', 'quot', 'just', 'missed', 'quot', 'had', 'strong', 'potential', 'be', 'very', 'good', 'horror', 'film.Plot', 'bunch', 'kids', 'decided', 'play', 'gjijui', 'sp', 'board', 'course', 'spirit', 'case', 'demon', 'bring', 'up', 'kill', 'reason', 'could', 'only', 'bring', 'up', 'deman', 'quot', 'Dijin', 'quot', 'who', 'fire', 'demon', 'kill', 'So', 'what', 'happened', 'good', 'ghosts', 'Did', 'get', 'pushed', 'aside', 'big', 'bully', 'Dijin', 'Demon', 'Guess', 'kids', 'are', 'just', 'unlucky', 'kids', 'get', 'killed', 'one', 'one.The', 'ending', 'could', 'see', 'mile', 'away', 'Why', 'do', 'continue', 'horror', 'movies', 'do', 'type', 'ending', 'where', 'film', 'watcher', 'just', 'sitting', 'thinking', 'quot', 'Ok', 'going', 'happen', 'now.', 'quot', 'want', 'be', 'suprised', 'even', 'writer', 'director', 'must', 'have', 'realized', 'ending', 'everyone', 'including', 'Stevie', 'Wonder', 'could', 'have', 'seen', 'coming.Oh', 'well', 'rent', 'own', 'risk']",N/A
772136,A2Y8NGYAE9RHQ5,B0000C1XSR,Joseph P. Weber,"[5, 6]","This movie focuses on a group of friends that, while playing with a homemade Ouija board, release an evil djinn.  The Ouija board first reveals to the friends that they all will die.  And then they start getting killed off one by one.There are many aspects of this horror flick that work well enough to make it a fun scary movie.  The director does a good job of using the proper elements of suspense so that the movie offers several spine tingling moments.  Too many modern day horror movies use just blood and gore in attempts to scare the viewer; this movie goes beyond that.  The director uses interesting camera angles, mood setting lighting techniques, and an eerie sound track all to keep the feeling of suspense alive throughout the movie.The reason this movie only gets three stars is because the acting is slightly below par and oftentimes the script just does not make any sense.  The characters' motivations and actions are just not believable.  For instance, characters that are afraid of something dark coming after them keep going into dark rooms and not turning on any lights.  The characters keep saying they need to stay together to remain safe, but keep splitting up (and then going into dark rooms and not turning on any lights).  Moreover, much of the movie is quite predictable -- the ending in particular.That being said, if you want a light-fare horror movie that does actually have some workable suspense, this movie is worth your time.  You won't get Hitchcock, but you will get something that utilizes suspenseful film making beyond that of the usual Freddy or Jason fare.",3,Fun thrills and chills,1110931200,"03 16, 2005",2005,1599,"['movie', 'group', 'friends', 'playing', 'homemade', 'Ouija', 'board', 'release', 'evil', 'djinn', 'Ouija', 'board', 'first', 'friends', 'will', 'die', 'then', 'start', 'getting', 'killed', 'off', 'one', 'are', 'many', 'aspects', 'horror', 'flick', 'work', 'well', 'enough', 'make', 'fun', 'scary', 'movie', 'director', 'good', 'job', 'using', 'proper', 'elements', 'suspense', 'movie', 'several', 'spine', 'tingling', 'moments', 'Too', 'many', 'modern', 'day', 'horror', 'movies', 'use', 'just', 'blood', 'gore', 'attempts', 'scare', 'viewer', 'movie', 'director', 'interesting', 'camera', 'angles', 'mood', 'setting', 'lighting', 'techniques', 'eerie', 'sound', 'track', 'keep', 'feeling', 'suspense', 'alive', 'movie.The', 'reason', 'movie', 'only', 'three', 'stars', 'acting', 'slightly', 'par', 'script', 'just', 'not', 'make', 'sense', 'characters', 'motivations', 'actions', 'are', 'just', 'not', 'believable', 'instance', 'characters', 'are', 'afraid', 'something', 'dark', 'coming', 'keep', 'going', 'dark', 'rooms', 'not', 'turning', 'lights', 'characters', 'keep', 'saying', 'need', 'stay', 'together', 'remain', 'safe', 'keep', 'splitting', 'up', 'then', 'going', 'dark', 'rooms', 'not', 'turning', 'lights', 'Moreover', 'much', 'movie', 'quite', 'predictable', 'ending', 'particular.That', 'being', 'said', 'want', 'light-fare', 'horror', 'movie', 'actually', 'have', 'workable', 'suspense', 'movie', 'time', 'wo', ""n't"", 'get', 'Hitchcock', 'will', 'get', 'something', 'suspenseful', 'film', 'making', 'usual', 'Freddy', 'Jason', 'fare']",N/A
772137,A2HUWQ92EQWDZ6,B0000C1XSR,K. Jones,"[0, 0]","I really liked this movie, I remembered I saw it on cable TV and thought it was pretty good. I missed the first 15 minites of it so I looked for it on Amazon and ordered it and was not disappointed. It had a good plot and everyoneturned in a good performance. Neat special effects and I liked the characters alot. I hope it comes on cable againit's been 4yrs sense I saw it on cable . I recommend this movie to horror fans. The british accents blended well with the characters.",5,Long Time dead / horror,1329091200,"02 13, 2012",2012,477,"['really', 'liked', 'movie', 'remembered', 'saw', 'cable', 'TV', 'thought', 'was', 'pretty', 'good', 'missed', 'first', '15', 'minites', 'looked', 'Amazon', 'ordered', 'was', 'not', 'disappointed', 'had', 'good', 'plot', 'everyoneturned', 'good', 'performance', 'Neat', 'special', 'effects', 'liked', 'characters', 'alot', 'hope', 'cable', 'againit', 'been', '4yrs', 'sense', 'saw', 'cable', 'recommend', 'movie', 'horror', 'fans', 'british', 'accents', 'blended', 'well', 'characters']",N/A
772138,A3G602Z4DWDZKS,B0000C1XSR,Matthew King,"[5, 5]","Long Time Dead is a British slasher film that contains many staple horror clich&eacute;s such as Ouija boards, witchcraft and Satanism but for some reason I never seem to tire of these types of horror movies, many seem to make for fascinatingly dark and morbid films.The plot is pretty simple, involving a gang of twenty-somethings who go to a rave to party-hardy.  While sitting on the couches in the chillout room, one of the guys dares the rest to give his Ouija board a spin, as he says it's the scariest experience he's ever had.  While messing around with the Ouija board, the gang manage to summon the spirit of an evil Djinn, an Arabian fire demon whose spirit was last summoned in 1979 Morocco.  You know what happens next-our young marauders get picked off one by one by one...This film plays it straight and tries to be seriously scary and actually succeeds in parts.  There's eerie music throughout, jittery camerawork and a score of creepy locales at dusk.  The enemy is never seen, only felt, adding to the mystique and making this somewhat a horror-mystery hybrid.  When I picked this up I was expecting a cheap-looking straight-to-vid slasher style but this movie actually looks quite slick, is decently budgeted and has somewhat competent actors.  I'm guessing this might even have had a box office run in Britain.Unfortunately the film has quite a few problems.  I didn't like how the group happened to summon up an evil Djinn their very first time together on the Ouija board.  I mean, none of them except for one was actually taking it seriously or believed in it but it worked right away? Come on...And the characters were quite an unlikeable lot, youngsters with cookie-cutter thin personalities who spend their entire time on screen partying, snorting drugs, drinking and just acting like dorks in general.  There were way too many central characters involved, I actually felt like I needed to keep a scorecard to know what was going on.Really, the movie is like a 3-phase wave. 1st half hour decent, 2nd half hour insufferable, 3rd half hour decent again.  I do recommend this film as a one-shot viewing to the experienced horror movie viewer who can make due with highs and lows in a film.  Despite its problems I still liked it.  Guess I'll always be a sucker for those witchcraft cum Satanism cum voodoo type horror movies.",3,"Raves, Babes and Ouija boards-Oh Yeah!!!!",1087603200,"06 19, 2004",2004,2350,"['Long', 'Time', 'Dead', 'British', 'slasher', 'film', 'many', 'staple', 'horror', 'clich', 'eacute', 's', 'such', 'Ouija', 'boards', 'witchcraft', 'Satanism', 'reason', 'never', 'seem', 'tire', 'types', 'horror', 'movies', 'many', 'seem', 'make', 'fascinatingly', 'dark', 'morbid', 'films.The', 'plot', 'pretty', 'simple', 'involving', 'gang', 'twenty-somethings', 'who', 'go', 'rave', 'party-hardy', 'sitting', 'couches', 'chillout', 'room', 'one', 'guys', 'rest', 'give', 'Ouija', 'board', 'spin', 'scariest', 'experience', 'ever', 'had', 'messing', 'around', 'Ouija', 'board', 'gang', 'manage', 'summon', 'spirit', 'evil', 'Djinn', 'Arabian', 'fire', 'demon', 'spirit', 'was', 'last', 'summoned', '1979', 'Morocco', 'know', 'what', 'next-our', 'young', 'marauders', 'get', 'picked', 'off', 'one', 'one', 'one', 'film', 'straight', 'tries', 'be', 'seriously', 'scary', 'actually', 'parts', 'eerie', 'music', 'jittery', 'camerawork', 'score', 'creepy', 'locales', 'dusk', 'enemy', 'never', 'seen', 'only', 'felt', 'adding', 'mystique', 'making', 'somewhat', 'horror-mystery', 'hybrid', 'When', 'picked', 'up', 'was', 'expecting', 'cheap-looking', 'straight-to-vid', 'slasher', 'style', 'movie', 'actually', 'quite', 'slick', 'decently', 'budgeted', 'somewhat', 'competent', 'actors', ""'m"", 'guessing', 'might', 'even', 'have', 'had', 'box', 'office', 'run', 'Britain.Unfortunately', 'film', 'quite', 'few', 'problems', 'did', ""n't"", 'like', 'how', 'group', 'happened', 'summon', 'up', 'evil', 'Djinn', 'very', 'first', 'time', 'together', 'Ouija', 'board', 'mean', 'none', 'one', 'was', 'actually', 'taking', 'seriously', 'believed', 'worked', 'right', 'away', 'Come', 'characters', 'were', 'quite', 'unlikeable', 'lot', 'youngsters', 'cookie-cutter', 'thin', 'personalities', 'who', 'spend', 'entire', 'time', 'screen', 'partying', 'snorting', 'drugs', 'drinking', 'just', 'acting', 'dorks', 'general', 'were', 'way', 'too', 'many', 'central', 'characters', 'involved', 'actually', 'felt', 'needed', 'keep', 'scorecard', 'know', 'what', 'was', 'going', 'on.Really', 'movie', '3-phase', 'wave', '1st', 'half', 'hour', 'decent', '2nd', 'half', 'hour', 'insufferable', '3rd', 'half', 'hour', 'decent', 'again', 'do', 'recommend', 'film', 'one-shot', 'viewing', 'experienced', 'horror', 'movie', 'viewer', 'who', 'can', 'make', 'due', 'highs', 'lows', 'film', 'problems', 'still', 'liked', 'Guess', ""'ll"", 'always', 'be', 'sucker', 'witchcraft', 'cum', 'Satanism', 'cum', 'voodoo', 'type', 'horror', 'movies']",N/A
772139,A2Z7JIGRSK4691,B0000C1XSR,M. B. Richardson,"[3, 4]","I was'nt expecting much from this film when i first bought it - good British films are few and far between these days - but i was pleasantly surprised how well acted with a fairly good suspensful storyline existed . Unlike many American films , the characters were not all ""beautiful"" , cardboard and constantly having sex in every room !This is the second time i have bought a British made horror this year on DVD and been PLEASANTLY SURPRISED with both - the other was ""Shaun of the Dead"" (AVAILABLE now in Britain on DVD)- ones to certainly miss were ""Dog Soldiers"" & ""28 days later"" - ignore all the reviews about this film - it is ceratinly worth seeing !",4,Not A Bad British Effort !,1099094400,"10 30, 2004",2004,660,"[""was'nt"", 'expecting', 'much', 'film', 'when', 'i', 'first', 'bought', 'good', 'British', 'films', 'are', 'few', 'far', 'days', 'i', 'was', 'pleasantly', 'surprised', 'how', 'well', 'acted', 'fairly', 'good', 'suspensful', 'storyline', 'existed', 'many', 'American', 'films', 'characters', 'were', 'not', 'beautiful', 'cardboard', 'constantly', 'having', 'sex', 'room', 'second', 'time', 'i', 'have', 'bought', 'British', 'made', 'horror', 'year', 'DVD', 'been', 'PLEASANTLY', 'SURPRISED', 'other', 'was', 'Shaun', 'Dead', 'AVAILABLE', 'now', 'Britain', 'DVD', 'ones', 'certainly', 'miss', 'were', 'Dog', 'Soldiers', '28', 'days', 'later', 'ignore', 'reviews', 'film', 'ceratinly', 'worth', 'seeing']",N/A
772140,A82LIVYSX6WZ9,B0000C1XSR,Michael Bolts,"[1, 2]","This is about a group of friends who unlock a door and let out a demon called Djinn, which starts a killing spree, picking off allof them one by one. In the cast are Alec Newman (Tv's Angel, Children Of Dune) and Lukas Haas (Mars Attacks, Boys). It's a bit of this and its a bit of that. The killings are predictable and the girls are so annoying with the screaming. Didnt we get enough of those Djinn a-holes from The Wishmaster movies? A good time for a little bit then it turns into a dry ride. The end is great though. The special effects for the Djinn face as a little bit laughable.",2,beware the ouija board,1091059200,"07 29, 2004",2004,588,"['group', 'friends', 'who', 'unlock', 'door', 'let', 'out', 'demon', 'called', 'Djinn', 'killing', 'spree', 'picking', 'off', 'allof', 'one', 'one', 'cast', 'are', 'Alec', 'Newman', 'Tv', 'Angel', 'Children', 'Dune', 'Lukas', 'Haas', 'Mars', 'Attacks', 'Boys', 'bit', 'bit', 'killings', 'are', 'predictable', 'girls', 'are', 'so', 'annoying', 'screaming', 'Didnt', 'get', 'enough', 'Djinn', 'a-holes', 'Wishmaster', 'movies', 'good', 'time', 'little', 'bit', 'then', 'dry', 'ride', 'end', 'great', 'special', 'effects', 'Djinn', 'face', 'little', 'bit', 'laughable']",N/A
