,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
973530,A1KDHHQRGC1PCN,B000EHSVJG,"2littlemoney ""somuch2buy""","[141, 147]","After suffering DVD bootlegs of these two titles these past years, it was nice to finally get both of these films officially, and on the same disc. I hafta say, the transfer quality is decent and offers crisper viewing of both films if you've only seen VHS transfers-to-DVD courtesy of Ebay as I only had, so I can't really complain.There are definitely parts in both that are  washed out/speckled, but not so much that they're annoying. One of the cool things I appreciate about these Arkoff double features is BOTH FILMS are featured on ONE SIDE of the disc. There's none of that double sided nonsense which ultimately renders one unlucky playing side scuffed over time. Here, the movie art is screened onto the topside of the disc and once in, there's a menu to take you to either film.For me at least, the main reason to watch these films is the monsters in them. The Paul Blaisdell (sp?) shoestring budget, classic monster creations are a pleasure to see despite not being featured as prominantly as this viewer would like. If you have trouble stomaching old-school cheapie monster suits, then stay far away, especially if you're an unshakable CGI accolyte cuz these rubber suits will make your eyes bleed and send you into seizures. But if you grew up on old FAMOUS MONSTERS issues and model kits, you could probably appreciate the creatures at least. The films:""DAY THE WORLD ENDED"": I'd only seen a full frame of this flick, so it was nice to see it letterboxed or whatever that's called. There's parts of the pic's image (the sides, the top & bottom are the same) I'd never seen before in my old copy. The acting throughout is typical 50's...a little....err..... well....ALOT on the melodramatic end, but hey, if you're watching old school flicks, this shouldn't surprise you. I found the father ...the man whose house all of the survivors gravitate to, to be a little grating through most of his performance....in fact there's a point in the film when he demands his daughter basically marry the Richard Denning character to populate the new world which was not only laughable in that 'ooooooh uh uh, no he didn't' kind of way to almost feeling like nails on a chalkboard it is so painful to watch, despite it trying to play as a heartfelt ....uh....heartfelt....uh......anyway.....""THE SHE-CREATURE"": Man...I love the suit design of this monster. Waiting for her to appear makes watching this mostly stilted movie  bearable. I didn't find it as awful as a few people I know....certainly no more awful than other drive in flicks that I get great pleasure suffering through, but it isn't all that great either. The Hypnotist is such an over the top wannabe-all-powerful- villain, he's a pleasure to watch....most of the time. The chick who's under his spell is a 50's hottie, though her innocent victim part got a little grating after a bit, I kept waiting for her to bite her knuckles in typicall 50's fashion. Her 'Hero' was a bit stiff throughout his performance (no pun intended hehe;-) But hey.....remember...it's all about waiting for the monsters.OVERALL: They're drive-in movies from way back-I love this stuff. My friends sometimes wonder why I bother with them. There's a heavy does of nostalgia involved, but there's also the fact that I can spend 30 bucks at a theater these days and still walk out hating the movie. Here, for less than 15 bucks, I get two films...infinite cigarette and bathroom breaks and no one chopping it up on their cell phones one or two seats over. These fall somewhere between PLAN 9 and HOUSE ON HAUNTED HILL in viewability if that tells you anything. For the price, they're definitely worth it. Now when does INVASION OF THE SAUCERMEN come out??????NOTE: I give this entire package 4 stars for being a double feature and a value at its price. I'd give each film a 3 on their own. Since these are supposed to be reviews of the PRODUCT as well as films, I needed to take that into account. So don't none o' ya'll email me screaming about how awful you thought the films were but bought it because you expected a 4-star feature...lol!!!;-)",4,DOUBLE DOSE OF CLASSIC B-MONSTERS-Price? CHEAP!!!,1145750400,"04 23, 2006",2006,4085,"['suffering', 'DVD', 'bootlegs', 'two', 'titles', 'past', 'years', 'was', 'nice', 'finally', 'get', 'films', 'officially', 'same', 'disc', 'hafta', 'say', 'transfer', 'quality', 'decent', 'crisper', 'viewing', 'films', ""'ve"", 'only', 'seen', 'VHS', 'transfers-to-DVD', 'courtesy', 'Ebay', 'only', 'had', 'ca', ""n't"", 'really', 'complain.There', 'are', 'definitely', 'parts', 'are', 'washed', 'out/speckled', 'not', 'so', 'much', ""'re"", 'annoying', 'One', 'cool', 'things', 'appreciate', 'Arkoff', 'double', 'features', 'BOTH', 'FILMS', 'are', 'featured', 'ONE', 'SIDE', 'disc', 'none', 'double', 'sided', 'nonsense', 'ultimately', 'one', 'unlucky', 'playing', 'side', 'scuffed', 'time', 'Here', 'movie', 'art', 'screened', 'topside', 'disc', 'once', 'menu', 'take', 'film.For', 'least', 'main', 'reason', 'watch', 'films', 'monsters', 'Paul', 'Blaisdell', 'sp', 'shoestring', 'budget', 'classic', 'monster', 'creations', 'are', 'pleasure', 'see', 'not', 'being', 'featured', 'as', 'prominantly', 'viewer', 'would', 'like', 'have', 'trouble', 'stomaching', 'old-school', 'cheapie', 'monster', 'suits', 'then', 'stay', 'far', 'away', 'especially', ""'re"", 'unshakable', 'CGI', 'accolyte', 'cuz', 'rubber', 'suits', 'will', 'make', 'eyes', 'bleed', 'send', 'seizures', 'grew', 'up', 'old', 'FAMOUS', 'MONSTERS', 'issues', 'model', 'kits', 'could', 'probably', 'appreciate', 'creatures', 'least', 'films', 'THE', 'WORLD', 'ENDED', ""'d"", 'only', 'seen', 'full', 'frame', 'flick', 'was', 'nice', 'see', 'letterboxed', 'called', 'parts', 'pic', 'image', 'sides', 'top', 'bottom', 'are', 'same', ""'d"", 'never', 'seen', 'old', 'copy', 'acting', 'typical', '50', 'little', '.err', '..', 'well', '.ALOT', 'melodramatic', 'end', 'hey', ""'re"", 'watching', 'old', 'school', 'flicks', 'should', ""n't"", 'surprise', 'found', 'father', 'man', 'house', 'survivors', 'gravitate', 'be', 'little', 'grating', 'most', 'performance', '.in', 'fact', 'point', 'film', 'when', 'daughter', 'basically', 'Richard', 'Denning', 'character', 'populate', 'new', 'world', 'was', 'not', 'only', 'laughable', ""'ooooooh"", 'uh', 'uh', 'did', ""n't"", 'kind', 'way', 'almost', 'feeling', 'nails', 'chalkboard', 'so', 'painful', 'watch', 'trying', 'play', 'heartfelt', '.uh', '.heartfelt', '.uh', 'anyway', '..', 'SHE-CREATURE', 'Man', 'love', 'suit', 'design', 'monster', 'Waiting', 'appear', 'watching', 'mostly', 'stilted', 'movie', 'bearable', 'did', ""n't"", 'find', 'as', 'awful', 'few', 'people', 'know', '.certainly', 'more', 'awful', 'other', 'drive', 'flicks', 'get', 'great', 'pleasure', 'suffering', ""n't"", 'great', 'Hypnotist', 'such', 'top', 'wannabe-all-powerful-', 'villain', 'pleasure', 'watch', '.most', 'time', 'chick', 'who', 'spell', '50', 'hottie', 'innocent', 'victim', 'part', 'got', 'little', 'grating', 'bit', 'kept', 'waiting', 'bite', 'knuckles', '50', 'fashion', ""'Hero"", 'was', 'bit', 'stiff', 'performance', 'pun', 'intended', 'hehe', 'hey', '..remember', 'waiting', 'monsters.OVERALL', ""'re"", 'drive-in', 'movies', 'way', 'back-I', 'love', 'stuff', 'friends', 'sometimes', 'wonder', 'why', 'bother', 'heavy', 'nostalgia', 'involved', 'also', 'fact', 'can', 'spend', '30', 'bucks', 'theater', 'days', 'still', 'walk', 'hating', 'movie', 'Here', 'less', '15', 'bucks', 'get', 'two', 'films', 'infinite', 'cigarette', 'bathroom', 'breaks', 'one', 'chopping', 'up', 'cell', 'one', 'two', 'seats', 'fall', 'somewhere', 'PLAN', '9', 'HOUSE', 'ON', 'HAUNTED', 'HILL', 'viewability', 'anything', 'price', ""'re"", 'definitely', 'worth', 'Now', 'when', 'INVASION', 'THE', 'SAUCERMEN', 'come', 'out', 'NOTE', 'give', 'entire', 'package', '4', 'stars', 'being', 'double', 'feature', 'value', 'price', ""'d"", 'give', 'film', '3', 'own', 'are', 'supposed', 'be', 'reviews', 'PRODUCT', 'as', 'well', 'films', 'needed', 'take', 'account', 'So', 'do', ""n't"", 'none', 'o', 'ya', ""'ll"", 'email', 'screaming', 'how', 'awful', 'thought', 'films', 'were', 'bought', 'expected', '4-star', 'feature', 'lol']",Day the World Ended / The She-Creature
973531,A2VMT89TCSF105,B000EHSVJG,"Ashtar Command ""Seeker""","[0, 0]","Spoiler warning...sort of""The Day the World Ended"" from 1955 is a low-budget production signed Roger Corman. Who else? A diverse group of people are trying to cope with nuclear war, mutants and each other, isolated in a remote house in the woods. One of the newcomers turns out to be a gangster, while another is slowly turning into an evolutionary novelty, complete with three eyes and really huge claws... Well, you get the picture.Since ""The Day the World Ended"" was done before the sexual revolution, the most we see of sex is a ""classical"" scene with two women bathing in old fashioned swimsuits which show very little, while The Monster is spying on them. There is also a ""striptease"" with very little stripping!The gangster is shot at the end, all radioactivity is washed away by the rain, and so is the zombified monster-man (!). The heroes get in touch with other survivors by ham radio, and we can all start over again. Until the next cyclical Kali Yuga, I suppose. For, according to our man Corman, ""the end is the beginning"".  Not *as* bad as I supposed, but hardly a good movie either. Only two stars.",2,"Go to your room, Louise",1389916800,"01 17, 2014",2014,1114,"['Spoiler', 'warning', 'sort', 'Day', 'World', 'Ended', '1955', 'low-budget', 'production', 'signed', 'Roger', 'Corman', 'Who', 'else', 'A', 'diverse', 'group', 'people', 'are', 'trying', 'cope', 'nuclear', 'war', 'mutants', 'other', 'isolated', 'remote', 'house', 'woods', 'One', 'newcomers', 'out', 'be', 'gangster', 'slowly', 'turning', 'evolutionary', 'novelty', 'complete', 'three', 'eyes', 'really', 'huge', 'claws', 'Well', 'get', 'picture.Since', 'Day', 'World', 'Ended', 'was', 'done', 'sexual', 'revolution', 'most', 'see', 'sex', 'classical', 'scene', 'two', 'women', 'bathing', 'old', 'fashioned', 'swimsuits', 'show', 'very', 'little', 'Monster', 'spying', 'also', 'striptease', 'very', 'little', 'stripping', 'gangster', 'shot', 'end', 'radioactivity', 'washed', 'away', 'rain', 'so', 'zombified', 'monster-man', 'heroes', 'get', 'touch', 'other', 'survivors', 'ham', 'radio', 'can', 'start', 'over', 'again', 'next', 'cyclical', 'Kali', 'Yuga', 'suppose', 'according', 'man', 'Corman', 'end', 'beginning', 'Not', '*as*', 'bad', 'supposed', 'hardly', 'good', 'movie', 'Only', 'two', 'stars']",Day the World Ended / The She-Creature
973532,AZAR0EO6NGV7,B000EHSVJG,"Brent Carleton ""Brent Carleton""","[1, 9]","There are many films that would qualify for the list of all time worst, (1972's ""Asylum of Satan"" would be a superb candidate!) This film, however, beggars disbelief.The career of Chester Morris is (like Rudy Vallee's singing), is one of the great mysteries of the entertainment industry. Utterly devoid of discernible acting talent, utterly devoid of charm, he managed, nevertheless, to put to service a jutting jaw, a permanent scowl and an inflexion-less voice in a long motion picture career.That career, was largely over by the time ""She Creature"" was made, as were the careers of co-stars, Tom Conway, and Freida Inescourt.The resulting film, is a mish-mash of re-incarnation, hypnotism and ""Creature From the Black Lagoon"" tropes against production values of ludicrous poverty, (the ""wealthy"" Tom Conway inhabits a beach side home where the paste board interior walls boast sparkle chips, making his office etc. look like the inside of a 1958 Los Angeles Savings and Loan).Not to mention, that the script makes absolutely no sense, the dialog is embarrassing, the acting, (by all concerned, though Lance Fuller comes off best) abysmal, and the whole thing is ponderously dull.No one on the production team seems to have had any idea of what they were doing, (many scenes are under-lit and actors routinely block out the key light of the player with whom they are playing the scene).The final sequence depicts Lance Fuller and Marla English in a nighttime, moon lit garden, where, (absolutely no kidding here) they both cast their shadows on the cyclorama behind them ! You get the general idea. And unlike a bad film redeemed by campiness, (such as one featuring Acquanetta) this has no redeeming qualities.One can only imagine what people like Inescourt thought making this. Given the hypnosis theme here, perhaps she and Conway were hypnotized into believing that it was still the 30's and that they were still at Warner Brothers.You have been warned!",1,Astonishingly bad--don't punish yourself !!!,1282003200,"08 17, 2010",2010,1960,"['are', 'many', 'films', 'would', 'qualify', 'list', 'time', 'worst', '1972', 'Asylum', 'Satan', 'would', 'be', 'superb', 'candidate', 'film', 'however', 'disbelief.The', 'career', 'Chester', 'Morris', 'Rudy', 'Vallee', 'singing', 'one', 'great', 'mysteries', 'entertainment', 'industry', 'Utterly', 'devoid', 'discernible', 'acting', 'talent', 'utterly', 'devoid', 'charm', 'managed', 'nevertheless', 'put', 'service', 'jutting', 'jaw', 'permanent', 'scowl', 'inflexion-less', 'voice', 'long', 'motion', 'picture', 'career.That', 'career', 'was', 'largely', 'time', 'Creature', 'was', 'made', 'were', 'careers', 'co-stars', 'Tom', 'Conway', 'Freida', 'Inescourt.The', 'resulting', 'film', 'mish-mash', 're-incarnation', 'hypnotism', 'Creature', 'Black', 'Lagoon', 'tropes', 'production', 'values', 'ludicrous', 'poverty', 'wealthy', 'Tom', 'Conway', 'beach', 'side', 'home', 'where', 'paste', 'board', 'interior', 'walls', 'boast', 'sparkle', 'chips', 'making', 'office', 'etc', 'look', 'inside', '1958', 'Los', 'Angeles', 'Savings', 'Loan', '.Not', 'mention', 'script', 'absolutely', 'sense', 'dialog', 'embarrassing', 'acting', 'concerned', 'Lance', 'Fuller', 'off', 'best', 'abysmal', 'whole', 'thing', 'ponderously', 'dull.No', 'one', 'production', 'team', 'have', 'had', 'idea', 'what', 'were', 'doing', 'many', 'scenes', 'are', 'under-lit', 'actors', 'routinely', 'block', 'out', 'key', 'light', 'player', 'whom', 'are', 'playing', 'scene', 'final', 'sequence', 'depicts', 'Lance', 'Fuller', 'Marla', 'English', 'nighttime', 'moon', 'lit', 'garden', 'where', 'absolutely', 'kidding', 'here', 'cast', 'shadows', 'cyclorama', 'get', 'general', 'idea', 'bad', 'film', 'redeemed', 'campiness', 'such', 'one', 'featuring', 'Acquanetta', 'redeeming', 'qualities.One', 'can', 'only', 'imagine', 'what', 'people', 'Inescourt', 'thought', 'making', 'Given', 'hypnosis', 'theme', 'here', 'perhaps', 'Conway', 'were', 'hypnotized', 'believing', 'was', 'still', '30', 'were', 'still', 'Warner', 'Brothers.You', 'have', 'been', 'warned']",Day the World Ended / The She-Creature
973533,A3BRSTTSIVF4ZM,B000EHSVJG,"Buyer Bob ""Online Buyer""","[1, 1]","No better or worse than any other 50's Sci-fi.  If you collect this Genre, you might want these.  Typical Drive-in horror movies that are fun for the family. If your family likes simple non-gore, no swearing, no sex, movies, that are good for Family nite Fright nite movie fests.  They are also fun to have a few laughs at the Drive-in Horror Genre of the 50's.",3,50's Sci-fi,1327708800,"01 28, 2012",2012,361,"['better', 'worse', 'other', '50', 'Sci-fi', 'collect', 'Genre', 'might', 'want', 'Typical', 'Drive-in', 'horror', 'movies', 'are', 'fun', 'family', 'family', 'simple', 'non-gore', 'swearing', 'sex', 'movies', 'are', 'good', 'Family', 'nite', 'Fright', 'nite', 'movie', 'fests', 'are', 'also', 'fun', 'have', 'few', 'laughs', 'Drive-in', 'Horror', 'Genre', '50']",Day the World Ended / The She-Creature
973534,ADFJMD98M5HLM,B000EHSVJG,C. Andrews,"[0, 1]","Regarding The Day The World Ended, if the effects of radioactivity were given consistently, and they'd left the rapid monster mutation in three weeks out of it,  this might have been another interesting story of a motley group of people waiting out the fallout from a holocaust.  If the surrounding bowl of hills really did contain lead ore, the water would probably be too dangerous to drink for that reason alone, however.The She Creature is a fantasy mood piece.",2,"Decent production values, but poor end of the world story",1337385600,"05 19, 2012",2012,465,"['Regarding', 'Day', 'World', 'Ended', 'effects', 'radioactivity', 'were', 'given', 'consistently', ""'d"", 'left', 'rapid', 'monster', 'mutation', 'three', 'weeks', 'might', 'have', 'been', 'interesting', 'story', 'motley', 'group', 'people', 'waiting', 'out', 'fallout', 'holocaust', 'surrounding', 'bowl', 'hills', 'really', 'did', 'contain', 'lead', 'ore', 'water', 'would', 'probably', 'be', 'too', 'dangerous', 'drink', 'reason', 'alone', 'Creature', 'fantasy', 'mood', 'piece']",Day the World Ended / The She-Creature
973535,A551XY0L7WQXU,B000EHSVJG,Cecy,"[0, 0]","Had seen both of these CENTURIES AGO (ha), but didn't remember. The 3 stars are for effort.  Clear pix, good sound.  Bit hokey, but I knew that before I ordered.  She Creature best of the 2.  Seller seems very OK.Cecy",3,Day World Ended/The She-Creature,1351814400,"11 2, 2012",2012,217,"['Had', 'seen', 'CENTURIES', 'AGO', 'ha', 'did', ""n't"", 'remember', '3', 'stars', 'are', 'effort', 'Clear', 'pix', 'good', 'sound', 'Bit', 'hokey', 'knew', 'ordered', 'Creature', 'best', '2', 'Seller', 'very', 'OK.Cecy']",Day the World Ended / The She-Creature
973536,A2BC9TW5GO4XJR,B000EHSVJG,Celia DLF,"[1, 1]",Great double feature of 1950's horror films.  I remember watching these two on television back in the 1970's and I always enjoyed them.  Glad to see them released on DVD.  The quality is great.  Day the Word Ended is a good 'after the bombs drop' 1950's idea of a group of survivors trying to battle the new dangers and each other.  Great creepy monster.  The She Creature is spooky and moody with another great monster.,5,Day the World Ended / The She Creature,1376179200,"08 11, 2013",2013,420,"['Great', 'double', 'feature', '1950', 'horror', 'films', 'remember', 'watching', 'two', 'television', 'back', '1970', 'always', 'enjoyed', 'Glad', 'see', 'released', 'DVD', 'quality', 'great', 'Day', 'Word', 'Ended', 'good', ""'after"", 'bombs', 'drop', '1950', 'idea', 'group', 'survivors', 'trying', 'battle', 'new', 'dangers', 'other', 'Great', 'creepy', 'monster', 'Creature', 'spooky', 'moody', 'great', 'monster']",Day the World Ended / The She-Creature
973537,A1U3FRM4VW0ZCT,B000EHSVJG,Creature Feature Fan,"[1, 1]",Day The World Ended Is Classic Corman --- One Of My Personal Favorites ---- Hot Little Blonde ---Silly Lookin Monster ---- But The Message Behind The Movie Is Never Lost ---- Tomorrow Could Suck! --- A Lot ---- Smoke Em If You Got Em ----And The Sleeper Of The Two Movies Is She Creature --- Very Well Done For The Time ---- I Thought It Would Suck But I Was Wrong ---- Lots Of Spookey Mumbo Jumbo Bugaboo Stuff --- The Actors Are Good  For The Most Part ----Well Done Piece In My Opinion For A  --B-- Movie ----- And The Chicks Pretty Hot Too,5,Corman At His Best,1360108800,"02 6, 2013",2013,543,"['Day', 'World', 'Ended', 'Classic', 'Corman', 'One', 'My', 'Personal', 'Favorites', 'Hot', 'Little', 'Blonde', '-Silly', 'Lookin', 'Monster', 'Message', 'Movie', 'Never', 'Lost', 'Tomorrow', 'Could', 'Suck', 'Lot', 'Smoke', 'Em', 'Got', 'Em', 'Sleeper', 'Two', 'Movies', 'Creature', 'Very', 'Well', 'Done', 'Time', 'Thought', 'Would', 'Suck', 'Was', 'Wrong', 'Lots', 'Spookey', 'Mumbo', 'Jumbo', 'Bugaboo', 'Stuff', 'Actors', 'Are', 'Good', 'Most', 'Part', 'Well', 'Done', 'Piece', 'My', 'Opinion', 'A', 'B', 'Movie', 'Chicks', 'Pretty', 'Hot', 'Too']",Day the World Ended / The She-Creature
973538,A2FU0H0NUU2YVS,B000EHSVJG,David L. Hoskins,"[0, 1]","I think these movies are more or less called cult classics.  Entertaining but not spell binding.  Nothing wrong with them, though.",4,Good Ol' Movies,1359072000,"01 25, 2013",2013,130,"['think', 'movies', 'are', 'more', 'less', 'called', 'cult', 'classics', 'Entertaining', 'not', 'spell', 'binding', 'Nothing', 'wrong', 'though']",Day the World Ended / The She-Creature
973539,A4FRRGOBVJ8A5,B000EHSVJG,David S. Graham,"[1, 2]",This is a product review of Day the World Ended / The She-Creature DVD released by Lionsgate.With such B-grade material not warranting a full blown tinsel covered release there are still some things that can be done to make the punters want to buy it. I found the lack of subtitles a concern and although The She-Creature has closed captions they are incompatible with most if not all modern digital TVs so subtitles are preferable.  Of greater concern is the presentation in 1.33:1 full screen when both movies were shot in 2.00:1 and 1.85:1 respectively.  At least present these flicks the way they were shown in the cinemas before homes had TVs.I picked this up for $8.00 which is what it's worth however I wouldn't pay the normal $14 for this release.This is however the only release on DVD so beggars can't be choosers and at least the 2 movies are now on digital format even if in louse full screen. Purists should look out for a widescreen version in the future.I give it 3 stars.,3,Wrong aspect ratio and no subtitles.,1371513600,"06 18, 2013",2013,987,"['product', 'review', 'Day', 'World', 'Ended', 'She-Creature', 'DVD', 'released', 'Lionsgate.With', 'such', 'B-grade', 'material', 'not', 'warranting', 'full', 'blown', 'tinsel', 'covered', 'release', 'are', 'still', 'things', 'can', 'be', 'done', 'make', 'punters', 'want', 'buy', 'found', 'lack', 'subtitles', 'concern', 'She-Creature', 'closed', 'captions', 'are', 'incompatible', 'most', 'not', 'modern', 'digital', 'TVs', 'subtitles', 'are', 'preferable', 'greater', 'concern', 'presentation', '1.33:1', 'full', 'screen', 'when', 'movies', 'were', 'shot', '2.00:1', '1.85:1', 'respectively', 'least', 'present', 'flicks', 'way', 'were', 'shown', 'cinemas', 'homes', 'had', 'TVs.I', 'picked', 'up', '8.00', 'what', 'worth', 'however', 'would', ""n't"", 'pay', 'normal', '14', 'release.This', 'however', 'only', 'release', 'DVD', 'beggars', 'ca', ""n't"", 'be', 'choosers', 'least', '2', 'movies', 'are', 'now', 'digital', 'format', 'even', 'louse', 'full', 'screen', 'Purists', 'should', 'look', 'out', 'widescreen', 'version', 'future.I', 'give', '3', 'stars']",Day the World Ended / The She-Creature
