,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1033835,A1O7Y2ABPDIQ8H,B000KGGIZA,,"[0, 0]",Love the movie dying young! Timeless romantic movie with great acting!,5,A timeless romantic film,1405728000,"07 19, 2014",2014,70,"['Love', 'movie', 'dying', 'young', 'Timeless', 'romantic', 'movie', 'great', 'acting']",N/A
1033836,A203GFDF90DSWD,B000KGGIZA,"Amy L. Roberts ""Movie Buff""","[0, 0]",I love this movie.  I haven't seen Dying Yound yet but I love Sleeping with the Enemy.  I recommend this mover for young + adults not for kids.,5,Sleeping with the Enemy,1394582400,"03 12, 2014",2014,143,"['love', 'movie', 'have', ""n't"", 'seen', 'Dying', 'Yound', 'yet', 'love', 'Sleeping', 'Enemy', 'recommend', 'mover', 'young', '+', 'adults', 'not', 'kids']",N/A
1033837,A2983OP6MDZ1M1,B000KGGIZA,"C. Mathieu ""waldenpond88""","[0, 0]","I've watched all movies that Julia Roberts has made and like most of them, but ""Sleeping with the Enemy"" is by far my favorite Roberts movie.The book by Nancy Price on which ""Sleeping with the Enemy"" is based on is very compelling, too. But there are a few differences between the book and the film. I like the film even more than the novel, but also enjoy reading the novel from time to time.",5,Her Best Film,1306886400,"06 1, 2011",2011,393,"[""'ve"", 'watched', 'movies', 'Julia', 'Roberts', 'made', 'most', 'Sleeping', 'Enemy', 'far', 'favorite', 'Roberts', 'movie.The', 'book', 'Nancy', 'Price', 'Sleeping', 'Enemy', 'based', 'very', 'compelling', 'too', 'are', 'few', 'differences', 'book', 'film', 'film', 'even', 'more', 'novel', 'also', 'enjoy', 'reading', 'novel', 'time', 'time']",N/A
1033838,A3VYDLXJ2F8KM1,B000KGGIZA,Debra A Nolan,"[0, 0]",I love a lot of the old 90s movies especially the ones with Julia Roberts. I would recommend these and I enjoy Campbell Scott.,5,Great 90s Movies,1366416000,"04 20, 2013",2013,126,"['love', 'lot', 'old', '90s', 'movies', 'especially', 'ones', 'Julia', 'Roberts', 'would', 'recommend', 'enjoy', 'Campbell', 'Scott']",N/A
1033839,AJ23UUX3UK1IL,B000KGGIZA,"Diane M. Kilbreath ""dkilbr07""","[0, 0]","Julia Roberts young and at her best.  Sleeping with the Enemy, An edge of your seat thriller.  Dying Young a real tear jerker, with some lite moments.  I love Julia Roberts she is so versatile.",5,excellent!,1293494400,"12 28, 2010",2010,193,"['Julia', 'Roberts', 'young', 'best', 'Sleeping', 'Enemy', 'edge', 'seat', 'thriller', 'Dying', 'Young', 'real', 'tear', 'jerker', 'lite', 'moments', 'love', 'Julia', 'Roberts', 'so', 'versatile']",N/A
1033840,AXMPEQ7QHVBBL,B000KGGIZA,Elizabeth Brown,"[5, 5]","Sleeping With the Enemy is a pretty good movie about an abused wife (Roberts) and her journey out of her marriage.  It has some level of suspense to it.  Dying Young, which I had never heard of before ordering this duo, was actually not bad.  A young man hires a caregiver (Roberts), and a relationship ensues.  It's not edge of your seat excitement, but I found it to be pretty good.  I rate Sleeping With the Enemy with a 4, and Dying Young with a 3.",4,Sleeping With the Enemy/Dying Young,1207353600,"04 5, 2008",2008,452,"['Sleeping', 'Enemy', 'pretty', 'good', 'movie', 'abused', 'wife', 'Roberts', 'journey', 'marriage', 'level', 'suspense', 'Dying', 'Young', 'had', 'never', 'heard', 'before', 'ordering', 'duo', 'was', 'actually', 'not', 'bad', 'young', 'man', 'caregiver', 'Roberts', 'relationship', 'not', 'edge', 'seat', 'excitement', 'found', 'be', 'pretty', 'good', 'rate', 'Sleeping', 'Enemy', '4', 'Dying', 'Young', '3']",N/A
1033841,A14FH8NEDZ6VZX,B000KGGIZA,"Elvira Michelle Sanders ""Hot Mamma 98""","[0, 0]","I really enjoyed both of these movies and I do not particularly like Julia Roberts, but she was great in both of these movies.  They are both tearjerkers, but I loved every minute.",5,LOVE BOTH MOVIES,1379030400,"09 13, 2013",2013,180,"['really', 'enjoyed', 'movies', 'do', 'not', 'particularly', 'Julia', 'Roberts', 'was', 'great', 'movies', 'are', 'tearjerkers', 'loved', 'minute']",N/A
1033842,A2VRO53CM5EP28,B000KGGIZA,ItsMe,"[1, 3]",I bought this item along with another dvd as a gift for my friend's mother. She loves Julia Roberts so I thought it would be a great birthday gift. I ordered the item 2 weeks before her birthday AND SELECTED EXPEDITED SHIPPING and both dvds came after her birthday. I was very upset because this has never happened to me and I shop on Amazon all the time.,1,It Arrived Late,1319241600,"10 22, 2011",2011,355,"['bought', 'item', 'dvd', 'gift', 'friend', 'mother', 'Julia', 'Roberts', 'thought', 'would', 'be', 'great', 'birthday', 'gift', 'ordered', 'item', '2', 'weeks', 'birthday', 'SELECTED', 'EXPEDITED', 'SHIPPING', 'dvds', 'came', 'birthday', 'was', 'very', 'upset', 'never', 'happened', 'shop', 'Amazon', 'time']",N/A
1033843,A2S17FCUAOEIMY,B000KGGIZA,Jamie S. Nurdin,"[0, 0]",sleeping with the enemy is my fav of these 2 movies. Both are worth watching though.Arrived in good shape and played well.,5,good movies,1362441600,"03 5, 2013",2013,122,"['sleeping', 'enemy', 'fav', '2', 'movies', 'are', 'worth', 'watching', 'though.Arrived', 'good', 'shape', 'played', 'well']",N/A
1033844,A1WAGC75ZB7FR1,B000KGGIZA,kaseyatbat,"[0, 0]",Dying Young is weird but it was free.  Sleeping with the Enemy was great.  Quality of dvd great.  No problems with either disc,4,great movie,1301011200,"03 25, 2011",2011,126,"['Dying', 'Young', 'weird', 'was', 'free', 'Sleeping', 'Enemy', 'was', 'great', 'Quality', 'dvd', 'great', 'problems', 'disc']",N/A
