,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1058048,AN17VYRYRCJ9W,B000NO243E,Aussie Viewer,"[16, 19]","I certainly agree with all the other reviews. A complete story, unique imagination, with no ""missing links"" and had that atmosphere of reality which a lot of other ghost type movies lack which makes a huge difference. Would have been nice if the deleted scenes were not deleted, but nevertheless, a brilliant piece of work I reckon that stands out from the others, and concentrating on detail and coherency from start to finish.",5,Very complete,1186790400,"08 11, 2007",2007,428,"['certainly', 'agree', 'other', 'reviews', 'complete', 'story', 'unique', 'imagination', 'missing', 'links', 'had', 'atmosphere', 'reality', 'lot', 'other', 'ghost', 'type', 'movies', 'lack', 'huge', 'difference', 'have', 'been', 'nice', 'deleted', 'scenes', 'were', 'not', 'deleted', 'nevertheless', 'brilliant', 'piece', 'work', 'reckon', 'out', 'others', 'concentrating', 'detail', 'coherency', 'start', 'finish']",Silk
1058049,AIMR915K4YCN,B000NO243E,"Bindy Sue Frnknschtein ""bigfootsalienbaby""","[3, 3]","SILK is a fantastic combination of horror, sci-fi, suspense, tragedy, and some government conspiracy / action-thriller tossed in for added flavor. This is yet another example of asia's inate grasp of all things supernatural and unnerving. The idea of capturing a ghost is interesting enough, but what this movie does w/ that idea is pure genius! I was fascinated and surprised throughout. If you want intriguing terror, and you think that there are no more unusual stories left to be told, then SILK should give you some welcome chills...",5,Dead Eyes...,1247616000,"07 15, 2009",2009,538,"['SILK', 'fantastic', 'combination', 'horror', 'sci-fi', 'suspense', 'tragedy', 'government', 'conspiracy', '/', 'action-thriller', 'tossed', 'added', 'flavor', 'yet', 'example', 'asia', 'inate', 'grasp', 'things', 'supernatural', 'unnerving', 'idea', 'capturing', 'ghost', 'interesting', 'enough', 'what', 'movie', 'w/', 'idea', 'pure', 'genius', 'was', 'fascinated', 'surprised', 'want', 'intriguing', 'terror', 'think', 'are', 'more', 'unusual', 'stories', 'left', 'be', 'told', 'then', 'SILK', 'should', 'give', 'welcome', 'chills']",Silk
1058050,A2OAJ9RNF318VX,B000NO243E,Dwight Delarge,"[1, 1]",The movie arrived in good condition and played flawlessly. Another very very good Horror movie from the Tartan Asian extreme collections,5,SMOOTH AS SILK,1360713600,"02 13, 2013",2013,136,"['movie', 'arrived', 'good', 'condition', 'played', 'flawlessly', 'very', 'very', 'good', 'Horror', 'movie', 'Tartan', 'Asian', 'extreme', 'collections']",Silk
1058051,A2F5PAC9I5SCG6,B000NO243E,Ernest Jagger,"[32, 33]","The film SILK is a very different and creative horror film. I also recommend it highly, especially if you are looking for something different in the horror genre. With a mixture of sci-fi and horror thrown together, SILK is one entertaining film. The story centers around a team of paranormal investigators who are led by one stubborn and heavily driven character in search of life after death. His name is Hashimoto,(Yosuke Eguchi), and he is the leader of this special paranormal research team. I found his particular character great. Hashimoto is a man in search of immortality; but one with a catch, as he tries to unravel the secrets of life after death.Hashimoto recruits a select research team of other investigators, and among these is a police sniper named Tung (Change Chen) who has the ability to read lips. This ability to read lips is of the utmost importance to this group of paranormal researchers, and in particular Hashimoto. Their job? To discover the mystery of a boy who happens to also be a ghost. And this is one malevolent ghost. The film introduces the viewer to what is known as a Menger Sponge. This is where sci-fi meets horror. You see, the Menger Sponge is a special anti-gravity device that can enable the researchers to ensnare ghosts. Moreover, the Menger sponge has been reverted to a liquid spray which allows the researchers to see ghosts.Personally, I found the film fascinating. This is a very different type of horror film. And I always like something different in the horror genre. Also, the acting in this film was very good. Hashimoto's character is great to watch, but the entire film is outstanding. And there are some sad moments to watch in this film as Hashimoto attempts to learn about the afterlife. Further, the character Tung (Chang Chen) gives an extremely good performance, especially when his sick mother is introduced to the film. Chao-Pin Su did a remarkable job with this film, as the writing, cinematography and characters meshed perfectly in this very creative film. I recommend the film SILK, especially for those who like intelligent horror films. The film delivers good horror and drama, and does so in an entertaining way. Highly recommended. [Stars: 4.5]",4,Intelligent And Creative Sci-Fi Horror Film!,1186012800,"08 2, 2007",2007,2217,"['film', 'SILK', 'very', 'different', 'creative', 'horror', 'film', 'also', 'recommend', 'highly', 'especially', 'are', 'looking', 'something', 'different', 'horror', 'genre', 'mixture', 'sci-fi', 'horror', 'thrown', 'together', 'SILK', 'one', 'entertaining', 'film', 'story', 'centers', 'team', 'paranormal', 'investigators', 'who', 'are', 'led', 'one', 'stubborn', 'heavily', 'driven', 'character', 'search', 'life', 'death', 'name', 'Hashimoto', 'Yosuke', 'Eguchi', 'leader', 'special', 'paranormal', 'research', 'team', 'found', 'particular', 'character', 'great', 'Hashimoto', 'man', 'search', 'immortality', 'one', 'catch', 'unravel', 'secrets', 'life', 'death.Hashimoto', 'select', 'research', 'team', 'other', 'investigators', 'police', 'sniper', 'named', 'Tung', 'Change', 'Chen', 'who', 'ability', 'read', 'lips', 'ability', 'read', 'lips', 'utmost', 'importance', 'group', 'paranormal', 'researchers', 'particular', 'Hashimoto', 'job', 'discover', 'mystery', 'boy', 'who', 'also', 'be', 'ghost', 'one', 'malevolent', 'ghost', 'film', 'viewer', 'what', 'known', 'Menger', 'Sponge', 'where', 'sci-fi', 'meets', 'horror', 'see', 'Menger', 'Sponge', 'special', 'anti-gravity', 'device', 'can', 'enable', 'researchers', 'ensnare', 'ghosts', 'Moreover', 'Menger', 'sponge', 'been', 'reverted', 'liquid', 'spray', 'researchers', 'see', 'ghosts.Personally', 'found', 'film', 'fascinating', 'very', 'different', 'type', 'horror', 'film', 'always', 'something', 'different', 'horror', 'genre', 'Also', 'acting', 'film', 'was', 'very', 'good', 'Hashimoto', 'character', 'great', 'watch', 'entire', 'film', 'outstanding', 'are', 'sad', 'moments', 'watch', 'film', 'Hashimoto', 'learn', 'afterlife', 'Further', 'character', 'Tung', 'Chang', 'Chen', 'extremely', 'good', 'performance', 'especially', 'when', 'sick', 'mother', 'introduced', 'film', 'Chao-Pin', 'Su', 'did', 'remarkable', 'job', 'film', 'writing', 'cinematography', 'characters', 'meshed', 'perfectly', 'very', 'creative', 'film', 'recommend', 'film', 'SILK', 'especially', 'who', 'like', 'intelligent', 'horror', 'films', 'film', 'delivers', 'good', 'horror', 'drama', 'so', 'entertaining', 'way', 'Highly', 'recommended', '[', 'Stars', '4.5', ']']",Silk
1058052,A3ATY76HN613DJ,B000NO243E,HorrorTerry78,"[1, 2]","It's a little more original that you might expect, and while not everything about ""Silk"" works, it has enough new and interesting ideas to make this story of scientists dealing with a captured ghost truly unforgettable. The science is fuzzy at best, and the ""Menger Cube"" stuff is nonsensical, but once you get past that and accept the story on its own terms, it's a really fun ride. The end is a little messy and doesn't make a ton of sense, but you forgive it. A fine rental.",3,Decent asian horror,1325203200,"12 30, 2011",2011,477,"['little', 'more', 'original', 'might', 'expect', 'not', 'everything', 'Silk', 'enough', 'new', 'interesting', 'ideas', 'make', 'story', 'scientists', 'dealing', 'captured', 'ghost', 'truly', 'unforgettable', 'science', 'fuzzy', 'best', 'Menger', 'Cube', 'stuff', 'nonsensical', 'once', 'get', 'past', 'accept', 'story', 'own', 'terms', 'really', 'fun', 'ride', 'end', 'little', 'messy', ""n't"", 'make', 'ton', 'sense', 'forgive', 'fine', 'rental']",Silk
1058053,A2N4FYSX7JDL1D,B000NO243E,Joseph Attaway,"[1, 2]","I was told this was a horror movie.  I was told wrong.  Silk is, in fact, is a touching tale in which you come to sympathize with the ghost.  If there's a ghost, doesn't that make it horror?  Not really; there's also murder, suicide, science, and love, but this isn't a slasher, documentary or a romance.  If you want an intriguing story or a movie that unexpectedly moves you, then I can highly recommend this.  Just don't plan on getting scared.",4,"Silk, much smoother than expected",1328140800,"02 2, 2012",2012,447,"['was', 'told', 'was', 'horror', 'movie', 'was', 'told', 'wrong', 'Silk', 'fact', 'touching', 'tale', 'come', 'sympathize', 'ghost', 'ghost', ""n't"", 'make', 'horror', 'Not', 'really', 'also', 'murder', 'suicide', 'science', 'love', ""n't"", 'slasher', 'documentary', 'romance', 'want', 'intriguing', 'story', 'movie', 'unexpectedly', 'then', 'can', 'highly', 'recommend', 'Just', 'do', ""n't"", 'plan', 'getting', 'scared']",Silk
1058054,A202GAMZKNAU7D,B000NO243E,Kris Kawaii,"[3, 4]","This was an amazing film!I first saw this when I picked up the movie Shutter at Best Buy, so if you want to buy it, you can get it there.It's a ghost film with great action, but not with the same old long haired ghost. The movie revolves around a young ghost boy and these sort of ghosthunters observing him. The leader of the whole team wants to find out why this kid is a ghost, since he believe he will be able to hold the key to find out how to become one himself. There's a fresh plot with a very great acting. It's mostly a bit of a thriller, not too much horror here. If you enjoy asian horror movies, this is one to not miss!I can't really give an extensive review on it without revealing too much of the plot. Go buy it!",5,A brilliant ghost film!,1237507200,"03 20, 2009",2009,729,"['was', 'amazing', 'film', 'first', 'saw', 'when', 'picked', 'up', 'movie', 'Shutter', 'Best', 'Buy', 'so', 'want', 'buy', 'can', 'get', 'ghost', 'film', 'great', 'action', 'not', 'same', 'old', 'long', 'haired', 'ghost', 'movie', 'around', 'young', 'ghost', 'boy', 'sort', 'ghosthunters', 'observing', 'leader', 'whole', 'team', 'find', 'out', 'why', 'kid', 'ghost', 'believe', 'will', 'be', 'able', 'hold', 'key', 'find', 'out', 'how', 'become', 'one', 'fresh', 'plot', 'very', 'great', 'acting', 'mostly', 'bit', 'thriller', 'not', 'too', 'much', 'horror', 'here', 'enjoy', 'asian', 'horror', 'movies', 'one', 'not', 'miss', 'ca', ""n't"", 'really', 'give', 'extensive', 'review', 'revealing', 'too', 'much', 'plot', 'Go', 'buy']",Silk
1058055,A2MP7ZHX7O7FSX,B000NO243E,LFrog1386,"[12, 15]","I really enjoyed this film. I am a fan of Asian horror films but have gotten tired of the same ""vengeful ghost"" scenario. OK, so maybe this movie DOES have a vengeful ghost, but it's premise of capturing a ghost for scientific purposes is pretty original. It's a cool blend of sci-fi and horror and I would highly recommend it to Asian horror fans.",4,A truly new concept!,1182384000,"06 21, 2007",2007,348,"['really', 'enjoyed', 'film', 'am', 'fan', 'Asian', 'horror', 'films', 'have', 'gotten', 'tired', 'same', 'vengeful', 'ghost', 'scenario', 'OK', 'so', 'maybe', 'movie', 'DOES', 'have', 'vengeful', 'ghost', 'premise', 'capturing', 'ghost', 'scientific', 'purposes', 'pretty', 'original', 'cool', 'blend', 'sci-fi', 'horror', 'would', 'highly', 'recommend', 'Asian', 'horror', 'fans']",Silk
1058056,A1P95EYQ9MW2RM,B000NO243E,"Persistent Gardener ""cinephile""","[0, 0]","In this film, Writer/Director Chao-Pin Su tries to escape the formulasof modern Asia horror cinema, by introducing many disparate plot elements:A secret military project of an anti-gravity device,a SWAT team operation against a terrorist cell, a paranormalinvestigator who is gradually losing his limbs from chronic diabetes,an elite police officer who is devastated by his mother's terminalsickness, the very sad ghost of a boy, and the very angry ghost ofthe boy's mother. Unlike the silken strands-which are revealed inthe second half of the film to tie the dead with the living-these elements are not tied in a coherent whole.As mentioned by another reviewer, this is similar to the flawsofDouble Vision (2002),which was also written by Chao-Pin Su.There are moments of suspense, and instances of horror, but ""Silk"",as a whole, is entertaining and forgettable.The DVD extras include:A making of ""Silk"" featurette.The film's original ending, which is dark and pessimistic.Several deleted scenes, which explain the motivation of the characters,and should have been included in the final cut.Several outtakes.The trailer of ""Silk"" and the trailers of six other Tartan Asia Extreme titles:""Dorm"", ""The Ghost"", ""The Maid"", ""Shutter"", ""Heirloom"" and ""Natural City"".",3,Too many strands...,1381968000,"10 17, 2013",2013,1263,"['film', 'Writer/Director', 'Chao-Pin', 'Su', 'escape', 'formulasof', 'modern', 'Asia', 'horror', 'cinema', 'introducing', 'many', 'disparate', 'plot', 'elements', 'secret', 'military', 'project', 'anti-gravity', 'device', 'SWAT', 'team', 'operation', 'terrorist', 'cell', 'paranormalinvestigator', 'who', 'gradually', 'losing', 'limbs', 'chronic', 'diabetes', 'elite', 'police', 'officer', 'who', 'devastated', 'mother', 'terminalsickness', 'very', 'sad', 'ghost', 'boy', 'very', 'angry', 'ghost', 'boy', 'mother', 'silken', 'strands-which', 'are', 'revealed', 'inthe', 'second', 'half', 'film', 'tie', 'dead', 'living-these', 'elements', 'are', 'not', 'tied', 'coherent', 'whole.As', 'mentioned', 'reviewer', 'similar', 'flawsofDouble', 'Vision', '2002', 'was', 'also', 'written', 'Chao-Pin', 'Su.There', 'are', 'moments', 'suspense', 'instances', 'horror', 'Silk', 'whole', 'entertaining', 'forgettable.The', 'DVD', 'extras', 'include', 'making', 'Silk', 'featurette.The', 'film', 'original', 'ending', 'dark', 'pessimistic.Several', 'deleted', 'scenes', 'explain', 'motivation', 'characters', 'should', 'have', 'been', 'included', 'final', 'cut.Several', 'outtakes.The', 'trailer', 'Silk', 'trailers', 'six', 'other', 'Tartan', 'Asia', 'Extreme', 'titles', 'Dorm', 'Ghost', 'Maid', 'Shutter', 'Heirloom', 'Natural', 'City']",Silk
1058057,A2ZT6C7X6A07KP,B000NO243E,Q,"[2, 3]","Silk was a surprisingly good view. It had suspense, horror, and thriller elements. Amongst random thinking-horror elements, that is elements which are horror in that they make your skin crawl just enough, but not horror so much that our girl friends won't want. Thinking enough that you won't just predict what the story will resolve to, yet planned enough that you can try to guess.I would rate this film amongst such films as Old Boy, with it's explicit direction, yet lack of prediction (the ending isn't completely obvious), and Dark Water or Ringu for it's skin-crawly elements that we all love.I am happy with this film.",4,"Fantastic, not over the top scary-thinking movie.",1249430400,"08 5, 2009",2009,626,"['Silk', 'was', 'surprisingly', 'good', 'view', 'had', 'suspense', 'horror', 'thriller', 'elements', 'Amongst', 'random', 'thinking-horror', 'elements', 'elements', 'are', 'horror', 'make', 'skin', 'crawl', 'just', 'enough', 'not', 'horror', 'so', 'much', 'girl', 'friends', 'wo', ""n't"", 'want', 'Thinking', 'enough', 'wo', ""n't"", 'just', 'predict', 'what', 'story', 'will', 'resolve', 'yet', 'planned', 'enough', 'can', 'try', 'guess.I', 'would', 'rate', 'film', 'amongst', 'such', 'films', 'Old', 'Boy', 'explicit', 'direction', 'yet', 'lack', 'prediction', 'ending', ""n't"", 'completely', 'obvious', 'Dark', 'Water', 'Ringu', 'skin-crawly', 'elements', 'love.I', 'am', 'happy', 'film']",Silk
