,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1266123,AJNIACIPB2I5P,B002FE5XUQ,"Basementwatch ""Basement!""","[0, 0]","Ah, Torture Porn, that Basement Sub-Genre. It was born with Hostel (which I loved) and Saw (which I still hate...II and III are okay, but only just). I love the fact that Fresh Air's David Edelstein came up with the term&#8212;he's so not the person you'd associate with these movies, and yet he's now forever linked with them.But the sub-genre really takes off in more independent films such as the wonderful Sweatshop and the Red Room, Would You Rather, Philosophy of a Knife and Die. It takes weird turns, such as in Lucifer Valentine's Vomit Gore Trilogy. And there are a few interesting works that I would term &#34;pure&#34; torture porn, movies that barely exist outside of the context of the torture scenario at all. I'm thinking of the August Underground Films, of Grotesque, Boy Meets Girl, and the Butcher.If you can stomach the gore, and there's quite a bit of it, there's actually a compelling story here of the resistance against cruel and insane abuse and hatefulness. No, it's not Hamlet, but it's not supposed to be. But the fact that it rises above the pure depravity that people no doubt accuse it of is important.",4,Torture Porn Alive And Well Here,1403395200,"06 22, 2014",2014,1133,"['Ah', 'Torture', 'Porn', 'Basement', 'Sub-Genre', 'was', 'born', 'Hostel', 'loved', 'Saw', 'still', 'hate', 'II', 'III', 'are', 'okay', 'only', 'just', 'love', 'fact', 'Fresh', 'Air', 'David', 'Edelstein', 'came', 'up', 'term', '8212', 'so', 'not', 'person', ""'d"", 'associate', 'movies', 'yet', 'now', 'forever', 'linked', 'them.But', 'sub-genre', 'really', 'off', 'more', 'independent', 'films', 'such', 'wonderful', 'Sweatshop', 'Red', 'Room', 'Would', 'Rather', 'Philosophy', 'Knife', 'Die', 'weird', 'turns', 'such', 'Lucifer', 'Valentine', 'Vomit', 'Gore', 'Trilogy', 'are', 'few', 'interesting', 'works', 'would', 'term', '34', 'pure', '34', 'torture', 'porn', 'movies', 'barely', 'exist', 'context', 'torture', 'scenario', ""'m"", 'thinking', 'August', 'Underground', 'Films', 'Grotesque', 'Boy', 'Meets', 'Girl', 'Butcher.If', 'can', 'stomach', 'gore', 'quite', 'bit', 'actually', 'compelling', 'story', 'here', 'resistance', 'cruel', 'insane', 'abuse', 'hatefulness', 'No', 'not', 'Hamlet', 'not', 'supposed', 'be', 'fact', 'pure', 'depravity', 'people', 'doubt', 'important']",N/A
1266124,A2FPDWTD9AENVK,B002FE5XUQ,Carl Manes,"[0, 0]","THE BUTCHER may be the only instance where the term ""Torture Porn"" can rightfully be used to describe a film. All of the unjust criticisms that fell on remarkable films like WOLF CREEK, SAW, and THE DEVIL'S REJECTS should have been saved for Jim Won Kim's cinematic travesty. Kim takes the popular ""found-footage"" motif and adapts it to the torture genre, where a group of snuff filmmakers kidnap four helpless victims and attach video camera's to their heads in order to record their gruesome deaths. The perspective constantly shifts between the various victims and their captives, but primarily uses the first-person perspective of those being tortured in order to force the viewer into assuming the role of the victim. In this sense, it is the viewer who is being subjected to the violent beatings and rapes that are occurring on-screen, in a sick and twisted form of sado-masochistic voyeurism that borders on pornography. THE BUTCHER is truly exploitation for exploitation's sake, with absolutely no redeeming value or social criticism to be found beneath its shocking exterior. Although the marketing sells the film as an ultra-violent bloodbath, there is surprisingly little gore to be found anywhere in the picture. One girl's eye is torn out, while her husband's hand is sawed in half by a chainsaw, but outside that, the majority of the attacks occur off-screen. All that leaves is a film with only mild violence, a paper-thin plot, virtually no dialog, and an obnoxious shooting style.Where the film does succeed is in thoroughly shocking and disgusting its audiences. The 'star' of the sadistic snuff film is a hulking brute that wears a butcher's apron and a horrifying pig mask, who slaughters his victims with a rusty chainsaw. He only speaks through grunts and squeals, and never removes his mask. The men filming the carnage are even worse, mercilessly beating their victims and mocking their pain. In the most disturbing sequence, the pig-faced killer is given a pheromone cocktail that drives him berserk and causes him to brutally rape one of the men as he watches the others slice his wife open and kill her.It is reckless and dangerous filmmaking like this that gives opponents the weapons they need to attack the Horror genre. If THE BUTCHER had only increased the amount of gore, it may have at least held an appeal in the Asian extreme market, but the overall lack of splatter will disappoint many fans. The film still has a haunting effect on the viewer, and will not soon be forgotten despite its many flaws.-Carl ManesI Like Horror Movies",3,The Butcher,1285632000,"09 28, 2010",2010,2567,"['BUTCHER', 'may', 'be', 'only', 'instance', 'where', 'term', 'Torture', 'Porn', 'can', 'rightfully', 'be', 'used', 'describe', 'film', 'unjust', 'criticisms', 'fell', 'remarkable', 'films', 'WOLF', 'CREEK', 'SAW', 'THE', 'DEVIL', 'REJECTS', 'should', 'have', 'been', 'saved', 'Jim', 'Won', 'Kim', 'cinematic', 'travesty', 'Kim', 'popular', 'found-footage', 'motif', 'torture', 'genre', 'where', 'group', 'snuff', 'filmmakers', 'kidnap', 'four', 'helpless', 'victims', 'attach', 'video', 'camera', 'heads', 'order', 'record', 'gruesome', 'deaths', 'perspective', 'constantly', 'various', 'victims', 'captives', 'primarily', 'first-person', 'perspective', 'being', 'tortured', 'order', 'force', 'viewer', 'assuming', 'role', 'victim', 'sense', 'viewer', 'who', 'being', 'subjected', 'violent', 'beatings', 'rapes', 'are', 'occurring', 'on-screen', 'sick', 'twisted', 'form', 'sado-masochistic', 'voyeurism', 'borders', 'pornography', 'BUTCHER', 'truly', 'exploitation', 'exploitation', 'sake', 'absolutely', 'redeeming', 'value', 'social', 'criticism', 'be', 'found', 'shocking', 'exterior', 'marketing', 'film', 'ultra-violent', 'bloodbath', 'surprisingly', 'little', 'gore', 'be', 'found', 'anywhere', 'picture', 'One', 'girl', 'eye', 'torn', 'out', 'husband', 'hand', 'sawed', 'half', 'chainsaw', 'majority', 'attacks', 'occur', 'off-screen', 'film', 'only', 'mild', 'violence', 'paper-thin', 'plot', 'virtually', 'dialog', 'obnoxious', 'shooting', 'style.Where', 'film', 'succeed', 'thoroughly', 'shocking', 'disgusting', 'audiences', ""'star"", ""'"", 'sadistic', 'snuff', 'film', 'hulking', 'brute', 'butcher', 'apron', 'horrifying', 'pig', 'mask', 'who', 'victims', 'rusty', 'chainsaw', 'only', 'grunts', 'squeals', 'never', 'mask', 'men', 'filming', 'carnage', 'are', 'even', 'worse', 'mercilessly', 'beating', 'victims', 'mocking', 'pain', 'most', 'disturbing', 'sequence', 'pig-faced', 'killer', 'given', 'pheromone', 'cocktail', 'berserk', 'brutally', 'rape', 'one', 'men', 'others', 'slice', 'wife', 'open', 'kill', 'her.It', 'reckless', 'dangerous', 'filmmaking', 'weapons', 'need', 'attack', 'Horror', 'genre', 'BUTCHER', 'had', 'only', 'increased', 'amount', 'gore', 'may', 'have', 'least', 'held', 'appeal', 'Asian', 'extreme', 'market', 'overall', 'lack', 'splatter', 'will', 'disappoint', 'many', 'fans', 'film', 'still', 'haunting', 'effect', 'viewer', 'will', 'not', 'soon', 'be', 'forgotten', 'many', 'flaws.-Carl', 'ManesI', 'Horror', 'Movies']",N/A
1266125,A8DI0COTCMRDV,B002FE5XUQ,creatureart,"[2, 3]","If your a fan of the mock snuff-film and can appreciate what it takes to make a film look and feel as real as possible, then Im sure you'll find a spot in your collection for Jin Won Kim's THE BUTCHER. While not so original,it does feel mostly authentic with a very slight suspension of disbelief. The acting is believable and the tension is visceral. Not the best of the it's sub-genre but definitely not the worst.***1/2!",4,I LIKED IT!,1293753600,"12 31, 2010",2010,423,"['fan', 'mock', 'snuff-film', 'can', 'appreciate', 'what', 'make', 'film', 'look', 'feel', 'as', 'real', 'possible', 'then', 'Im', 'sure', ""'ll"", 'find', 'spot', 'collection', 'Jin', 'Won', 'Kim', 'THE', 'BUTCHER', 'not', 'original', 'feel', 'mostly', 'authentic', 'very', 'slight', 'suspension', 'disbelief', 'acting', 'believable', 'tension', 'visceral', 'Not', 'best', 'sub-genre', 'definitely', 'not', 'worst', '***1/2']",N/A
1266126,A2XU3L553413PO,B002FE5XUQ,Daniel Camhi,"[0, 0]",This is one of the best and most effective horror/torture porn movies I have ever seen. The script is 7 out of 10 but the realism of the movie is a solid 11. Very dark and devious (found footage style). Basic story about a group of guys making a snuff film with several victims. The directing is excellent and genius (for this type of film). Very brutal and thrilling. I don't want to ruin it so GO AND WATCH THIS!!!,5,Gorehounds don't miss this!!!,1399852800,"05 12, 2014",2014,416,"['one', 'best', 'most', 'effective', 'horror/torture', 'porn', 'movies', 'have', 'ever', 'seen', 'script', '7', '10', 'realism', 'movie', 'solid', '11', 'Very', 'dark', 'devious', 'found', 'footage', 'style', 'Basic', 'story', 'group', 'guys', 'making', 'snuff', 'film', 'several', 'victims', 'directing', 'excellent', 'genius', 'type', 'film', 'Very', 'brutal', 'thrilling', 'do', ""n't"", 'want', 'ruin', 'so', 'GO', 'AND', 'WATCH', 'THIS']",N/A
1266127,A228309605DVTV,B002FE5XUQ,Donald A. Prentiss,"[8, 12]","Terrible.  Even if you are a fan of the torture horror genre - there are no ""money shots"" here for you at all gore-wise.  You see really pretty much nothing except people staring into the screen the entire time flinging a hammer at you.  There is NO tension - the only tension is in the form of a tension headache from a soundtrack of screams spanning the entire film and a shaking camera that shakes so much and so bad it will give you motion sickness and a killer headache- no joke.  We are not talking Blair Witch or Cloverfield shaking - this is just plain awful and overboard.  I am a huge horror fan, big time, I am a fan of Asian Cinema - big time and this movie had nothing positive about it what-so-ever.  Even a fan of this type of torture cinema, I say STAY AWAY.",1,not even good for fans of torture porn,1267401600,"03 1, 2010",2010,774,"['Terrible', 'Even', 'are', 'fan', 'torture', 'horror', 'genre', 'are', 'money', 'shots', 'here', 'gore-wise', 'see', 'really', 'pretty', 'much', 'nothing', 'people', 'staring', 'screen', 'entire', 'time', 'flinging', 'hammer', 'tension', 'only', 'tension', 'form', 'tension', 'headache', 'soundtrack', 'screams', 'spanning', 'entire', 'film', 'shaking', 'camera', 'so', 'much', 'so', 'bad', 'will', 'give', 'motion', 'sickness', 'killer', 'headache-', 'joke', 'are', 'not', 'talking', 'Blair', 'Witch', 'Cloverfield', 'shaking', 'just', 'plain', 'awful', 'overboard', 'am', 'huge', 'horror', 'fan', 'big', 'time', 'am', 'fan', 'Asian', 'Cinema', 'big', 'time', 'movie', 'had', 'nothing', 'positive', 'what-so-ever', 'Even', 'fan', 'type', 'torture', 'cinema', 'say', 'STAY', 'AWAY']",N/A
1266128,A10GH7CWYJMOH6,B002FE5XUQ,D. Yuschick,"[1, 1]","The Butcher was a movie I had bought on a whim based on a quick glance at a trailer and the convincingly brutal cover.  I am also a fan of several POV-based films and felt this would add to the idea of the movie.  Unfortunately, I feel this movie lacks in a lot of perspectives.For what it is, a visual-based film created with the intent of placing the viewer in a real snuff situation, the POV cameras do succeed in this slightly.  However, the dialog of the filmmakers and the constant crying of the main guy victim are about bad enough to watch the movie on silent.  The script must have been key noted allowing the 'actors' to ad lib their own lines.  But it seems, from the subtitles, to be a blatant overuse of profanity.  Little of the dialog held substance.  Of course, substance is hard to find in a movie with a minute story line.The film starts up in the warehouse of the victims and two of the filmmakers talking.  The director comes in and the butchering begins.  Unfortunately, the first half of the movie is seen through the lens of a victim kept in a holding area where you are left to only hear the chainsaw and the torturous screams in the distant room.  This makes for a monotonous sequence.The second half of the movie is a bit more entertaining when the couple get dragged into the room together and sat facing one another.  Some violence occurs mixed with a disturbing round of sodomy and then more violence continues.  The movie progresses in this fashion up until the end where it seems as though the ending was, how should I say, a bit far fetched.Overall, if you're looking for some cheap frills to maybe gross out a girlfriend or something, this movie may do the trick with its one significant scene.  Other than that, if you're looking for a film that will engulf you and truly make you feel some suspense, discomfort and angst, this is not it.  The writers and director failed to create any scripted suspense or story to reinforce the violence which really makes the violence pointless and ineffective.I don't have much intention on watching the movie a second time and may only do so to get my girlfriend's opinion.  Other than that, I can see this being sold in the near future for store credit somewhere.  I don't believe the cover alone can warrant a permanent spot in my dvd collection.Take The Butcher for what it is worth; a film with the intention of grossing out the viewer and showing violent scenes many would prefer not to see in a manner that would make sea captains mildly nauseated.",2,Take it for what it is.,1260144000,"12 7, 2009",2009,2526,"['Butcher', 'was', 'movie', 'had', 'bought', 'whim', 'based', 'quick', 'glance', 'trailer', 'convincingly', 'brutal', 'cover', 'am', 'also', 'fan', 'several', 'POV-based', 'films', 'felt', 'would', 'add', 'idea', 'movie', 'Unfortunately', 'feel', 'movie', 'lot', 'perspectives.For', 'what', 'visual-based', 'film', 'created', 'intent', 'placing', 'viewer', 'real', 'snuff', 'situation', 'POV', 'cameras', 'do', 'succeed', 'slightly', 'However', 'dialog', 'filmmakers', 'constant', 'crying', 'main', 'guy', 'victim', 'are', 'bad', 'enough', 'watch', 'movie', 'silent', 'script', 'must', 'have', 'been', 'key', 'noted', 'allowing', ""'actors"", 'ad', 'lib', 'own', 'lines', 'subtitles', 'be', 'blatant', 'overuse', 'profanity', 'Little', 'dialog', 'held', 'substance', 'course', 'substance', 'hard', 'find', 'movie', 'minute', 'story', 'line.The', 'film', 'up', 'warehouse', 'victims', 'two', 'filmmakers', 'talking', 'director', 'butchering', 'Unfortunately', 'first', 'half', 'movie', 'seen', 'lens', 'victim', 'kept', 'holding', 'area', 'where', 'are', 'left', 'only', 'hear', 'chainsaw', 'torturous', 'screams', 'distant', 'room', 'monotonous', 'sequence.The', 'second', 'half', 'movie', 'bit', 'more', 'entertaining', 'when', 'couple', 'get', 'dragged', 'room', 'together', 'sat', 'facing', 'one', 'violence', 'mixed', 'disturbing', 'round', 'sodomy', 'then', 'more', 'violence', 'movie', 'fashion', 'up', 'end', 'where', 'ending', 'was', 'how', 'should', 'say', 'bit', 'far', 'fetched.Overall', ""'re"", 'looking', 'cheap', 'frills', 'maybe', 'gross', 'out', 'girlfriend', 'something', 'movie', 'may', 'do', 'trick', 'one', 'significant', 'scene', 'Other', ""'re"", 'looking', 'film', 'will', 'engulf', 'truly', 'make', 'feel', 'suspense', 'discomfort', 'angst', 'not', 'writers', 'director', 'failed', 'create', 'scripted', 'suspense', 'story', 'reinforce', 'violence', 'really', 'violence', 'pointless', 'ineffective.I', 'do', ""n't"", 'have', 'much', 'intention', 'watching', 'movie', 'second', 'time', 'may', 'only', 'do', 'so', 'get', 'girlfriend', 'opinion', 'Other', 'can', 'see', 'being', 'sold', 'near', 'future', 'store', 'credit', 'somewhere', 'do', ""n't"", 'believe', 'cover', 'alone', 'can', 'warrant', 'permanent', 'spot', 'dvd', 'collection.Take', 'Butcher', 'what', 'worth', 'film', 'intention', 'grossing', 'out', 'viewer', 'showing', 'violent', 'scenes', 'many', 'would', 'prefer', 'not', 'see', 'manner', 'would', 'make', 'sea', 'captains', 'mildly', 'nauseated']",N/A
1266129,AV9O0NWCYMDSC,B002FE5XUQ,Kenneth A. Seward,"[2, 5]","I'd been looking for this movie for a while... because, based on the trailer, it looked pretty intense... and it is, but not in an OTT gory sort of way.It leaves a LOT of stuff to your imagination and I like that. My imagination works fine and usually will come up with stuff that's worse than anything they'd show on screen.It's true that there isn't much plot or character development... but there are subtleties there for folks who are willing to pay attention. The 'villain's' don't come off so much as psychopathic serial killers as they do average sociopathic business men... more pragmatic than angry.In reading other reviews I've noticed that most are split between, ""Oh my god, this is so horrible, what a piece of filth! I thought I was renting a Teletubbies movie!!!"" vs. ""Bah, they didn't even show the first people being chainsawed to death, what a rip off... not nearly as gory as the movie I saw last night about baby eaters!!!"". Both of which I think are missing obvious points... it's obvious what the movie is, no way to be surprised that it's graphic bloody mock-snuff... but on the other hand, just because it isn't chock full of (fake looking) gore scenes like the stuff from Toe Tag doesn't mean it's not fairly intense horror.There aren't many people I'd recommend this too... but for the one's I think would be interested I'd give it a solid recommendation. It's certainly a lot more to the point than dorky stuff like Saw and Hostel.",4,More tension than gore...,1265846400,"02 11, 2010",2010,1458,"[""'d"", 'been', 'looking', 'movie', 'while', 'because', 'based', 'trailer', 'looked', 'pretty', 'intense', 'not', 'OTT', 'gory', 'sort', 'way.It', 'LOT', 'stuff', 'imagination', 'like', 'imagination', 'fine', 'usually', 'will', 'come', 'up', 'stuff', 'worse', 'anything', ""'d"", 'show', 'screen.It', 'true', ""n't"", 'much', 'plot', 'character', 'development', 'are', 'subtleties', 'there', 'folks', 'who', 'are', 'willing', 'pay', 'attention', ""'villain"", 'do', ""n't"", 'come', 'off', 'so', 'much', 'psychopathic', 'serial', 'killers', 'do', 'average', 'sociopathic', 'business', 'men', 'more', 'pragmatic', 'angry.In', 'reading', 'other', 'reviews', ""'ve"", 'noticed', 'most', 'are', 'split', 'Oh', 'god', 'so', 'horrible', 'what', 'piece', 'filth', 'thought', 'was', 'renting', 'Teletubbies', 'movie', 'Bah', 'did', ""n't"", 'even', 'show', 'first', 'people', 'being', 'chainsawed', 'death', 'what', 'rip', 'off', 'not', 'nearly', 'as', 'gory', 'movie', 'saw', 'last', 'night', 'baby', 'eaters', 'think', 'are', 'missing', 'obvious', 'points', 'obvious', 'what', 'movie', 'way', 'be', 'surprised', 'graphic', 'bloody', 'mock-snuff', 'other', 'hand', 'just', ""n't"", 'chock', 'full', 'fake', 'looking', 'gore', 'scenes', 'stuff', 'Toe', 'Tag', ""n't"", 'mean', 'not', 'fairly', 'intense', 'horror.There', 'are', ""n't"", 'many', 'people', ""'d"", 'recommend', 'too', 'one', 'think', 'would', 'be', 'interested', ""'d"", 'give', 'solid', 'recommendation', 'certainly', 'lot', 'more', 'point', 'dorky', 'stuff', 'Saw', 'Hostel']",N/A
1266130,A3R1IL1YDH855A,B002FE5XUQ,martyrs fan,"[0, 0]",love this movie. I love Asian horror movies go buy it now you will love it if your a true brutal horror fan,5,awesome,1393372800,"02 26, 2014",2014,107,"['love', 'movie', 'love', 'Asian', 'horror', 'movies', 'go', 'buy', 'now', 'will', 'love', 'true', 'brutal', 'horror', 'fan']",N/A
1266131,A1CWW12IM0Q30H,B002FE5XUQ,MutantChaos,"[14, 18]","When you see a film titled THE BUTCHER and there is a bloody guy with a pig mask on the cover you know you aren't exactly getting a family film so I mostly knew what I was in for. Having seen some of the other films in the Asia Extreme line, I think this lived up to its promise of topping the rest of them for how ""extreme"" it is, but it was more than just a gore-fest and it got under my skin more than I thought it would.THE BUTCHER is a POV style horror film from Korea with a simple plot - a group of snuff producers are making their latest film. They have cameras and each of the 4 captives has a helmet-cam on as well (most of the film is seen from the point of view of one of the victims). POV films are hit and miss for me, but this was good use of the technique.I knew this was going to be a nasty film and although it was very violent and bloody at times, it was actually a bit less viscerally gory than I expected - what I did not expect was how mentally disturbing it was. Based on the plot and if you just watched the first part of the film it may come off as an ""August Underground""-style movie, which is OK for some people but a type of film that I don't personally get into that much. THE BUTCHER can work on that surface level, but when you get farther into the film, it gets deeper and when it was over I still thought about it for a couple of days, I couldn't get it out of my head. There really isn't much to the plot, but the pieces of background and character interaction they do give you, especially between two of the victims, took it to another level so instead of being just another gross-out endurance test (yawn!) it was more deeply disturbing and hit me the same way MARTYRS did.It's not a fun popcorn flick and I can't say I ""enjoyed"" it per se, but it affected me in a way most films don't, so I have to say it was a good film.While the movie was a 5 for me, I have to be a nitpicker and knock the review down half a star and call it 4 1/2 because of the DVD. The picture and sound are fine, but the subtitles occasionally slipped into ""Engrish"" which bugged me. You can still follow along with the film just fine but I thought it was kind of annoying. There were also a couple of special features, including an alternate ending that you can see why they didn't originally use.If you are looking for the more creepy, spooky Asian horror like THE RING or REINCARNATION, do not watch this film. But if you don't mind gore and disturbing fare like MARTYRS, HOSTEL, INSIDE or Asian horror like Takashi Miike does it, I recommend this.",4,4 1/2 stars. Not just brutal but very effective,1256169600,"10 22, 2009",2009,2562,"['When', 'see', 'film', 'titled', 'THE', 'BUTCHER', 'bloody', 'guy', 'pig', 'mask', 'cover', 'know', 'are', ""n't"", 'exactly', 'getting', 'family', 'film', 'so', 'mostly', 'knew', 'what', 'was', 'Having', 'seen', 'other', 'films', 'Asia', 'Extreme', 'line', 'think', 'lived', 'up', 'promise', 'topping', 'rest', 'how', 'extreme', 'was', 'more', 'just', 'gore-fest', 'got', 'skin', 'more', 'thought', 'would.THE', 'BUTCHER', 'POV', 'style', 'horror', 'film', 'Korea', 'simple', 'plot', 'group', 'snuff', 'producers', 'are', 'making', 'latest', 'film', 'have', 'cameras', '4', 'captives', 'helmet-cam', 'as', 'well', 'most', 'film', 'seen', 'point', 'view', 'one', 'victims', 'POV', 'films', 'are', 'hit', 'miss', 'was', 'good', 'use', 'technique.I', 'knew', 'was', 'going', 'be', 'nasty', 'film', 'was', 'very', 'violent', 'bloody', 'times', 'was', 'actually', 'bit', 'less', 'viscerally', 'gory', 'expected', 'what', 'did', 'not', 'expect', 'was', 'how', 'mentally', 'disturbing', 'was', 'Based', 'plot', 'just', 'watched', 'first', 'part', 'film', 'may', 'come', 'off', 'August', 'Underground', '-style', 'movie', 'OK', 'people', 'type', 'film', 'do', ""n't"", 'personally', 'get', 'much', 'BUTCHER', 'can', 'work', 'surface', 'level', 'when', 'get', 'farther', 'film', 'deeper', 'when', 'was', 'still', 'thought', 'couple', 'days', 'could', ""n't"", 'get', 'head', 'really', ""n't"", 'much', 'plot', 'pieces', 'background', 'character', 'interaction', 'do', 'give', 'especially', 'two', 'victims', 'took', 'level', 'so', 'instead', 'being', 'just', 'gross-out', 'endurance', 'test', 'yawn', 'was', 'more', 'deeply', 'disturbing', 'hit', 'same', 'way', 'MARTYRS', 'did.It', 'not', 'fun', 'popcorn', 'flick', 'ca', ""n't"", 'say', 'enjoyed', 'se', 'affected', 'way', 'most', 'films', 'do', ""n't"", 'so', 'have', 'say', 'was', 'good', 'film.While', 'movie', 'was', '5', 'have', 'be', 'nitpicker', 'knock', 'review', 'down', 'star', 'call', '4', '1/2', 'DVD', 'picture', 'sound', 'are', 'fine', 'subtitles', 'occasionally', 'slipped', 'Engrish', 'bugged', 'can', 'still', 'follow', 'along', 'film', 'just', 'fine', 'thought', 'was', 'kind', 'annoying', 'were', 'also', 'couple', 'special', 'features', 'including', 'alternate', 'ending', 'can', 'see', 'why', 'did', ""n't"", 'originally', 'use.If', 'are', 'looking', 'more', 'creepy', 'spooky', 'Asian', 'horror', 'THE', 'RING', 'REINCARNATION', 'do', 'not', 'watch', 'film', 'do', ""n't"", 'mind', 'gore', 'disturbing', 'fare', 'MARTYRS', 'HOSTEL', 'INSIDE', 'Asian', 'horror', 'Takashi', 'Miike', 'recommend']",N/A
1266132,A1K6K23WG0IBWE,B002FE5XUQ,Quadro Sinead Summer,"[3, 3]","This is without a doubt one of the most horrific, most brutal , most gruesome, most completely disturbing films I have ever seen. The brutality in this film is so extreme and utterly sick that it makes some of the the most infamous disturbing movies of the past seem tame. This movie is one twisted and brutal ride. It is filled with such depraved sickness that I couldn't believe it when I saw it. I'm pretty jaded when it comes to disturbing movies, but this one is still pretty horrific to sit through. The film seemed extremely low budget at first and it does take at least a half hour before it gets totally sick and depraved. But once it does it is so relentless it was impossible to believe what I was seeing on the screen. No doubt this film may very well go down in history as one of the most taboo films on the planet. I gave it two stars because it's totally discusting and sick beyond belief, but at the same time the people that made this film did an extremely realistic job conveying what they were trying to present. In short this film is supposed to look like someone has made a real snuff film, and cousin, they made it look so real that you will wonder if it is. Be warned it is very, very sick and very disturbing.",2,One of the most disturbing movies ever made!,1367884800,"05 7, 2013",2013,1233,"['doubt', 'one', 'most', 'horrific', 'most', 'brutal', 'most', 'gruesome', 'most', 'completely', 'disturbing', 'films', 'have', 'ever', 'seen', 'brutality', 'film', 'so', 'extreme', 'utterly', 'sick', 'most', 'infamous', 'disturbing', 'movies', 'past', 'seem', 'tame', 'movie', 'one', 'twisted', 'brutal', 'ride', 'filled', 'such', 'depraved', 'sickness', 'could', ""n't"", 'believe', 'when', 'saw', ""'m"", 'pretty', 'jaded', 'when', 'disturbing', 'movies', 'one', 'still', 'pretty', 'horrific', 'sit', 'film', 'seemed', 'extremely', 'low', 'budget', 'first', 'take', 'least', 'half', 'hour', 'totally', 'sick', 'depraved', 'so', 'relentless', 'was', 'impossible', 'believe', 'what', 'was', 'seeing', 'screen', 'doubt', 'film', 'may', 'very', 'well', 'go', 'down', 'history', 'one', 'most', 'taboo', 'films', 'planet', 'gave', 'two', 'stars', 'totally', 'discusting', 'sick', 'belief', 'same', 'time', 'people', 'made', 'film', 'did', 'extremely', 'realistic', 'job', 'conveying', 'what', 'were', 'trying', 'present', 'short', 'film', 'supposed', 'look', 'someone', 'made', 'real', 'snuff', 'film', 'cousin', 'made', 'look', 'so', 'real', 'will', 'wonder', 'Be', 'warned', 'very', 'very', 'sick', 'very', 'disturbing']",N/A
