,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1334468,A101L3HXTII0I5,B0039ZBM14,A. Elliott,"[0, 0]","He still hasn't seen it since his birthday is a couple weeks away, but he's so interested in the subject I have no doubt he'll really enjoy it.",4,"Saw this series on TV and knew my grandson would like it, too.",1368057600,"05 9, 2013",2013,143,"['still', ""n't"", 'seen', 'birthday', 'couple', 'weeks', 'away', 'so', 'interested', 'subject', 'have', 'doubt', ""'ll"", 'really', 'enjoy']",How the Earth Was Made: Complete Season 2
1334469,A2LNW7GRQ205KS,B0039ZBM14,"author of Not a Ghost of a Chance ""author of ...","[1, 1]","Other reviewers have described this show, so I will not. It was a favorite at our house. I assume it was cancelled because it was expensive to make. I have reached the point where I seldom watch TV, because so few shows are worth my time. This one was worth every minute. I am upset it was cancelled, and I wish there had been more shows on other interesting areas. I would like to see an episode on such subjects as vugs.Vugs are gas bubbles formed in rock, which may contain quartz crystals, called geodes. when removed from the rock where they formed. They are usually small. There was once one the size of a large room. It was coated, on the inside, with  flakes of pure gold. When the miners broke into it, in a mine near Cripple Creek, Colorado, in the late 1800's, they held their helmet lights out into the large dark open space. Imagine the glorious reflected light, from a sphere completely lined with gold. The mine owners put bank vault doors on the vug and two armed guards around the clock.How about a special on this?",5,How Was the Rest Made?,1340496000,"06 24, 2012",2012,1032,"['Other', 'reviewers', 'have', 'described', 'show', 'will', 'not', 'was', 'favorite', 'house', 'assume', 'was', 'cancelled', 'was', 'expensive', 'make', 'have', 'reached', 'point', 'where', 'seldom', 'watch', 'TV', 'few', 'shows', 'are', 'worth', 'time', 'one', 'was', 'worth', 'minute', 'am', 'upset', 'was', 'cancelled', 'wish', 'had', 'been', 'more', 'shows', 'other', 'interesting', 'areas', 'would', 'like', 'see', 'episode', 'such', 'subjects', 'vugs.Vugs', 'are', 'gas', 'bubbles', 'formed', 'rock', 'may', 'contain', 'quartz', 'crystals', 'called', 'geodes', 'when', 'removed', 'rock', 'where', 'formed', 'are', 'usually', 'small', 'was', 'once', 'one', 'size', 'large', 'room', 'was', 'coated', 'inside', 'flakes', 'pure', 'gold', 'When', 'miners', 'broke', 'mine', 'Cripple', 'Creek', 'Colorado', 'late', '1800', 'held', 'helmet', 'out', 'large', 'dark', 'open', 'space', 'Imagine', 'glorious', 'reflected', 'light', 'sphere', 'completely', 'lined', 'gold', 'mine', 'owners', 'put', 'bank', 'vault', 'doors', 'vug', 'two', 'armed', 'guards', 'clock.How', 'special']",How the Earth Was Made: Complete Season 2
1334470,ADPBAE3QH3DM0,B0039ZBM14,Dianne L. Lannoye,"[0, 0]","Perhaps not as good as Nova, but very interesting...worth watching more than once! I think kids would really enjoy the information, and the scenery is spectactular.",4,How the Earth was Made,1316822400,"09 24, 2011",2011,164,"['Perhaps', 'not', 'as', 'good', 'Nova', 'very', 'interesting', 'worth', 'watching', 'more', 'once', 'think', 'kids', 'would', 'really', 'enjoy', 'information', 'scenery', 'spectactular']",How the Earth Was Made: Complete Season 2
1334471,AUUH6Z8MSGGF,B0039ZBM14,Haunted Flower,"[19, 21]","How the Earth Was Made - Season 213 Episodes on 4 Discs, released June 29, 2010""How the Earth Was Made"" is the History channel's detailed look at specific areas of the planet and how they came to be shaped the way they are. The title of the series sounds like they would explain how Earth came into being with the Big Bang theory in one episode and boom! be done, but this is the second season so they've really stretched out individual landmarks.This series starts off with places like The Grand Canyon and its carving by the Colorado river among other things, Mt. Vesuvius and its ability to possibly kill 3 million people in Naples if it erupts, and then in the third episode finally gets into the actual planet formation or ""Birth of the Earth"". Does this mean it wasn't covered in the first season?? Other great episodes include Sahara where you find out it was once covered in ice and grew lots of plantlife, and much more in the way of mountains, valleys, volcanoes in general, ice ages, and fascinatingly enough, the concentration of gold around the world.The narrator sure knows how to make gradual evolution sound exciting! For example in the Grand Canyon episode, he mentions certain mountains were ""shattered *dramatic pause* by VOLCANOES!"" The end of each episode goes through the laundry list of clues the scientists found and conclusions they were brought to step by step in case you missed something. Evolution ought to be a slow, boring process but this format and narration makes it more exciting than the violent escapes of ""Ancients Behaving Badly"" that I reviewed not that long ago. This is a very interesting and educational series and will appeal greatly to those intrigued by our landscapes and captivated by its beauty and history.",5,"Informative, Interesting, Exciting, and as always filled with dramatic narration!",1283817600,"09 7, 2010",2010,1756,"['How', 'Earth', 'Was', 'Made', 'Season', '213', 'Episodes', '4', 'Discs', 'released', 'June', '29', '2010', 'How', 'Earth', 'Was', 'Made', 'History', 'channel', 'detailed', 'look', 'specific', 'areas', 'planet', 'how', 'came', 'be', 'shaped', 'way', 'are', 'title', 'series', 'would', 'explain', 'how', 'Earth', 'came', 'being', 'Big', 'Bang', 'theory', 'one', 'episode', 'boom', 'be', 'done', 'second', 'season', ""'ve"", 'really', 'stretched', 'out', 'individual', 'landmarks.This', 'series', 'places', 'Grand', 'Canyon', 'carving', 'Colorado', 'river', 'other', 'things', 'Mt', 'Vesuvius', 'ability', 'possibly', 'kill', '3', 'million', 'people', 'Naples', 'then', 'third', 'episode', 'finally', 'actual', 'planet', 'formation', 'Birth', 'Earth', 'mean', 'was', ""n't"", 'covered', 'first', 'season', 'Other', 'great', 'episodes', 'include', 'Sahara', 'where', 'find', 'was', 'once', 'covered', 'ice', 'grew', 'lots', 'plantlife', 'much', 'more', 'way', 'mountains', 'valleys', 'volcanoes', 'general', 'ice', 'ages', 'fascinatingly', 'enough', 'concentration', 'gold', 'world.The', 'narrator', 'sure', 'how', 'make', 'gradual', 'evolution', 'sound', 'exciting', 'example', 'Grand', 'Canyon', 'episode', 'certain', 'mountains', 'were', 'shattered', '*dramatic', 'pause*', 'VOLCANOES', 'end', 'episode', 'laundry', 'list', 'clues', 'scientists', 'found', 'conclusions', 'were', 'brought', 'step', 'step', 'case', 'missed', 'something', 'Evolution', 'ought', 'be', 'slow', 'boring', 'process', 'format', 'narration', 'more', 'exciting', 'violent', 'escapes', 'Ancients', 'Behaving', 'Badly', 'reviewed', 'not', 'long', 'ago', 'very', 'interesting', 'educational', 'series', 'will', 'appeal', 'greatly', 'intrigued', 'landscapes', 'captivated', 'beauty', 'history']",How the Earth Was Made: Complete Season 2
1334472,A1L7IMLGPF72GG,B0039ZBM14,Howard M. Kindel,"[3, 3]","The first season of ""How The Earth Was Made"" was excellent; the second season is absolutely great.  My assessment might be colored by having seen almost all of Season One on TV but none of Season Two.  But I think it's more than that.  Season Two presents an even greater geological overview of each of the thirteen subjects; and presents them in greater forensic detail.  Even subjects you might expect to be rather ho-hum because they've been detailed in so many different forums - such as Mt. St. Helen's and Vesuvius -  end up being completely fascinating because of the great depth of the material presented.  No matter what the subject is, or how often it's been done, there are still things you wouldn't have known unless you were a professional geologist.  And speaking of geologists, their work is arguably the most important on the planet.  Without them the earth would be simply a collection of mountains, oceans, rivers and dirt; through their efforts we're able to understand how it all pieces together.My favorite episodes - surprisingly, I might add - are ""Sahara"" and ""Death Valley.""  I thought I knew a lot about the Sahara, only to discover I knew almost nothing - certainly nothing about its 20,000 year cycle of monsoon activity.  And, as to Death Valley, I couldn't imagine its geologic history being anywhere near as fascinating as it is.  Of course it's one of the lowest and hottest points on earth; but the mantle beneath it is also the thinnest of anyplace on earth - and is being stretched even thinner.  Even ""Everest"" opened all kinds of new windows on the planet, by showing not just how it was formed but how its formation affected almost everything else on the planet.  GPS imaging proves Everest is still growing - as it proves the Rockies are shrinking, thanks to the forces of erosion plus the sheer weight of the mountains.Though most of the subjects have had worldwide effects, only one - ""Earth's Deadliest Eruption"" - nearly extinguished all life on the planet.  It was a particular type of volcanic eruption in Siberia that spewed lava and deadly gas for a million years and gave rise to what's known as ""The Permian Extinction,"" when 95% of all living organisms became extinct.  The series ends with another episode that might at first seem insignificant but becomes one of the most interesting forensic investigations: ""America's Gold.""  It examines how gold deposits occurred in such quantity in both California and Nevada.Though this series is more costly than some of the others currently being offered from The History Channel's archive, it's much newer - the last couple episodes are from 2010.  And completely worth the cost.  You don't just sit and watch, you actually learn enough geology that, by the final episodes, each time a certain configuration or rock or certain types of formations are shown, you think to yourself: ""Aha!  I know what that is and what it means!""  Now that's cool.",5,Geologists Rule!,1347926400,"09 18, 2012",2012,2939,"['first', 'season', 'How', 'Earth', 'Was', 'Made', 'was', 'excellent', 'second', 'season', 'absolutely', 'great', 'assessment', 'might', 'be', 'colored', 'having', 'seen', 'almost', 'Season', 'One', 'TV', 'none', 'Season', 'Two', 'think', 'more', 'Season', 'Two', 'presents', 'even', 'greater', 'geological', 'overview', 'thirteen', 'subjects', 'greater', 'forensic', 'detail', 'Even', 'might', 'expect', 'be', 'rather', 'ho-hum', ""'ve"", 'been', 'detailed', 'so', 'many', 'different', 'forums', 'such', 'Mt', 'St.', 'Helen', 'Vesuvius', 'end', 'up', 'being', 'completely', 'fascinating', 'great', 'depth', 'material', 'presented', 'matter', 'what', 'subject', 'how', 'often', 'been', 'done', 'are', 'still', 'things', 'would', ""n't"", 'have', 'known', 'were', 'professional', 'geologist', 'speaking', 'geologists', 'work', 'arguably', 'most', 'important', 'planet', 'earth', 'would', 'be', 'simply', 'collection', 'mountains', 'oceans', 'rivers', 'dirt', 'efforts', ""'re"", 'able', 'understand', 'how', 'pieces', 'together.My', 'favorite', 'episodes', 'surprisingly', 'might', 'add', 'are', 'Sahara', 'Death', 'Valley', 'thought', 'knew', 'lot', 'Sahara', 'only', 'discover', 'knew', 'almost', 'nothing', 'certainly', 'nothing', '20,000', 'year', 'cycle', 'monsoon', 'activity', 'Death', 'Valley', 'could', ""n't"", 'imagine', 'geologic', 'history', 'being', 'anywhere', 'as', 'fascinating', 'course', 'one', 'lowest', 'hottest', 'points', 'earth', 'mantle', 'beneath', 'also', 'thinnest', 'anyplace', 'earth', 'being', 'stretched', 'even', 'thinner', 'Even', 'Everest', 'opened', 'kinds', 'new', 'windows', 'planet', 'showing', 'not', 'just', 'how', 'was', 'formed', 'how', 'formation', 'affected', 'almost', 'everything', 'else', 'planet', 'GPS', 'imaging', 'proves', 'Everest', 'still', 'growing', 'Rockies', 'are', 'shrinking', 'thanks', 'forces', 'erosion', 'sheer', 'weight', 'mountains.Though', 'most', 'subjects', 'have', 'had', 'worldwide', 'effects', 'only', 'one', 'Earth', 'Deadliest', 'Eruption', 'nearly', 'extinguished', 'life', 'planet', 'was', 'particular', 'type', 'volcanic', 'eruption', 'Siberia', 'spewed', 'lava', 'deadly', 'gas', 'million', 'years', 'gave', 'rise', 'what', 'known', 'Permian', 'Extinction', 'when', '95', '%', 'living', 'organisms', 'became', 'extinct', 'series', 'episode', 'might', 'first', 'seem', 'insignificant', 'one', 'most', 'interesting', 'forensic', 'investigations', 'America', 'Gold', 'how', 'gold', 'deposits', 'occurred', 'such', 'quantity', 'California', 'Nevada.Though', 'series', 'more', 'costly', 'others', 'currently', 'being', 'offered', 'History', 'Channel', 'archive', 'much', 'newer', 'last', 'couple', 'episodes', 'are', '2010', 'completely', 'cost', 'do', ""n't"", 'just', 'sit', 'watch', 'actually', 'learn', 'enough', 'geology', 'final', 'episodes', 'time', 'certain', 'configuration', 'rock', 'certain', 'types', 'formations', 'are', 'shown', 'think', 'yourself', 'know', 'what', 'what', 'Now', 'cool']",How the Earth Was Made: Complete Season 2
1334473,A3MCD82QVBLWRX,B0039ZBM14,Hunter,"[8, 21]","Are we all aware that this was shot for 16:9 (widescreen).  Are we also all aware that  to make it 1.33:1 they have to cut off part of the picture that we appreciated when we watched it?  If they release in the format it was shown in I will be a happy and quick purchaser, but there is no excuse for this presentation - and I can't even tell how this saves them money as the dvd soes not care about the signal sent it for printing and doing it 16:9 is no more expensive.  Very poor on their end. No sale on mine!!!",1,Just checking!,1309132800,"06 27, 2011",2011,514,"['aware', 'was', 'shot', '16:9', 'widescreen', 'Are', 'also', 'aware', 'make', '1.33:1', 'have', 'cut', 'off', 'part', 'picture', 'appreciated', 'when', 'watched', 'release', 'format', 'was', 'shown', 'will', 'be', 'happy', 'quick', 'purchaser', 'excuse', 'presentation', 'ca', ""n't"", 'even', 'tell', 'how', 'money', 'dvd', 'not', 'care', 'signal', 'sent', 'printing', 'doing', '16:9', 'more', 'expensive', 'Very', 'poor', 'end', 'sale', 'mine']",How the Earth Was Made: Complete Season 2
1334474,A2IYLY74JONDUY,B0039ZBM14,"Jimmy Dandee ""Jimmy""","[1, 1]","I find this series really capativating.  One of the better releases from the HISTORY CHANNEL. If you are interested in geology, then this is definatly for you!",5,ONE OF MY FAVORITE DOCS,1341360000,"07 4, 2012",2012,159,"['find', 'series', 'really', 'capativating', 'One', 'better', 'releases', 'HISTORY', 'CHANNEL', 'are', 'interested', 'geology', 'then', 'definatly']",How the Earth Was Made: Complete Season 2
1334475,A3B35MV4SU30V6,B0039ZBM14,N Spivey,"[0, 0]","This dvd is beautifully and creatively filmed.  It is also lively and abundantly informative.  I have watched it more than once because it relaxes me, and I find that I appreciate nature more when I see the power behind the creation and action of the earth.",5,Classy and interesting,1377475200,"08 26, 2013",2013,257,"['dvd', 'beautifully', 'creatively', 'filmed', 'also', 'lively', 'abundantly', 'informative', 'have', 'watched', 'more', 'once', 'find', 'appreciate', 'nature', 'more', 'when', 'see', 'power', 'creation', 'action', 'earth']",How the Earth Was Made: Complete Season 2
1334476,A1XPYJUJW8UB57,B0039ZBM14,science luver,"[0, 0]",Excellent series of shows! Love the narrator's voice and the info presented. Also love the way they recap the sections and summarize everything at the end!,5,Excellent series!,1385164800,"11 23, 2013",2013,155,"['Excellent', 'series', 'shows', 'Love', 'narrator', 'voice', 'info', 'presented', 'Also', 'love', 'way', 'recap', 'sections', 'summarize', 'everything', 'end']",How the Earth Was Made: Complete Season 2
1334477,A2LWG04VA1DX8E,B0039ZBM14,Warren Christian II,"[5, 7]",". . .  I could Not have more appreciation for the efforts of thoseresponsible for putting this presentation together.  I have both Seasonsand I want to tell you  . . . I CAN'T GET ENOUGH OF THIS KIND OF EDUCATIONI have taken to giving these Discs away to friends and relativesto Awaken them as to the tremendous store of knowledge which is out there ---about this world, which we find ourselves in.If Corey Johnson hasn't been recognized for his Narration destinctionHe certainly should have.  It makes a tremendous effort SPECTACULAR !!",5,How The Earth was Made,1285113600,"09 22, 2010",2010,537,"['could', 'Not', 'have', 'more', 'appreciation', 'efforts', 'thoseresponsible', 'putting', 'presentation', 'together', 'have', 'Seasonsand', 'want', 'tell', 'CA', ""N'T"", 'GET', 'ENOUGH', 'THIS', 'KIND', 'OF', 'EDUCATIONI', 'have', 'taken', 'giving', 'Discs', 'away', 'friends', 'relativesto', 'Awaken', 'tremendous', 'store', 'knowledge', 'there', 'world', 'find', 'in.If', 'Corey', 'Johnson', ""n't"", 'been', 'recognized', 'Narration', 'destinctionHe', 'certainly', 'should', 'have', 'tremendous', 'effort', 'SPECTACULAR']",How the Earth Was Made: Complete Season 2
