,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1354525,A2USVBMAB7GRKI,B003N0QF1W,andy g,"[0, 0]","REST IN PIECE SIR TONY SCOTT, EXECUTIVE PRODUCER OF NUMB3RS. HOLLYWOOD HAS LOST A TRULY GIFTED FILMMAKER. SO PROUD TO BE A FAN AND OWN ALL OF HIS FILMS.",5,REST IN PIECE SIR TONY,1345334400,"08 19, 2012",2012,152,"['REST', 'IN', 'PIECE', 'SIR', 'TONY', 'SCOTT', 'EXECUTIVE', 'PRODUCER', 'OF', 'NUMB3RS', 'HOLLYWOOD', 'HAS', 'LOST', 'A', 'TRULY', 'GIFTED', 'FILMMAKER', 'SO', 'PROUD', 'TO', 'BE', 'A', 'FAN', 'AND', 'OWN', 'ALL', 'HIS', 'FILMS']",N/A
1354526,A1W4D5D3LPNPRZ,B003N0QF1W,badbunnies,"[0, 1]",I liked this show when it was on the air . I like it now. wish Lou Diamond Philips was in more episodes,5,numb3rs,1400457600,"05 19, 2014",2014,103,"['liked', 'show', 'when', 'was', 'air', 'now', 'wish', 'Lou', 'Diamond', 'Philips', 'was', 'more', 'episodes']",N/A
1354527,A20IIR0422G3A5,B003N0QF1W,"B. Marold ""Bruce W. Marold""","[43, 44]","Numb3rs - The full six seasons.I got this set because the only time there are any Numb3rs reruns is from 3 - 5 AM, on one of the basic cable channels, and I am very fond of the show. On the one hand, there is a sense of being a copy of the CSI / Bones / Criminal Intent / NCIS formula, but I believe there are important differences.One is the level of realism. Unlike the `forensic specialists' in the series I mentioned above, the `science guy', Professor Charles Eppes (David Krumholtz), never goes running around after bad guys or knowingly puts himself in dangerous situations. That is left to his brother, the Supervisory Special Agent of the FBI, Don Eppes (Rob Morrow) and his team. The other side of the equation (to coin a phrase) is that when Charlie does his stuff, you can get much closer to the technique he is using than you can with either Abby Schiuto or Temperance Brennan (unless you happen to have aced a course in anatomy. Math is something you can explain entirely in words and symbols which can come across on the screen. (This would even have been a great radio premise, if this kind of show were trendy in radio days). I confess I am much more comfortable with set theory, Venn diagrams, and Fibonacci numbers than I am with tibias, fibulas, and kerf marks. Similarly, the FBI action part seems far more realistic than what we see on Bones or Criminal Minds. I believe the FBI agents do not operate like Seeley Booth, as one man operations, or like the profilers in Criminal Minds, who often find themselves in gunfights, even the geeky one.On top of the police action, there is the constant interplay between the three family members, who head the cast, filled out by the masterful Judd Hirsch. We get a small, dysfunctional (actually rather painful) sense of this when Ryan O'Neal showed up as Temperance Brennan's father, where the story was laden with lots of improbabilities and events to which few people can relate. Problems between these three are real, everyday things, like who will fix the pump in the Koi pond and dust the cobwebs from the wainscoting. There are big ones too, as when pressure on Charlie breaks his usually cool abstractness and he can't apply himself to one of Don's cases.The third dimension is the connections between Charlie and the FBI with Charlie's CalSci colleagues, Physics professor Larry Fleinhardt (Peter MacNicol)  and Eppes prot&eacute;g&eacute; / Professor / Lover Amita Ramanujan (Navi Rawat). The most delightful aspect of this dimension is when Larry enters a romantic relation with FBI profiler, Megan Reeves (Diane Farr). The writers avoid the mistake of overplaying the oddness of this pairing. In the seasons where this was a factor, I saw but two references to the `Odd Couple' aspect.A fourth dimension is the interplay between the lead FBI agents in Don Eppes' team, David Sinclair (Almi Ballard) and Colby Grainger (Dylan Bruno). These come to a head in the fourth season opener, directed by Executive Producer Tony Scott, and guest starring Val Kilmer.The writing on this series is simultaneously just a bit banal and deeply insightful. Every two or three episodes, there is a statement which makes you sit up and take notice. One can attribute the banality to the fact that conversations between FBI agents is probably a bit routine. On the other hand, we can expect that the conversation between a world class mathematician, his Physics mentor, and his mathematics prot&eacute;g&eacute; will have some substance to it, even if more time is spend on their personal interactions and problems than on math and physics.So, if you are fond of this show, having all six years is almost a necessity; however, the earlier seasons do tend to be better than the last two, when actor, Diane Farr leaves the cast and the Larry Fleinhardt character becomes less interesting. I also tend to find the extras in the earlier seasons to be more interesting, and more abundant in the earlier seasons, where we get several episodes with alternate commentary soundtracks from actors, director, writer, and producer. Two of the six seasons are shorter than usual, because it was a late first season addition and the fourth season fell during a writer's strike. But that is true of most shows.My only disappointments with the series was the way it was abruptly brought to a close with Charlie and Amita's quick, informal wedding, Diane Farr's departure, and the role of the Head of the Mathematics, Physics, and Astronomy department, Mildred Finch, played by Kathy Najimy. Except as a fill-in, while MacNicol left the cast for a few months, the part added little to the character mix.If you simply don't like Numb3rs, you gain nothing by buying this. But if you are a big fan of the show, you need this set.",5,History of FBI wonk / Math Geek Central. Delightful.,1293840000,"01 1, 2011",2011,4766,"['Numb3rs', 'full', 'six', 'seasons.I', 'got', 'set', 'only', 'time', 'are', 'Numb3rs', 'reruns', '3', '5', 'AM', 'one', 'basic', 'cable', 'channels', 'am', 'very', 'fond', 'show', 'one', 'hand', 'sense', 'being', 'copy', 'CSI', '/', 'Bones', '/', 'Criminal', 'Intent', '/', 'NCIS', 'formula', 'believe', 'are', 'important', 'differences.One', 'level', 'realism', 'forensic', 'specialists', 'series', 'mentioned', 'science', 'guy', 'Professor', 'Charles', 'Eppes', 'David', 'Krumholtz', 'never', 'running', 'around', 'bad', 'guys', 'knowingly', 'dangerous', 'situations', 'left', 'brother', 'Supervisory', 'Special', 'Agent', 'FBI', 'Don', 'Eppes', 'Rob', 'Morrow', 'team', 'other', 'side', 'equation', 'coin', 'phrase', 'when', 'Charlie', 'stuff', 'can', 'get', 'much', 'closer', 'technique', 'using', 'can', 'Abby', 'Schiuto', 'Temperance', 'Brennan', 'happen', 'have', 'aced', 'course', 'anatomy', 'Math', 'something', 'can', 'explain', 'entirely', 'words', 'symbols', 'can', 'come', 'screen', 'would', 'even', 'have', 'been', 'great', 'radio', 'premise', 'kind', 'show', 'were', 'trendy', 'radio', 'days', 'confess', 'am', 'much', 'more', 'comfortable', 'set', 'theory', 'Venn', 'diagrams', 'Fibonacci', 'numbers', 'am', 'tibias', 'fibulas', 'kerf', 'marks', 'Similarly', 'FBI', 'action', 'part', 'far', 'more', 'realistic', 'what', 'see', 'Bones', 'Criminal', 'Minds', 'believe', 'FBI', 'agents', 'do', 'not', 'operate', 'Seeley', 'Booth', 'one', 'man', 'operations', 'profilers', 'Criminal', 'Minds', 'who', 'often', 'find', 'gunfights', 'even', 'geeky', 'one.On', 'top', 'police', 'action', 'constant', 'interplay', 'three', 'family', 'members', 'who', 'head', 'cast', 'filled', 'out', 'masterful', 'Judd', 'Hirsch', 'get', 'small', 'dysfunctional', 'actually', 'rather', 'painful', 'sense', 'when', 'Ryan', ""O'Neal"", 'showed', 'up', 'Temperance', 'Brennan', 'father', 'where', 'story', 'was', 'laden', 'lots', 'improbabilities', 'events', 'few', 'people', 'can', 'relate', 'Problems', 'three', 'are', 'real', 'everyday', 'things', 'who', 'will', 'fix', 'pump', 'Koi', 'pond', 'dust', 'cobwebs', 'wainscoting', 'are', 'big', 'ones', 'too', 'when', 'pressure', 'Charlie', 'breaks', 'usually', 'cool', 'abstractness', 'ca', ""n't"", 'apply', 'one', 'Don', 'cases.The', 'third', 'dimension', 'connections', 'Charlie', 'FBI', 'Charlie', 'CalSci', 'colleagues', 'Physics', 'professor', 'Larry', 'Fleinhardt', 'Peter', 'MacNicol', 'Eppes', 'prot', 'eacute', 'eacute', 'Professor', '/', 'Lover', 'Amita', 'Ramanujan', 'Navi', 'Rawat', 'most', 'delightful', 'aspect', 'dimension', 'when', 'Larry', 'romantic', 'relation', 'FBI', 'profiler', 'Megan', 'Reeves', 'Diane', 'Farr', 'writers', 'avoid', 'mistake', 'overplaying', 'oddness', 'pairing', 'seasons', 'where', 'was', 'factor', 'saw', 'two', 'references', 'Odd', 'Couple', 'aspect.A', 'fourth', 'dimension', 'interplay', 'lead', 'FBI', 'agents', 'Don', 'Eppes', 'team', 'David', 'Sinclair', 'Almi', 'Ballard', 'Colby', 'Grainger', 'Dylan', 'Bruno', 'come', 'head', 'fourth', 'season', 'opener', 'directed', 'Executive', 'Producer', 'Tony', 'Scott', 'guest', 'starring', 'Val', 'Kilmer.The', 'writing', 'series', 'simultaneously', 'just', 'bit', 'banal', 'deeply', 'insightful', 'two', 'three', 'episodes', 'statement', 'sit', 'up', 'take', 'notice', 'One', 'can', 'attribute', 'banality', 'fact', 'conversations', 'FBI', 'agents', 'probably', 'bit', 'routine', 'other', 'hand', 'can', 'expect', 'conversation', 'world', 'class', 'mathematician', 'Physics', 'mentor', 'mathematics', 'prot', 'eacute', 'g', 'eacute', 'will', 'have', 'substance', 'even', 'more', 'time', 'spend', 'personal', 'interactions', 'problems', 'math', 'physics.So', 'are', 'fond', 'show', 'having', 'six', 'years', 'almost', 'necessity', 'however', 'earlier', 'seasons', 'do', 'tend', 'be', 'better', 'last', 'two', 'when', 'actor', 'Diane', 'Farr', 'cast', 'Larry', 'Fleinhardt', 'character', 'less', 'interesting', 'also', 'tend', 'find', 'extras', 'earlier', 'seasons', 'be', 'more', 'interesting', 'more', 'abundant', 'earlier', 'seasons', 'where', 'get', 'several', 'episodes', 'alternate', 'commentary', 'soundtracks', 'actors', 'director', 'writer', 'producer', 'Two', 'six', 'seasons', 'are', 'shorter', 'usual', 'was', 'late', 'first', 'season', 'addition', 'fourth', 'season', 'fell', 'writer', 'strike', 'true', 'most', 'shows.My', 'only', 'disappointments', 'series', 'was', 'way', 'was', 'abruptly', 'brought', 'close', 'Charlie', 'Amita', 'quick', 'informal', 'wedding', 'Diane', 'Farr', 'departure', 'role', 'Head', 'Mathematics', 'Physics', 'Astronomy', 'department', 'Mildred', 'Finch', 'played', 'Kathy', 'Najimy', 'Except', 'fill-in', 'MacNicol', 'left', 'cast', 'few', 'months', 'part', 'added', 'little', 'character', 'mix.If', 'simply', 'do', ""n't"", 'like', 'Numb3rs', 'gain', 'nothing', 'buying', 'are', 'big', 'fan', 'show', 'need', 'set']",N/A
1354528,A2QXQ72KCMS6LA,B003N0QF1W,B. Turner,"[1, 1]","Loved it on the telly and love it on DVD where i really watch the episodes, special feature etc.Just Great!!",5,Numbers  The Series,1359590400,"01 31, 2013",2013,108,"['Loved', 'telly', 'love', 'DVD', 'where', 'i', 'really', 'watch', 'episodes', 'special', 'feature', 'etc.Just', 'Great']",N/A
1354529,A2NW4GICXSLUVZ,B003N0QF1W,"David H. Hanneman ""Dave H""","[1, 1]","You don't have to love math to enjoy this series - it is more about the relationship between two brothers (one a mathematician at Cal Sci, and the other an FBI agent) and their father. There are also a great collection of supporting characters as co-workers, love interests,etc.  Each episode is 40 minutes, which makes the perfect lunch time fare for me. Most of the plots do involve some violence, but it isn't overplayed and you don't see many gruesome scenes like you do in other dramas; this is more about how the mathematician and FBI brothers work together to solve the case, and grow as characters.",5,A great math series,1387065600,"12 15, 2013",2013,606,"['do', ""n't"", 'have', 'love', 'math', 'enjoy', 'series', 'more', 'relationship', 'two', 'brothers', 'one', 'mathematician', 'Cal', 'Sci', 'other', 'FBI', 'agent', 'father', 'are', 'also', 'great', 'collection', 'supporting', 'characters', 'co-workers', 'love', 'interests', 'etc', 'episode', '40', 'minutes', 'perfect', 'lunch', 'time', 'fare', 'Most', 'plots', 'do', 'involve', 'violence', ""n't"", 'overplayed', 'do', ""n't"", 'see', 'many', 'gruesome', 'scenes', 'do', 'other', 'dramas', 'more', 'how', 'mathematician', 'FBI', 'brothers', 'work', 'together', 'solve', 'case', 'grow', 'characters']",N/A
1354530,A29E6IO3DZG6IY,B003N0QF1W,eswan,"[9, 9]","One of TV's better shows. Having discovered it late into its first season, I became a regular viewer til the end.  A great collection of characters and stories, illustrating math in ways a lay person can follow, though a bit fast at times. I heard some universities made it required viewing for math students.Well written and well acted.  David Krumholtz as the primary character did a superb job, as did his character's college collegues.Though a crime solving show, it was refreshingly free of gratuitous violence and profanity, focusing on problem solving skills and thoughtful personalities, not to mention the value of education.Interesting lighting in the warm tones at college and at home, whilst cool blues and grays at the FBI offices.  I enjoyed the Epps family of men and their wonderful craftsman home too.This show is excellent entertainment. I highly recommend it.",5,Excellent series!,1296950400,"02 6, 2011",2011,878,"['One', 'TV', 'better', 'shows', 'Having', 'discovered', 'late', 'first', 'season', 'became', 'regular', 'viewer', 'end', 'great', 'collection', 'characters', 'stories', 'illustrating', 'math', 'ways', 'lay', 'person', 'can', 'follow', 'bit', 'fast', 'times', 'heard', 'universities', 'made', 'required', 'viewing', 'math', 'students.Well', 'written', 'well', 'acted', 'David', 'Krumholtz', 'primary', 'character', 'did', 'superb', 'job', 'did', 'character', 'college', 'collegues.Though', 'crime', 'solving', 'show', 'was', 'refreshingly', 'free', 'gratuitous', 'violence', 'profanity', 'focusing', 'problem', 'solving', 'skills', 'thoughtful', 'personalities', 'not', 'mention', 'value', 'education.Interesting', 'lighting', 'warm', 'tones', 'college', 'home', 'whilst', 'cool', 'blues', 'grays', 'FBI', 'offices', 'enjoyed', 'Epps', 'family', 'men', 'wonderful', 'craftsman', 'home', 'too.This', 'show', 'excellent', 'entertainment', 'highly', 'recommend']",N/A
1354531,A3IA5DZ94L1NUS,B003N0QF1W,Frances Sydney,"[15, 15]","In the 6 seasons that Numb3rs was on the air with new episodes, I had never watched it.December, 2010 was the first time I saw it, as a rerun. With only 1 Episode I was hooked!!I immediately purchased the Complete series, 6 season dvd set.I received the dvd set in Dec & I have watched all of the episodes, twice over already, 3 or 4 a night.I just can't get enough.I am very sad that it was cancelled.Of course, Rob Morrow as the star, is my favorite.He is HOT!!! All of the actors on this are so great, the scripts so detailed. The actors also have a great chemistry together. I simply love the Eppes Family!! What a great way to discover a new series that I had never watched. I don't have to wait each week for a new one, I just watched all 6 years!!!Great marathon for Crime Drama TV dvd lovers!!!",5,NUMB3RS ROCKS!!,1295308800,"01 18, 2011",2011,802,"['6', 'seasons', 'Numb3rs', 'was', 'air', 'new', 'episodes', 'had', 'never', 'watched', 'it.December', '2010', 'was', 'first', 'time', 'saw', 'rerun', 'only', '1', 'Episode', 'was', 'hooked', 'immediately', 'purchased', 'Complete', 'series', '6', 'season', 'dvd', 'set.I', 'received', 'dvd', 'set', 'Dec', 'have', 'watched', 'episodes', 'twice', 'already', '3', '4', 'night.I', 'just', 'ca', ""n't"", 'get', 'enough.I', 'am', 'very', 'sad', 'was', 'cancelled.Of', 'course', 'Rob', 'Morrow', 'star', 'favorite.He', 'HOT', 'actors', 'are', 'so', 'great', 'scripts', 'so', 'detailed', 'actors', 'also', 'have', 'great', 'chemistry', 'together', 'simply', 'love', 'Eppes', 'Family', 'What', 'great', 'way', 'discover', 'new', 'series', 'had', 'never', 'watched', 'do', ""n't"", 'have', 'wait', 'week', 'new', 'one', 'just', 'watched', '6', 'years', 'Great', 'marathon', 'Crime', 'Drama', 'TV', 'dvd', 'lovers']",N/A
1354532,A2FQS844MGBAJ7,B003N0QF1W,"KT ""Lover of books, videos and sports.""","[0, 0]","I loved this show when it was on tv and very sad when it ended, but at least I can watch and enjoy the stories again.",5,Loved Numb3rs,1381017600,"10 6, 2013",2013,117,"['loved', 'show', 'when', 'was', 'tv', 'very', 'sad', 'when', 'ended', 'least', 'can', 'watch', 'enjoy', 'stories', 'again']",N/A
1354533,A20QTGTQCFN5TP,B003N0QF1W,leaveawhisper,"[1, 1]","I have not been able to watch every season so far, but what I have seen is Very Good. It's as good as I remembered it.",4,Great Show!!!,1355875200,"12 19, 2012",2012,118,"['have', 'not', 'been', 'able', 'watch', 'season', 'so', 'far', 'what', 'have', 'seen', 'Very', 'Good', 'as', 'good', 'remembered']",N/A
1354534,AKCDHGUSKVJ72,B003N0QF1W,"LeelaFry ""Leelafry""","[1, 1]",I have enjoyed this entire series and am thrilled to have had the chance to pick up the complete set in a lightening deal.  I particularly enjoy the fact that almost every case is solved using science (and not just dumb luck!).,5,Numb3rs is Number One!,1385683200,"11 29, 2013",2013,227,"['have', 'enjoyed', 'entire', 'series', 'am', 'thrilled', 'have', 'had', 'chance', 'pick', 'up', 'complete', 'set', 'lightening', 'deal', 'particularly', 'enjoy', 'fact', 'almost', 'case', 'solved', 'using', 'science', 'not', 'just', 'dumb', 'luck']",N/A
