,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1421101,AL8ENJ95YXMQI,B004NJC0NY,Barbara J. Ross,"[0, 0]","This is a must see for all interested in being educated about the history of African Americans. Detailed, explained and validated by persons experiencing it. Dr Gates is extraordinary in his research into this subject. Having captured at least 17 generations of my family, I long to meet him!!",5,absolutely incredible!!,1387670400,"12 22, 2013",2013,293,"['must', 'see', 'interested', 'being', 'educated', 'history', 'African', 'Americans', 'Detailed', 'explained', 'validated', 'persons', 'experiencing', 'Dr', 'Gates', 'extraordinary', 'research', 'subject', 'Having', 'captured', 'least', '17', 'generations', 'family', 'long', 'meet']",N/A
1421102,A3PTXSGCYW6L8U,B004NJC0NY,"C. Hamilton ""Clean living""","[0, 0]","Dr. Gates taught me a great deal in this DVD. I had no idea how extensive the slave trade really was. Most slaves did not come to the USA,  I thought they did. Eye opening and gave me a greater appreciation and understanding of my ancestors. I strongly recommend this DVD. the Blu-ray clarity is awesome!",5,Get it,1386979200,"12 14, 2013",2013,304,"['Dr.', 'Gates', 'taught', 'great', 'deal', 'DVD', 'had', 'idea', 'how', 'extensive', 'slave', 'trade', 'really', 'was', 'Most', 'slaves', 'did', 'not', 'come', 'USA', 'thought', 'did', 'Eye', 'opening', 'gave', 'greater', 'appreciation', 'understanding', 'ancestors', 'strongly', 'recommend', 'DVD', 'Blu-ray', 'clarity', 'awesome']",N/A
1421103,A325YNF9CJ60AT,B004NJC0NY,Ernest Vic Johnson,"[0, 0]","What a great dvd to have, if you're doing research on the Black Race, as I am.  Since this is my heritage I found it &#34;necessary reading&#34;.  Please pick up any dvd that Dr. Louis Henry Gates produces.",5,Blacks in Latin America,1392249600,"02 13, 2014",2014,206,"['What', 'great', 'dvd', 'have', ""'re"", 'doing', 'research', 'Black', 'Race', 'am', 'heritage', 'found', '34', 'necessary', 'reading', '34', 'Please', 'pick', 'up', 'dvd', 'Dr.', 'Louis', 'Henry', 'Gates']",N/A
1421104,AMD2LQDWJE0E9,B004NJC0NY,James Lopez,"[26, 40]","I have seen each of the segments of this documentary series.  While I applaud the fact that Henry Louis Gates Jr. is exploring the very significant African roots of Latin America's cultures and people, it presents an interesting question: Who is ""Black"" in Latin America?  For Gates, who comes from the U.S. (where hypodescent and its most extreme form, the ""One Drop Rule,"" were the dominant cultural practices), it is very easy to see who is ""black"" (which would be virtually anyone with visible, or at least likely, African descent); however, ""race"" is not as simple as this in Latin America.  Having a degree of African ancestry, be it slight or highly significant, never relegated people automatically into the ""black"" category in Latin America-- because of this, the black/white ""racial"" dichotomy that exists in the U.S. does not apply to Latin America, and utilizing this template (which is what Gates does throughout the series) gives a very distorted view of ""racial"" relations in Latin America.  This is especially evident in the segment on Haiti and the Dominican Republic, where mixed-identified Dominicans are viewed critically; in contrast, black-identified Haitians are given the tag of having a ""noble"" history and heritage by Gates and are portrayed as being completely victimized by their neighbors in the Dominican Republic, making it obvious who he (Gates) favors and where his biases lie.Its a worthy attempt, but ultimately, it is obvious that Gates does not really understand Latin America, its people, or its culture.  Therefore, his presentation fails because it is coming from a place of biased ignorance.  However, on the plus side, some interesting historical facts are presented, and there is plenty of beautiful imagery and music to be found in the series.",3,"Question: Who is ""Black"" in Latin America?",1318809600,"10 17, 2011",2011,1787,"['have', 'seen', 'segments', 'documentary', 'series', 'applaud', 'fact', 'Henry', 'Louis', 'Gates', 'Jr.', 'exploring', 'very', 'significant', 'African', 'roots', 'Latin', 'America', 'cultures', 'people', 'interesting', 'question', 'Who', 'Black', 'Latin', 'America', 'Gates', 'who', 'U.S.', 'where', 'hypodescent', 'most', 'extreme', 'form', 'One', 'Drop', 'Rule', 'were', 'dominant', 'cultural', 'practices', 'very', 'easy', 'see', 'who', 'black', 'would', 'be', 'virtually', 'anyone', 'visible', 'least', 'likely', 'African', 'descent', 'however', 'race', 'not', 'as', 'simple', 'Latin', 'America', 'Having', 'degree', 'African', 'ancestry', 'be', 'slight', 'highly', 'significant', 'never', 'relegated', 'people', 'automatically', 'black', 'category', 'Latin', 'America', 'black/white', 'racial', 'dichotomy', 'U.S.', 'not', 'apply', 'Latin', 'America', 'utilizing', 'template', 'what', 'series', 'very', 'distorted', 'view', 'racial', 'relations', 'Latin', 'America', 'especially', 'evident', 'segment', 'Haiti', 'Dominican', 'Republic', 'where', 'mixed-identified', 'Dominicans', 'are', 'viewed', 'critically', 'contrast', 'black-identified', 'Haitians', 'are', 'given', 'tag', 'having', 'noble', 'history', 'heritage', 'Gates', 'are', 'portrayed', 'being', 'completely', 'victimized', 'neighbors', 'Dominican', 'Republic', 'making', 'obvious', 'who', 'Gates', 'favors', 'where', 'lie.Its', 'worthy', 'attempt', 'ultimately', 'obvious', 'not', 'really', 'understand', 'Latin', 'America', 'people', 'culture', 'Therefore', 'presentation', 'coming', 'place', 'biased', 'ignorance', 'However', 'plus', 'side', 'interesting', 'historical', 'facts', 'are', 'presented', 'plenty', 'beautiful', 'imagery', 'music', 'be', 'found', 'series']",N/A
1421105,A3MWYPZBKL1NJ,B004NJC0NY,Jeffery Mingo,"[8, 17]","This is a great documentary that many should see.  It will really wake many up to the numbers and range of the African Diaspora.  I applaud the efforts used in this film.However, Dr. Gates has the WORST pronunciation of Spanish and Portuguese words that I have ever heard.  If you are a Harvard professor, you have enough money to buy some foreign-language cassettes at the bookstore around the corner.  You have the loot to afford Rosetta Stone products too.  Heck, you could have sat with some fellow profs in the Hispanic and Luso-Brazilian Departments and got the knack of those languages within an hour or two.Yes, it's a trivial matter.  However, someone as smart and accomplished as Dr. Gates has no business garbling up two languages somewhat similar to the English language so mercilessly.  He should truly be redfaced on this matter.",3,an itsy-bitsy complaint,1317772800,"10 5, 2011",2011,843,"['great', 'documentary', 'many', 'should', 'see', 'will', 'really', 'wake', 'many', 'up', 'numbers', 'range', 'African', 'Diaspora', 'applaud', 'efforts', 'used', 'film.However', 'Dr.', 'Gates', 'WORST', 'pronunciation', 'Spanish', 'Portuguese', 'words', 'have', 'ever', 'heard', 'are', 'Harvard', 'professor', 'have', 'enough', 'money', 'buy', 'foreign-language', 'cassettes', 'bookstore', 'corner', 'have', 'loot', 'afford', 'Rosetta', 'Stone', 'products', 'too', 'Heck', 'could', 'have', 'sat', 'fellow', 'profs', 'Hispanic', 'Luso-Brazilian', 'Departments', 'got', 'knack', 'languages', 'hour', 'two.Yes', 'trivial', 'matter', 'However', 'someone', 'smart', 'accomplished', 'Dr.', 'Gates', 'business', 'garbling', 'up', 'two', 'languages', 'somewhat', 'similar', 'English', 'language', 'so', 'mercilessly', 'should', 'truly', 'be', 'redfaced', 'matter']",N/A
1421106,A2UXV0M5RRYT0L,B004NJC0NY,keysha florence,"[0, 2]","No good.now im going to say for this movie it makes no since to put something out in the world for any person to see,We have enough foolishness around the world already. For get what a person my look like, see if you can find the soul moving power of love and not hateful mess like this.dont get it please dont get it!! No man is better then the next for we all come from the dirt, and all blood is red everyday with no change no time soon my friends.so now let us do what we must to keep our hearts in the LIGHT yes!!!!",1,funny girl,1398556800,"04 27, 2014",2014,520,"['good.now', 'going', 'say', 'movie', 'put', 'something', 'out', 'world', 'person', 'see', 'have', 'enough', 'foolishness', 'world', 'already', 'get', 'what', 'person', 'look', 'see', 'can', 'find', 'soul', 'moving', 'power', 'love', 'not', 'hateful', 'mess', 'this.dont', 'get', 'please', 'dont', 'get', 'man', 'better', 'then', 'next', 'come', 'dirt', 'blood', 'red', 'everyday', 'change', 'time', 'soon', 'friends.so', 'now', 'let', 'do', 'what', 'must', 'keep', 'hearts', 'LIGHT', 'yes']",N/A
1421107,AKR6UK8O6DM6X,B004NJC0NY,"Lemas Mitchell ""Libertarian/ Empiricist""","[4, 13]","Just some very general thoughts, since there is too much to deal with and create a readable review of this generally sorry documentary.1. The first thing that annoyed me to NO END was that he showed black people dancing in every single segment. And yet, there were almost no black people shown holding books or doing anything intellectual. Even among the museum curators, I don't think I counted a single black black person. So, if you want to see a bunch of dancing idiots (and MTV/ BET/ VH1 just doesn't have enough of them), then this documentary should put you over the top.2. The Haiti and Dominican Republic segment was......uncomfortable. On one hand, he showed us DR-- people who don't think of themselves as black and who have built a relatively prosperous country. On the other hand, he showed us Haiti. That is a place where everyone thinks of themselves as black and is an absolutely AWFUL looking place. Gates couldn't be bothered to take us to ONE single nice looking neighborhood. And Haiti is all the more embarrassing, since it has been independent for over 2 centuries and is actually POORER than when it started out. (Gates had some vague excuses about just why this might be so.)3. In the Mexico section, the people flat out told Gates that: a. This is not like the American example; b. Don't try to reinterpret it as that; c. We don't think of ourselves as black (in the sense that American people do). And it was also interesting that the only people that he talked to (and that saw this as a social issue) were people in academia (academics are out of touch everywhere in the world).4. In the Brazilian section Gates ended at a university (again) with some students talking about the *smoldering* social issue of affirmative action. Earlier, he'd mentioned that there was a lot of white immigration in decades past (thereby bringing people with more talent than locals who also happened to be white), but when he noticed that there were more whites in ""better"" jobs/ positions, he automatically defined that as discrimination. From there, he did some pontificating about the necessity for affirmative action (because of course no black person would EVER have done/will do anything or gotten/ will get ANY job without it).5. Would this have been complete without a trip to Cuba? Yes, Gates noted that most of the Cubans that got out were white Cubans and so are the ones that run the country. But then, he mentioned that they were years ahead of the United States. But the question that he didn't ask (and that we weren't meant to ask) was: ""Would you rather have more equal distribution of an income of $1 or less equal distribution of an income of $10?"" I don't see black people from America moving to Cuba to participate in its bounty.6. The most annoying recurring theme:a. Gates (in some country) kept (implicitly) defining all differences in income as due to discrimination.b. Then, he would show some character waffling on about ""we have had equal rights since 18XX.""c. Finally, he would fail to conclude that equal rights/ opportunities don't necessarily lead to equal results.d. He would then take some swipe at the United States (which, incidentally, has a higher per capita income than ALL of the countries that he showed and whose black population has a higher income than those surveyed).I'm just glad that I saw this on Youtube where I didn't have to actually pay for it. I'd think myself ill used if I had.",2,"A silly, strained series. Dancing idiots everywhere.",1344902400,"08 14, 2012",2012,3443,"['Just', 'very', 'general', 'thoughts', 'too', 'much', 'deal', 'create', 'readable', 'review', 'generally', 'sorry', 'documentary.1', 'first', 'thing', 'annoyed', 'NO', 'END', 'was', 'showed', 'black', 'people', 'dancing', 'single', 'segment', 'yet', 'were', 'almost', 'black', 'people', 'shown', 'holding', 'books', 'doing', 'anything', 'intellectual', 'Even', 'museum', 'curators', 'do', ""n't"", 'think', 'counted', 'single', 'black', 'black', 'person', 'So', 'want', 'see', 'bunch', 'dancing', 'idiots', 'MTV/', 'BET/', 'VH1', 'just', ""n't"", 'have', 'enough', 'then', 'documentary', 'should', 'put', 'top.2', 'Haiti', 'Dominican', 'Republic', 'segment', 'was', 'uncomfortable', 'one', 'hand', 'showed', 'DR', 'people', 'who', 'do', ""n't"", 'think', 'black', 'who', 'have', 'built', 'relatively', 'prosperous', 'country', 'other', 'hand', 'showed', 'Haiti', 'place', 'where', 'everyone', 'black', 'absolutely', 'AWFUL', 'looking', 'place', 'Gates', 'could', ""n't"", 'be', 'bothered', 'take', 'ONE', 'single', 'nice', 'looking', 'neighborhood', 'Haiti', 'more', 'embarrassing', 'been', 'independent', '2', 'centuries', 'actually', 'POORER', 'when', 'started', 'out', 'Gates', 'had', 'vague', 'excuses', 'just', 'why', 'might', 'be', 'so.', '3', 'Mexico', 'section', 'people', 'flat', 'out', 'told', 'Gates', 'not', 'American', 'example', 'b', 'Do', ""n't"", 'try', 'reinterpret', 'c.', 'do', ""n't"", 'think', 'black', 'sense', 'American', 'people', 'do', 'was', 'also', 'interesting', 'only', 'people', 'talked', 'saw', 'social', 'issue', 'were', 'people', 'academia', 'academics', 'are', 'touch', 'everywhere', 'world', '.4', 'Brazilian', 'section', 'ended', 'university', 'again', 'students', 'talking', '*smoldering*', 'social', 'issue', 'affirmative', 'action', 'Earlier', ""'d"", 'mentioned', 'was', 'lot', 'white', 'immigration', 'decades', 'thereby', 'bringing', 'people', 'more', 'talent', 'locals', 'who', 'also', 'happened', 'be', 'white', 'when', 'noticed', 'were', 'more', 'whites', 'better', 'jobs/', 'positions', 'automatically', 'defined', 'discrimination', 'there', 'did', 'pontificating', 'necessity', 'affirmative', 'action', 'course', 'black', 'person', 'would', 'EVER', 'have', 'done/will', 'do', 'anything', 'gotten/', 'will', 'get', 'ANY', 'job', '.5', 'Would', 'have', 'been', 'complete', 'trip', 'Cuba', 'Yes', 'Gates', 'noted', 'most', 'Cubans', 'got', 'out', 'were', 'white', 'Cubans', 'so', 'are', 'ones', 'run', 'country', 'then', 'mentioned', 'were', 'years', 'ahead', 'United', 'States', 'question', 'did', ""n't"", 'ask', 'were', ""n't"", 'meant', 'ask', 'was', 'Would', 'rather', 'have', 'more', 'equal', 'distribution', 'income', '1', 'less', 'equal', 'distribution', 'income', '10', 'do', ""n't"", 'see', 'black', 'people', 'America', 'moving', 'Cuba', 'participate', 'bounty.6', 'most', 'annoying', 'recurring', 'theme', 'Gates', 'country', 'kept', 'implicitly', 'defining', 'differences', 'income', 'due', 'discrimination.b', 'Then', 'would', 'show', 'character', 'waffling', 'have', 'had', 'equal', 'rights', '18XX.', 'c', 'Finally', 'would', 'fail', 'conclude', 'equal', 'rights/', 'opportunities', 'do', ""n't"", 'necessarily', 'lead', 'equal', 'results.d', 'would', 'then', 'take', 'swipe', 'United', 'States', 'incidentally', 'higher', 'capita', 'income', 'countries', 'showed', 'black', 'population', 'higher', 'income', 'surveyed', '.I', ""'m"", 'just', 'glad', 'saw', 'Youtube', 'where', 'did', ""n't"", 'have', 'actually', 'pay', ""'d"", 'think', 'ill', 'used', 'had']",N/A
1421108,A2PTX32OTTTEF,B004NJC0NY,"L. PARKER ""KETA""","[0, 0]","I enjoyed this series and it took me two nights to watch this because I did not finish watching it at one time. I learned how African American/ black ancestry is all over the world, even when some did not know they had black ancestry. This helped me to understand why some ethnicities/ races have various complexions. Plenty do not know Mexico, Brazil and Latin America is full of people with black ancestry. I love watching Henry Louis Gates Jr has the star guest/ host because he is an intelligent man.",5,I learned new African American ancestry,1389052800,"01 7, 2014",2014,504,"['enjoyed', 'series', 'took', 'two', 'nights', 'watch', 'did', 'not', 'finish', 'watching', 'one', 'time', 'learned', 'how', 'African', 'American/', 'black', 'ancestry', 'world', 'even', 'when', 'did', 'not', 'know', 'had', 'black', 'ancestry', 'helped', 'understand', 'why', 'ethnicities/', 'races', 'have', 'various', 'complexions', 'Plenty', 'do', 'not', 'know', 'Mexico', 'Brazil', 'Latin', 'America', 'full', 'people', 'black', 'ancestry', 'love', 'watching', 'Henry', 'Louis', 'Gates', 'Jr', 'star', 'guest/', 'host', 'intelligent', 'man']",N/A
1421109,A17UXXQRJUD0I4,B004NJC0NY,"Maizie Lucille James ""Still learning""","[0, 0]","I applaud Dr. Henry Louis Gates for this excellent documentary series, which explores the history of the slave trade in Latin American, and its lasting impact which arose to establishing a rich culture among the oppressed and enslaved Africans.  Yet this excellent series goes further, detailing the brave men and women who rose up in protest and revolt against  their enslavement.Indeed, this documentary allows the audience the historical backdrop of the response among African slaves and 'mixed race' peoples to the Portuguese, Spanish, and French slave owners who brought them to work , particularly on the sugar plantations, and also in mines in the Americas.This rich African heritage dating back five centuries is extraordinary in how the various Latin American countries would evolve from the anguish of the oppressed, who would rise in protest and revolution to become unique multicultural societies forever tarnished by racism, classicism, prejudice, and personal identity based on skin color which has persisted through the 21st century.Thank you, Dr. Gates for this great history lesson.Maizie Lucille JamesJuly 12,  2014",5,GREAT DOUCMENTARY EXPLORING AFRICAN HERITAGE IMPACT IN LATIN AMERICA,1405123200,"07 12, 2014",2014,1133,"['applaud', 'Dr.', 'Henry', 'Louis', 'excellent', 'documentary', 'series', 'history', 'slave', 'trade', 'Latin', 'American', 'lasting', 'impact', 'arose', 'establishing', 'rich', 'culture', 'oppressed', 'enslaved', 'Africans', 'excellent', 'series', 'further', 'detailing', 'brave', 'men', 'women', 'who', 'rose', 'up', 'protest', 'revolt', 'enslavement.Indeed', 'documentary', 'audience', 'historical', 'backdrop', 'response', 'African', 'slaves', ""'mixed"", 'race', 'peoples', 'Portuguese', 'Spanish', 'French', 'slave', 'owners', 'who', 'brought', 'work', 'particularly', 'sugar', 'plantations', 'also', 'mines', 'Americas.This', 'rich', 'African', 'heritage', 'dating', 'back', 'five', 'centuries', 'extraordinary', 'how', 'various', 'Latin', 'American', 'countries', 'would', 'evolve', 'anguish', 'oppressed', 'who', 'would', 'rise', 'protest', 'revolution', 'become', 'unique', 'multicultural', 'societies', 'forever', 'tarnished', 'racism', 'classicism', 'prejudice', 'personal', 'identity', 'based', 'skin', 'color', 'persisted', '21st', 'century.Thank', 'Dr.', 'Gates', 'great', 'history', 'lesson.Maizie', 'Lucille', 'JamesJuly', '12', '2014']",N/A
1421110,A9U998O8T54AY,B004NJC0NY,phantommaster,"[0, 0]",Lot of good information on black history. Professor Gates i applaud you for your research. This is a keeper !,5,Very Good,1397260800,"04 12, 2014",2014,109,"['Lot', 'good', 'information', 'black', 'history', 'Professor', 'i', 'applaud', 'research', 'keeper']",N/A
