,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1505410,A2I1B5TKYV2F1X,B005Y423ZC,"A. ALAWADI ""bubble pop""","[2, 3]","It's rare nowadays to buy a music DVD for actual ""Music"" and on this Dvd it's only about the music, great music! Adele's voice is stunning, great audience interaction and the sound and picture quality are simply amazing. This is a MUST for those that loved her ""21"" and ""19"" albums. It won't disappoint at all i'm simply in awe!",5,THIS!!!!!!,1324252800,"12 19, 2011",2011,328,"['rare', 'nowadays', 'buy', 'music', 'DVD', 'actual', 'Music', 'Dvd', 'only', 'music', 'great', 'music', 'Adele', 'voice', 'stunning', 'great', 'audience', 'interaction', 'sound', 'picture', 'quality', 'are', 'simply', 'amazing', 'MUST', 'loved', '21', '19', 'albums', 'wo', ""n't"", 'disappoint', 'i', ""'m"", 'simply', 'awe']",Adele: Live At The Royal Albert Hall
1505411,A3NCUFF540KY1E,B005Y423ZC,adover,"[0, 0]",Got this as a gift for a family member she loves it and it is such a great video. If you love Adele it's a must have,5,This gift,1346112000,"08 28, 2012",2012,116,"['Got', 'gift', 'family', 'member', 'such', 'great', 'video', 'love', 'must', 'have']",Adele: Live At The Royal Albert Hall
1505412,A1G0VFQ9198IUF,B005Y423ZC,al,"[1, 1]","this package is both DVD and CD.  got songs like hometown glory, lovesong,rumor has it, my same and a bunch more.  nice and crisp.  i like Adele songs i can see her becoming a legend in like 30 years.",5,a modern gem,1340582400,"06 25, 2012",2012,200,"['package', 'DVD', 'CD', 'got', 'songs', 'hometown', 'glory', 'lovesong', 'rumor', 'same', 'bunch', 'more', 'nice', 'crisp', 'i', 'Adele', 'songs', 'i', 'can', 'see', 'becoming', 'legend', '30', 'years']",Adele: Live At The Royal Albert Hall
1505413,A2UJLU4U9VLJUD,B005Y423ZC,Amazon Customer,"[1, 2]","As much as I enjoy Adele's talent as a singer, I thought I would enjoy the live concert. But Buyer Beware! Miss Adele has a potty mouth and uses it during the breaks between songs. Since I don't use this type of language and protect children from it...I feel it was money down the toilet. I do enjoy listening to the 21 CD.",2,Love Adele's Singing Ability...but.....,1366675200,"04 23, 2013",2013,323,"['As', 'much', 'enjoy', 'Adele', 'talent', 'singer', 'thought', 'would', 'enjoy', 'live', 'concert', 'Buyer', 'Beware', 'Miss', 'Adele', 'potty', 'mouth', 'breaks', 'songs', 'do', ""n't"", 'use', 'type', 'language', 'protect', 'children', 'feel', 'was', 'money', 'down', 'toilet', 'do', 'enjoy', 'listening', '21', 'CD']",Adele: Live At The Royal Albert Hall
1505414,AREEJZ6DWVV4Y,B005Y423ZC,Amy,"[0, 1]","Adele is a complete singer and composer. You don't see at these times people who can sing like her. She sings all her best songs and some covers. The songs Turning Tables, Set Fire to the Rain, Rumour has It, Chasing Pavements and of course Someone Like You are beautiful performed. The covers are also great. In my opinion the covers If It Hadn't Been for Love and I Can't Make You Love Me are the best, specially I Can't Make You Love Me, her interpretation will make Bonnie Raitt proud.About the sound, is amazing. You can feel her performance all the way.Now the part that is not so good. I was hoping that since this is 2011 they shot this concert in high definition, IS NOT. Of course is Blu Ray, you see better definition than DVD but please!!! I hate the dark bars!!!!Well I gave 5 stars because even when they did not shot this in HD I still like the concert, how she interacts with the fans and the sound.",5,Superb,1323043200,"12 5, 2011",2011,915,"['Adele', 'complete', 'singer', 'composer', 'do', ""n't"", 'see', 'times', 'people', 'who', 'can', 'sing', 'best', 'songs', 'covers', 'songs', 'Turning', 'Tables', 'Set', 'Fire', 'Rain', 'Rumour', 'Chasing', 'Pavements', 'course', 'Someone', 'are', 'beautiful', 'performed', 'covers', 'are', 'also', 'great', 'opinion', 'covers', 'Had', ""n't"", 'Been', 'Love', 'Ca', ""n't"", 'Make', 'Love', 'Me', 'are', 'best', 'specially', 'Ca', ""n't"", 'Make', 'Love', 'Me', 'interpretation', 'will', 'make', 'Bonnie', 'Raitt', 'sound', 'amazing', 'can', 'feel', 'performance', 'way.Now', 'part', 'not', 'so', 'good', 'was', 'hoping', '2011', 'shot', 'concert', 'high', 'definition', 'IS', 'NOT', 'course', 'Blu', 'Ray', 'see', 'better', 'definition', 'DVD', 'please', 'hate', 'dark', 'Well', 'gave', '5', 'stars', 'because', 'even', 'when', 'did', 'not', 'shot', 'HD', 'still', 'concert', 'how', 'fans', 'sound']",Adele: Live At The Royal Albert Hall
1505415,A2SGAJWXG65464,B005Y423ZC,Anthony,"[3, 4]","As a fan, one cannot be disappointed in this blu-ray rendition of Adele's concert at the Royal Albet Hall.  The sound on the blu-ray is spectacular (most of the credit goes to the singer & band, not to the video quality of the blu-ray). Highly recommended for all Adele fans and those who are blu-ray fans, as well.",5,Excellent,1322611200,"11 30, 2011",2011,315,"['fan', 'one', 'can', 'not', 'be', 'disappointed', 'blu-ray', 'rendition', 'Adele', 'concert', 'Royal', 'Albet', 'Hall', 'sound', 'blu-ray', 'spectacular', 'most', 'credit', 'singer', 'band', 'not', 'video', 'quality', 'blu-ray', 'Highly', 'recommended', 'Adele', 'fans', 'who', 'are', 'blu-ray', 'fans', 'as', 'well']",Adele: Live At The Royal Albert Hall
1505416,A39RMTD780WVJF,B005Y423ZC,"A. R. Smithee ""Rayjay""","[0, 0]","Enough has been said about what a great voice she has, so that needs no further elaboration. She sings 21 completely, plus some very excellent covers, along with 1 or 2 songs from 19. Some people did not like the editing of the concert, but I thought it was appropriate to the setting and very professionally done. It did not have the badly done ""jump"" cuts that you see in some concert films.Adele comes across as a real person, warts and all. I can recommend this DVD or Blu-Ray without reservation. She does use some foul language, so if that's a problem, get the edited version of the same concert.",5,ALMOST PERFECT CONCERT,1325376000,"01 1, 2012",2012,602,"['Enough', 'been', 'said', 'what', 'great', 'voice', 'further', 'elaboration', '21', 'completely', 'very', 'excellent', 'covers', '1', '2', 'songs', '19', 'people', 'did', 'not', 'editing', 'concert', 'thought', 'was', 'appropriate', 'setting', 'very', 'professionally', 'done', 'did', 'not', 'have', 'badly', 'done', 'jump', 'cuts', 'see', 'concert', 'films.Adele', 'across', 'real', 'person', 'warts', 'can', 'recommend', 'DVD', 'Blu-Ray', 'reservation', 'use', 'foul', 'language', 'so', 'problem', 'get', 'edited', 'version', 'same', 'concert']",Adele: Live At The Royal Albert Hall
1505417,A3OEJU4YC5OVY3,B005Y423ZC,August,"[0, 0]",I watched it on line several times and then ordered the DVD/CD.  The entire concert is wonderful.  You gotta love Adele.,5,Total Great,1362009600,"02 28, 2013",2013,120,"['watched', 'line', 'several', 'times', 'then', 'ordered', 'DVD/CD', 'entire', 'concert', 'wonderful', 'got', 'ta', 'love', 'Adele']",Adele: Live At The Royal Albert Hall
1505418,A23JMIIOGHPJDW,B005Y423ZC,Avid Reader,"[0, 0]","I heard first heard and saw Adele on a ""Graham Norton Show"" broadcast and decided I had to buy her album ""21.""  Liked it, but found this CD/DVD combo about a month later and went for it.  I am so-o-o glad that I did.  The additional cover songs are great and Adele's warm, bubbly personality comes shining through on the DVD.  Although her voice is not at its best, it's live and I don't expect live performances to match the vocal perfection she could have in a studio version of the songs.  But, with her providing narration on the background of creating her songs and choosing others' songs to cover, this DVD concert is a real treat.  Adele wakes me up on my clock radio (this version) and she seranades me everyday in my car, when I'm not pausing the telly every now and then to watch a song or two from this DVD.  Perfection as entertainment.  I am a sucker for singers like Westlife and Adele who don't need gimmicks, just their voices, to serenade and satisfy.Brava, Adele!",5,"Better than 21, despite some vocal problems!",1329868800,"02 22, 2012",2012,981,"['heard', 'first', 'heard', 'saw', 'Adele', 'Graham', 'Norton', 'Show', 'broadcast', 'decided', 'had', 'buy', 'album', '21', 'Liked', 'found', 'CD/DVD', 'combo', 'month', 'later', 'went', 'am', 'so-o-o', 'glad', 'did', 'additional', 'cover', 'songs', 'are', 'great', 'Adele', 'warm', 'bubbly', 'personality', 'shining', 'DVD', 'voice', 'not', 'best', 'live', 'do', ""n't"", 'expect', 'live', 'performances', 'match', 'vocal', 'perfection', 'could', 'have', 'studio', 'version', 'songs', 'providing', 'narration', 'background', 'creating', 'songs', 'choosing', 'others', 'songs', 'cover', 'DVD', 'concert', 'real', 'treat', 'Adele', 'wakes', 'up', 'clock', 'radio', 'version', 'everyday', 'car', 'when', ""'m"", 'not', 'pausing', 'telly', 'now', 'then', 'watch', 'song', 'two', 'DVD', 'Perfection', 'entertainment', 'am', 'sucker', 'singers', 'Westlife', 'Adele', 'who', 'do', ""n't"", 'need', 'gimmicks', 'just', 'voices', 'serenade', 'satisfy.Brava', 'Adele']",Adele: Live At The Royal Albert Hall
1505419,A2X5LFVFOHOOXX,B005Y423ZC,"Bernard M Lynch Jr ""iBernard""","[0, 0]","Finally! A breath of fresh air. The best part of this is the DVD/CD packaging. The CD for the car, and the DVD for when you want to laugh your *ss off at how bawdy Adele can really be. And it just adds to her charm. What a great gift for someone who doesn't know ADELE at all. Perfect. In every way.",5,"Adele. Finally, a breath of fresh air and NEW TALENT not from the Simon Cowell machine!",1386028800,"12 3, 2013",2013,299,"['Finally', 'breath', 'fresh', 'air', 'best', 'part', 'DVD/CD', 'packaging', 'CD', 'car', 'DVD', 'when', 'want', 'laugh', '*ss', 'off', 'how', 'bawdy', 'Adele', 'can', 'really', 'be', 'just', 'charm', 'What', 'great', 'gift', 'someone', 'who', ""n't"", 'know', 'ADELE', 'Perfect', 'way']",Adele: Live At The Royal Albert Hall
