,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1635556,A1MTZ41R8KXJAQ,B00BLXAJWO,Amanda Stephenson,"[0, 0]","I thought Dorfman in Love was your regular, run of the mill, Hollywood romantic comedy...but not too cheesy! Indi is more like it.",3,Run of the mill....,1380672000,"10 2, 2013",2013,130,"['thought', 'Dorfman', 'Love', 'was', 'regular', 'run', 'mill', 'Hollywood', 'romantic', 'comedy', 'not', 'too', 'cheesy', 'Indi', 'more']",Dorfman in Love
1635557,A18QQQ99WIFAY9,B00BLXAJWO,Barbara I. Meyer,"[0, 0]","Pretty true to life as to experience(s) we've all had. Nice movie. No slapstick, just straight forward entertainment&#8230;chick movie for sure.",3,It's a nice story.,1389830400,"01 16, 2014",2014,144,"['Pretty', 'true', 'life', 'experience', ""'ve"", 'had', 'Nice', 'movie', 'slapstick', 'just', 'straight', 'forward', 'entertainment', '8230', 'chick', 'movie', 'sure']",Dorfman in Love
1635558,A1YQ3ZOH3R8NFE,B00BLXAJWO,DAWNWANDERS,"[0, 0]","I LIKE SARA RUE SO I TOOK A CHANCE, NOT HAVING SEEN THE MOVIE BEFORE.  PROBABLY AIMED AT THE FEMALE CROWD...",4,CHICK FLICK....,1376006400,"08 9, 2013",2013,108,"['LIKE', 'SARA', 'RUE', 'SO', 'TOOK', 'CHANCE', 'NOT', 'HAVING', 'SEEN', 'THE', 'MOVIE', 'BEFORE', 'PROBABLY', 'AIMED', 'AT', 'THE', 'FEMALE', 'CROWD']",Dorfman in Love
1635559,AJ13JE89UD2YR,B00BLXAJWO,"Jody Staller ""Jo""","[2, 2]","I love love loved this movie. My one complaint is the brother turned out to be a real loser. Although the plot follows a familiar rom-con formula, it didn't feel formulaic. I watched it twice in 48 hours, which is rare for me. It really pulled me in and I really felt for the characters. Liked it enough to review which is saying a lot.",5,Great Movie! A gem!,1372204800,"06 26, 2013",2013,336,"['love', 'love', 'loved', 'movie', 'one', 'complaint', 'brother', 'turned', 'out', 'be', 'real', 'loser', 'plot', 'familiar', 'rom-con', 'formula', 'did', ""n't"", 'feel', 'formulaic', 'watched', 'twice', '48', 'hours', 'rare', 'really', 'pulled', 'really', 'felt', 'characters', 'Liked', 'enough', 'review', 'saying', 'lot']",Dorfman in Love
1635560,A2A1I8PZ7QXUB9,B00BLXAJWO,kahuna Girl,"[1, 1]",This actually turned out to be a surprise movie for me. Was a tad slow at the start of movie but finished really well.Sara Rue is so adorable as she plays a very ordinary girl who goes for what she wants and stands her ground to get it.,4,Surprise,1387670400,"12 22, 2013",2013,236,"['actually', 'turned', 'out', 'be', 'surprise', 'movie', 'Was', 'tad', 'slow', 'start', 'movie', 'finished', 'really', 'well.Sara', 'Rue', 'so', 'adorable', 'very', 'ordinary', 'girl', 'who', 'what', 'ground', 'get']",Dorfman in Love
1635561,A3P4ZAKMBODPQK,B00BLXAJWO,Karen Kraeger,"[1, 1]","The title doesn't do the movie justice.  It was a funny, enjoyable romantic comedy.  We liked it and loved the main character-Sara Rue.  Enjoy!",4,Don't let the title fool you,1397606400,"04 16, 2014",2014,143,"['title', ""n't"", 'do', 'movie', 'justice', 'was', 'funny', 'enjoyable', 'romantic', 'comedy', 'liked', 'loved', 'main', 'character-Sara', 'Rue', 'Enjoy']",Dorfman in Love
1635562,A36MYWZWIO24TP,B00BLXAJWO,Katmandu,"[1, 1]",I really loved the chemistry and storyline about Cookie and Deborah.  Also the family values of Cookie and Deborah.  Cookie and Deborah were both seeking love and not lust.,5,dorfman in love,1395446400,"03 22, 2014",2014,172,"['really', 'loved', 'chemistry', 'storyline', 'Cookie', 'Deborah', 'Also', 'family', 'values', 'Cookie', 'Deborah', 'Cookie', 'Deborah', 'were', 'seeking', 'love', 'not', 'lust']",Dorfman in Love
1635563,A2V0H1TM9L07K8,B00BLXAJWO,Lezlie Kay,"[0, 0]",A coming of age movie that with a pretty typical plot but it was nicely done. The characters were very likable and I always like a happy ending.,4,Nice Chick Flick,1379116800,"09 14, 2013",2013,144,"['coming', 'age', 'movie', 'pretty', 'typical', 'plot', 'was', 'nicely', 'done', 'characters', 'were', 'very', 'likable', 'always', 'happy', 'ending']",Dorfman in Love
1635564,A3READRPSIWOYM,B00BLXAJWO,L. Jensen,"[1, 2]","I found most of the characters tedious. A lot of things didn't really make sense or feel real. Contrived situation, sudden makeover....I was having a hard time suspending my disbelief quite enough to get into this movie.",3,Not as funny as I was led to believe.,1374710400,"07 25, 2013",2013,220,"['found', 'most', 'characters', 'tedious', 'lot', 'things', 'did', ""n't"", 'really', 'make', 'sense', 'feel', 'real', 'Contrived', 'situation', 'sudden', 'makeover', '.I', 'was', 'having', 'hard', 'time', 'suspending', 'disbelief', 'quite', 'enough', 'get', 'movie']",Dorfman in Love
1635565,A1J8SESQRBE95G,B00BLXAJWO,L. Jong,"[2, 2]",I liked how the female character was able to see through her self-absorbed dream man and chooses another man who really truly cares about her.  Loved the fact that the other man included his parents in the mix.,5,Nice Romance,1374624000,"07 24, 2013",2013,210,"['liked', 'how', 'female', 'character', 'was', 'able', 'see', 'self-absorbed', 'dream', 'man', 'man', 'who', 'really', 'truly', 'Loved', 'fact', 'other', 'man', 'included', 'parents', 'mix']",Dorfman in Love
