,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
354160,5,6301782666,"I hadn't seen this movie since 1985 when it first came out and was excited to find it on DVD and it was a great as I remembered!  This is an original fantasy that is a lot of fun.  Mia Farrow is charming as Cecilia, a woman in the depression era who is addicted to movies.  Jeff Daniels plays the character from the movie ""The Purple Rose of Cairo"" whom she fantasizes about.  The fun begins when Jeff Daniels character walks off the screen and into Cecilia's life.....but reality soon sets in when the REAL actor gets wind that his character has walked off the screen.....the movie is simply wonderful and forgoes the typical happy ending....favoring REALITY over fantasy.  Watch it you won't be disappointed.  Even if you don't care for Woody Allen movies, I know you'll love this one!",1020211200,5,787,4.585714285714285
354161,5,6301782666,"Woody Allen has long admired the works of both Ingmar Bergman and Federico Fellini, and while he has done other movies that intentionally (and not very successfully, in my opinion) mimic those two great directors, I think ""Purple Rose of Cairo"" is his better homage to Fellini.  He captures the same poignant combination of humor and pathos as Fellini does in his earlier masterpieces ""La Strada"" and ""Nights of Cabiria.""  In fact, the concluding scene of Cecilia (Mia Farrow) staring at the movie screen, her eyes transforming from despair to hope (as her life has just gone down the toilet) is a mirror of the concluding scene in Fellini's ""Cabiria.""  This is also Allen's most loving tribute to ""the movies."" Movies allow us to escape to a better world and--at least temporarily--to escape our selves. The cast is great--especially the wonderful supporting characters who seem right out of the Depression era, as are those who play the movie characters who get stranded on-screen when one of their colleagues steps out into the real world. While this may not be one of Woody Allen's most popular films, it is a near-perfect little gem.",1017187200,19,1138,4.916666666666667
354162,4,6301782666,"Cecilia goes to the movies night after night, to escape her dreary life, and sees The Purple Rose of Cairo over and over.  Each time, we pick up little scenes from the movie that is unfolding within the  movie.  Imagine the surprise, when a scene we've watched before isn't quite right.  The Tom Baxter character seems distracted.  Is it possible he just glanced out into the audience?
This is exactly what Tom Baxter does, as he's noticed Ceclia watching the movie night after night.  We watch as he starts speaking to her as she sits in her theater seat and eventually he jumps down off of the screen to the surprise of the audience and the cast of the Purple Rose of Cairo.
The comedy is great, as the movie cast can't proceed without Tom.  They start to bicker amongst themselves and even take out their frustration on the audience...""You think you've got problems?  We've got problems of our own!""  Tom and Ceclia begin an offscreen adventure that makes clever use of the fact that Tom isn't actually a real person.  There are plenty of gags and some great lines, particularly when Cecila proclaims that she's finally met the perfect man, ""although he is fictional.""
This is one of my favorite Allen films that doesn't actually star Allen.  I'm happy that this movie, along with Hannah and Her Sisters, Broadway Danny Rose and Play it again Sam, have finally been released on DVD.  This is a typical no-frills MGM release, with the movie in widescreen format, the theatrical trailer, and optional subtitles.",1005177600,,1512,4.729007633587786
354313,5,6301782666,Woody always great and cast and theme unique  seen few times  good,1485993600,,66,4.416666666666667
354314,5,6301782666,Still one of my top 5 of all time!,1485820800,,34,2.888888888888889
354315,4,6301782666,Great,1485734400,,5,5.0
354316,5,6301782666,Great movie!  Well done.,1484611200,,24,5.0
354317,3,6301782666,"It's cute, but it has only one running joke like Zelig.  It's ok if you're a real Wood Allen fan.",1483920000,,97,3.85
354318,5,6301782666,Such a cute movie! I love it!,1483315200,,29,3.2857142857142856
354319,4,6301782666,"Vintage Woody Allen. Wonderful exploration of the line between reality and fantasy. Nicely nerdy characters, with a hard reality coda for the heroine.",1479168000,,150,5.565217391304348
354320,4,6301782666,Weird story. God help me; I love it. Thanks Twilight Time.,1477612800,,58,4.363636363636363
354321,5,6301782666,"Good story, well acted.",1477180800,,23,5.0
354322,5,6301782666,Nice DVD of classic Woody Allen film. One of Jeff Daniel's best roles. Must see for Allen fans.,1476835200,,95,4.333333333333333
354413,4,6301782666,"Van Johnson?  What's he doing in one of Woody's films?  And, after this, whatever became of the co-star leading man?  As always, Woody has wonderfully screwy ideas, very ably presented.  Not one of his ""best"" however.",1476576000,,217,4.944444444444445
354414,3,6301782666,I kept waiting for something better but it just never happened.,1476576000,,63,4.818181818181818
354415,5,6301782666,This Movie was great,1476316800,,20,4.25
354416,4,6301782666,Fun movie. For once Woody didn't get too silly along the way.,1476230400,,61,4.166666666666667
354417,5,6301782666,The best woody movie!!!,1476230400,,23,5.0
354418,3,6301782666,I liked the movie but my wife did not. Unique plot provides a great way to examine the world from an idealistic and realistic perspective.,1475971200,,138,4.56
354419,5,6301782666,Loved it! Magical story!,1475625600,,24,5.25
354420,2,6301782666,"An interesting movie, however the ending was not good.",1475366400,,54,5.111111111111111
354421,3,6301782666,Really 2-1/2 stars. Adequate. Interesting premise.,1475193600,,50,7.5
354422,5,6301782666,I love this movie it's fun to watch light and easy one of the best.,1475107200,,67,3.533333333333333
354483,4,6301782666,none,1475107200,,4,4.0
354484,4,6301782666,"Great movie. Re-watched after many years, stlll good",1475020800,,52,5.625
354485,5,6301782666,Superb!,1474848000,,7,7.0
354486,4,6301782666,"If you enjoy Woody Allen's sense of humor, you'll enjoy this move..",1474848000,,67,4.666666666666667
354487,5,6301782666,always great.,1474848000,,13,6.0
354488,5,6301782666,Enjoyed the film. Woody Allen is a terrific writer and director.,1474848000,,64,4.909090909090909
354489,2,6301782666,Barely entertaining with an unsatisfying end,1474848000,,44,6.5
354490,2,6301782666,The acting is okay but the story line just doesn't make sense. I realize it's a comedy but just couldn't get into it.,1474156800,,117,4.130434782608695
354491,5,6301782666,"One of my all time favorite Woody Allen movies! Funny,smart,sweet",1474070400,,65,5.6
354492,4,6301782666,Great movie . . . but sad!  Nice period piece.,1473984000,,46,3.6
354583,4,6301782666,One of the better Woody Allen movies.,1473724800,,37,4.428571428571429
354584,5,6301782666,Thank you Amazon Prime for this beautiful movie.,1473465600,,48,5.125
354585,2,6301782666,It was like a bad dream,1473206400,,23,3.0
354586,1,6301782666,"When I put in my DVD player it wouldn't play. Because of the ""reliable"" source in England, they do not have the same type of equipment as we do here in the States, it could not play. SO VERY DISAPPOINTED",1472515200,,203,4.1
354587,5,6301782666,Lived nearby when this was being filmed so the experience was awesome on two levels!.,1459468800,,85,4.733333333333333
354588,5,6301782666,Excellent surreal enjoyable and makes you think!,1457395200,,48,6.0
354589,5,6301782666,"Wonderful, from the period when Woody Allen made his best movies!",1456617600,,65,5.0
354590,5,6301782666,EXCELLENT,1456358400,,9,9.0
354591,5,6301782666,Great movie. Early Jeff Daniels at his best,1454889600,,43,4.5
354592,5,6301782666,Wonderful intertwining of realty and romantic fantasy. Mia Farrow is delightful.,1453593600,,80,6.363636363636363
