,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1243749,5,B00000JZHN,This has to be my all time favorite DVD far better than other productions of this I have viewed.  Absolutely delightful to watch for people of all ages - it's a keeper that you can watch over and again!,1207180800,2,202,4.17948717948718
1243750,5,B00000JZHN,"It's hard to believe, but I never heard of Wind in the Willows until I was about 16 years old, when it was first read aloud to me, around a glowing campfire. It was an instant love affair.

Years later, I shared the classic with my children. So when we found an animated version of the book for sale in a neighbor's tag sale, we snapped it up. We've loved the film ever since.

The animal characters--Badger, Mole, Toad, Weasel  and all the others--congregate often at Toad Hall and elsewhere, and the story takes many delightful turns.

This animated version, directed by Dave Unwin, is every bit as classic as the book. Your children will surely love it as much as we did--including the child in this particular mom.

--Alyssa A. Lappen",1160265600,7,738,4.5606060606060606
1243751,4,B00000JZHN,"Since no one has revied this DVD and since I've never seen the DVD I don't know if this is the right movie. But if it is, it is classic.
I remember watching this during the holidays at my aunt's and uncles. Wild Mr. Toad and his crazy adventures and Ratty Mole and Badger. And the final battle between the heroes and the weasels to get them out of Mr. Toad's mansion.
The four stars are for the movie I saw as a kid, I don't know if this is that movie, but I hope it is.",1012176000,,470,3.8556701030927836
1243752,3,B00000JZHN,"This is the third version of Wind in the Willows that I've seen with my daughter. This may be the lamest version we've watched. Still, its a great story. Very funny and with the second movie, Winter in the Willows, make it a good buy. I don't regret buying it.",998265600,,260,4.22
1243753,5,B00000JZHN,"Our children already owned & loved these films on VHS, so I was suprised to see both full-length movies available on a single DVD for a bargain price.  True, there are no DVD ""extras"" in addition to  the two movies, but the important part -- the animated film -- looks better  than ever on DVD.  It's a crisp transfer of the charming Beatrix  Potter-style animation (not surprising, given that these were done by the  folks resposible for the fine ""World of Peter Rabbit &  Friends"" video series).
These wonderful children's films deserve a  much wider viewing than I think they've received. They are faithful  adaptations of the books, and the animation is, as I mentioned before,  charming. But perhaps the best parts are the delightfully engaging voice  characterizations -- Rat (voiced by Michael Palin of Monty Python fame),  Mole, Badger, and the irrepressible Toad are all done spot-on.  Toad's wild  antics usually give our young daughters the giggles, and the motorcars and  battle heroics are bound to capture the interest of young boys.
A  worthwhile purchase, or a great gift for children 2-7 who haven't yet seen  these films.",960508800,28,1139,4.941798941798941
1243754,5,B00000JZHN,"a longtime fan of the willows, i was pleased to see the producers of this dvd made few changes to the story. rik mayall's voice characterization of toad is perfect. mike palin's ratty is also excellent. and the lovely voice  of dame redgrave as the narrator adds to the pleasure.",959212800,6,279,4.58
1243755,5,B00000JZHN,And I thought the video's were fantastic!  I compared the sound and picture to the video versions. The dvd is in awesome stereo sound and the picture is crystal clear. Two of the best animated movies I have seen. Kids  and Adults will love it.,953337600,5,243,4.377777777777778
1243816,5,B00000JZHN,Thank you,1434067200,,9,4.0
1243817,5,B00000JZHN,This is the dearest tale and so very well formatted for children and adults,1413763200,,75,4.428571428571429
1243818,5,B00000JZHN,This is a classic that is missed by many young children- I read it to my third graders and then show the DVD- they love it! Highly recommend!,1390867200,2,141,4.071428571428571
