,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1246493,1,B00001U0E4,"There's a wonderful little Scottish movie called Shallow Grave floating around (on DVD even, and it's quite fascinating); this movie is Shallow Grave gone bad.  The plot's very much the same, but the acting here -- if  you can call it acting -- is infinitely worse, and too many of the  characters are not very interesting and simply unlikable.  There's also  nothing memorable about the filmmaking itself -- it's very inconsistent, a  hodgepodge of styles that never come together in a true directorial vision.  In fact, sometimes it seems all director/screenwriter Witkins is  interested in are his actors pretty bodies.",959731200,6,622,5.15
1246494,4,B00001U0E4,"It's not easy to find movies with bisexual main characters.  ""The Talented Mr. Ripley"" comes to mind.  And so does ""No Ordinary Love"".  I saw it first in Mexico on Pay TV under the title  ""Deseos Ocultos"" (Hidden Desires).  What I like most about this  movie is the fluid way characters go from liking a member of one sex to  liking a member of the other.  It is a very realistic portrayal, I think,  of a large segment of the population.  I also like the fact that the cast  is ethnically mixed (White, Asian, Latin, Black).  The filmmaker was trying  to show diversity in both race and sexual preference, and I think this adds  a lot to the movie's appeal.  Well, not everyone is blond and blue-eyed,  you know?  Also, I really identified with Vince wanting to try out several  personalities and ""looks"" before settling upon his  ""true"" self.",952992000,15,844,4.543624161073826
1246495,5,B00001U0E4,"I really loved Nicholas Roeg's film THE MAN WHO FELL TO EARTH starring Daviod Bowie because you had to watch it several times to ""get it"".  It's the same deal with NO ORDINARY LOVE.  Yeah, there are a lot  of subplots, but that makes it all the more interesting to watch the 2nd,  3rd and 4th time around.  And the unique thing about this very sexy soap  is: you can watch it once normally, and then again with Spanish subtitles  (practice your Spanish!) and again with French subtitles (ditto French),  and then again with a very interesting commentary by the filmmakers.  Then  you can isolate all kinds of wonderful moments from the film with the many  menus.  Somebody put a lot of thought into this DVD --much more than other  gay titles I've seen on DVD. It sure won't be something you watch once and  then put on the shelf to collect dust.",952560000,18,846,4.444444444444445
1246496,5,B00001U0E4,"For an independent, ""omnisexual"" picture, No Ordinary Love has a lot of really cool features on the DVD.  Everyone I know really likes the Vince and Ramon story, and the DVD makers took that subplot right out of  the movie and made it a stand-alone featurette!  You can also jump directly  to each of the hot love scenes between the beautiful young actors.  The DVD  version of the movie, an entertaining, Almodovar-esque comedic melodrama,  also has an informative and funny commentary track.  The music is great,  especially the bathtub scene with ""Tempted"".  The young actors  may not have acted much before, but they have so much screen charisma, I  didn't mind their inexperience.  I wish there were more movies like this  one.",951955200,20,732,4.89344262295082
1246497,4,B00001U0E4,"Actually, the many loves, and types of love, contained in this little film are quite 'ordinary' and happen every day. They just don't usually make it to the big, or little, screen. We have a guy who owns a house. He can't  come out because his mother fantasizes that he will get married one day. He  rents rooms to a female in a rock band (with whom he, and just about  everyone else, has an affair; a dead guy; a narcissistic (and justifiably  so) actor who likes it both ways; a cute little Asian boy; and an  over-weight bank teller. The movie must be viewed as a self-contained soap  opera, considering the myriad twists of plot and sub-plot, which involves  the usual betrayal, bank robbery, adultery, and murder. The nicest facet of  the story is the developing romance between Vince (the Asian boy) and his  'straight' hispanic neighbor, Ramon -- who is also the son of an abusive  father (upon whom his mother is cheating with Andy, the narcissistic  actor!). The only two who have any integrity in the film are Ramon and  Vince, and they are amply rewarded at the end. Probably only deserves three  stars, but the people are cute enough to bump it up to four. And it's just  nice to see a film where there is a natural variety of sexual preference.  It's not SHAKESPEARE IN LOVE, but it is fun.",947462400,36,1303,4.485106382978723
1246498,1,B00001U0E4,"this movie sounded like a cool idea.  apparently the idea was cool, but what came out of it wasn't.  the acting is bad, the characters are stiff.  you don't get enough to know the characters.  andy is cute and has a nice  body, but the plot sucked!",947462400,3,248,4.191489361702128
1246499,2,B00001U0E4,"This is one of the lousiest acted gay films I've seen in a long time. It's so bad, the DVD comes with an optional ""humorous commentary"" track that plays with the movie. The acting seems stiff. It's deffinately a  movie to laugh at, not with... It's only saving grace is the love story  between Vince and Ramone. Although the acting is no different than the rest  of the story, there are some moments that are pretty cool...",946425600,9,423,4.467532467532467
7914836,4,B00001U0E4,"THE TITLE  IS CORRECT.  THIS MUST BE A USC STUDENT FILM.  BUT, THE JUXTAPOSITION OF ACTIONS HERE, THEN  THERE  , WITH AT LEAST THREE STORY LINES, PLUS THE CHARACTERS, MADE THIS FILM  FUN  TO WATCH.",1438041600,,197,4.457142857142857
7914837,5,B00001U0E4,Thanks Azamon for offering great movies.  This was a very good movie.,1410134400,,69,4.75
7914838,2,B00001U0E4,"This was certainly not the greatest movie, but despite my feelings on it, I did want to just point out that I found the fact that these three guys on the cover do NOT appear in the film at all to be a bit strange....anyone else think this was weird?",1279411200,,249,4.0
