,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1367587,5,B00004XMVR,"This wonderful record of a traditional,  Metropolitan Opera production of 1982, excels in every way. The lead singers are vocally

thrilling, their acting expressive without being excessive, and they all

look good for their roles. Cassily seems a bit mature and sometimes

his singing is not lyrically beautiful, but he is a powerful Tannhauser.

They are helped by the production,  beautiful sets by Gunther Schneider-

Siemssen, gorgeous costumes, especially for the women, intelligent

direction. The Metropolitan orchestra is most compelling under the

masterly leadership of a youthful James Levine and the chorus is glorious.

Tatiana Troyanos looks absolutely ravishing as Venus and her singing

in the first act is one of the many highlights of this rewarding DVD.",1179619200,10,773,5.466101694915254
1367588,1,B00004XMVR,"My wife and I have tickets to the Tannhauser Opera this Sunday at the LA Music Center.  To prepare, we opened this DVD and were surprised to find TWO of the #2 DVDs and (of course) NO #1 DVDs.

Damn.

I ordered another copy of this set.  Hopefully that one will have TWO #1 DVDs so I will have matching sets.

Otherwise Acts II and III appear to be a fine production.  The NY Metropolitan Opera really gets it ""Right.""",1173312000,,418,4.1625
1367589,5,B00004XMVR,"Super fast shipping during the holiday season. Item was in great shape.

Excellent deal start to finish.",1168905600,,104,5.117647058823529
1367590,5,B00004XMVR,"I ordered it yesterday for delivery to Florida, and therefore I didn't receive it yet. My five star rating is just a hope.",1167782400,,122,4.3478260869565215
1367591,4,B00004XMVR,"Although I prefer the Bavarian State Opera's 1995 Tannhauser production--chiefly because Waltraud Meier is such a stunning Venus--this Met production is the best ""traditional"" Tannhauser.

The costumes and scenery are rich and elaborate.  Even the Pope's staff sprouts beautifully green leaves, as the music announces the promise of renewed life for even the worst of sinners.

No singer appears to be an especially strong or weak link, although how can Bernd Weikl help but steal the show with Wagner's beautiful song to the Evening Star?

Credit must also be given to an often neglected star in opera productions:  Gil Wechsler, the brilliant lighting designer, uses light to enhance the already splendid sets with a Tuscan afternoon glow.",1160438400,16,741,5.299145299145299
1367592,5,B00004XMVR,"Tannhauser, to me is a somewhat bizarre story from the motivation/emotion point of view. Of course it has some totally splendid music, like so much else in Wagner - the Liebestod is unforgettable and soul-wrenching, the Prize Song is glorious, even the Sailors' Chorus in the ""Dutchman"" is a joy. And there's the Valkyries..and more, and more... So yes, I enjoyed this performance a lot But I couldn't help wondering how the tale might be retold from a more contemporary angle. Let's see.....

So this Mr. T is playing house with this hottie in her ""magic mountain.""  It's not really clear if this Venus really exists or if she's just some kind of mystic fantasy. But whatever, she's real enough that Mr. T is truly knackered and beginning to want OUT.

It began when Mr. T lost out in the local German Idol song contest.  A sore loser, that's when he took his trip to Adult Fantasyland.  He breaks free by finding the magic mojo words that make Venus and her nymphos disappear! He finds himself in deepest rurality, in springtime.  A little catamite-type sings a sweet tune about Nature etc. and scarpers before anything can happen to him.  Now along come a bunch of the local Hare Krishnas and their attitude really strikes a chord with Mr. T.  He is set to be all Goody Two-shoes from now on. No more nookie games!

Ahah: Here comes the local Don and his henchmen, Mr. T's former buddies. They are glad to see him back, but at first he doesn't want to join the gang again. But they tell him the Don's daughter Lizzie loved his song and really, really misses him, and being the basically horny type he is, he now follows them back to the Don's mansion.

So OK - at the Big House, Lizzie meets with Mr. T but it was not, you may say, successful. He won't give with any details of what he's been doing - no surprise there.  Any-hoo, now we get a big setpiece where all the local made men, and minor capos, and their women and all, come parading in for - yes, yet another song contest! (These are very musical hoods). They are all pimped up to heavens above, bling and more bling. The song thing is actually an improv: the Don gives out the subject: ""Love's Awakening.""

First up is Mr. T's good buddy Wolfie.  He sings a nicey-nicey-song about how love is oh-so-pure. We are wondering about possible deficiencies in his equipment - and so is Mr. T, whose basic nature asserts itself. Up he jumps and sings the praises of the ol' bedspring boogie. Everyone gets mad at this - you're not supposed to sing that out loud, especially not in front of the broads. The hoods draw blades on Mr. T. The women see a major rumble coming and leave hurriedly, except Lizzie.  She believes there's good in Mt. T (somewhere) and calms down the ruckus.  Overcome with gratitude. Mr. T reverts to holy mode and promises to make a big pilgrimage to get forgiveness for his naughtinesses.

But that means he leaves moonstruck Lizzie again....he is gone a LONG time, and in the final act, Lizzie is seen asking all the returning pilgrims for news of Mr. T - nothing. Being emotionally very fragile, she sinks into some kind of despair. Wolfie (who has secretly loved her all along) thinks she may even die from it, and how right he is. But being a musical hood, he sings a nice song about it.

Now who should Wolfie see but Mr. T, all worn and beat-up looking.  The pilgrimage was a wipeout - no forgiveness for him!  The Big Papa said that to forgive him would be as hard as for Mr. T's walking-stick to sprout leaves. (These are all seriously uptight people). So Mr. T is thinking of heading back to Hottie and her playmates. But Wolfie spoils that idea by pointing to Lizzie's funeral procession that happens to go by at just the right moment. Poor ol' Mr. T, overcome by guilt again, makes another 180 and gets all religious...and hey presto, his stick sprouts leaves!  (There is an inconsistent metaphor there, but let it pass...)

Hmm....Well, OK, I'm sure I've offended lots of Wagner fans! So, to get serious for a moment, what is this performance like? Truly excellent. If you can manage the ""suspension of disbelief"" that I've been rather cynical about, you are in for an aural and visual treat - a full-scale transition to the glorious colors and textures of the Middle Ages. The otherwordly Venusberg and the huge gathering at the song contest are astonishing. Enjoy.",1159401600,11,4358,4.526114649681529
1367593,5,B00004XMVR,"First of all, for a Wagner opera you need Wagnerian singers not just any baroque chanter and I think Richard Cassilly is excellent.  Secondly, this production is so fascinating with the details of the story such as the budding of the staff in the end symbolizing God's forgiveness.  I guarantee that if you like Wagnerian opera this will satisfy you very much.",1116460800,18,360,4.790322580645161
1367594,4,B00004XMVR,"This is not my favorite Wagnerian opera by a long shot. But it is a must own, for the simple reason that these are absolutely the best set designs ever done. The Venusberg scene is dazzlingly Bosch-ish, the entry into Wartburg looks like it stepped out of an Italian Early Renaissance fresco. A must own.",1044748800,43,304,4.545454545454546
1367595,4,B00004XMVR,"This was the most passionate opera I've ever seen.  Also, it was my first.  I wrote a thesis on Richard Wagner and studied the synopsis of the opera.  It was up to the tee.  Marton does and excellent job playing Elizabeth that the tears in her eyes led me to tear up also.  The guy who played Wolfram looked as though he didn't fully study out his lines, because of the bewildering look on his face when the camera did a close up.  Cassily was wonderful despite in Act I his hair was sticking out.  The most famous Pilgrims' Chorus was good, but I would have wanted it to be slowed down and appreciated...maybe it was a difficult piece to sing that is why the orhcestra sped it up so they could get it done and over with.  The Entry of the Guest scene was great.  Overall, I strongly recommend this.  Enjoy!",1016409600,13,807,4.25
1367596,5,B00004XMVR,"This recording of the Paris version of Tannhauser was made from performances at the Met on November 22 and December 20, 1982. It features Richard Cassilly in the title role, Eva Marton as Elizabeth, Bernd Weikl as  Wolfram von Eschenbach, John Macurdy as Hermann, Landgrave of Thringia, and  Tatiana Troyanos as Venus, among many other performers. The sets are  designed by Gunther Schneider-Siemssen. James Levine conducts. Taken as a  whole, this is a successful performance, done in a very traditional manner.  The costuming is outstanding, and the choral work deserves special  recognition. Levine's tempi are brisk but not pushed hard and the whole  opera runs for 185 minutes.  The sound quality is excellent considering the  medium and age of the recording itself. A brief synopsis but no libretto is  submitted, which is reasonable considering the opera is also subtitled in  English. In comparison to Solti's studio recording, the orchestral balance  is not as forward or aggressive, and the singing is as fine. At medium  price, this is definitely worth seeking out. Elegant packaging and  presentation. Recommended.",961113600,116,1126,5.323863636363637
1367597,5,B00004XMVR,Enjoyed very much.  Glad it was on DVD.,1438214400,,39,3.875
1367598,5,B00004XMVR,This is the production I prefer. Tannhauser has been a foundational composition of my life since the 1960s. I can watch this production over and over.,1419292800,,150,4.8076923076923075
1367599,5,B00004XMVR,I remember seeing this production at the Met many years ago.  The video cannot capture the opening scenes of Venus' cave as I recall them live.  The dancers seemed to fly and the production had my jaw on the floor.  Yet the performers are strong enough not only to sing above the large orchestra but have a great presence on this huge and magnificent set.  Richard Cassilly performs a wonderful Tannhauser who escapes the wiles of Venus to eventually achieve redemption at great cost.  Eva Marton is a beautiful and chaste Elizabeth and her beauty outshines the seductive Venus played by Tatiana Troyanos.  The ballet was engagingly erotic and licentious yet had great form and beauty.  It was complex and I remember it was impossible to take it all in when I first saw it performed.  I am so grateful to be able to view this performance again.,1417392000,4,844,4.655405405405405
1367600,5,B00004XMVR,"Beautiful rendition of Wagner's earlier work, later revised to this ""Paris"" version.  The only authentic available DVD.",1411171200,,119,6.0
1367601,5,B00004XMVR,"Beautiful clean sound, full, so important for Wagner. I loved the singers, the orchestra, direction. I would recommend this to any Wagnerian.",1394582400,,141,5.454545454545454
1367602,5,B00004XMVR,"Because of the lovely, compelling beauty of the overture to Tannhauser, I longed to see a good performance of the entire opera.  By great good fortune, I selected the 1980s New York Metropolitan Opera's beautiful production.  I have simply loved seeing it and if I never am able to see this particular Wagner opera performed live, this does suffice.  I hope to learn or stumble upon again, the wonderful patriotic anthem that is set to the tune of the pilgrim's chorus.  I cannot imagine being happier with a purchase than I have been with this one.  I truly do love it.",1379548800,,570,4.603960396039604
